,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36C,37O,38N,39H,40H,41C,42O,43O,44H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1384899850626193,2.3968059001344906,2.5543660832517134,3.3797787444007663,3.59523110702705,4.580242489186666,5.004419513307162,4.535624501231975,5.958219501593348,5.673601170261122,5.716623803223642,6.57301525493173,4.026638525571028,4.982086662209391,4.1674011147782,3.819239053180707,5.449987552561804,6.26038813273368,5.960966200685391,5.452957577221392,6.950589647554759,6.393692072113661,7.346932601450734,6.76066146123201,5.601057786975436,4.384426150574587,6.546621458440852,7.521320874116882,6.406186752047556,5.791370691596286,5.264292156137948,7.092307004784259,7.461676897456295
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978789562249336,1.0976258843732976,1.4716055361610512,2.153752696740839,2.4965998712743085,2.897128528322759,2.5737355453843147,3.8726605346727654,3.7034048566358573,3.961262367474196,4.527633972436789,4.175990177547923,4.749114853108199,4.344122072982174,4.378049915585016,5.265086260056567,6.189314710304764,5.853767345921634,5.221104320880184,6.632130240636673,6.755008107207352,7.636598801592883,7.23881352704832,6.347921130889193,5.288609228346612,7.469051802725097,8.350073961656983,7.547927673306515,5.02445683667268,4.124986882005197,6.262254914389932,6.368537402648532
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.780145001960824,2.1099015202413156,2.756623712587676,2.9495387803048323,3.119253820803655,2.6321712322641915,4.1161847542042995,4.18715654767865,4.500797267940848,4.891528545805672,5.006773808217504,5.675990895999809,4.937688575896787,4.8021737874255725,5.790305618900897,6.791596851980478,6.115947954748963,5.329002985917075,6.886184423277261,6.9567490265393745,7.750724608913292,7.571369207291571,6.422015290334946,5.370881405090999,7.430186541498465,8.316083666915658,7.433093717470174,5.60080395227735,4.670707234026768,6.860880192949008,6.963400076367092
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.100494884953403,2.9499087851563583,2.698524058327141,2.6938946112134143,2.174102844682907,3.5500931574057812,3.9663627809740265,4.408197637851765,4.702876502013239,4.746258538387595,5.184682649956489,5.159086476213468,5.262064074692148,6.126568275922349,6.9783507921387695,6.849489560741796,6.271861905767717,7.614350721971516,7.755605183970242,8.669178320100379,8.169844895297047,7.347487217835715,6.2553502271451356,8.467522799149885,9.365975865618577,8.510199770705857,5.803604583843494,4.879799861067698,6.97449759566091,7.008706465297976
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0234349823566187,1.3295461132706394,2.3325271429650685,2.5672837344504846,3.2310630856746636,2.3113797962961655,2.493324470151357,3.2077111040379407,3.899943980488433,4.184900114182545,4.009995605085626,4.317458788947795,4.581045155834594,5.505763587968373,5.240016057629467,4.651274006740972,5.838036709135443,6.403177866992223,7.227101716371736,6.8935683401450465,6.328172103419016,5.456231238227277,7.554446025180467,8.330163319745639,7.821317665564795,3.97332248621137,2.9094404869646535,5.1093293980828625,5.077902706717889
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999447333047688,3.224432144168619,3.570839457091896,4.041848535978901,2.455604116849006,2.1990941479371977,3.4215008925735115,3.19979904588299,3.4927005219159315,3.139465388333895,3.538416751833535,3.57712047255276,4.517390877887111,4.260133721533502,3.746397118506476,4.843881745566873,5.475336740007739,6.297539305080267,5.946747003427615,5.54013689432188,4.774876767728722,6.812013369771958,7.535558091479842,7.175290598641228,2.9824025857066823,1.9802240304653427,4.171318273235069,4.238784223368639
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3473784976276082,2.055381809514703,2.0525373019821833,1.344685563906886,2.032934112396319,2.0453938589470995,4.911741512935457,4.924555300714469,5.094714892637843,5.520593769664889,5.436935186052138,6.307282061494036,6.105799815036995,5.522747073523682,6.527510672494347,7.407965277522526,8.161035537521881,7.90792812428461,7.481481559558668,6.6899405291833185,8.716105760069333,9.43992963722797,9.033304030515247,4.505421752291569,3.3177146321579127,5.423115975525274,5.147328293633235
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0088895747459528,1.0100623794038162,2.3214793472994435,3.2338360741045578,2.547135830726262,6.0558246755727945,6.099470218651099,6.307808440694734,6.649725470913041,6.749927053202849,7.630661793754158,7.373379791487295,6.718858372462408,7.816276432394515,8.630581469353725,9.37803259053522,9.16317681475115,8.581178417054863,7.712463018604593,9.765409297274948,10.53087672025992,9.994400197256274,5.852704305000631,4.661465137764539,6.751644780004117,6.424520982607831
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7210010266806894,3.2420059176584943,4.073546962786812,3.5462897486418705,6.266843904170138,6.464538191362272,6.528613530001289,6.743710851283196,7.145153489670462,8.058505759154764,7.727484438813705,7.022634516223122,8.276756854036167,8.87076596573243,9.648732886968528,9.419445899258575,8.646983126441086,7.685959543730186,9.774976816581328,10.597321697295612,9.902245304757301,6.423543273093643,5.2662721785067665,7.431832876395224,7.198686549148416
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.548106816302584,3.558149464749557,2.4176245506010683,6.787910315970995,6.685308018504296,7.108974628911128,7.527797678890254,7.459773907030496,8.287285356879643,8.130683001770299,7.514972318525344,8.490012852671999,9.450069383827342,10.176946674830852,9.959367491085667,9.488621297991084,8.65518448863737,10.692495396954987,11.432393690538069,10.95528366067334,6.429115026699985,5.240071860481283,7.189901393747981,6.744332235374228
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019532922326613,1.010039509530177,5.103626910868063,4.847923440556198,5.252480760349061,5.851071607715646,5.259017824610192,6.0259428206847705,5.965933313042888,5.505838034888209,6.177887914108093,7.404045532559607,8.08136931676729,7.860669453003906,7.746467516742368,7.126631054394422,9.018674283483316,9.638628677171718,9.46924426282031,4.034234868230448,2.8695267346517093,4.67816074881749,4.207810782918777
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.741077954319331,4.509448514692607,4.193856370998713,4.558368490989178,5.235193679000518,4.381503438434825,5.105811235421644,5.114688102592897,4.760825425713304,5.260789038332099,6.588903376985756,7.246657312632645,7.006284141430827,7.071080888936919,6.560596019480482,8.361350045015556,8.923793982819253,8.889911969237655,3.069101740604886,1.9511629581363115,3.662313837474986,3.212331139182885
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.087818982409156,5.76669686919059,6.208448383376278,6.807837756472029,6.1039668122648685,6.845059748948117,6.72624162437883,6.242919254069153,6.825936632820482,8.203844414253329,8.80942539494657,8.69286136191376,8.600538772554245,8.027389967001561,9.849774759471972,10.434005991973505,10.317785659033479,4.789512639912427,3.661134550781961,5.262985356027069,4.649707907622039
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2327866416016544,1.3615007725558685,2.104847963471679,2.4227568522202905,2.737554242471916,3.7545797493753077,4.006394982536059,4.545650416329314,4.394991908064331,5.453134049207005,4.2625467400386405,4.541818414025448,3.889264677038798,5.8275948669200766,6.510855786466168,6.244087553681319,2.9306934366453468,3.199051936008838,3.898819486779982,4.501892224238139
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2602998456973404,3.194336686861568,2.715400604214293,2.764581245334793,4.2383039039208725,4.606411964543535,4.795487525537693,5.067366800523755,6.052958877385672,4.8405970816854955,5.497870886456354,4.990490867454628,6.8006086554026695,7.389082005836274,7.310918496156204,2.737335076179834,3.0784964320384844,3.3859437915046424,3.870293559278171
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0254359403637734,1.446995586896021,2.1006620011779122,2.4791403449887386,2.721077190758079,3.389053263922572,3.11292013010125,4.163800846049293,3.172383135053354,3.3028678735450714,2.778034470681179,4.633103502958964,5.288557345060909,5.13779307823734,2.4457302369942235,2.8748891844144464,3.5427372312018566,4.274833990140939
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.116731862620748,2.785735519477623,2.548982384157206,2.6152789209259653,3.610715170525795,2.7876268351757156,3.854951971419662,2.9881532996924762,2.53047199401637,1.8034959146579819,3.8199994954801375,4.5832828539720545,4.215752046534379,3.270483539754356,3.594524083717514,4.396699411675316,5.143574509918162
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097662649009153,1.5471775126675413,2.1687133537272794,2.141616377904675,2.6084040138882316,3.4728239727997146,2.694555755084944,3.440150802653878,3.3938675690199585,4.73816911271465,5.161516283292079,5.466736476549725,1.5287790553923337,2.4527079163071632,2.36757225285333,3.222019686606243
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.171095438485071,3.0705511395013856,2.4785044414742545,2.8323678946657664,3.6189134054697525,2.500165316222525,3.870664825506416,4.011185058229927,5.062336483359052,5.3556111916211115,5.848817371921288,2.112014125006487,3.2446805056768997,2.385719804553164,3.3428148417486687
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958920976902928,1.0951922689548115,1.5447695593553952,2.1649119799234913,2.1834419185164395,2.586835433345893,2.940046233996439,3.743934254444175,4.0374879729275,4.576193005117412,2.5012996464117765,3.2187227676636363,3.166995149457535,3.9574672042524397
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7641429657467804,2.1804138701449025,2.687269477603462,3.0617884883799347,2.6839530474156974,2.783787523246738,3.813733036571896,4.236901897846939,4.513623298624824,2.752225154801877,3.0464449827883295,3.650966429412381,4.267180014811722
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151198301942669,2.2997329192733726,2.669397140973294,3.4535008053858056,3.9812124276096603,4.431249092051785,4.510258973897603,5.342599898997719,2.6298745904890417,3.4435513578824986,2.8549267047714517,3.5829553204621227
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959773520396694,1.099203520396736,1.5302955223370105,2.4343315104880845,2.4410490042792987,2.6175749404006696,3.3734583564346745,3.914759980548072,4.683511889063877,4.4862899537057555,5.360121125905888
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.752452705674722,2.1554226940086085,3.2613532876170357,2.5374752360886386,2.3134616773900905,3.541408162010229,4.600334517432883,5.375786194542233,4.986724613360506,5.814860022534972
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.137950874423041,2.9449913884931904,2.9086835022631283,2.9921188642316507,3.7991847376951737,4.121387849637488,5.060636394428259,4.532493591553613,5.480463885534103
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2355878825348274,1.3522582902456244,2.0814908023398173,2.0401022611953463,4.777496023814413,5.2916782240428075,5.624469111061691,6.457530229978178
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2578688057247414,3.1773295488954236,2.4867649797213223,4.633520997404406,4.93203406518753,5.691095063954646,6.461962160047195
38N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009380864564877,1.0119184108757031,6.075069914855463,6.599567588208375,6.843418431848882,7.684285670127917
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.736308179314182,6.481190898263361,7.109597939729769,7.089797381332735,7.942677194992189
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.794592933971478,7.2141653021200005,7.661499657648275,8.485759901819367
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2265978256068455,1.3315671437362466,1.8893408150191857
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.246630320145585,2.315752408244159
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762717276190636
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
