 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,C22,H23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.750555642226019,3.6434490592324402,0.14522524211275567,0.2763302619169734,0.017147082928286705,0.030634976631686767,0.001967196224698986,0.005514775902386665,0.00019419566778222652,0.0002733105244678846,0.0028864041442186184,0.0003479881951966579,0.0008562376655729675,0.0002048386969142335,0.0011242842965429461,0.00021185364253994976,3.7668920220168545e-05,2.462062038066648e-05,0.052369836848817436,0.017433163501762022,0.008365727468604228,0.0010337701412028721
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5331377282854874,0.024592820562815754,0.07112573251511038,0.024743508171998663,0.008404418450801754,0.0012491201418693976,0.0010323835609417423,8.662082663224435e-05,0.00017504725127215348,0.002185296672065608,0.0003670109846258818,0.0005941110742700983,0.00018034396901145389,0.00011154368466820969,1.3658090255441735e-05,2.0462185260750054e-05,1.0755719161315014e-05,0.03164825522880148,0.007019728319548571,0.0037375452764395398,0.0007072811059324335
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.782718632269524,2.7666626289698066,0.1005691134448764,0.17550752959973637,0.019921185811226372,0.026996812542518484,0.0006446656052850885,0.0014164819705491105,0.017126621077383775,0.0015253758882609603,0.00535321087126206,0.0006993153549932352,0.004726069751783989,0.000833065362431995,9.75373665432766e-05,0.00012675606419887409,0.19763086834540647,0.03341354359882877,0.028085732689987666,0.004850866935581899
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098131373776838,0.022516894165775403,0.012006590894024338,0.0014126614327814035,0.001080789177278274,0.00023268322698233312,0.00020263296782885298,0.012856338935043454,0.0008931690921500923,0.014470358011793305,0.0003191394283896809,0.00016523422095893192,3.8055478197129844e-05,7.227948005006368e-06,2.5946175138402694e-05,0.004961438528691797,0.002191131990679329,0.0010015641562916011,0.00039256126656339596
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9986404345069269,2.674684653300623,0.09780822333947858,0.16683175177442736,0.004523576639403615,0.015523792743529441,0.1524967802430255,0.030171529027980704,0.008077958419173248,0.006255323825067549,0.031201984373243605,0.0030230391888330654,0.0007012928280820674,0.0008687294877651741,2.6478037780094246,0.272259269357821,0.2100949415169599,0.05460451223743934
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08107893890407725,0.0028330479847427092,0.016974088441896518,0.00017442939510559086,0.009978571786783963,0.026510020207141327,0.001196027734068572,0.0007629718755834958,0.0002994324848846208,0.0017320963750971918,0.00010157612685635087,4.4906172926628685e-05,0.00041658384181775254,0.10929730516726766,0.026732348728922384,0.012043188022221596,0.0007279907774184746
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000363224092353,2.5505458809394086,0.08400885355275722,0.08837753099250834,2.7452236501922016,0.08965911206514288,0.08733853160261318,0.0837087534109886,0.15989317834792083,0.028727417167428992,0.01057719472451013,0.005493271411505907,0.1762409412184945,0.03993586865092966,0.019713735827479248,0.0018053490640506098
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08390259925247368,0.035183236084594505,0.0033457405048391564,0.08115025031492362,0.005803378314085839,0.003305393038695259,0.03524912504251376,0.011761309529059516,0.0005546182815994172,0.005753933016025892,0.00011255102133866934,0.029174862628321696,0.004304972654392225,0.002913083371616443,0.001068260944057986
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.042488167549622,1.9582214570381076,0.16430706914850052,0.00534621980765615,0.03006632361743522,0.011068993504931512,2.8286121289030803,0.08873009618615968,0.08165214379267027,0.08094802798867429,0.01111259893682029,0.0031492058243770688,0.01875145686053921,0.0009788953107845444
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02313798792540389,0.010330474093509956,0.00012227088724325874,0.0003993135099400469,0.005285073119974726,0.0824895588179475,0.0037224874135897146,0.03382961276980634,0.0053806079704903365,0.004442183864587612,0.0012926808242691434,0.0236185893862777,0.0007080128993139922
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029842626906572356,0.0006312887967165892,0.0018685731334222577,0.0005555587448238253,0.0850337381811681,0.005814762037305243,0.003988081183802672,0.03331518689826485,0.0009293099293912199,0.00023629731582652802,0.0007200839948107163,3.824513260530793e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9846406746925687,1.7569791733040727,2.0806924798117303,0.021584012635294095,0.0025284798880214066,0.0006010784061312169,0.008929588390244492,0.02924919639626339,0.01141915977278328,0.0035439046704620614,0.0002735403133822256
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02598336350740449,0.023867556213072794,0.009965100497263735,0.0006466468983796769,6.711896941724582e-05,0.010150269972328596,0.002642117104065367,0.0008629218422937512,0.00038473478878298106,1.9562933449845943e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02490875366799994,0.0021320975552361343,6.8931014700623905e-06,6.685995559729818e-05,0.0005845568260096634,0.0014082013122809212,0.0014900446808598922,0.00031773769183673917,6.305699991049352e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006627672588780387,7.33918611759421e-05,0.00022275325440324067,4.6974077525518965e-05,0.011844763174575723,0.004207032998911231,0.0005586591017792131,0.00014557946453441772
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8694938922423265,2.0892427839894205,1.961518300973435,0.002469876541145208,0.0010348530257571348,0.002287192237399087,0.00028401410284228934
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023324047658419778,0.02370917239032977,0.00022598395410144967,0.00013134801414182995,7.551368971170369e-05,2.9978840483391167e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023111843401203647,0.0004922323974718701,9.177462846543527e-05,0.0005032206182717935,6.954422108562675e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.972063546850649e-05,3.5411546684738227e-05,4.759149230615378e-05,2.468642046782321e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9838700646528515,3.423878931544051,0.1722213146764322
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5133430008004771,0.0709391689301031
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7444191332308256
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
