,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22C,23H,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.008821404495065,5.898922578252876,4.747899962334839,4.046009089830471,5.394201014501804,6.403364394292526,5.7511588617282134,6.134733186841635,7.0809307772505665,7.0403854581501175,7.757424658748223,4.8098767927566835,5.4534593940470035,3.871298876716271,4.748887968713991,7.941036433242198,8.921654809532551,8.200499306088954,7.622971488409708,4.987541376360857,4.00007573054603,6.174054258926925,6.13714504833462
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2293518343992351,1.3638648245201292,2.021007013823898,2.4342469316571314,2.6630755235002406,3.7547806692026304,3.809757109198622,4.95082089512969,5.299853294243861,4.883664234562321,4.412400510553799,5.352373893067393,4.011748166263918,4.841397154693191,6.231019523451518,7.052818258094563,6.251808790189296,6.657377395616661,2.9853335520018827,3.1225902765635722,4.066552677380264,4.619591105225767
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2819535072578705,3.1380388658385217,2.779380125897475,2.6005857663277108,4.282518270547403,4.4573424783625235,5.190907658766635,5.427103276982061,4.919479169918645,5.145637411334777,6.128615167229567,4.929480465517256,5.431201863478548,6.5907033759759095,7.272871015208425,6.695818746932624,7.135147123107234,3.0667297012690016,3.353868623443536,3.8207705162634706,4.330161673638047
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0185962434563631,1.4516619836871933,2.070962188480927,2.4727138745624857,2.526848501927642,3.8135092365075782,4.255825493411514,3.931496881737572,3.113044060524558,4.01061496077094,2.7939091044171334,3.6760487736366887,4.9942195726316365,5.888507777210483,5.012539363685484,5.352711646280341,2.441041229404553,2.7966957790089895,3.605124136296208,4.287596999365199
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1315161673712852,2.9614639810533783,2.646736142944952,2.607017655507885,4.156692986511007,4.616468020571717,4.48909588121877,2.8072812608243556,3.615485166989901,2.175690066417091,3.474573307190093,5.144844027097997,6.137442257775084,5.112350036299789,5.3223015154411035,2.95686280423583,3.03341220001077,4.2254805978163485,4.826405214810067
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093939995569476,1.5583441296051,2.1147262436583403,2.568024160227013,2.8769054510220737,2.6863031396876105,2.5758040009085716,3.5185610327929506,2.7824375076365024,2.924128991029424,3.9440988066765525,4.72640940363364,4.196182844263902,4.380461770529444,1.5347987965579122,2.44810269016287,2.3944308663434763,3.225676626554568
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1759305787003806,2.5168690051991067,2.666691810588661,3.039548056680131,2.3229840907039057,3.5012140037902726,4.333294582627808,3.824656338712249,3.8358500731223706,4.07851315021049,4.685774097920678,4.276896437165124,4.745106297244425,2.1291620545330012,3.197145354498355,2.49626789904185,3.419922227327914
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1000446451874712,1.5435692032184374,2.174084169544011,2.160412287333006,1.54000273535886,2.180544363755737,2.2052322965375115,2.188721479807602,2.579569354752202,3.521995136561633,2.819160467882832,2.903657883221983,2.5734693803539668,3.4014375497649056,3.1519747464600805,3.9733404524234057
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1456219897794155,3.0590564904049553,2.500889488947729,2.153089714215857,2.462986889682044,2.5508459651875346,3.0753070181075857,2.75171831772256,3.737011952160207,2.540160015700598,3.1785134958583448,3.4555932979441684,4.233078968009426,4.1159962733718185,4.98222828899259
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970691337649692,1.0985525038185573,2.5643267806596666,2.8433962715827885,3.52778354589173,2.8021113084792617,1.5341407400762044,2.1762450099713453,2.185775068408533,2.1960703895058478,3.241341119162755,4.271260468402059,3.1592020287517273,3.9917557634158385
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7533194946673314,2.800674408308347,3.1925713072809705,3.7985597021926703,2.5913937891241177,2.16592844092894,2.5190646495552937,3.085832292508465,2.522871589774365,2.994265098499359,3.9695691500179002,2.586162056879543,3.2636257409377403
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4959581476016024,3.8504366018906144,4.341057874517003,3.77742673356066,2.155021464787114,2.4584757384008644,2.5426313738808166,3.082854874055388,3.491809264814415,4.652742523645023,3.2400707790688514,4.155051918713396
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0944881543265246,1.0954807622544531,1.097418252333115,3.1385810540642645,4.145585259199894,3.484670601240558,2.88526537110965,3.000809225182084,3.352155712814863,3.7483331293772086,4.305855981955982
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7643710792315745,1.7697787960984046,2.8375712337028807,3.8620092186708037,3.0722239668495375,2.309279295346562,4.059443144496668,4.430760721570046,4.677665411261839,5.240093599824908
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7678049733841317,4.148738729524985,5.189672645787469,4.33560245136589,3.899449785050227,3.188857367987223,3.2193030017846063,4.2284279965769995,4.712596157995167
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4815823320909876,4.328780120994527,4.100510400918924,3.1127961389474756,2.777964291689597,2.9972292574028687,3.324255678894672,3.6821906344934265
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096079719903872,1.0975843567365418,1.0956925512097648,4.690369338450396,5.619518433689096,4.623131326935567,5.382505995349324
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7702323076252615,1.765821618797393,5.35475779432796,6.3502003628848325,5.029463979371518,5.747186879093148
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7713509661234135,5.223543314461801,6.148486745048114,5.331749625466783,6.1661523997684355
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.948963492213575,5.70434023682707,4.972570498605277,5.611129793074557
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2123009350681335,1.3532558393295226,1.8762058128756203
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.250313392309345,2.2777559914996544
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766633317997516
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
