,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32H,33C,34H,35H,36H,37C,38H,39H,40H,41C,42O,43O,44H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1668416595173356,2.4027767985292434,3.054754953012332,2.977525943591952,2.8057707244416754,3.8948671965845905,3.799025896643724,4.3166492459933705,3.5571119081907723,4.614355766859367,3.5848439155399303,4.323111645103964,3.902265238913209,3.7515510157874443,5.042071103694567,5.7889169665010165,5.927563084700781,6.911919554201003,6.137836321304787,5.852302710454705,5.978658939349726,7.23405233805517,7.516799505347159,8.04014479817145,7.427561980333781,4.796841869434494,4.919614312865893,3.783538812240265,5.247347262399273,5.023800273439478,4.2634647251263695,6.326811986529568,6.555534010577284
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0961529609887044,1.1000177425450015,1.5267498016708105,2.191795336289674,2.1895175067729595,2.509940328308145,2.7031763547453855,2.8223263493767283,3.4070697068137217,4.191682782930472,4.331857993051216,4.867461833310478,5.1323005092354315,5.709225024219134,6.280409459959112,6.895756938694359,7.7010020129444925,7.338510867126128,6.942525952553147,6.774181405794957,8.441629154532023,8.743275853641435,9.081606240952919,8.834815120229653,6.20464353357848,6.583936852448603,5.11122278932998,6.659350841818122,5.205201518756986,4.232943811445501,6.308378336037447,6.281476023388302
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7498897527663366,2.1290007880025072,2.5902181908272714,2.4247367023179516,3.4300652205393583,3.6365035868067404,3.846154567186231,4.210844999604614,5.036830657135312,5.270181926941595,5.724605644939311,5.86573609459542,6.676335847546281,7.270067041365214,7.804199184051048,8.661904546368545,8.178094849794569,7.77887605865216,7.658200511697629,9.241724868036465,9.487026178788344,9.948599290815038,9.583188221107775,6.8933460281817105,7.194852276839799,5.812167129913008,7.266333509811368,6.251428641957692,5.271468325307197,7.383007162436812,7.356941895921277
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148682892280954,3.0770940789723267,2.545152732645645,2.681651629874308,2.4382946494282396,3.0712903302294006,3.616608726805002,4.227686949271436,4.080937849260887,5.1247999441297285,5.557195392037265,5.892770507646629,6.290288043862874,7.228338017923877,7.945392525692678,7.684529784476233,7.466763417990016,7.27105878599917,8.995657937664868,9.386180324752662,9.545031413582631,9.401685499439015,6.898194647077313,7.278231316601008,5.819093465684263,7.450767572155796,5.347804054545914,4.469989006333904,6.333069171021684,6.2823700821474215
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0933652134717093,1.092999680099486,1.5249664798013394,2.1143633267061035,2.175757369478256,2.1237492098526083,4.919368534098368,4.986066817415586,5.300275301299971,5.586574110033593,5.838672381152998,6.516323138657403,6.891235573989439,7.61749944694648,7.515907098815461,6.697501287341541,6.3129090649590305,8.161791731600236,8.326575557918723,8.760211590677395,8.715832501283476,6.0413299961206395,6.6428317748004275,4.969053527992086,6.322553159897341,5.002567619690622,3.8418358241391215,5.977577639224009,5.750659728405195
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7788313877480015,2.1078684815364035,2.9710160285645393,2.462499533530754,2.4325352448650834,5.160840661490262,5.43812565381222,5.292066641222699,5.409907608641053,5.830958953745945,6.64930333117003,6.67548028310394,7.458350209024815,7.288123462900643,6.257022285656979,5.886381019305819,7.646861041301754,7.696034307184876,8.3240983855486,8.197895576764477,5.452483431572115,6.076126557155272,4.416993220137892,5.58165703778653,5.054641261595497,3.8762025522385217,6.0868683023461925,5.889640927413767
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.106871871655565,2.442490802946924,3.0170351341534642,2.376848785297944,5.924114280326484,5.884589945377397,6.367984660170048,6.6773069289976075,6.858920928237094,7.496094666879284,7.923639806021404,8.607154699849326,8.582411035609825,7.698666090627366,7.242150794064706,9.14368283744117,9.258683890280894,9.717961476240811,9.738780274327208,7.062390709038847,7.694108316392877,6.005094228431361,7.273557262997607,5.927014153071378,4.750246904420874,6.7947317477368845,6.456409259475407
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0269849087254115,1.0472093566982335,1.025801170419152,4.550932918775918,4.362577415491185,4.8414091285025345,5.338623662785854,5.03187213907399,5.619297998762811,6.136263206507681,6.6975097056390265,6.904654740768196,6.053849102288837,5.518807625085835,7.528770820163275,7.767933322882271,7.966646912124259,8.193545268917143,5.741842500107806,6.478879662657065,4.737710638480218,6.116009021946782,3.927578917097685,2.7730003710203603,4.704188847687039,4.361568224677625
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6634380482902684,1.6541173216553988,4.60553747289748,4.164205154287981,5.11700312604585,5.747368334034195,5.2787813651185225,5.683429788786424,6.536279336913267,7.018920622902555,7.290979816946263,6.662466820394201,6.141585601941372,8.156954189139958,8.489392910381467,8.51536378288386,8.807268555528568,6.475482532373055,7.167274328735629,5.481449606203947,6.951547701979001,4.175218075992882,3.1790798046153674,4.817401873481026,4.4549616066514615
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66258825343293,3.7596137176034277,3.653487602385452,3.8867884230032255,4.409903117145069,4.001920321643191,4.638329825936275,5.089834859209863,5.662735464034976,5.865601483858307,5.058865531745401,4.566912855477498,6.552158271182068,6.85784767216857,6.981207302102994,7.200230193266022,4.828185058898771,5.56783136875329,3.8534097788893966,5.296469571813774,2.919890727935693,1.7534513879507667,3.8070986963471474,3.595287327729786
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.402991392246925,5.195562261562474,5.531540315095784,6.008781082128358,5.5252879328085465,6.143376201964733,6.483520660985238,6.957822600702141,7.345984454533852,6.239857023154642,5.55316608167961,7.635391812634401,7.7702361424571755,8.020799130324951,8.400800665083565,6.015674125013787,6.8666966113688535,5.089236912655781,6.254398007591495,4.254741038466181,3.0938117208414755,4.839838395460962,4.321341762360603
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304372880391723,1.366093798389364,2.069707710333399,2.4422399831698005,2.6424779492695505,3.7780051939359716,4.5198694552516905,3.888805067897229,4.642101530341559,4.931515281061959,6.024741306203051,6.777133680282178,6.478582584317566,6.148233412623551,4.454816276075621,4.48801764330299,3.7637101445730825,5.449827725155521,3.057765737726084,3.2167300882454875,4.152083310605329,4.766642264800542
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2625487653466188,3.1656375701080246,2.7420625661767044,2.5962410562122145,4.261403727448546,4.771600267754549,4.5392643765511185,5.248315834266336,5.350770088975057,6.646125794907528,7.4300292095263,6.940314768039638,6.886413386089904,5.313184232867537,5.495882710141764,4.610105438663136,6.2944166072584515,2.9755938839842524,3.188314303001614,3.8111674215728715,4.33522048812869
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097416167511533,1.4489918997976465,2.0694866831150036,2.5057556098548606,3.380858665497867,2.631731058884972,3.3209937401125247,3.7400688801450457,4.669456230101,5.436141141298241,5.164411013595189,4.788523765933796,3.2159669738374874,3.259943830930686,2.7117938959817285,4.266409471157759,2.461652259710052,2.8507987220239284,3.603503865762262,4.331451479641862
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1317325763973014,2.8631619880769756,2.615097804789246,3.6439900343970506,2.483174284168299,3.1425454768223497,3.7720070052130086,4.374781722597343,5.074433875623877,5.039850404491272,4.338311393158144,2.6842928070504706,2.4699915800246734,2.293892708326336,3.7175692108509497,3.1932961108429216,3.4636997226352575,4.355063284187276,5.073873133003667
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963324087234407,1.5520128273209364,2.1392863314735955,2.146456478550686,2.6608851471472956,2.8917238442957265,3.960580599730382,4.813005274355262,4.198511274265378,4.284884609348199,3.2283586795035784,3.545858191411494,2.982179375725499,4.247556846566103,1.528636404504818,2.4696255750887435,2.355682353317742,3.213921995472271
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156301855595655,2.315584273629136,2.529998963015206,3.5387838468167994,3.7604905947379517,4.644333515289826,5.591202027209693,4.684314339498304,4.894648129772435,4.26264701849748,4.475429905142862,4.069377063728257,5.291706832179723,2.097702902649162,3.1740575526891486,2.4574609980902036,3.386187025594605
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953260568105059,1.0989941622983328,1.5448609123273598,2.1538781690472035,2.5094343164754025,3.4748289137199437,2.735902509980515,2.7924783454399247,2.5865039856847556,2.841114599968315,2.9033278129311273,3.5271683966614233,2.539455399670869,3.4482665523003715,2.9921440705864497,3.839701737518918
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.753472575384255,2.1555385853950266,2.4723356927334477,2.669550551515025,3.6744228175024367,2.4329416099191277,3.0566619254556286,3.5071139815052184,3.8224674201867743,3.8851790731676012,4.31897321313019,2.849685744864335,3.9285529875265737,2.7869943006589004,3.6466092430018855
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.179815309900878,3.0693979941041554,2.7563670842864143,3.7780466882898383,3.0755587624601204,2.587014807632175,2.863066998156017,2.67945392206552,3.3031735213961233,3.834622688548697,3.4607881832396727,4.330244950708069,3.982665559051712,4.875488712376626
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1012297713062622,1.5376446406362767,2.18273636464963,2.1917517393781596,2.1863723729843274,1.5378433442809147,2.189267034710246,2.198695552306307,2.1779905706026392,3.058874611128067,3.556633292937091,3.5846072530311823,4.16938140975896
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142592936698653,2.4836102078295252,2.4969776114960647,3.069047220614056,2.1467607848547794,3.0742565263592816,2.4794175050432257,2.5113497050179716,2.70708458976599,3.0675631329611868,3.0504616006654866,3.426072261000862
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0955178490681123,1.096053026056193,1.0975799514327265,2.5282924184306967,2.833459287093008,3.493727222036589,2.720760816110618,4.455203983818055,5.0362608426600275,4.703478524358309,5.27330402900634
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7712595928770056,1.7699176151805178,2.761682862725897,3.177935494282479,3.7454538708811187,2.4983984040330274,5.098572179925131,5.484165096752107,5.3645931480011955,5.7899498002019945
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7721242361753302,3.492820581285547,3.8428502321000257,4.352413445855264,3.735837474112446,4.612864558845719,5.353678366225819,4.548807045328373,5.110033315513018
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8028944262965223,2.6646503656605125,3.8383707715808915,3.0737338801221283,5.082789149912243,5.711156356425858,5.435777036565058,6.110022779755636
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0993254475270493,1.095867933384581,1.0957014837486787,3.646562988625036,3.7286227169104302,4.557792741907223,5.059496205920738
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.783350640560859,1.7633063727700535,4.324710305498306,4.512684131032222,5.2769966390029595,5.8938674786413054
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7658522002120673,3.1803402348568093,2.985519674396136,4.295285897067805,4.716867100980418
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.448620179760221,4.367083494872267,5.274626471998849,5.642295190767836
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2251393510295023,1.3342241450287462,1.8918515927096666
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2419437787046945,2.3080250644635885
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761938715191435
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
