 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,H32,C33,H34,H35,H36,C37,H38,H39,H40,C41,O42,O43,H44
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878504752070286,0.01029435305032722,0.029000285511472823,0.00434594279232936,0.0021204120120243974,2.272639379752306e-05,0.0008261301617765726,0.0002876922515857583,0.0007233872918146478,4.8093192306586374e-05,0.0010942749619295977,0.0010532255212234443,8.099420166041149e-05,4.1869280337447634e-05,1.29503535044595e-05,7.210365299936683e-06,4.814538832276227e-06,5.15093707464942e-07,7.763078728739714e-07,1.1228032692711665e-05,1.6328887109118284e-07,5.466836752843207e-06,1.4912482293460982e-07,1.8441160749560481e-06,4.183348911723783e-08,5.7349874831635894e-05,1.523460166907853e-06,7.033877098616692e-05,3.286621530929068e-06,5.9835767256766204e-05,0.00020527011830528963,1.3571425916958368e-05,3.7343295542502375e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9827490346637489,2.060140319199888,2.864777910617064,0.08337618750232167,0.08514052932130567,0.16745489069700933,0.015492254335397915,0.0048121846687326775,0.02377006720877539,0.002879861801547423,0.0006377229441250215,0.0014662223230433313,9.527105830409166e-05,0.00019620584968965682,4.326246861507954e-05,2.0821582930458105e-05,3.3193883268722857e-06,2.1623051031927076e-06,8.802844500999107e-06,3.25829427882951e-07,4.033726954691397e-06,7.67319556782553e-08,8.437732437194256e-07,1.554593695995976e-07,7.081512195832029e-05,1.275219614793599e-06,0.00016576268742851674,8.014703551939562e-07,0.00029994751025308464,0.001193552940350548,8.077200373324267e-05,1.2058432990236234e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026047085940194226,0.11530757817596127,0.002205195822127859,0.0057901518696983345,0.03262064075200277,0.0008104823360917113,0.0004431310548507206,0.001842208339029927,0.0008904061265864183,0.00011846444513852195,0.000354926809210121,1.8433799356065705e-05,4.5836185593728374e-05,1.1575179903910993e-05,4.664743408211436e-06,3.442057086022743e-07,1.0367836209557169e-06,1.0821321319021138e-06,2.4346924698548378e-08,4.6561131106237497e-07,9.027633973701654e-09,8.63885036839207e-08,3.2049646714327196e-08,7.601278533386768e-06,6.446170019991371e-08,1.3138340423379802e-05,1.3079926830528166e-07,7.30245797038176e-05,0.0002920309620365602,2.6066134428681664e-05,4.694243916247842e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09858453878078022,0.034183009257717556,0.0031831584238000143,0.012343699097253413,0.009411794807353768,0.0001165276205197241,0.0009807760545159638,7.288268602279047e-05,6.164404600506046e-05,2.3084066923972912e-05,7.944632567369325e-06,3.586295804103301e-06,3.2966460450367663e-07,4.605296879400811e-07,2.7219364540087554e-09,3.9982527288984215e-08,5.80114165815715e-07,1.0884502410490882e-08,3.1402953226677965e-07,1.9683476626397578e-08,8.939229378945868e-08,9.268981804311238e-09,1.1432495442553758e-05,2.801232179550084e-08,2.919166053483302e-05,4.443637813267287e-08,5.305483741668837e-06,1.6408727867789352e-05,3.733507332182029e-07,8.325277356391325e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1346900039090513,2.1139878865272905,2.7101942727023323,0.077778902351882,0.07390012135050295,0.07659916930087851,0.00026830001654995494,0.000104459228270945,0.00023846777748443015,3.495033948808235e-06,0.00021561282553567152,5.26724256759703e-05,1.9063291449267217e-05,7.579426286596913e-07,3.516168727513147e-06,6.804213912192658e-06,1.7867268187199414e-06,1.3300142530092707e-06,1.6236222322163485e-07,1.5783299001093098e-07,3.283793215125286e-07,1.3261062328337458e-05,2.6428094712649397e-07,1.9164345103295233e-05,3.0163085740220197e-07,0.0015157375357027492,0.00776364689775183,0.0002797975740147507,2.262991324475383e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026826324706307636,0.08810495251617745,0.02847278699631195,0.004908542235262603,0.004179217158768012,1.4106686005099789e-05,9.320957248259987e-06,6.6695793643489765e-06,3.981677829667518e-07,4.149143159049018e-06,6.722926171320864e-07,1.0349879163706888e-06,4.119542706959578e-08,8.754081948225689e-08,1.519398878158107e-06,1.5039452216925042e-07,8.008165717221516e-07,2.6250598139654358e-08,2.4253886765635e-07,5.0958672836998176e-09,8.433898228132897e-06,1.0263631367024573e-06,2.7683561707458892e-05,2.2304532598660387e-07,5.349441478208483e-05,0.0002021392756216267,1.2486060661398568e-05,1.252449699951086e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0934146878285036,0.004298866672179935,0.02153694161074715,0.005704739097893485,1.7942219507682822e-05,1.887397201738583e-05,1.1542641553341504e-05,6.413826383333543e-07,3.297377675437474e-05,1.2471548185288839e-05,3.868705609311185e-06,1.5495315297542334e-07,2.225178201697986e-07,1.961247230619634e-06,6.663224840774973e-07,3.280990921172844e-07,5.837403782571471e-08,8.368094661648229e-09,9.398899702972585e-08,1.2031931129197204e-06,1.7591917478299024e-08,3.48123004445533e-06,4.58942901460091e-08,0.00042379393842328916,0.0018253201888290826,7.08532825078878e-05,3.5973101502051463e-06
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.955282666690315,1.7032155103937598,1.8915417849567266,0.0002104241197427026,0.00022625756716740386,0.0002956781738749914,4.626280448949416e-06,0.0014453464671784766,0.0003582496319877171,0.00012132469966116832,1.6100295304743995e-06,2.2869944802605957e-05,4.1034419873201e-05,1.2272302568061555e-05,4.115229066334325e-06,1.0079616133973346e-06,1.1035444891227542e-07,2.5069275271238922e-06,6.7859958113383745e-06,4.864257495684754e-07,1.9191296136256142e-05,1.5540029200122873e-06,0.01635126116505438,0.09639294319994915,0.0026495921807000444,0.00028323964903276266
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328609751595228,0.02910665047052663,6.108359132717123e-05,0.00024541280821166467,6.707777315806407e-05,3.4499673162713407e-07,4.3574886089969844e-05,2.651314504009683e-05,5.151141135195658e-06,5.004796044261184e-08,4.117784073720543e-07,1.3861107859280963e-06,4.3904522950555247e-07,2.2334380156419087e-07,4.281522114624181e-08,1.1847989256352776e-09,1.6390241697195052e-07,1.108548686845623e-06,1.3188540259889692e-08,1.3315774678446246e-06,2.3573363594486807e-07,0.00036431566121220005,0.001644789676390812,7.769904126408989e-05,6.956528814328067e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326028939897145,0.00045343959397103895,0.0008383980994594031,0.0006775586447292925,1.29260452199631e-05,0.003456662889819273,0.0002924754196631518,0.00017216050843971153,1.8096903831033018e-06,5.439398733275702e-05,3.9632007396206426e-05,1.302493209554001e-05,3.743735408567872e-06,8.361175114490749e-07,2.019553848597866e-07,3.287034141319367e-06,1.2349385267729218e-05,5.147620867340663e-07,3.79042316609457e-05,3.4033800517807578e-06,0.028509508762473157,0.28039297037471556,0.004056926542063799,0.0005003453996916818
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2895596240958263e-05,1.5120489911812918e-05,1.247597950015944e-05,3.2693202767219987e-07,0.00013513225504924176,1.7070220717174678e-05,1.2961245248632736e-05,3.760618461079446e-08,5.460206226715059e-06,2.5405613360840462e-06,8.729249958427943e-07,1.8152064329424178e-07,1.0064054256631039e-08,4.818380361371055e-09,5.214533094211049e-08,4.718899265787613e-07,3.321890007512707e-08,5.18308215013974e-07,9.93381796821069e-08,0.0004544760696314487,0.002359586424062865,5.44668892185074e-05,2.718170144744292e-05
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7392365902405045,3.52703907696945,0.13677386411550374,0.2736626573484798,0.023900903819566444,0.029215261862371056,0.003577043602329466,0.0012466475846919511,0.001901562115650235,0.00026015343099494714,0.0006390849007075761,0.0001243056625963579,6.522822778864956e-05,1.0087637165145935e-05,0.0033207706307114004,0.00032406856660016636,0.0014844480602642651,0.0005784061126157258,0.04178010278593711,0.01136038003361084,0.006340130115965875,0.0006279364109442742
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5462616305662082,0.027233687349630165,0.07581335861913906,0.02760962575591408,0.009719951144437314,0.0008649588254893148,0.0008799688713814202,0.0015775397523856705,0.00028985779625545494,0.000372584646753632,6.993556120726829e-05,1.3732868263227616e-05,2.7113102847531323e-05,0.002506260977599109,0.0002139794129385475,0.0015949530641938825,0.00039757449557698,0.04739178443833794,0.010608307796938145,0.00420260366496597,0.0005924847726371807
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7383972264626455,2.872034339028801,0.10512121406493313,0.16781591947502883,0.023212507214154354,0.013361341885657518,0.009362996446269006,0.0007257146832539974,0.0027499812945924462,0.00035719441251891304,0.0002718598176860709,5.3012750955705457e-05,0.01918132133445806,0.0022568605635082672,0.017117019696599067,0.0024454059898555425,0.19549406816855755,0.026813958454017878,0.0298797368747782,0.005150279376069045
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09949405510298392,0.01341958166345325,0.01589390197529461,0.0005576299168084109,0.005261611260632737,0.0015428963922705652,0.0004544638779264698,0.0004239943717631034,0.00019758646013512404,2.1163365049092775e-05,1.9611214191916915e-05,0.02376406681575649,0.007908221913024427,0.009064345104688565,0.0021192791018145307,0.011372511984212075,0.0003597332207551096,0.002301943639940074,0.0009194811130170955
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8689961435437163,2.735878382995316,0.10379880657799112,0.09693254655692995,0.1461613624194666,0.007144212789452542,0.03446208344769039,0.004879013687432154,0.0009997278075235538,0.0006252252472582764,0.010817701892491788,0.0008220598663402079,0.0023001801104898245,0.0007499130436543489,2.744310252653941,0.2546660464476713,0.2334487257140985,0.05406298736209314
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09548981513648214,0.009028593712317567,0.002751651995216653,0.02264631765946079,0.0002985727008484318,0.0019592781767324707,0.0005361226565627764,8.569004898095756e-06,3.406345684431322e-05,0.0013521978120158984,0.00015087317457829208,0.0007819275690799099,0.00024029993098251268,0.12588268813268066,0.028007051007734818,0.014633207373366042,0.000754424198850856
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0314793947507064,1.981273881682203,2.4864200264493865,0.08379862634570445,0.19105462018569472,0.031350409434322435,0.011259760291363108,0.009395613719767937,0.15881259546136478,0.009540094600700488,0.004754767425582562,0.03118938563614826,0.19098211355685,0.039671369144069296,0.029423946539121226,0.0017371434139167308
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025252864163654687,0.08964979449849908,0.004666608651572979,0.013594641398072982,0.0009439754678148837,0.006180615337468831,0.0002411361801903933,0.030150894437728337,0.0004740818048887263,0.00022904245380539479,0.0016730685619570362,0.0038961737863267842,0.0006464342289055347,0.006638032894403456,0.00016771517182623263
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07884012205843982,0.03628809954392831,0.009706208445211306,0.0005396874372336491,0.00020691490371271826,0.004492074492563836,0.008012567094652256,0.003944894195593296,0.0001397124666286942,0.00036342865929794854,0.029640682714743072,0.004336035901213564,0.004312278267830094,0.000440479391080828
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9437927420525096,2.6987312168653577,0.08938485737164892,0.08362541420601599,0.08302921568016974,2.8524694923454845,0.08052686347638582,0.08177680476941585,0.09015738505175808,0.029831332791375675,0.006345979730374221,0.005059097859423975,0.00039917565941494093
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08004381900899027,0.004773673786580446,0.004318702197473545,0.03388057338165207,0.08234377936858728,0.03487698001599715,0.00543058024677312,0.003685084546632744,0.016640616865781777,0.0024783602674526284,0.0028037961628040176,0.00020160141944036702
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7383949635115625,2.1034037807967834,2.0010052738483948,0.16692110881319494,0.007622924101594597,0.030756796075660953,0.01266002289821333,0.004257172181558799,0.0007110081642877214,0.0005476249600367411,4.0244698435887294e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024999088746296527,0.023742953879617223,0.009794001302913191,0.0001420020540452427,0.0006209074677805404,0.0050347285745226955,0.0003165644966098835,0.00017524259322110325,6.390100889386297e-05,8.429827187406147e-07
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023570692853376984,0.03126765126153441,0.00038817283911263267,0.0028609829234238493,0.0009666462528834519,0.00010187706062647628,2.2007697157211403e-05,1.729572504705068e-05,3.1555953632356193e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009005372031873349,0.0036662347251361638,0.0005644234122568204,0.0001936940274049892,0.0015647279187656071,0.00034162278037763727,0.00017959302506587171,2.151561932817181e-05
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9870365375824457,1.8794687633657372,1.7734337312430242,0.0031898287786023827,0.004343487910177669,0.0010505481575315,6.17572059190552e-05
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022133898701492072,0.02429288640079874,0.0005187385825315971,0.00012153758914568158,0.00020666766427335226,1.4667342097096636e-05
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025986244345971743,0.002833681033649782,0.009340821283736256,0.0009390594608196245,2.227750947469964e-05
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029008709310685,0.00011191525985887463,2.210175593631014e-05,1.7795716856561228e-05
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.694629258212513,3.6194220623043174,0.174602334622582
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5036788417606207,0.05904633390883407
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7919081396141554
