 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,N29,C30,H31,C32,H33,N34,H35,C36,O37,O38,H39
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1719235950225944,1.7142749323178046,1.923170112810145,0.17392246813390827,0.009284006289875801,0.00995672836491135,0.03220163501042572,0.003801569735373822,0.0128993438680656,0.001164063643736904,8.20470218629854e-05,0.00014959769298686365,2.625873355299735e-05,1.7909027862084148e-05,1.520388808184947e-06,1.3036981517444701e-05,3.3836628996058993e-06,1.5885224314837743e-06,1.2436409144445104e-06,9.258407818180103e-08,5.616805458380503e-07,2.0867091499177093e-08,2.3801235325693337e-07,3.267565129583261e-08,3.3476646265601095e-05,1.6731812624758147e-05,6.796631329616942e-06,1.1896970304459131e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025277591731024396,0.022674028721660244,0.012973632442306204,0.005013674721870753,0.0002411732897380503,0.0010651202502744983,0.0002409107318106507,0.00019903704782064935,9.805294636588968e-05,9.312481095147263e-07,2.3365676897535437e-05,1.766868387820253e-06,1.3323827972033797e-06,3.120734810568848e-07,8.974158693941803e-07,2.49307157584866e-07,3.609101884016752e-08,1.0143179762778232e-07,9.117514965240048e-09,8.999152090183316e-09,5.450808693296949e-10,1.6063857799508696e-08,2.525085252003123e-09,5.896402224481179e-06,5.033030610057665e-07,1.6546548822216067e-06,3.552942071660681e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02348145661679113,0.030423842174637228,0.0005459426450165061,0.000612956163394518,0.002751810236663488,0.003895659304058441,0.022681179751110836,0.0015122063381411976,3.7307991181290134e-05,0.00010020054388193422,1.651581653527856e-05,1.3180668972934129e-05,1.0768922753534582e-06,1.255236175734531e-05,2.3381726832472083e-06,1.5157169515056523e-06,4.879410919755856e-07,1.0889122936674767e-08,4.283657875081559e-07,2.9242728905032322e-08,1.1032382252196271e-07,3.075394983120816e-08,2.2555992776229772e-05,1.8075151686947066e-05,2.989712671985778e-06,2.515195163255157e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00710153825351334,0.00012050804496399614,0.0038236289960693615,0.00028284138032153017,0.00027438187900408195,0.0003387374652199515,4.477625247334416e-05,6.555964661592029e-06,1.1268652127860435e-05,4.634213301990542e-07,1.4103671033272036e-06,1.7986604317066224e-07,1.8799300960381515e-07,2.2557618017948755e-07,4.1555986207697515e-08,2.0449538951083923e-07,8.126359429816432e-08,5.8552546811085904e-08,5.350324627784175e-10,2.341795823923576e-08,9.137344214593668e-10,2.3453264259565287e-06,5.238671239027326e-07,5.336169739411645e-07,1.9094403236330493e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1236019789662324,2.0305789176967055,1.8350697749587954,0.0032534579529181207,0.0028178176189150445,0.0008618285193035535,2.0970842526502054e-05,0.00011000563633065119,3.75261305456398e-05,4.086444746492779e-05,6.431668895467979e-06,1.0741737404229568e-05,3.984684053381926e-06,8.427050146309067e-07,8.009639220207809e-07,1.9634536241319722e-07,2.2459272325248136e-07,1.0087171098405179e-09,2.423770009696291e-07,1.0540476713671865e-08,1.1336918443460853e-05,5.606048616241255e-06,2.2791951605621863e-06,4.608160997232602e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022785857935895937,0.02373735550295253,0.00022336789938992574,0.00014061298749368234,4.10421646510617e-05,3.949551248494387e-06,9.586974678787996e-06,2.505963278442991e-06,3.495176605028405e-06,8.264606254915208e-07,1.864716387967036e-07,2.3718401087613472e-07,9.834533853947391e-09,4.353144134050524e-08,1.1843436231728788e-08,1.0021168339591213e-08,1.312452369006678e-10,1.3097465556555221e-08,3.397774284152888e-09,6.215819940980083e-07,7.498839743602659e-07,3.194293221042699e-07,7.624087983160166e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022517123758126534,0.0006901429045924612,0.0005476792121943408,6.943729919450803e-05,9.463713835256016e-06,2.12543504294338e-05,1.1622372671160619e-05,4.913725682786918e-06,1.0965656338512986e-06,2.0257220305630597e-06,4.233358890104455e-07,1.1954782008771758e-07,7.507497912229155e-08,2.2449113012967814e-08,2.122204900700808e-08,2.6186386392623717e-11,2.2271467559065172e-08,2.414117572513419e-09,2.1897055098030194e-06,6.972960433504483e-07,5.278156998134165e-07,1.3795460307441942e-07
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993906611312383e-05,0.00012168145494517724,2.4214520739640477e-05,3.5863074265840567e-07,2.1281956816832093e-06,7.369078938168627e-07,8.684499321898187e-07,1.3522305808422175e-07,4.5667060688536765e-07,6.223549142703177e-08,4.314341794930954e-08,6.367290139586146e-08,6.164814614351144e-08,1.5524232788166614e-08,3.2093971924496145e-10,1.0697487340394218e-08,2.641653562562851e-10,1.548795498518274e-07,1.2487228262525463e-07,1.6308674188891814e-08,5.197089869568572e-09
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.784094678559242,3.485389312339542,0.13823815403777262,0.273097880374672,0.029332656241024102,0.02952638064554791,0.0027483451126673053,0.004512793828593598,0.002556680266851852,0.0004919680063083243,0.0004981289243606579,4.809275552242198e-06,0.00013355806043846563,2.0127660216306964e-06,0.00016466450627455886,1.3625810163175878e-05,0.029299689135775714,0.006856257314981309,0.005735220241574246,0.001189506393842188
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5450076246131074,0.025395061148799636,0.07225471287539753,0.04037661243417501,0.017372951575895787,0.0009319729929775367,0.01535132913430004,0.002278582082359759,0.0006713435505044107,0.0003435624407927135,1.914835754845967e-06,0.0001501239172767288,6.929672371813744e-06,0.00011374635577733605,5.77588049988087e-06,0.009438431506436251,0.004385602487262136,0.001409455896828185,0.0002303359645396963
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7701993112291192,2.8594102041734972,0.09933653870245496,0.1758714746780644,0.026846787290485175,0.0060886925056498065,0.019934231786060463,0.0030900665620394313,0.003325853555382674,1.7206562278548887e-05,0.0006743004776885997,8.229409570681412e-06,0.001161397010027529,4.542197537904524e-05,0.19768905870578246,0.05902569110862657,0.027692768239741816,0.005089517361804408
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09520893466103775,0.016885322498237043,0.00883243831555991,0.0005507520753680328,0.00016617030735344152,0.0010909175406408345,0.0016573937106197922,0.0002827757162628952,3.031453554847019e-07,0.0002871228655855207,2.761314883636956e-06,0.0002767736934856657,4.6386551983967905e-06,0.03431437404041249,0.08046476183055884,0.0054847431159325,0.00018810584245754214
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9293509874019208,2.728586879214127,0.0977225953358205,0.09548164667464665,0.17201539977104843,0.0244429975606206,0.03819793942298835,0.000369889339630447,0.00539619051939802,0.0001818081181190756,0.008549529518032839,0.0008563759406434723,2.7968998940736842,0.27585391654792696,0.21777313513451543,0.05382241880053262
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09120408790659917,0.005046964895926598,0.007047831579801933,0.02323357268805981,0.0030506656479316607,0.0027335037684770302,1.4501202771244337e-05,0.0005093557898296908,1.174717852236995e-05,0.0012107197105216683,0.00018632717679412103,0.11949685455463488,0.03234656003999936,0.011022144822915525,0.00039354650154765913
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.006897492871148,2.1053595762759767,2.787995823843408,0.19366245437500262,0.24646749756445477,0.004009901497966206,0.04847515815706119,0.002378691745145489,0.043569854192500826,0.0023214856424143004,0.17101635249917937,0.03975761794282282,0.030759434219316373,0.0023260181828835824
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025430189748602894,0.09513939079513034,0.013447675748534893,0.04160755854536746,0.00011460828294218572,0.004956954516248224,5.370059485843015e-05,0.008093634685241602,0.00015584130469203927,0.0075759423177990115,0.0011796725971886524,0.01492217179820643,0.0004044468074251295
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1090976835249795,0.022889658463417284,0.012287784092659626,0.001639966902953871,0.00354788755303459,0.0008649414465768945,0.0019861287806013372,0.00011561505401780359,0.026763728356389738,0.004354159950648917,0.003698453375178934,0.0002659520258234682
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.625538380712179,4.101302112712029,0.11766797619770974,0.5516409133469682,0.036513412114097976,0.4973105053190204,0.02919869577046197,0.02092591193966642,0.0032226877802598447,0.0024041500230135987,0.00038093733021726806
N29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4191649123948934,0.026374521657889005,4.2870423902271595,0.11312518481172029,0.5374399048352752,0.030294650364922515,0.07131403002308564,0.013308004303406534,0.008886881892225237,0.0014570155249781225
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1257538232199353,0.6318898257033945,0.02970351190292919,3.3201384130850977,0.10915287764636639,0.004634077783315649,0.0014017363866748178,0.000893390777467945,0.00013134866069808293
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303629385266726,0.0008648961676258615,0.09776869201063398,0.004593033710593719,0.0001391190058832592,3.7313935821070565e-05,1.759948938273581e-05,4.960095158379474e-06
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000814319986087,3.5238323571429184,0.11715523225641189,0.006553522121662242,0.0026657314632896056,0.0013845061615208876,0.00019102728113173928
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10340655319165659,0.004670368299131367,9.590454647212532e-05,4.9141707662681e-05,1.831765970039534e-05,2.2953133436143247e-06
N34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9011797948222626,0.0034299664033040356,0.0007792821848585235,0.0006091869832368091,6.877433291352375e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003217420740205812,6.720078874711266e-05,5.963037252509906e-05,5.8861737501914035e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.682812987643007,3.568616180131043,0.17631929855581474
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5029360160586069,0.06593056628730087
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8446783757413505
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
