,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29N,30C,31H,32C,33H,34N,35H,36C,37O,38O,39H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970674491615386,1.0938545240284914,1.0991459613724248,2.527342786251323,2.781440296318158,2.7830182940242354,3.4959080499808715,3.7088243263721767,3.4086740294729254,5.0409601546012155,5.545521519763462,6.048589440974761,5.8720433281615865,6.522065035087657,7.376901425170044,5.816420164371337,7.164877183814781,8.047973954931722,7.367901153901833,7.128340261444827,8.680401105342574,9.530726044311908,8.350292515871415,8.88532585774402,7.312511900169432,7.538436609387498,8.362904329202037,9.125478756668079
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7670042469416536,1.7714163790388775,2.7085750167718268,2.5092824973444743,3.0235330218740493,3.739916197636496,4.56421076093864,4.044776885735938,5.891523209963578,6.485378449997655,6.7701265866701785,6.519462570016168,7.085198180937713,7.877728010571781,6.262065718903589,7.768068583664738,8.762406782133484,7.8685798505831155,7.493837293465323,9.369486373652979,10.265330135161213,8.92058422425456,9.409901832806051,8.11652936423056,8.445412481933545,9.084745325279062,9.896928595361334
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7823652794470188,3.4806893879069123,3.741434602399413,3.822137657994641,4.343108460867548,3.2089127016238304,2.7530712687298515,4.57142932764395,5.141121121343909,5.458731144833311,5.131332907289061,6.075900522708981,6.847988003622137,5.420387146676652,6.904354065144798,7.772554071169845,7.292821575708632,7.137592660404087,8.54942872265343,9.420555851645547,8.336801925471667,8.974468035789268,6.689632034210867,6.955362011134847,7.684113805271601,8.443906997668401
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8571955453138584,3.2406149774045763,2.6725054905970294,3.8536502240972186,4.30648784283579,4.2243244409664715,5.60156148843019,5.947453464221753,6.736401698778129,6.601625053940012,7.346925734177645,8.238108895127462,6.72789084710242,7.92082789622078,8.688169229471228,8.145930128127484,7.971079337533872,9.290132905673499,10.069563640580931,9.028494415126783,9.542496653549923,7.8810013549395235,7.954715208853056,9.007323536105396,9.704659182737418
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967344092107572,1.0985830488712143,1.0973860605135275,4.567721465067109,4.5708366762434345,5.580629084946496,5.968132365470122,6.666738695709549,6.854174336408732,6.725887380024921,7.706744136559942,5.9979434661289845,6.875290522496075,7.75534235063621,6.6257346459807875,6.2254615541069995,8.013078952608772,8.798309916380415,7.406259225357867,7.680081621139954,7.949031263835093,8.159644481700932,9.034333538888813,9.794042454195763
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.771227472095522,1.7726212022757133,5.2316779381216385,4.995797026470419,6.296455858278233,6.7985824488837165,7.246945629873275,7.333499562749542,7.178482157158677,8.086040512187411,6.332193672824249,7.412285264804964,8.413194973635756,7.089035592150028,6.547268746858167,8.678171880712535,9.518560777634226,7.963961870404773,8.206164026992733,8.618143047284853,8.94081075724804,9.619755326004213,10.43340755482455
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7705083874320324,5.164280142532292,5.293536159452716,6.193142791156228,6.452220756270912,7.395376045416023,7.5929393323811825,7.598884332283069,8.608022044897808,6.940455359256706,7.715226399793546,8.486285373633663,7.505237592565103,7.175971656459085,8.719101208751688,9.430826620571057,8.185687590559306,8.43558583417805,8.587970247330144,8.66819016789811,9.74471193630025,10.45320421536211
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.741791426053627,4.883707729262101,5.537330558645714,5.863985349565747,6.599258780026023,6.943633245930575,6.496271853675772,7.505200610207988,5.821864529439354,6.417009739636295,7.254928558690448,5.9989488210117,5.579180359357218,7.353609432169232,8.09783244776691,6.659771588021912,6.831800930931088,7.837318821654988,8.043479867963624,8.90947816281508,9.648745439313368
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2316192515462978,1.3631522381628005,2.0572077137864455,2.452762046163279,2.5633212297613728,3.319462657653436,4.219013518806796,3.100770738129021,4.041694341743247,4.690642245365553,4.761112602934383,5.000025743440253,5.59424361213083,6.427734606334159,5.676779752995138,6.478646209001355,3.6179142415155217,3.8973391042373846,4.739671919861393,5.460002215543533
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.271853998552997,3.159746455318568,2.7879860632573803,2.4878697050537806,3.38139822610402,4.119744333687777,2.8538083024152705,4.39577742086125,5.291465549700471,5.047907562495456,5.0893557988116775,6.237347693119042,7.168466689466182,6.165252159311675,6.96066180545983,4.159023458347712,4.6960703958989045,5.046908597685328,5.878431947835465
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012007517039303,1.4499598800829006,2.072079594573627,2.514105217955902,3.4205527961792286,2.7495641029669313,3.0720641223312146,3.4745459619108487,4.031472630480769,4.537195713221612,4.477025093417418,5.261909032070823,4.795392687162008,5.682628862020185,2.3988588877081427,2.6797672204983574,3.605434106338378,4.26828103654301
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0947977347951965,2.8372035339803188,3.196464866667486,4.069250947509602,3.6164848789559443,3.415369925428446,3.433028028127886,4.371775654610122,5.019825400790627,4.345964525182937,4.961291349664884,4.865783471734377,5.724784118351662,2.4171091551433923,2.224040518914774,3.749610039745354,4.211705261345512
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989936569567411,1.5478574007573045,2.148979596696036,2.139950781437213,2.5609910428614886,3.0264823250171027,3.78974808888387,4.35967492752556,4.251952046077015,5.098683237646016,4.655117164175564,5.633710682526416,1.525531297705898,2.430224632825558,2.382705515363224,3.2130901919553274
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1338206276318523,2.407564258985567,2.3940609559653447,3.4611748944131238,4.0532007291958365,4.624862810086538,5.040794379249418,5.292787238415008,6.159012025939459,5.6200407318360455,6.589102147765105,2.12775712557813,3.054068629755767,2.6639924592769106,3.536038333738257
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976895754571174,1.0945948746106808,1.4999799652295969,2.5141827859925523,2.5915132927543847,3.0620997520204134,3.5840748158067934,4.586833424146471,3.667777400123993,4.61781135424574,2.5736547611702014,3.5954590798964587,2.9021898908017865,3.794586367108587
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764889588071972,2.1453210951863393,2.946794869513143,3.1853622954119376,3.623082604556999,4.033597389307127,4.979414113274566,4.189556646974127,5.125985164761881,2.790138524192447,3.9548322979332786,2.5806943790354953,3.488351923874277
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1412519399489534,3.3966972066583723,2.756199619624039,2.833596551670052,4.283018915002878,5.339967269880002,4.048024664924903,4.889927199161053,3.480100820602103,4.459196220356042,3.8741425110773795,4.805591115790157
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.382132717241787,1.3747621805274846,2.2485736932842926,2.152827299443623,3.207347821440706,2.194586717078565,3.1752073007301287,3.1315661871494758,3.8621995332115846,3.5252089234108497,4.1986637219039595
29N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2571434119162226,3.3195195276684357,1.3151092758439398,2.1384168741012872,2.2156167137150393,3.1838251350127242,2.916154669891219,3.3351303782273107,3.285876438884914,3.6639089551152897
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079723536704463,2.2104810502083607,3.2448455943308563,1.381799123276467,2.139587390734343,4.488830007078628,5.13590182088028,4.8791404587544625,5.528062583916064
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.238220245618123,4.2249823339368895,2.158995906171642,2.5543442930844336,5.2910041080169945,6.010211832364976,5.670940733312124,6.402050707207848
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0821452055908118,1.3649989946216377,2.1276353496205735,4.194996453590429,4.453781401008094,4.551061291630701,4.830543683018821
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1498980419542755,2.550836198059816,4.795782736003619,4.845120656544872,5.114226815616944,5.203991279206761
34N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097765098522984,5.002902686284572,5.4226844565553005,5.383336711864188,5.835829225142775
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.000964993606849,6.369619221561843,6.378945600858577,6.802473159765017
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2130852885295769,1.3472854531874048,1.8709072709383274
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2540191757086507,2.2876747473086296
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9757956535268072
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
