 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,N27,C28,H29,C30,H31,N32,H33,C34,O35,O36,H37
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.064855602706424,0.6130298590524882,0.029397430898925103,3.3952317520379616,0.10729396141900172,0.004611901627029652,0.0017990251301268356,0.02690036769804688,0.07356756678105691,0.00269596795059035,0.0005688069946807595,0.00022206401732766112,5.646067566944524e-05,2.1608413369733626e-05,2.273983590703188e-05,5.657546303133865e-06,1.1547315831056393e-05,2.9112965442834593e-06,4.7720037380516445e-06,1.6836038829737277e-07,2.160996239092272e-06,9.016968527397751e-08,0.002839912922773996,0.01589431401286702,0.0010243206881104944,7.677245469839278e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03007289587572104,0.0008756421911799706,0.0988903666444223,0.00458346301360435,0.00011758913467940779,5.734153953096399e-05,0.0009677945274861877,0.003023770972023554,0.0001278800399295843,2.335887701265804e-05,1.1591496233975818e-05,3.574088376145923e-06,1.8133198425029917e-06,1.422022197994366e-06,2.7406925062756216e-07,7.5787843134556e-07,2.373061676053112e-07,3.052018184845906e-07,9.157931746273107e-09,9.582446969247371e-08,1.2383807090898813e-08,0.0032461272417854126,0.026248332068141256,0.001167062103727523,3.435310323585128e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0161124338746172,3.5452581688586204,0.11549815129097085,0.0012640654911356963,0.0007011449738492659,0.0057405496453534904,0.009565629243905582,0.0005932950813888893,0.00018513195086922174,3.5377013982693106e-05,1.3820358234939434e-05,5.264763495493874e-06,5.106530015702715e-06,1.0403476799064615e-06,5.705272708989018e-06,4.13675140165104e-06,1.8905516801781541e-06,1.3308911306353366e-08,1.0907493696588055e-06,5.044002793219704e-08,0.00025087468266479784,0.0007952825209514985,7.546609766842516e-05,1.593119948928301e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10396350288300282,0.004640086882292005,1.1166491305392157e-05,3.6400433912620045e-06,1.0559312498381601e-05,3.542778477028108e-05,2.9181508907072384e-06,1.0617487933295422e-07,6.037896729260694e-07,1.0348369805512903e-07,1.3263272302665996e-07,4.5665038639342015e-08,1.8289006087357507e-08,3.1096217600889986e-08,2.2191299908769224e-09,1.2226040180252085e-08,3.2665248284047266e-10,4.087763127991195e-09,1.4880763288260823e-11,6.1259845121064416e-06,2.3160588604964616e-05,1.9301034956953345e-06,4.4622223316359566e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7299512756003668,0.0008914659651498846,0.0003342786653694474,0.002520212102163688,0.0035252525679523306,0.0004123996311595213,6.731755552791263e-05,5.633570176259706e-05,3.2133677457357734e-05,2.4459438907609155e-06,3.7255348058762294e-06,9.992373498218798e-07,2.068211153311017e-06,1.0414099105293673e-06,8.169545745728701e-07,3.768313439067583e-08,3.9984287257543993e-07,2.1201393640701838e-08,0.00028567343023619407,0.001370557975551287,0.00011644316790911102,1.417138252224337e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.682608664754781e-05,7.253823747443988e-06,2.0857105477389837e-05,6.983428341200693e-05,2.609069417291998e-06,5.693393276828829e-07,5.034843161277891e-07,3.498901595122561e-07,4.2639392905385876e-08,8.44993423010365e-08,1.24179493354859e-08,1.3573800106136957e-07,6.36499102313337e-08,1.547671846235943e-08,2.1456636467576118e-10,2.0005295642278043e-08,5.976477090996468e-10,4.380373303969343e-06,2.1592045660101533e-05,1.8745376606510433e-06,1.4343306475872453e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.737085542704328,3.52089421264754,0.13626696045965148,0.27098731545666643,0.02650909263059753,0.033986404982284,0.0008638011526544975,0.004378976508279342,0.004004224205105905,0.0007020559298153706,0.013600667810131112,0.014838702322967912,0.0014294189044426198,3.605163597009131e-05,0.0013938774606359894,3.63458944796502e-05,0.032917904045309976,0.004030220674338253,0.006050247139881504,0.0014076401727721732
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5380876569130423,0.024176192121984963,0.07000578827259399,0.05534527658922028,0.010552094488839411,0.0012465435608984832,0.0016462825479062193,0.0034247026861560087,0.0005523124773849919,0.02727945946831531,0.05743075337439929,0.0007494003468689059,8.461297766215736e-05,0.002724172478475298,7.211906240323085e-05,0.011719694903804534,0.0027781257181456465,0.0018896129378736387,0.00044264767040624875
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8192705231121549,2.8626325453483124,0.10016549577969047,0.18227784469802577,0.008601878705483346,0.026189884115421225,0.015634235581269362,0.0023959175525583576,0.006958553620585756,0.002308579341285144,0.0017151634612890682,3.201771161664979e-05,0.0009144812623432252,2.1001191574443467e-05,0.19869450090308455,0.03722929802217538,0.028985381076726352,0.005067551839566531
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09754486284942365,0.029451495839683206,0.0049512231029607,0.0025345636678872907,5.600135938665929e-05,0.00024220138542374592,5.080980260052659e-05,0.00013857455925925244,5.7586234853523877e-05,7.010886135938588e-05,3.7424792043161403e-07,2.653801688878854e-05,2.29186487232802e-06,0.01242898189994901,0.021239053999316915,0.0017428506531731447,8.032682609693254e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9535582352635454,2.4438515912034724,0.085824534404501,0.09364418466240365,0.1714294429903711,0.028144096147187797,0.021541799358028357,0.003079388879808631,0.00680148264269298,0.0010472439726110228,0.0038336272736844423,0.00027118434904271904,2.6658139828731033,0.27362926769943163,0.2178003575326018,0.05363542216441697
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08223163281543766,0.03268760174886198,0.0029333007710905523,0.011045912721542317,0.0010160616347051343,0.008538111248825975,0.0036329657033775664,0.001154843835953101,6.794139080845696e-05,0.0008569619036807863,8.683119782149085e-05,0.1103300707883903,0.027682085636544507,0.011691479834111007,0.0008085608213557194
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.984558795740741,2.0250143295089384,2.7610568338282855,0.20449515910729224,0.22671179324648857,0.00346566945674609,0.04474353331228999,0.0023730270725810243,0.04346220461875473,0.002606451638000662,0.2058161119806,0.04149832729727761,0.03112318106839798,0.0021132827515331076
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023900557887249763,0.10314931704033903,0.014380448378227939,0.037043669752930164,0.0002468316673340798,0.004158126512147531,6.114892035724573e-05,0.006281455242096112,0.0004524044660887405,0.008370154619091297,0.0014653300727177632,0.0008660428614198912,0.00016763820741938495
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09882111552158923,0.012898781631855316,0.041298932723082826,0.00012171556974927,0.0043432739551547694,3.719113194544654e-05,0.007898972111588298,0.00019107627812364747,0.014197370372124762,0.0024301505925545808,0.015254931155147533,0.0002692939990824872
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.369410266802534,3.750390176594213,0.1195324932624422,0.5444545901397144,0.036806767138576335,0.4957400889446487,0.029588551983850353,0.02894740207833263,0.0074335888245819215,0.004626503022775591,0.00047833614815173675
N27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41347842675339974,0.025350356355844372,3.96166296108902,0.1100223594630283,0.5343578216465104,0.030349583848171546,0.005493745558113439,0.0017037925426025835,0.0008198462002359103,9.874550021138351e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9634823396808898,0.6271145244012879,0.029262732722953766,3.3666496050434414,0.10778237153945502,0.0034630378089931524,0.0014460439453011509,0.0009767299722927697,0.0002205540469700784
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029311135933477894,0.0008898414064308913,0.0986395674751871,0.004622750932987252,0.0003325841430978915,0.000188016865417584,8.407844263280673e-05,8.901162063645884e-06
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9419404562133662,3.563147966709283,0.11592022202991703,0.0016520222121693962,0.0005222539879681798,0.0002663299973907768,4.979788056680423e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10269307646712378,0.004620142358074508,0.000282602718841396,9.276763677512623e-05,2.93900669967595e-05,5.554199332680199e-06
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.629919201107744,0.000570146012855266,0.00019153494978174646,0.00022197481156044363,4.8048433527680956e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.032539042702176e-05,4.562488193360359e-06,5.661372203591419e-06,9.068251749511091e-08
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293632296707706,3.4093503371911207,0.16883950674782566
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5176422879942721,0.06748135700965363
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.675486420256862
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
