,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27N,28C,29H,30C,31H,32N,33H,34C,35O,36O,37H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0796736260908675,2.2112325211914006,3.245112987231872,1.3815309302355,2.13827317683917,4.0387520164297,5.228630709974947,3.417437084375003,2.4630317883844826,4.382768087139379,5.249210323710106,5.097898660166684,4.576230893116251,5.876409895200289,5.981280600219634,6.825327978775866,6.488019780914237,6.396353069451759,7.675512074415646,8.55986205280104,7.542910772934198,8.242206492451666,4.2234102287764905,3.388771027985486,5.525609814504232,5.667577476502891
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.240525556578277,4.227305635512908,2.1623143515663745,2.557847075154915,4.2246417387900745,5.313272970688854,3.4890246157581815,2.6431849426391425,4.182026265901351,5.027395054751733,5.024587707311371,4.574502244598244,5.647842226936221,6.114586960702138,7.039705606317351,6.692003567980202,6.568544235492707,7.9843360079800965,8.919463513154557,7.8517412860257965,8.598180736561908,3.663930446238365,2.640223097684478,4.877355705109813,4.8760398092842525
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823595721876558,1.3664078486325424,2.1303211226534233,5.037356972189145,6.260068915151386,4.55025547044894,3.6201365541229173,5.658581393733599,6.555832867726579,5.94441323727974,5.234360716170574,6.860215340471077,6.439949418599887,6.950157901747702,6.9135563497976635,6.998075080445605,7.633926822687867,8.325592658032294,7.649452727505301,8.271058826132712,5.908145793819126,5.292446388030581,7.220131711868031,7.492753590074129
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1500093064904124,2.5524305620280554,5.942567938033706,7.145345708497721,5.440944641214686,4.5371112202333945,6.498248528593879,7.417936930769361,6.591214703426668,5.794778761741549,7.498480991123688,6.974944514628981,7.299268805935389,7.486150935396375,7.672415843458233,7.936784674559189,8.514955352191206,8.07215011032202,8.675361889236658,6.802500387177705,6.222483478873094,8.08407785580316,8.363504054637469
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009893104082122,5.035447769003365,6.258278101692125,4.306910362585321,3.295459519802916,5.205699822419984,6.17411028843512,5.5716698088959005,4.823249008825239,6.35238326555944,6.367237119707783,6.966717406313917,7.00767986817663,7.093448893925167,7.83565717082799,8.605831116811588,7.900032788611213,8.625892306433313,5.120564026764363,4.327810108154024,6.383067359756418,6.515728500301773
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.850712300903514,7.0527746819977954,4.975441245068275,3.9673257042611962,5.6741538118714905,6.7001345169273785,5.898113729698828,5.043167927679026,6.561381571801527,6.797442814600173,7.293382323673276,7.586143742078655,7.76200418048816,8.257509277331586,8.990053955865179,8.458436661588221,9.243265430707273,5.410017785078216,4.5514874074669915,6.574150065309905,6.600788654695662
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2325781631277972,1.36456931991321,2.0517259590979844,2.4695184761684303,2.506294442865867,3.5846381978541246,3.9815737726664735,4.477536155920465,3.787006531272922,5.040740403481445,3.4712948887629858,2.8560117298632814,5.425742255353727,6.442208464724699,4.665315558723306,5.119672970855973,3.486218467889505,3.817106935409161,4.53572502504199,5.23995415038646
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277097170944915,3.1644148073966925,2.8176379218817624,2.3383688209156466,3.9148733472797073,4.582410587468646,4.653662283850386,3.8990779406997977,5.201841194345139,3.2485328312558144,2.3430007868652964,5.407592109660783,6.424667592276747,4.428670832748941,4.739100214352633,3.909016144465204,4.486926707198849,4.670330127893414,5.451239595510121
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0143550184147216,1.4498421982117895,2.054606056494617,2.5065575546268395,2.737013305169143,3.4189426491259702,3.11621452136108,4.337780708907775,3.3220347518524824,3.081961128802549,5.023078348904323,6.0591077641560975,4.580458336922481,5.2652719390801375,2.4321829425702393,2.770636944434489,3.6112497004128215,4.296681973800394
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.116737326607034,2.953216741783702,2.9202012368173405,2.7575522724418935,3.836275236139124,3.673576816454762,4.722130378531067,4.082439598912785,3.980863984238635,5.508736085186491,6.489479846093205,5.239072681455088,5.960527773621757,2.655591039071965,2.57792158005436,3.9721410765856517,4.499124548924604
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938438380043143,1.548354384712719,2.1732242737983714,2.1599413597389874,2.5642670155616414,3.8420423084929936,3.0568730376186055,2.98440684642349,4.695495719629883,5.7605725186741275,4.386262600793684,5.186527207629621,1.5276024490317712,2.444549805571172,2.381218909696855,3.2164060274878805
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172029871326632,3.07241737459021,2.545212737503357,2.7645367298983916,4.12156931042388,2.8464045567207137,2.503826676964579,4.763878151275327,5.841649695043955,4.213393997889405,4.893611293133741,2.1362984862374987,3.175976024407807,2.5484996774998985,3.4634926201010945
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0984973959831805,1.0976568309115287,1.5027587621214786,2.4959561625973063,2.609191275033793,3.088574378778934,3.5723869744042895,4.571811820089972,3.670970900235265,4.6234031286578094,2.51121802212963,3.3999702457723955,2.989937410573238,3.821911381429063
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7552986519549991,2.1320714703149983,2.7063801070498914,3.3568928863981053,3.920467931892299,3.9092141087877876,4.8020364714342065,4.249893476181208,5.225870135851721,2.7929169375270013,3.343099253099226,3.4672708802423107,4.12129462662795
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1364260838612474,2.8488859427878075,3.239558662666481,3.738415514710362,3.9692176551095057,4.893646980503827,4.19384091708528,5.146205804582356,2.6349711658111103,3.638511311010368,2.5939935034595045,3.3904835161862423
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3831112892412956,1.3759442843480945,2.249445066332535,2.1483230269962457,3.2034318894039813,2.18971422101745,3.1697908253039455,3.8744064502294715,4.779915396607243,4.300603288979984,5.203964954661848
27N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2645333642668684,3.3266204886071966,1.3146537936781717,2.137282779675837,2.217556286721192,3.1858729115033375,5.005926553065956,5.844545494802255,5.3441603496001004,6.187875725746448
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0805774185296977,2.2132044264759343,3.2470479954827045,1.3814187952534944,2.136098287179833,4.5386766134914325,5.472388863593421,4.980670317523662,5.938701632560682
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2434003352490364,4.230148679959631,2.164107292930201,2.5567409971767545,4.4623941540622765,5.376276573571305,4.941293500725948,5.896170105154184
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823271069571658,1.3655857467903045,2.1294175230098826,6.018250629782203,6.8957713479145255,6.359251936314743,7.258755983080364
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1501240182190307,2.55293728033513,7.052156668591309,7.909429329291714,7.360691730308913,8.242012037311634
32N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0096882152205335,5.844698659179218,6.763557054235967,6.231621807365905,7.185734142330972
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.674548490043437,7.592030512563746,7.059332932146932,8.026278023203062
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2132415134001862,1.3511505672656623,1.8787895857010688
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2510984941750216,2.285457685568203
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765682140066578
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
