,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36C,37O,38O,39C,40O,41O,42H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1148607501599175,2.406881313281705,2.468898782197374,3.418794264127461,3.8328907603748226,4.389690901821664,4.544573005241668,3.9496418110926816,5.51752076208019,5.634065846898962,5.791338557248636,6.2212860165257355,4.199355534644936,4.878593721447474,4.625133963765801,4.638023716405839,5.987111523393902,6.45631558133839,6.969133815642511,6.778349332781778,7.935499661977775,7.289569360052833,8.17682904598743,7.718149081337061,6.311252548560168,6.580483909499548,5.581372853905792,6.248435918264276,5.651123714873875,7.539611663454581,7.801242620326191
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096288566044364,1.0943603390046974,1.4686946016139844,2.1492625676115127,2.4947299652136343,2.9112503900137368,2.730086103917261,3.9198741093357032,3.710888749217333,3.9047779580233866,4.442353819073769,3.6418354650452667,3.929697940910456,4.055739951933946,4.512870077991978,5.121783944079653,5.455487594060347,6.418914250712905,6.399926649678734,7.208664005229651,7.047279355498717,8.03429401542227,7.339499618355301,6.475186765784122,6.869763847772623,5.938937922158172,5.011559106229486,4.160233651903095,6.2900725393965775,6.396792630639885
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7558000651750156,2.069934594711864,2.458743588403564,3.226353528832031,3.7742760612705277,3.7186040404711953,4.759948044223884,4.2774557287174,4.307355649951081,5.136484329339208,4.47365882440514,4.85279916181544,4.6210303409247855,4.988068211114367,5.603116502748629,6.075816002616848,6.829225987337,6.665659260642727,7.579776267266112,7.603329159096456,8.530425347830922,8.002601503566748,7.076222403638791,7.600626820592667,6.394971843568754,5.270010352614746,4.304726446709537,6.4609255450948435,6.442916492852976
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082477407637935,2.9978691540785305,2.6160044151562216,2.5154944577375775,2.206117852577774,3.4908473630589083,3.929402761167832,4.361947907464737,4.589745234800545,4.282363581255675,4.347307382060148,4.924275908632053,5.433204664515419,5.973199184560332,6.162531288398841,7.3293646465964235,7.39290938726565,8.104877005538258,7.877470517751024,8.899362916526108,8.069565627484907,7.269823089604077,7.526885242573577,6.822069429989319,5.886346701022247,5.006623430631134,7.16087770664276,7.241761417655688
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0241272617364523,1.3249504183111909,2.3409532203182213,2.6147234254929455,3.2240243639084434,2.3194602729537905,2.438891965737603,3.1102536544199784,3.066251725136511,3.074807280611768,3.3890095139633356,4.12393360643987,4.139946029225329,4.347777395421429,5.58376747190403,5.723959815640807,6.234182979741642,6.358486727789077,7.376601749435033,6.544672743470368,6.090121136991391,6.555021417417897,5.741171797399597,3.8571979951616924,2.958186058993108,5.106601437155226,5.188411233586891
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.982528117015799,3.2161405886703864,3.5412226890362106,3.9933163668741614,2.465498671188294,2.1523448421092004,3.2606354399804243,2.9012753604074506,3.095990742826729,2.8066760035846148,3.5400430371845317,3.395162709008025,3.7733018756587815,4.792225434595547,4.864268788748379,5.399747118572691,5.727469074096342,6.694838498038501,6.00648077665952,5.603696319445011,6.235157818842527,5.206009538429147,2.9457034854958364,2.0212187852692947,4.183195709083901,4.266364217639915
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3539883066510197,2.0297038545671553,2.0197225734676434,1.3568097601415188,1.9980663245924464,1.996882725587301,3.2600440147785803,2.7400139110612676,3.860493012381232,4.762603317789318,4.376423478024684,4.247601788790777,5.912769697636116,6.277595426127851,6.452858147650398,6.601198630512231,7.6662594895499385,6.568086765453858,6.4694433985592665,6.783651878915224,6.370087263950651,4.146425897820447,3.355566181765449,5.315801464867834,5.406486309621764
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0114084425964305,1.0112188588566635,2.3243936967732552,3.210054201540422,2.568318602273277,3.892916319026027,3.2231167639419422,4.805925910886037,5.650653126939755,5.451011717327628,5.188047334969492,6.959071318604741,7.381452543330791,7.54455151578626,7.444019757015855,8.53594554676516,7.305162442838282,7.1624381967766455,7.265464671725541,7.139814097830561,5.415749371242028,4.6978825946422,6.58808805670172,6.715599417201977
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7021864044606605,3.181189949338154,3.978725999383887,3.3678748019988394,3.7415087114209116,3.237797481714002,4.806523452834283,5.527421016104887,5.672375384471388,5.4623262315018,7.104964611185947,7.4853470148134384,7.803556438292141,7.4295574092451195,8.520062037937642,7.320231322483044,6.943487841437784,6.939108264661271,6.888931924139787,5.848933784877789,5.208288272990853,7.097459443383962,7.3153931301381
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4648291115476493,3.4679921905336277,2.371428429826997,4.426534781103502,3.5227688037490057,5.385259935892136,6.290139386203293,5.856467739453698,5.415506664449476,7.362412153611195,7.901327888316077,7.857472277195988,7.798526226191192,8.891639975300599,7.524607142233915,7.628831007259603,7.650363047643866,7.751616250658515,5.832866749326238,5.19806404796053,6.909691007568721,7.034308443883671
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0187766108169571,1.0145777163084746,3.7121414297954325,2.980902598520101,4.0769254634164955,5.08846671983566,4.121229045695439,3.82224327932493,5.66015462870251,6.149362743358164,5.982283818504384,6.4851520852011895,7.513771432869167,6.350840222422494,6.674086283245928,7.059788048008638,6.717156420583425,3.650380266129494,2.937629949620768,4.603534276029061,4.613929819072207
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6882058409549339,3.6891474428930464,3.1816010315954015,3.699503518570218,4.692133781915471,3.527675436202631,3.3841385466360743,5.022564870241708,5.447590600868943,5.267599843847759,6.030190760098332,7.001604755210426,5.996929407966837,6.359403532221803,6.908014271096882,6.339817640317263,2.7796667378002367,2.0096617739619687,3.667047799985722,3.6161931187181304
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.743489140336893,2.7519141611362214,4.25409186760362,5.294234903202143,4.167225212765492,3.607712885563143,5.657190487572226,6.304617408827339,5.920325560739232,6.326652890454349,7.360542572986048,6.024195382524516,6.592463938542021,6.851559841721983,6.826347748498271,3.9322636127654644,3.50342562255019,4.797357676784271,4.926274752841232
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2422472295279732,1.3627354356330699,2.029690059167656,2.45682821150602,2.5068635369531655,3.5782098194227134,3.987886476560286,4.454081008811568,3.7348401382260525,4.80852675832574,3.8139146823781567,3.2752569907211813,3.5445271683270256,3.33653916491046,3.4131815752135886,3.5405944102680653,4.645646979398255,5.274617961435225
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2959336162699717,3.1587910089419315,2.846926057890119,2.4254731363798228,4.142385930341404,4.766816120480611,4.814198399611758,4.3234158595908765,5.421729501653845,4.108512760685035,4.143725045697359,4.241565730350303,4.443631600171542,3.610959724840859,3.6655648952202076,4.772258795644426,5.338514040445331
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.048042922276753,1.4570015555182796,2.07958668975122,2.4742963023654903,2.709757348812031,3.400429691578487,3.0150323373301444,4.014259985938288,3.4019414335194087,2.8210711844551914,3.553378151419248,2.65203700427051,2.450888332378298,2.8201929956654834,3.6236567361706764,4.304873227120741
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0782851135647635,2.8518114259388025,2.4392976617300697,2.3574240073816313,3.503901771486007,2.7452643224499877,3.6068523317482692,3.3994384395019113,2.2068245706785574,3.103174028684238,1.6880929925024317,3.127836982645048,3.5777577769874886,4.145615557472203,4.865803045068969
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1027983208189822,1.5517818329013178,2.166049567734683,2.1600914898230483,2.57859193596377,3.503492155235737,2.8453802526091225,3.1646033335914656,4.008897284445724,3.3039224534687976,1.5251844160767123,2.4560927957812577,2.400656496249114,3.230903588783523
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18049360323868,3.0748470626204956,2.5177589861188157,2.8062395477660105,3.78230877118113,2.62783134433245,3.5077898307949495,4.072481732654914,3.968885356238327,2.09441871661758,2.92840632537749,2.8062690927560836,3.611532884524336
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959900658857964,1.0949681613255813,1.5379657941208518,2.1449210430398398,2.1870508805967934,2.604686365294983,3.6523484894077445,2.846745221060719,2.5763492810329267,3.6959434007660104,2.806257924323035,3.7527500723988236
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7699885759976128,2.153542430735851,2.4713606320917347,3.0752827760975294,2.8125095230656374,4.022675907511652,2.5854292991316483,2.8510524568953235,3.8263350160527754,3.065186133009794,3.8906825335454402
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17844173990572,2.452733581804046,2.5413607423284863,3.545446767896498,4.506617154478254,3.8897370602831876,2.7399506998658723,3.961764053242466,2.4423316091012732,3.3887739774041035
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0987442234941387,1.0968903686071487,1.5627157873114723,2.39356271434726,2.4082982785892053,3.943425086547387,4.990020463345258,4.274288475538929,5.239945120051947
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7622039891894479,2.1714421923941702,2.930125877472552,2.891074459380932,4.712992511339361,5.820469986575634,4.808348731264744,5.762563623090123
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.176798793043671,2.497321545417285,3.2684350935178896,4.234951854351866,5.281144031664508,4.543450842622517,5.512907826709802
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2469000361233464,1.2774490930257751,4.603829684906697,5.404063835872775,5.270021289707318,6.177302671273352
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2681484853794993,5.514433749615608,6.256199781416858,6.242302053449208,7.158251972257096
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.515143290059545,5.154555318592303,5.26782032587382,6.081205704589153
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2294323181603264,1.3394448846821796,1.8737095832181936
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.229845662714591,2.249331683686392
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9773983569435744
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
