 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,S31,H32,C33,O34,O35,H36
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08800163972154151,0.009534800189576753,0.02965492743181075,0.00546096210075131,0.0029861096360312978,0.00010199162374857629,0.0006847055287565462,0.00013364206821275815,0.0006363422473549818,5.189026910690231e-05,0.0014955633902968835,0.00044269407468355837,0.000569674161788436,7.53107093431904e-05,9.501832911618102e-05,5.376494333741988e-05,6.055641453173166e-06,1.3789545922904267e-06,4.28868903501467e-07,3.938987306328912e-06,2.0996735949907475e-07,8.149729360384939e-05,0.00016841978267856383,1.4613408591990229e-05,3.767628056206007e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0769322849280125,1.9967569519341373,2.878908441926594,0.08180506402817211,0.08897506918498532,0.16082843132867702,0.010892051742291686,0.006047393433944115,0.024510266966686567,0.011995432479281976,0.012788937608348719,0.0016080160485923423,7.830857434609761e-05,0.0002486570061776827,9.708708416478196e-05,8.118813079886766e-05,3.0069418548439586e-06,1.303904841265524e-05,0.0002566403412339324,3.222589987394997e-05,0.0020841406646855964,0.006180233026524928,0.0007465934638096194,2.1846925996826805e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027473639917825476,0.114452136998066,0.0026133035111322034,0.005622435829411465,0.031940147346129044,0.0005561905047613003,0.0005368251914552591,0.0018809459588304822,0.0005881697275560427,0.00022368568278630097,0.00033537606817701793,2.2112969111365288e-05,3.17912957699118e-05,4.576612968820726e-06,1.4794706004073177e-05,2.563216929818424e-07,8.072837227590668e-07,8.991804133440251e-05,1.1275864679305414e-05,0.0001230229554840534,0.00025607357713197665,3.461875041255169e-05,4.188023827955689e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09620684528310974,0.03287757904500377,0.003854244825756137,0.009255255512198524,0.005234359023985613,0.00011094754386609118,0.0007429626925523625,0.019577082008578772,0.023963309262433508,0.0018262192869190619,3.505097522893408e-05,0.00020098780226684987,4.157351191658165e-05,0.00011613081448025309,1.9402187494410583e-06,1.198781527045334e-05,2.993139033213854e-05,3.126772156525348e-06,0.0031708203546947367,0.012606941832198904,0.001210949667876271,1.3542423297208117e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0460225642718446,1.8446051399447199,2.7066142335551295,0.07440947897256955,0.07912206940722255,0.07758130755646375,0.0012228816599498815,0.001305217198753747,0.0005349806042717342,1.71437603951885e-05,0.00016940712499621813,5.180177419850107e-05,0.00033294179785875455,2.0471517438114262e-05,2.8031813232298752e-05,0.003502238256969728,0.0005598664725487978,0.0015684800012294164,0.007191120388223102,0.0004301033511812796,4.14168883570154e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026676066734699244,0.0891314028175102,0.020968829383178678,0.005200988388946781,0.0038388139958782652,0.00035626731447879756,0.00031344250585707556,4.0034558174584234e-05,1.6006892835651598e-06,3.525427092454514e-05,3.538945723358111e-06,1.1826333264908229e-05,3.0650908500184926e-07,3.35040817311949e-07,0.00024090092065520707,5.429677291957091e-05,0.0003308041251568472,0.0016980410004751034,0.00010482668324818256,2.346016553711472e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09699725334346798,0.00416311080404963,0.027123234531112317,0.005578659693007193,3.103337951326779e-05,2.6353745266383122e-05,6.908687333018193e-05,1.4393552483227268e-06,2.8769675000428485e-05,8.35798435971924e-06,3.467230790388243e-05,3.330315792915428e-06,1.8332944939913887e-07,0.00037931794006751396,5.744413615027533e-05,8.137127045748649e-05,0.0003695244367699635,1.4630664233794555e-05,2.7174924788209154e-06
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6745298112987705,1.7437762875228984,1.9653585423216755,0.0006326316719894587,0.0005718256978569369,0.004255790746556784,5.6155079593112056e-05,0.001035641741900739,0.00023868215078437505,0.0013174358556704985,0.0001763375814158863,0.00015956779455406078,0.017365160506699805,0.0012663408074009563,0.01777091582069984,0.1290718695161573,0.0058739439115217534,0.000465648210124181
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03354205466275384,0.03333332005395673,0.0009968283588037696,0.0005315638724286975,0.005760223824497812,1.5726512815783522e-05,0.00127386605600599,0.0005739880208683878,0.0005970609086807244,8.806371528002899e-06,7.59150238454076e-05,0.010665338247923373,0.0002776128999537608,0.03712351107201606,0.3480885129300484,0.008451147058302189,0.0002016033143901197
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297597056035126,0.00047496294896098856,0.0003461960783913698,0.004278071765236979,0.0001783218969630962,0.000377034812791055,0.00014470499367402745,0.0012645129987272075,0.000588154343770908,1.3168826154652535e-05,0.01912706903304706,0.00043235257093887647,0.00034695663387374065,0.0015544487040529686,8.902787679188062e-05,6.449156095600372e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.676858059506685e-05,4.647840785121371e-05,0.00034677916627157135,7.452753018943881e-06,7.156391765039682e-05,9.211805871434109e-06,0.00020548791422958512,8.647173444398248e-06,0.00010205002360952342,0.00200145202457902,8.661696061973423e-05,0.00038595671774188656,0.0012679251840308492,0.00011418459170831063,2.0690880594198546e-05
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8042142316004846,3.439265850975886,0.13397206557812202,0.26588717783913396,0.024602480481452194,0.03149322027229115,0.004322830185327753,0.0006553518065395281,0.007436679555120063,0.0006962471732729902,0.041647878501780644,0.00818673236860934,0.005219902366229406,0.00030301738719373805
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394481291566003,0.03033872883476385,0.0777737503176121,0.018606997878436227,0.010927952199286176,0.0012833559360964086,0.0006593526311879927,0.005568802815718608,0.0010871320009040453,0.09119565077551722,0.018651396034787868,0.008972745079893249,0.0002747966928211554
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8497573096723872,2.7335875559459546,0.09672464471691644,0.168369457389197,0.024008495754743953,0.007183098136843924,0.053420669718916125,0.004623372893178379,0.1867087463879511,0.02742219420189715,0.030286853408659886,0.005066341400976726
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09833193819007413,0.004225682904374306,0.01710719721276588,0.0007597771403917708,0.0032328602202249535,0.020632336423826447,0.0002752175423035297,0.01960833058509215,0.0011696659362475659,0.003608844854690485,0.0014208945267399908
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9644869022634999,2.789736992560856,0.09883702116390225,0.10182898773331761,0.15993038557231976,0.020524666431651184,2.381344702211243,0.2528567916448229,0.23818925869811636,0.05349850065917905
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09295435913228633,0.0035245531657219775,0.006558519794198636,0.04066009434977291,0.0008705739560779246,0.11391515215951786,0.02139667944466328,0.01864962966776762,0.0015064979331724793
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8852122236206568,1.6800746222773055,2.7720591523634632,0.0519475751545273,0.18800054324486917,0.0375676283794633,0.02860543141954515,0.0020627571834808123
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027153118033622414,0.08858782202937499,0.0019425504212013944,0.010147280572162298,0.0014439671988500935,0.004794586667393408,0.00015930816198261866
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08608515368728842,0.005047675910144767,0.029459133777011592,0.005421061592071008,0.0032908930570976214,0.0006487442256954967
S31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133141793257946,0.029338987298068664,0.03117365922332467,0.004275347203608226,0.0002152586156012326
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002458052382945608,0.0035785421519654026,0.0008607145000036898,2.9040210358433072e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.068711172786937,3.6423282751810584,0.1743693029719381
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995008711555249,0.054472341690120274
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4748183171760978
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
