,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31S,32H,33C,34O,35O,36H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158266016407365,2.3995575419379054,3.0658476035515747,2.91553948791402,2.737447843989151,3.850510825545858,3.703375360103126,4.233329754063505,3.4047155104805773,4.518916838548231,4.14733644035775,4.753001971035176,4.640571800639691,4.683940175216833,5.896177231077682,6.617016532579467,6.725005388219115,7.666728250289967,7.061123448266544,6.183864660265553,7.314146857065756,5.9746241072610164,5.37738063423418,7.16579494316637,7.419862894261562
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967381319255034,1.095966392741802,1.5269464817692868,2.1955632910153016,2.179153047078012,2.5011963261229586,2.6864708954991947,2.771755817946692,3.4059569636704867,3.3547389315844813,3.528474167396651,3.8482716619698163,4.317723263774162,4.727988178044726,5.467634792424138,5.739497644578669,6.491391857927808,6.352458300484405,5.3639708724837245,6.666908941259183,4.33408230728805,3.5660819232991914,5.418812529982638,5.501766434922372
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7480121295154276,2.1227890518744426,2.558760636522403,2.4251162551009946,3.421414667165795,3.6372782407837785,3.7846821687293595,4.2114330558713595,4.118167095989003,4.091993023392487,4.81359745331457,5.321792967320494,5.6690830748762755,6.320737644510975,6.767918664163529,7.481120707272933,7.388953096349089,6.442922726946984,7.752821677859091,5.164697665114146,4.378990958250034,6.123636636201475,6.10239289123933
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1501252657424175,3.0821208576514656,2.5126160970861777,2.6985196904476165,2.4358062552230972,3.068598584584775,3.630702452191757,2.6976063217617545,2.6048181954164646,3.274947232142656,3.958397288779073,3.964951586496031,4.609188466508483,5.139925914118855,5.806680261947991,5.806244231334465,5.066479797312302,6.401876140024549,3.443712176700328,2.79322479786037,4.432391602070002,4.521960075193677
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0939170813879495,1.0926873405033328,1.5174057542014794,2.127033755270731,2.1236979909699953,2.127816547276515,4.370515372700177,4.602200992547063,4.432733801561256,4.814385230906558,5.081444269404048,5.99702555168951,5.780581665318733,6.446548439034832,6.514742238791264,4.981322768522784,6.238544092490347,4.509988893411562,3.4696242285954746,5.634665963697662,5.593683210783294
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778144151316093,2.1165073230591926,3.001285708483832,2.431485573710962,2.4518929619994996,5.157061065773985,5.522035089618095,5.193325853201468,5.411330316458568,5.962562085328588,6.911382425114057,6.536511250144667,7.2573146610959185,7.198176423358099,5.530516672663024,6.692880532873483,5.5182241947985755,4.4922336740404205,6.682898957143045,6.65983572626718
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.097052133953832,2.449475566211569,2.970740039614655,2.3851953787091893,4.99007426478045,4.981022618233405,5.0847435434732535,5.5993701154975595,5.5025200716488865,6.376489292004666,6.23399896158083,6.752512115402279,7.08009533330811,5.491482363149914,6.7555692535206795,4.640758799047995,3.486374945654063,5.5981801538166,5.3678655220965785
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0564228155296826,1.0249971679815983,1.0250883324869189,4.12051923031699,4.525645093519998,3.7113512969973477,3.9913544450604905,4.1613136017687005,5.195541756819635,4.549654650063565,5.195618993826839,5.314847048015003,3.531347261301094,4.759683843818133,3.7138590481570017,2.7268027401846875,4.928781350005524,5.002757145604993
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6704771255302735,1.6872730955250494,3.5774415190261086,3.8304636320511047,3.10579119691569,3.586015939099111,3.296350259645203,4.303168038372032,3.8083784721536778,4.367105177523475,4.675282057702364,3.1160943578485427,4.431131537121201,2.6769568294941726,1.6761652104214482,3.8734518807311606,3.9636921360503754
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.652063466014766,3.9127425307659287,4.5811588806057895,3.3706772077267178,3.4020079275177166,4.044581582187015,5.09534510792989,4.292437043715815,5.089925213086871,4.8884063874639585,3.1649705439154587,4.31592061701815,3.985038624781473,3.2374417102269244,5.283909290692062,5.529182442976639
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.077081143708942,5.451113082371181,4.530767071162711,4.753712601065867,4.787347846453724,5.85038445202319,4.928880253391839,5.450503987274005,5.7427148466186635,3.6457984626823388,4.734087192503026,4.2433415561821235,3.201477601294976,5.370144941453051,5.3472874464024525
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2271390160244515,1.3801023476525818,2.069237558633233,2.440952631518862,2.7104447923296924,3.761013433557331,4.581840894117445,4.012760975778942,4.437660744530623,5.554579031259769,3.0046638119567866,3.3368567589014644,3.9166505732885484,4.546555803946537
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260520868002914,3.1513161257952778,2.72141542918137,2.7506399583537973,4.237124134542349,4.836482859305707,4.647115775747459,5.090485490491247,6.257016977624798,2.7833666225401306,3.1658504374937655,3.3865287209684216,3.8925473128902315
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0128318146513617,1.456186149036992,2.1062727371096295,2.4729685752388515,3.405321848210396,2.7445618650408634,3.1257603655638144,4.186920026059506,2.463752710596766,2.9126384382085115,3.5400112545329283,4.2799330545815115
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1164888379067097,2.7258814866907035,2.559157130677175,3.6218280754728607,2.507236533367899,2.971026322993619,3.8401492714876815,3.3205265831638657,3.7076455793292378,4.4029468018932105,5.173625350260776
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097071455833003,1.5395674467063265,2.1616104212430107,2.155561044494179,2.8115880604027303,3.7784935856345685,1.5317446896499336,2.4625662374399173,2.359323661858719,3.217384485927188
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1382181480879465,2.4641938837579875,2.4253133108724065,3.7620671484658192,4.5417644530902574,2.113352884743688,3.2516754965310377,2.3667532294862124,3.3287532385047536
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0926725183759929,1.0937710720154874,1.852181322122894,2.4167218088508373,2.5301963541527996,3.261925339187075,3.196110110169987,3.9944670770212207
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772960091814982,2.449118088181944,2.7367626600414114,2.711133061884441,3.5323918427867738,2.9514658032410526,3.6885371219930136
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.438216891422842,2.591840399117645,3.46346611322906,4.254573595237797,4.0586396104328015,4.933826763488107
31S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3474001614671367,3.2922810790855723,3.354386834493954,4.277906887405562,4.811379301356282
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.421309374926517,4.616925672909065,5.216397335199481,5.7859523655221485
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.225023850795947,1.3260865449974775,1.8846859450873785
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.237579419807946,2.3031920674836686
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9781404751692074
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
