,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20H,21C,22O,23O,24H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947128247076383,1.0978319691662055,3.6645122090961855,4.057413247838555,4.758113065265824,4.879523712061499,6.068758892959589,6.404952099750085,6.286086606253929,7.142974104612649,7.133378149596386,8.35231449030553,9.016822034165072
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7629916372433518,4.393477841330758,4.526755094429126,5.5975232384193605,5.830213057013685,6.818674021107754,7.098491750086707,6.9220787270593975,7.993350927540221,8.077223344372124,9.146522674292944,9.862114187356328
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.267857141254022,4.851730976152956,5.170244789994236,5.095999940564956,6.545753854095499,7.014785542199749,6.777420422922482,7.460786369911368,7.291350908173319,8.725553372713229,9.308389465663657
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2293447466629903,1.3589855696737776,2.0805972939589963,2.4428400572710465,2.778490184337274,2.76743101656208,3.7029690035594327,4.062415287605221,4.78887932104729,5.55156874842033
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.266961656340899,3.179283879814342,2.77047953008367,2.8010725610202174,2.785211449562374,4.245261871048758,4.873859434923759,5.088060375876473,5.965880623508388
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0124021466982664,1.4434900818316074,2.110145017286021,2.110724170745052,2.4097013013002115,2.7061566465162477,3.605536552794726,4.283540737216292
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1023856719998544,2.858508713764942,2.835024716391994,2.451125711242981,2.2587288456120467,3.784888471248712,4.2640842648236035
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0980541771839365,1.0984310279164697,1.5136860430063999,2.4215046924520425,2.366204249319781,3.2017819717849285
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7536314843524272,2.1442298631490506,3.1303365765784665,2.617251253330727,3.508482103924679
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1437232037048584,3.121831706363827,2.6274726251824485,3.5133701083705473
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2128227147222732,1.347121933554094,1.8766328454731485
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257101830651638,2.2994176897965173
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764171791179996
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
