 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,O31,N32,H33,H34,C35,O36,O37,H38
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9654031707219244,0.288100757272869,0.003939089208210622,3.890000928568436,0.1289239931143995,0.3433497690249778,0.0431925710192711,0.003994219907105689,0.0038851914350166994,0.0017998154473849587,0.02597486016930127,0.06606426529212162,0.0024767431684276364,0.0006970945810094165,0.00040806502436201153,2.3187884726882935e-05,7.229751314619115e-06,0.0029409832021392024,0.0018229515589442552,0.002692183969372222,2.0818337052253e-05,0.0014151169353874282,0.0036410426106690263,0.0156836628730061,0.0012625781169175454,9.504024451545412e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003419344753061604,0.00037491089823449286,0.13551185294340162,0.00868607036533886,0.02574168819278211,0.0029696521291064926,0.0012359987917915927,0.00029072480302216874,0.00015226150808744787,0.0023046704612428304,0.004341667070027366,0.0003105156680698329,0.00018837620556722,5.410512927095379e-05,2.8659209214687564e-06,4.21191619137673e-07,0.00029911529093440414,0.0006196733336943927,5.8197134391813066e-05,1.562485869799346e-06,1.019498697996113e-05,0.005853488613668967,0.03850669395142048,0.0020227062311715116,3.701304240388836e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9746570426124248,0.3247164266707396,0.02829766732281147,3.634094441253808,0.3033810804188129,0.03088598540988785,0.0010711168690093198,0.0008149132619795357,0.003672443051903021,0.004875522349570227,0.0003291904597686468,0.00011584676860021403,6.922551552344947e-05,2.266570107933852e-06,5.644261830028974e-06,0.0004670111266128485,0.0003472507148696846,0.000565151610005088,0.00027336975796543594,0.0005211343651891909,9.633194691732738e-05,0.00022415705500024308,2.3457639557120102e-05,5.431741171069149e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027540285919021024,0.0019843303653916955,0.13010154486625614,0.012740854382556233,0.01683842734173857,8.515726391822298e-06,4.032664270070541e-06,3.3467639624085166e-06,1.950086172142207e-05,1.2044372095232347e-06,6.386133688529583e-08,5.328890493316862e-07,2.6435455158235754e-08,9.33599522134898e-08,2.971757493641647e-06,5.928262367449477e-06,5.400262056864946e-06,2.886985033256906e-07,2.5471392324227793e-05,1.3528950904007075e-06,5.443122709891668e-06,1.736339589886171e-07,3.4959451777893946e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.894050720853469,3.5869270315666464,0.3050734706220154,0.034193624257668254,0.000891216187844629,0.0006885182772972398,0.006066437982701789,0.006886311138319723,0.0005809701356233321,0.0002137727544513357,0.0006100222226192303,6.38804545272098e-05,2.3375321409169203e-05,0.00435671273917701,0.004228974335075825,0.007728167901062483,0.00014919386068334983,0.009485798198077933,0.0004790029202570989,0.0019253813297128997,0.00015807422079132383,2.4528919431054952e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134833220830594,0.012104287229479094,0.0012855467687771238,6.077899161738287e-06,4.033218196974886e-06,1.619015327136708e-05,7.152922169062492e-05,3.480627618945853e-05,9.494041125934771e-06,0.00037479616139513006,1.3129177106829815e-05,9.140578231425778e-06,0.0010949776837974046,0.004538781438493067,0.00045913288685539566,1.741339176830614e-05,0.0010267892293911451,3.019399749737417e-05,0.00010105666033932703,9.677646126471373e-06,1.7278495925143744e-06
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.254501865710714,0.1388459096172776,0.0008957332214426517,0.0005240042692485347,0.0021951922191966733,0.002628134829316786,0.00041726447685375145,4.2609039831775775e-05,0.00022624991853237297,2.6820943869632075e-05,8.199785214157984e-06,0.0010401612858993992,0.0010289099838456106,0.004408762411564737,0.00019553107859660024,0.00820244660704994,0.00011477281486285684,0.0003488291610991012,3.769155799041024e-05,7.497330084760279e-06
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79819898062177,0.00022563113782887723,0.00011982971372133389,0.00044349795843895423,0.000434449803675685,9.679251410076029e-05,1.0551150249837882e-05,5.2267764351562884e-05,8.274458501045245e-06,2.2396286031289847e-06,0.00035603189558088,0.00010728711549590209,0.0008406118937479973,8.550916227634264e-05,0.0033629267586366973,2.087257756297478e-05,6.37412064678905e-05,8.082366377545891e-06,1.5908276023157697e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2141584114777615e-06,6.110388030000635e-07,1.3076320383165196e-06,1.2807050138174958e-06,5.527301817354058e-07,2.1150352136345418e-08,2.8245610568244928e-06,2.777181200563916e-07,5.5825107647677896e-08,7.052382562711124e-06,1.5619287776491575e-06,1.9154703095214387e-05,7.020701209281555e-07,4.746651920606304e-05,4.957824415785517e-06,1.7883328375156715e-05,1.8735709385042654e-06,2.779115186868353e-07
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.105068247247477,3.3048625352129997,0.1352019932203372,0.2646407543046907,0.022980317642245174,0.0330698346986357,0.003641576931183499,0.0007969494723145676,0.00284551953628831,0.0009675733547822307,0.0009203913402797415,0.0004854451734830345,3.868815961505234e-05,0.03761333038960779,0.011012908310610497,0.007573739941454605,0.0013095258543496247
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516075183994705,0.025439937107504362,0.07516075632973673,0.04839298599399666,0.0081996230759072,0.001154044946416466,0.0005116375621712077,0.0035234362575913003,0.0008307338502517442,0.0009156586213488194,0.0006031090282155871,5.339712110008499e-05,0.012707089447981185,0.0025448485903395157,0.002422315170487341,0.0006682706915154268
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8093192901203792,2.876626020807264,0.10157484352658241,0.18081251767103246,0.025917074425470865,0.008161870633985102,0.0189829441560308,0.004199747717625629,0.00878488428337236,0.003931470632561385,0.0002827374758488377,0.1965090839414753,0.03321949592345705,0.029624676243029585,0.0053580821100751574
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10088096638596544,0.03017773426581405,0.007011357436478738,0.0004114290707020185,0.00010291614889790246,0.010434096440440799,0.00037684403340432215,0.012807513638237733,0.00048345026059615215,5.199053323301506e-05,0.0060921890684944024,0.005540083321424638,0.0008160799290565235,0.00011840047668720821
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9358971978784456,2.7327833505691603,0.09348925323514834,0.09048723615240317,0.18224838847739022,0.041331899170554215,0.029091558325385458,0.0010761796344441743,0.002532642335451585,2.5351726405079225,0.2700210660601997,0.21626480698113842,0.05416031954574185
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09331893211086917,0.004423656058970993,0.006012003554848322,0.025671850782405192,0.004922151859449442,0.002496922158733539,6.538405602851682e-05,0.0007443599705416748,0.1123878104793421,0.02985104416249129,0.010874649713911944,0.00043561555764193294
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9847834924257035,1.9193626797004926,2.719120084031189,0.3025703886550054,0.22983367962662177,0.01659344508890659,0.04237729717600802,0.17414219798640473,0.04025372810678764,0.031053428862815827,0.0023644548511297936
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027746418675265616,0.10256495629339302,0.01864608970703363,0.024850908701821606,0.0008666122853375757,0.000842490068074575,0.008966473858518231,0.0017454217254831983,0.01613998401571637,0.0003531952652620074
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09209336620417874,0.025107870373464403,0.01104478509172857,0.008143313271254726,0.0014791531891753529,0.02807820370239389,0.0043601019970586075,0.0034965735314306245,0.0004049830792371978
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.961605708810561,3.5694628166387874,0.13543937230233616,0.14310797454255142,0.02603338267898153,0.004834670450741652,0.0031202041929601076,0.0004956033523606518
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5710262044267188,0.033219806934597584,0.026913840965521296,0.044619943588516786,0.007318326251014945,0.004542620366329492,0.0006995239545758425
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9024640334277803,1.8410634346971384,0.00769627702822534,0.0017124791355770386,0.0010748072054020952,0.00013142740326410607
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037676677661204305,0.0007018606322316545,0.0001329542019639085,0.00019154823731593051,1.0246108621991823e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019214636887443515,9.120071469503888e-05,0.00013288872675809582,9.478640755622436e-06
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96518724939655,3.494222735696112,0.16817430184362925
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061669520545717,0.06486334367108659
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6264386620887863
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
