,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31O,32N,33H,34H,35C,36O,37O,38H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3954501719786867,4.300395433217545,2.144427430822522,2.4677246285955605,3.8760449903650174,4.961580210988432,3.3988114033049923,4.570541398100196,4.550353615981267,4.3970523384870335,5.506909367387929,4.491550013586504,3.852842463577204,5.885420405552736,6.510275847039947,6.399114789383166,7.4698465147865125,6.37504650711086,6.0068569566732775,6.531540227972703,5.432921012621262,5.100692230655298,5.306166933689036,6.500773710256651,6.113601506572897,7.828813640838595,8.271268921886485
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868564247330816,2.784919206819247,3.874227071875891,1.395411977641641,2.162844034731779,2.415866321331554,3.648239436645387,4.333474749760849,3.8756252554905215,4.993506417882579,3.3087316068752957,2.3815454912353182,4.156105073195078,5.114498446380974,4.658637651200037,5.510673254182676,5.202108846150244,3.9040577063922095,3.859855874110896,3.9373214974682895,4.257887671833073,3.7197291029684463,4.087287502733125,3.444469774063581,5.328037299734957,5.528618741407414
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8716349228666456,4.960964186454525,2.1445689068878035,2.4786421869073942,3.39496760100657,4.510282033415537,5.282050806134986,3.765425596699941,4.726652426623103,3.220092531621233,2.4837445729400875,3.7991835641584353,4.737558183914933,4.48048217941645,5.191232603939273,5.199560153252707,3.8584519239877655,3.6038620388107017,4.255971437242435,4.689797920315634,4.167932196778561,3.3658545264285777,2.5324662335126615,4.558229167769887,4.632555859906304
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08933233843324,2.420210667531889,3.401170182479857,1.4005748968720115,2.4314744373349275,2.458445611253793,5.284749014005149,6.506373367907745,4.802856716367226,3.879782319176384,5.922669240632579,6.79659585533827,6.021556570406511,7.030983886269383,6.122112445456299,5.151651564022785,5.495116684525787,4.381549278120095,4.315413307571647,3.896843783192566,6.40772377893397,6.0427089969701315,7.640096780520825,8.02573268081688
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4084481373006192,4.3013755114960635,2.162585847430742,2.69448578780512,2.30268201200189,6.100049993996756,7.305674466788903,5.661957793647474,4.792392437481603,6.805110704066866,7.635535655760169,6.800185652208502,7.822728599717502,6.7714090155666256,5.936700994530424,6.360980880656525,4.992972709707587,4.8064458744571334,4.471453854007909,7.405581968507704,7.098980962567629,8.623940977393529,9.050870787084728
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.085618415387859,1.3977343796693176,2.367703631327503,3.1768132794800947,5.010396395847217,6.15885366729045,4.1986421934519385,3.1989384214499847,4.878785676069115,5.923228043205071,4.961719214534818,5.772122835350932,5.472127377375137,3.8334631586905656,3.683203012554561,3.58622457482674,4.055748073842248,3.029838988668671,4.871306375790335,4.375293204517473,5.972016904383477,6.170050680615536
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150184396011031,2.5798640535389303,3.5260768499562567,5.66899944465108,6.744867907657112,4.723132702379569,3.7855047442724805,5.114450782448993,6.199509115443641,5.039167612230739,5.689377829650573,5.680894970389523,3.7478778531043777,3.282885446824556,3.675449189386416,4.367024214542082,3.0292744431540886,4.8954086123667295,4.4144526953416925,5.82352727175943,5.917678802065612
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3704990044360423,1.9201735592254416,5.617572752626345,6.828873020899074,4.865684310052714,3.8615437244188677,5.717326829031556,6.714422014005161,5.644141908231719,6.542844877748277,5.924288666978704,4.506147887930698,4.603205294831032,3.8282152577417476,4.07844482860318,3.1310928742741737,5.992625159750367,5.611730392729428,7.11756346753857,7.416919506212051
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9703078305049558,6.848587339172132,8.047667849450635,5.966806491877354,4.981902828281452,6.6548375059680405,7.680532760497087,6.312278979848174,7.120036378374902,6.5644964562025665,4.995558674883803,5.00124037464366,4.167616279081229,4.511199051070468,3.255309117004582,6.922907087571087,6.621130936783594,7.9218587054514265,8.20331548719162
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.324482514465342,8.538851525047734,6.518410962603182,5.554446038426965,7.307945325818476,8.291246988883849,6.947748566625123,7.8018057173416375,7.075512014576954,5.697472966392864,5.832709300295664,4.720285781102106,4.899653052506677,3.8449080187875464,7.702306059687378,7.428042036091823,8.735821949787194,9.066070172691774
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2253083243857206,1.3770589604697696,2.0408352152482614,2.4463233963181694,2.5428489603174484,3.722644040432478,4.545268619643896,3.851815791523234,4.371272381324142,4.989579672485693,4.739702930612791,4.477087239925357,5.331816712355858,3.1963465516906537,3.2932721482948866,4.349487607361174,4.958050663231674
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279656237894762,3.1406020942059456,2.777296264159895,2.3828860376260166,4.161874290936212,4.77924068494143,4.257920535093985,5.110683789174541,5.706940258230897,5.641164441838724,5.367431554240981,6.333826620857396,3.420555782606783,3.6682560891914027,4.317075289290685,4.930268070401231
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0146504774289917,1.4495993236684634,2.055283482864685,2.4790638996697756,3.4026583318764176,2.7388683383467174,2.995615784839036,3.6745470355794687,3.424317505877935,3.2812040426142626,4.063423327865602,2.461533002645599,2.7861528939239015,3.6411646279211194,4.331533240060865
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.104679156525027,2.956754759667509,2.763420202697178,3.755363458361292,3.1082788973835593,2.7221783322806923,3.3006552206739057,2.948881575174389,2.9268508750652504,3.3813448646284407,2.799578527558276,2.844450163579102,4.058782636794491,4.635503463200202
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0939276192857172,1.546237353513134,2.1583331477486976,2.1625696319213943,2.5377505559170674,3.1033649710295994,3.4485896943937084,3.5192658158399617,4.232277709479161,1.5372045067828801,2.4479623603171015,2.3813588230010083,3.219085173194213
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1621905834957897,2.486980671407707,2.448670719684677,3.473774566854582,4.08661421970221,4.332065272729004,4.250794117751942,5.194071138381328,2.1234764639554613,3.1008809726484308,2.587427452273643,3.4820317195205224
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0932583539526268,1.0951297032450096,1.5292759758103893,2.406995996182102,2.4546161498119066,2.6148997462448293,3.37264637856014,2.5534784463719076,3.524004682447741,2.9386000544258644,3.805031904514385
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7766384259033505,2.1317672264146172,2.637807884852047,3.222243184787012,3.5071413395994804,4.087715204962372,2.7360281151648214,3.8432705091587027,2.580068863582115,3.438856213825978
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1915089338354914,3.293775390266962,2.5601574363229336,2.3146157705262533,3.5693475718310137,3.4849809078766607,4.442218294033932,3.885147074781654,4.803098362935552
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22400434838741,1.367770003769006,2.0786759951501668,2.042449071078589,3.0600112456884436,3.6512182672199374,3.6040420516527187,4.228562704597971
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.276120178106035,3.1717097741588374,2.50556652900336,3.002821802698171,3.3775607207424456,3.3932392908033555,3.7608536415052924
32N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009600291574802,1.0126728298497414,4.232815233914177,4.6908692019652785,4.923835524631801,5.563925292198306
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729066704046492,4.598398043772247,5.115329839425171,5.357129840476445,6.094868545766651
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81058694407598,5.065402494613877,5.553176857449567,6.075142050066964
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2101012015740236,1.3496142751782685,1.8768148676117373
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254524604387246,2.2946908541160465
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761848048212562
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
