 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,O24,O25,C26,O27,O28,H29
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025718091235404694,0.023402135907302446,0.0018500399840681858,0.0007602516898689293,0.001178752201009603,0.0005338628778814858,0.00013878334456496333,3.7622367417000646e-06,5.386255945194485e-05,2.3453396085226785e-06,3.864469939607318e-06,1.7668702926298963e-05,2.2994440690315976e-05,6.233989248927152e-06,9.246050321687349e-05,0.00016275839268475867,4.1311642273167415e-05,2.9317327830069573e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025334617446573837,0.005990460641773776,0.0008347208721724009,0.012121083989789505,0.00265499830849536,0.0010712209859433663,6.716187675892549e-05,0.0005042214104780118,2.69582128642476e-06,3.357316935415078e-05,0.000353952804978519,0.0029312649383224088,0.00012520098144841452,0.004317403505236683,0.0032756459129551496,0.021628005630660363,0.0006235447134272931
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008489031589284934,0.00032974927184881153,0.0005759987260103294,0.001183746734423785,0.0001284342696254992,1.2395139831866686e-05,2.3530251229031407e-05,1.6481109879062927e-06,3.417994701271354e-06,1.3139841003040331e-05,6.680464969344158e-05,4.364355927544139e-06,0.00011226608562120433,0.0004911786330346057,5.449213674191267e-05,1.852310934902235e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22011237875614,3.6425304311350346,0.14129034442036115,0.2802409241294924,0.0222073995768981,0.03478796472164605,0.0006195080329927105,0.0016173546816731221,0.005273415585248159,0.006382604673401085,0.002025671987439706,0.031473381229521535,0.013929878579571883,0.003371033653693234,0.0010197928202101414
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5370875934003665,0.025162398281001863,0.05447495924723515,0.02427433968945214,0.01088398461374851,0.0009063920638101575,0.0009823322254650657,0.001254774497822922,0.001575162796199077,0.0005230342125166175,0.009873773574564065,0.006107329819661372,0.000942057134100116,0.0004326075521491335
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6529243775583988,2.612572839362437,0.08882365540877424,0.17636033296983292,0.002727250925053104,0.016353794441605674,0.02625760021485074,0.025801332250608808,0.008039501926421881,0.19942694805386393,0.10006526285962541,0.01754394835126217,0.002854767977856998
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10203878534920241,0.024373575846763806,0.006329103803585978,0.00014244112513628338,0.0018458253424429305,0.0015603684420101294,0.010449230730810166,0.0005256368229945574,0.05051042070156608,0.1614861137321043,0.003934777088067887,0.0001780360930625502
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8679970557698387,2.73921214436928,0.08351174073429357,0.08514626207108411,0.20381238314174702,0.1646023689771736,0.03803869520875923,2.4968929747181563,0.26229000121401896,0.17958201035611254,0.04531147009601488
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08305260163736738,0.008881642571049841,0.029064194926634146,0.004238151958478431,0.002281973226398115,0.0008266565717117702,0.07768144476580074,0.017332539660817492,0.01531226417083853,0.0013419805614134361
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9909836210897194,2.087654298589083,2.6791101136412503,0.2585505631376816,0.2855113979360468,0.1867526183597261,0.02769066467787122,0.02410755339125041,0.00422044986001191
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02630379797882476,0.09124653399905847,0.022230668710431112,0.014807385302539777,0.024831941483749675,0.0031868718334063795,0.0021740860361163517,0.0006233261239432242
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09892890503904228,0.019400278852288455,0.024661539323814874,0.004464423022591202,0.004416501465384526,0.0009022135002677567,0.000230959963415156
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7786091915451,4.7541132458147395,0.21373797898649632,0.03186751326641128,0.025380667574739002,0.0014541124912060832
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5229147336989719,1.6212011460449103,0.24790540450912657,0.16148873033853872,0.006608211297714606
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04094443731483388,0.01168310839202865,0.008025879369045287,0.0004307436561176159
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.350861508681732,2.838634232258807,0.14642964559465588
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357251111972525,0.09383950922543327
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770977120239646
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
