 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,N32,H33,H34,H35,C36,O37,O38,H39
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0692335900620225,2.003720442270323,0.03631585276407093,0.009071510977512673,0.00653846047058626,0.0003660123205082577,0.0014763240561646573,4.8070965105284635e-05,0.00014582638216205368,3.918007750258745e-05,1.5428749868817704e-05,3.5451740346775784e-05,2.247044129877196e-06,5.495464241889181e-06,0.00028745614882988435,5.236648351381046e-05,3.8276648891555354e-05,0.0010884597890697956,0.0002678560085573878,9.323667293781313e-06,0.012595242839768608,0.00041375157180678634,0.0003427852671836762,0.016262202614245158,0.00022466463320963692,1.520555070511076e-05,7.274944349634771e-05,2.1126701307161433e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027560595038673696,0.0035552828074190135,0.000615764068332636,0.0012956164098082423,4.989480088024578e-05,0.00023100155141264622,1.1016990811185678e-05,4.372270688457469e-05,1.6455790958103123e-05,6.072808067525415e-06,2.8432227274777233e-06,1.0836104886724485e-06,7.103267529728896e-08,1.2932809797527867e-06,1.4921045510263298e-07,2.4189442515698545e-07,1.3575998770942732e-05,4.299948064057091e-06,7.234563121905069e-07,0.00010667820423182484,3.838445283399494e-06,1.3875457548051529e-05,0.000269633703684935,3.305493350702626e-05,1.0721936269941779e-06,1.0730563653527092e-05,3.4980043592813814e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00081074487517796,0.001131926160967578,7.701313517993746e-05,2.5278382389748444e-05,2.6324322763615626e-05,4.166213690481868e-06,8.592067725965435e-06,8.958452513141424e-07,3.5382121297278246e-06,2.601183136219376e-06,2.2896088025525785e-07,2.1818143292051673e-08,1.4072918866570028e-05,1.8570853084209915e-06,4.631637914531694e-06,5.5552937967329186e-05,3.075271456576267e-05,1.0814648945256522e-06,0.0009033945432367352,3.245089482506458e-05,1.3670085688533007e-05,0.0011073041617071233,3.697613187636506e-06,1.1005933669983037e-06,3.6434501182736057e-07,2.2458836901328993e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.767403685759421,3.84815589116424,0.14596867054882612,0.27480955614695163,0.022863915572127302,0.03614570100060363,0.003930750169159225,0.007525446802710611,0.00427545662752471,0.0013687562429907096,0.0002940918536502579,0.0008015390263849953,0.00011879713053275509,0.00020092139873395531,0.003694578933472692,0.0017409155214713756,0.00029047274737825646,0.025962893779174587,0.0014484309658049366,0.046563609081682666,0.0033460814401816696,0.02823873647384506,0.008559133417254478,0.005934925453453893,0.0011923314436205201
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5484638744763155,0.026816969274230273,0.05541331632976117,0.015971052230490668,0.03768664168565233,0.001521892956512061,0.03654886202241492,0.0032784742985273313,0.0014311400658008067,0.0002460648572254476,0.0009479767763473784,8.153342258765406e-05,0.0001257848411159168,0.005087348855478027,0.0006258763436874926,0.0009108224284328781,0.07529683095507807,0.0023619269306807134,0.18416666412269023,0.0037305373474798564,0.0049115125520101666,0.0037641418988512837,0.0011028197782415178,0.00019955975140484306
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333113820260052,2.504801030188146,0.0931630564821353,0.163119755170902,0.025718122546733446,0.005996661354324084,0.02299689989306289,0.012627552533615916,0.0015874284797657845,0.0024412633023026403,0.0001758467938113295,0.0002483604134322359,0.004169767188837992,0.00358638000829381,0.00088263750788109,0.004941294413346536,0.00010664179622643655,0.00864002136632891,0.00019570594431461696,0.19422605626788314,0.07382278176486479,0.02695493439639768,0.005424755121265168
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09490208221233432,0.012640087753948315,0.012383326787495652,0.0005997396346766326,0.0001425295587003106,0.0012413748307483763,0.0010059029374940298,0.00011770205448602411,0.00013794024090163504,5.39962779377845e-07,6.577400758844831e-05,7.325831625326629e-05,6.542834978695566e-05,2.838476979238891e-06,4.511945173191201e-05,3.5112771696876877e-06,1.4338730667695643e-05,6.923872917896645e-06,0.04255894704962382,0.10695327870546856,0.0069289128144064405,0.00020433106150297142
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8350388054311328,2.7303337754365584,0.10498718898768766,0.09287306903798065,0.15359574688986663,0.021092692559030013,0.00797917566685169,0.02014302174113966,0.0024950102897067783,0.0007656251597871755,0.001237180501996421,0.0004737913299144303,0.00022777617678304551,0.0007420208805242745,1.2768632699389215e-05,0.0011504423435947375,4.075848394791137e-05,2.678284421991456,0.28537935914801815,0.22384465670911607,0.05302114129761226
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0867129659487994,0.004217427832003295,0.006835257247164606,0.02528849825627333,0.003207970892700196,0.0001447500836313509,0.0021975326808201245,0.000484703089297156,3.6034297023812556e-05,0.00023392768437202616,0.00022087210163612703,2.4065569143694177e-05,0.0003018284893979706,3.6281168540597264e-06,0.0005307928133160278,4.61067335533194e-06,0.11224064088495189,0.030756679645593255,0.010648516091185556,0.00048605531140299973
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6493883883268778,2.0134710525072657,2.6183070424350525,0.0756768517808285,0.08712988953168421,0.1580927955698807,0.025786232845913526,0.01216877992545462,0.00773102005006944,0.0008466699094227259,0.0013115846356043237,0.005217859891053805,0.000159049421033286,0.011501249692920545,0.0002450115179819523,0.173686609713099,0.04319758055718936,0.030280485490583958,0.001975146938375638
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029092460629192685,0.08204756971508553,0.011670246616589663,0.01536219681332418,0.007344083039342197,0.00026014653313888303,0.00035006355775024645,0.0005216464700852352,0.00020772470757601802,7.371092496843978e-05,0.0004308811473432428,2.9071778985700902e-05,0.000897986685572727,1.9211356971693405e-05,0.009247081166765092,0.0014999500258356946,0.013305806337827741,0.00029211645177618095
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07689459763853934,0.008131766517056604,0.011921176089912722,0.02012335258037612,0.001307113630925727,0.004211302323650079,0.0008049719617324591,0.00010338609774440677,0.00016062865208721355,0.003672909624123921,7.442392088230498e-05,0.014657942754169984,0.0002239479040786474,0.026834743583625142,0.004904202771337851,0.003780939859983179,0.000275260852873771
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0299612896383135,2.024483309823786,2.765008665306719,0.09318310122254714,0.07444765164648182,0.15641989373163656,0.018607447630335727,0.02339095197800345,0.00889462679048951,0.00033048455569095747,0.0010123973280099507,0.0006106525505527038,0.017775820877488635,0.006021308266227779,0.002245566306402061,0.00022749091994511694
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026008486269913478,0.08051711678238016,0.0018589916702185239,0.030381095438494654,0.01594586859857494,0.00930640452222753,0.0006214916922731017,0.0007212020303549727,0.00023410384672417628,8.599498945738304e-05,6.6942713288220546e-06,0.007053866860096569,0.007177991315954202,0.0008916876557099052,4.122299457742784e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09883839464114619,0.010173888742023962,0.0018091376999638253,0.026265767464696443,0.0009052219304805931,0.0009569420936170747,0.0018216485181991038,3.3855060701304396e-05,0.00012032869166511695,0.00022287161481249207,0.0006458766921619841,0.00043910895156606955,0.0005331151242286003,9.92597313098642e-06
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6402430133762107,2.069605629141166,2.6119864706870377,0.07725122727193479,0.08578070353533529,0.1512539013359647,0.00447925384353054,0.01113197035440916,0.017450344875557078,0.0026468853030273687,0.000679579248593104,0.00048255517104517365,3.706713082229918e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026361699022375173,0.11816700441210459,0.0014397160035997114,0.010645487860709402,0.026934750926223217,0.0002700035322422689,0.0004605531747150504,0.0010178833873437654,0.00016404660045488129,8.746683769611518e-05,7.568631919385727e-05,4.232148415272974e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08778228259990128,0.029327548599566544,0.0014066415565641144,0.012759297774338041,0.0021444479621146595,0.0016211713268092787,0.0009644693456505316,0.0007006209511695172,0.0002867581830642285,3.872823581174689e-05,6.703248040196286e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.908383273579825,2.1780675154922235,2.6253225408285816,0.08029161777514515,0.07625717199884607,0.07643900819215177,0.00019487803090875722,6.526665519082653e-05,8.032714620394288e-05,2.0898291681614722e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027668840598571,0.0912967681397352,0.022789433670886705,0.0023624897696337133,0.011131033652188815,4.138541670273277e-05,2.5948256797470037e-05,1.865471843320865e-05,1.9053867794660562e-07
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09559846268936445,0.010254322625539602,0.021090060643982556,0.001191591980920892,1.4660178769387855e-05,3.531380197041578e-06,1.0772562736072189e-05,3.6768239852769113e-07
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5548341757372284,1.8378711235831462,1.5758753542671542,0.00017193128544359948,6.367676306845427e-05,3.4426913790436275e-05,1.929445587633971e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034650996150851654,0.03344294365064249,2.572266372902199e-06,7.428771732209682e-07,6.47927593355746e-07,6.5942328930646e-08
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032603358622849354,0.0004281069748172106,0.00010656047177837191,0.00010476053653885042,2.9364972100598408e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0949658827419384e-05,4.6624685577922875e-06,1.8170219329149973e-06,4.868770959731705e-07
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.270060951498606,3.2123630073936833,0.16758966700061384
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5162910904115136,0.05560585194888523
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6987127112006584
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
