,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27H,28H,29C,30H,31H,32N,33H,34H,35H,36C,37O,38O,39H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0928285975178773,1.0945501726342182,3.693554305818671,4.0784281440401635,4.768879608654081,4.896017611872745,6.10745068722828,6.437958864221041,6.516573314189499,7.576573642791942,6.110649940234256,6.5647845388061405,6.184233152971073,7.641419730767038,6.263681580271433,6.982216196110055,6.725950777893201,4.920634443612413,4.4518007124959755,5.2586581083434005,4.131740203620074,4.665060961778754,4.329888463727576,3.071313901362664,7.118360464799521,7.007930791506042,8.353462179613722,8.996247861412105
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7663481419719245,4.463728315322874,4.5934631109467885,5.647363169551633,5.881427000725775,6.907157759376629,7.163024320576326,7.1939023303127145,8.23115510531894,6.656071676792047,7.276122643646166,7.006925075837296,8.358481452259207,6.812922329510197,7.534343471702277,7.147667161659095,5.426390988330091,5.132324555786632,5.641263670738151,4.4560552579225305,4.769287706599491,4.705793351916157,3.411897930677615,8.024235568266821,7.999893351347615,9.215258132632359,9.908021200291392
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.200437567215711,4.753374595201379,5.088552923849611,5.056652031444607,6.4624330815428905,6.948103820837343,6.815081947914413,7.9033012207533275,6.523573915699642,6.619925511916785,6.125992056119707,7.653953500053281,6.250759534906582,6.824629664957417,6.834621144980752,4.831141083177013,4.2407733766054925,5.021067502012721,4.335301328691877,4.892526211146599,4.728321457520378,3.2911576987132185,7.334504085335124,7.088930743513021,8.611657370096033,9.18522712847667
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2443341308396205,1.3437423392913161,2.0676142779541964,2.467401993085726,2.7638302569882227,3.121677142621273,4.09993486114075,2.8974192947831496,3.7138093443833564,3.515121524937046,4.748031684337997,4.130509104927385,5.101227543934843,4.548695457948885,3.6157046079699606,3.24491623566535,4.597326782311828,3.0700434455166827,3.9714173813587017,2.4545735683273935,2.827917315368077,3.6804733478761626,3.967318595482491,4.788419684253992,5.541903032008153
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2698363498107748,3.1860702985198084,2.8172048425262135,2.8031129867851305,3.0793594566910025,3.942136884361378,2.446845369934217,3.9298526223536605,4.070466200318469,4.943574619830205,4.142270764238566,5.210248704280851,4.253492019048491,3.729752641218273,3.719141361121142,4.682603570143364,2.800934444135978,3.4809744279194614,1.9210798416104131,2.7544657939537904,4.275318330706796,4.835190799914394,5.155728250579864,6.026016410714419
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.017111537096527,1.4612658193809667,2.1007458466142896,2.5161765633294966,3.419553555011419,2.7836160154520413,3.0839406535218385,2.7131347811887845,3.9804635817484937,3.96350329496803,4.832228798753391,4.529859937086441,3.8346173523893015,3.335798579788565,4.883844838223968,3.7772034439523097,4.735877995938072,3.1883292000480536,3.75806889975469,2.3860434830034367,2.634395526552251,3.5863266875678383,4.2665610810588275
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.105248458915982,2.825487396437392,3.23251568947813,4.081081569614021,3.687367482806257,3.4864933092399553,2.8091815303652754,4.283629564555393,4.435445352486325,5.152867489242761,5.166793178073622,4.244023342145449,3.5194636257132976,5.220335434494771,4.412124060261328,5.417733774142419,3.9921139098879377,4.279212215439985,2.3775450759650587,2.1255609699632414,3.7052765668233407,4.182198589267799
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966952336423101,1.5523135314923953,2.1432074636078515,2.13915351792045,2.6163816513459777,2.6150449243054217,3.261219243058117,3.835569509684817,4.693661011943659,4.215267744893646,4.251130386655568,4.017647196726512,5.336122077235708,4.308298127195365,5.143220752606726,3.5674913357589744,4.6126116694891275,1.5272285437372375,2.420256517114885,2.3735099323385076,3.2208103689448264
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157184729067371,2.428260440656329,2.4004079251881922,3.53083108943358,3.683272679279983,4.114949607400729,4.648314593889772,5.575864777696457,4.831626845937984,5.048285392640744,4.912854561138176,6.1384041238503055,4.834904990211334,5.581582601921676,3.9438533502989315,5.112059818362507,2.141516217332352,3.1263252208287766,2.6036912927356752,3.502532672312051
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942569866718403,1.0932475364346186,1.5518203999181672,2.1905842431777933,2.1638972414114033,2.642523315589875,3.517139222963371,2.8120488786299895,3.463702227304021,3.5968645444700225,4.489333695477615,3.6690685611581837,4.331520135924636,2.9946570383110878,4.309452279894917,2.552072917575642,3.4810877638424067,2.9575840530983846,3.834371435987379
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7441827467492628,2.1853076558902993,2.9401903489725028,2.2816201320863,3.3048264203886153,4.029349423743142,3.262885859448802,4.381084114039297,4.602653601421247,5.340616123051665,4.612392870867076,5.154915324188239,3.912679297795457,5.329924414654295,2.7591202140344446,3.8512988025315074,2.6311101690552343,3.509961162743511
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.207929906041146,2.927393880959222,2.9488318748809954,2.6916157418581896,3.7198340837284354,2.5563072824927517,3.277721579641337,3.623076733611575,4.278652927778078,3.0668525142345033,3.597524664965461,2.2376448504848354,3.7594817101419427,3.462033852218473,4.378145524811137,3.891571637904265,4.8186591889008055
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0985213019320925,1.095003717066358,1.5474343573034741,2.1505964424520876,2.194974522120455,2.6227586281265367,2.7221676550137137,3.5086453112158034,3.4555764909094586,4.128166162894162,3.2118855147223884,4.156980549573033,3.130971478598034,3.6653314311370595,3.6647211890385547,4.308006528880793
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7434656959557304,2.1589791887586536,2.5689867069874284,3.075180841126965,2.733394892033694,2.3860771695041842,3.601331437755408,3.700101694047292,4.528832564974026,3.5683636277368227,4.161938138729661,2.8330152218817326,3.0072993719384598,3.6528453881800966,4.150097385088777
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1407069683433906,2.2960655689706564,2.610139229815772,3.4805388167017033,3.6288506370177886,4.2012138260780745,4.4370736725968865,5.004235931333287,4.223324399870068,5.199586254079768,3.3951578335196984,3.9437884272961905,3.5865863177657964,4.093455398933154
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096328814257495,1.0990375585759762,1.5380303837674942,2.1817603867213338,2.184250517781811,2.577677436821118,3.009940729512903,2.7231110477582114,3.456991492743912,4.606671163673101,5.063563270910131,5.188798015226446,5.854214159345996
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.746155454320642,2.112962913792458,2.642142055326188,2.2978033953360715,3.418633550248058,3.7337101526866894,3.74614088011416,4.239891526262585,5.221267954402837,5.554147778136469,5.731308165111398,6.273918330170712
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.177922128698434,3.06727738561826,2.6678156800757007,2.7049388336613513,2.8171996826709105,2.718388260769991,3.7416349192022653,5.145815955917874,5.790789334684863,5.553526547927744,6.301044518020587
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09344707282471,1.0925599233161774,1.5153639136727681,2.120539225479616,2.1454806732306415,2.152682460802643,5.178905568603053,5.4375099695490325,6.043773415420802,6.718253241345385
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7631505594716226,2.100016332584112,2.9362952972709735,2.60034566047731,2.269032504961926,4.775411443976328,4.81198838133621,5.8021965456659945,6.39106518648946
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.092873278760126,2.2916495487028894,2.9719089253252373,2.6005824119118754,6.204571288104731,6.3954542127572465,7.049384082746664,7.684873989298456
32N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0238694493249914,1.03648291927401,1.0730097759952877,5.555222116125695,5.951540994210197,6.437123500730736,7.233836354631213
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.671134614582297,1.7224468506085395,6.432747999947304,6.9043887248968145,7.2171459560029,8.043324015873969
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.630354977864476,4.946744228924744,5.489583237274586,5.7646950548205345,6.6223250127578295
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.835518999784938,6.081307053275345,6.86049322580086,7.625296994759764
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213659683188863,1.3378320939793542,1.8841021883152345
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2605829263424813,2.3297897853311818
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777922423661276
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
