 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,H20,H21,C22,H23,H24,C25,H26,H27,N28,H29,H30,H31,C32,O33,O34,H35
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5220576711050641,0.024995315737644686,0.06220020314284262,0.021431987308260236,0.022692011210614746,0.014838836005844014,0.0008911245786553668,0.002560603434029571,0.0001875251180365467,0.0002960311242969915,0.000879866659901779,6.251796701184364e-05,0.00014441702060141726,0.012709906953435698,0.0028515562442081865,0.0005850904839596049,0.1829476625184076,0.0026885016629446534,0.44156384826350337,0.002279410556091488,0.00740347301113381,0.004143976249470341,0.0011835164941386006,0.00026995169211441183
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8870306499889284,2.8708296516244363,0.09784742912009214,0.18278010918965748,0.011911854429268898,0.004052579190225836,0.030168082760506074,0.002736019137382084,0.001364515130471422,0.0014619341245987044,3.430592637632124e-05,0.00033002137746651616,0.0013075455703418781,0.00011932462589581139,0.001044846884351247,0.002687543747952048,0.000172082946013008,0.0023344142571878335,0.00014270056947729426,0.1919551525146968,0.06697929775196745,0.02704109521728086,0.005391885406664354
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09568689623681104,0.0172622545990595,0.008111202681379326,0.00021996389370926295,0.00046063989618083667,0.0014406754729713311,0.00045117913313941216,8.633927888079818e-05,9.437661100952788e-05,2.706042512734541e-06,1.1954507788125568e-05,0.00021915759491786257,3.919739183078086e-05,0.00012933902787470863,0.0001618971203202202,7.293309389089231e-06,0.00027116443050156924,3.616663076355664e-06,0.03954886700616489,0.09451296825461464,0.006310168446591491,0.00017156353667702184
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.906506247784594,2.659284378247966,0.09009490665275721,0.0875607475568283,0.15951161487024682,0.022687583450467397,0.016173737098604812,0.009020355484732318,0.0005107577351923798,0.00132461203951717,0.006845506215462982,0.0006399410889029733,0.004355581490488758,0.0029136782260365257,0.00012576565257682581,0.006844403680428823,0.00012359713798482108,2.564109335561884,0.28494743968193426,0.21949584772208555,0.05352441962627874
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07496559347244702,0.0022028099067015194,0.03087716441939148,0.00997495697452655,0.0006031932854222433,0.001607450242336883,0.0007794053385364874,0.00016627720266382262,9.759845477597118e-05,0.007199406423251342,0.00031357370876095025,0.007896328045604806,0.001967355434288831,0.00010310026377235992,0.005079822872711137,4.7705689549815133e-05,0.10301073835101637,0.02726695856877026,0.010487153478982436,0.0008170750350582345
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.906646490234007,2.0150461579465073,2.8051316106969337,0.09936111632937195,0.08197259632083864,0.15778481110453269,0.008123053135529856,0.028402204865930702,0.00911979856669752,0.0009171512257734049,0.0009784481882371132,0.003308926910063875,0.00047739033429894384,0.004085760523924065,0.000304700748966269,0.18508667489354438,0.04318388398235959,0.022727710213083577,0.0015990477372000989
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027232551640630875,0.0794669709314626,0.001089730976709058,0.026475904578374898,0.017850043088734946,0.0047135821029360425,0.0012426997135706053,0.0006458122065846617,0.00010975364333254412,0.00012019718139266722,0.001671761487976986,0.00018054441288306577,0.0038269715857082165,0.000281913938186662,0.02533232671048613,0.005108955599899656,0.0036621529113755047,0.0006387212606266957
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08838342066929283,0.012290996755296879,0.0014286952864408509,0.021556265244424666,0.00024828455022274376,0.0009122660876170752,0.0009655740210022801,0.00017129075529598303,0.00023963306665120143,0.00023410541539958807,7.511185548514376e-05,0.00013919315238353214,1.982073947726093e-05,0.01820020903269226,0.003711481495887625,0.0014578110350731421,0.00014215758299296333
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.138626731150635,2.037232763299209,2.851859113433865,0.07921176170362254,0.09518768554166201,0.15475782900449817,0.023054178890016486,0.014440716724645086,0.010011632094433454,0.0010657344101228095,0.00042530018717645834,0.0010134393582353907,0.009602146580168391,0.0035881198362627126,0.020395742302214304,0.0013572721772688867
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02643205302774576,0.1048845831787748,0.004779174256086094,0.006588979329156475,0.03044433512229283,0.0008327321678662791,0.0008712056330710816,0.0019450184258712477,0.0003030519614961591,5.925971393594409e-05,1.4551926087902345e-05,0.0006359732351741698,0.00020302423056006713,0.00043383140274544374,6.470082220677575e-05
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08597830935558015,0.03120510969278567,0.004668879165601769,0.007820272335584466,0.00020169909569833777,0.003788569295120947,0.000513517475138725,3.5697877943663414e-05,3.018565052403943e-05,0.0007281442822326678,0.0047401942661435825,0.0016695111151672215,0.03712794802384145,0.0009803174179081608
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.062343384231012,2.0079983064158595,2.929081361535791,0.08843078789608783,0.07924515417417877,0.1646082911324565,0.025185782695494985,0.00365306221812034,0.01525962994472796,0.0014232328637407143,0.0007940050527302789,0.0020162224780322507,0.0002081341995509023
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02602820016526053,0.09455878213606184,0.001305114056046941,0.028720020052368733,0.016355463749372467,0.0015055531052685645,0.00018358008743191156,0.010398391557255415,0.00026064525783886516,6.972374684743876e-05,0.0005495831497813741,8.71211341941791e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11444906672757338,0.011470412602441193,0.0013799224067987392,0.02644748912804651,0.0016455437756111024,0.00012632465421336114,0.0006282830586634702,0.00010950133455356337,6.264851167836483e-05,6.081993831008603e-05,1.452642671040394e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1429710158587487,2.1589650265925755,2.7890836632769207,0.08309401772581448,0.069850955298696,0.08059826032864026,0.0006919829799386656,0.0005968402701033299,0.0001869901336366553,2.185764741913232e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027518717627918576,0.09717366706370745,0.006310109458433688,0.020336860714681215,0.004436729582820487,7.469704435769664e-05,6.030941935553091e-05,1.6573603106806445e-05,2.7459246991767827e-06
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08998365548920495,0.004186740526427535,0.004847223654527166,0.029529237108840256,0.00040258701600071056,0.00028060214295144714,0.0001577316224905534,7.382874797956518e-06
N28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9559613167476564,1.6202878633582825,2.0131294764747043,0.00024872502903822147,0.00020375077614193104,7.594677535137373e-05,9.20207132770745e-06
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032547772959724774,0.028996556506095228,6.478570526491367e-06,3.1953284135299853e-06,1.061347228881182e-06,3.044994056899952e-08
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03191234551535982,0.00037618535632122363,0.0005990311325458908,0.00021964043146882606,7.318688635349346e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9224153105134043e-05,1.748902050802137e-05,1.8628280374133332e-05,2.0777315268283303e-06
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.255086855225594,3.619089130867797,0.17070281559895606
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5117847290403472,0.05597227092053991
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6092970303073102
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
