,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20H,21H,22C,23H,24H,25C,26H,27H,28N,29H,30H,31H,32C,33O,34O,35H
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2723333171521585,3.1836072080739375,2.8199000992624805,2.6685212168163006,3.2715280538758296,2.690932649230215,4.059154821040589,4.252496698339725,5.1267554751474504,4.765202403428199,4.22894641343693,4.202867243475097,5.30321921483181,3.740277351529944,4.621126066339911,3.83610036714395,2.6225898158855214,2.9548729952765007,1.5778915222432515,2.9961152408160654,4.25042525907862,4.835319645297663,5.094585916742595,5.965803911299005
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01651368660393,1.4558564795362727,2.086806438173663,2.495863538104157,2.5630686718220996,2.844582658730531,3.8733379921897733,4.631617507351875,4.133139463525878,4.641094254295208,4.881965863465512,5.652292698139036,4.603200231401048,5.671941510444567,4.3606349378576175,4.148058572773872,4.669174431122319,3.143299072314244,4.697726566248788,2.3883584327627716,2.6543721205167246,3.5793564251200736,4.262251015437898
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1044502384779578,2.863726216062365,3.13911338653062,3.3308734124349293,3.1729534487274056,4.556395032746123,5.203474599278663,4.724916033038848,5.504805491936323,5.762011254234228,6.476063798547656,5.555990554166444,6.632819896630001,5.24618519250521,5.1625616741761196,5.665473164800993,4.158357825451293,5.706140373589341,2.403132693358732,2.1717786572198996,3.7284992077150205,4.209798685553104
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096742501269693,1.5585088858783411,2.1558902486295684,2.158475027518515,2.628367036800381,3.4727218190244638,2.710081114322593,3.5590368088772157,4.043297055418534,4.465463338565947,3.6543558223942663,4.736521232415831,3.3030311158174146,3.6721494951987776,4.3065549799800245,2.910532415978547,4.334985649237078,1.5298168509300698,2.4180952836374807,2.3836080903045733,3.2278432556146055
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1958158192830797,2.6528977464519685,3.0601835815515788,2.7631415366922365,3.7915243827753624,2.6832455610145973,3.3065435272333166,3.938474594948173,4.177540075354209,2.9758059088368536,4.004090239589985,2.4313475619685065,3.0335555385405497,3.5062846418506117,2.406397490649842,3.8735362430890192,2.1388181102418775,3.1562732680629586,2.5530956533314133,3.473966943785747
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963741511690113,1.0959485955476744,1.5443471192540892,2.1515173801090737,2.1801435477146605,2.633967874280847,2.900724220577708,3.529442812070972,3.336439216888329,4.383354409941584,3.394653918609214,3.535913245794434,4.431359983954993,2.9899472892396073,3.9058323835756252,2.5539654670765395,3.4046446381476585,3.0666817588321114,3.9024540700310584
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7459490471221393,2.1820208883765377,2.7022724274110965,3.0531050209299555,2.7139986312052065,2.5899330774853397,3.7313224829441007,3.3246412856093084,4.330191074322506,3.6479215843602155,3.122743290061425,4.058569118828992,2.509765987059651,3.267696738053141,3.4416844172979864,4.176040505995229,4.094891032123753,4.950319737939667
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175715198764611,2.2975676988473,2.716010974661695,3.479447058964397,3.6409343614333443,4.238973450997568,4.38068341912197,5.3973664832819574,4.431524093984045,4.600969553252611,5.509956444848859,4.0158262351077445,4.885888694115338,2.640211140327102,3.1913059262784813,3.2507876308014407,3.88940411953372
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956802726631152,1.095819157066206,1.5420611671595577,2.1810869940240645,2.140240081340571,2.6451342683920136,3.5164999516830613,2.7809310589246112,3.46875684909532,4.374486637282275,3.3883592485856395,3.828035393601652,3.3232478752097636,4.379544139878759,3.1881804001341822,4.027580650170744
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74423464936233,2.122983826730376,2.4605698427876423,2.361781735763127,3.5201109682659695,4.245463094597416,3.7792725060437604,4.366147174562615,5.316385231581222,4.327387674420829,4.547907568067662,3.9609178580907076,4.88340400060969,3.7817787000761998,4.470419706184934
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1681086118522273,3.0790529921622594,2.4627243767989127,2.9028777048410115,3.7040951015669807,2.648571043949735,3.9508926520459315,4.710170339779814,3.9002648719569457,4.50621071144472,2.980271588320878,4.109015746379846,2.4358227491940445,3.23094359974853
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1005843962840465,1.096239962240353,1.5371432841947803,2.176219414266817,2.2013143335890755,2.547473017561486,3.431547515705486,2.9290036013329477,2.738333605948238,4.5566644306581505,5.673786044671042,4.389550105089243,5.290224413654531
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7446106868985143,2.1640221497014984,2.651189711355403,3.067387678617804,2.628423738005595,3.5843414561826865,2.997981125982484,2.4014942860237882,5.198846000545942,6.2231269257615045,5.236242996383025,6.138701887716396
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11841632905735,2.2890371183713163,2.6857598226388912,3.390592207900458,4.146421102028535,3.9384063724159635,3.5244504335405105,5.258843534852438,6.400571124037562,4.8467271406071335,5.6650364330645395
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0930265506945038,1.0934779319286534,1.5154339437755482,2.1099122098480265,2.21444945581829,2.1053324681546015,4.764896215333831,5.917174076124392,4.611489453919625,5.559009710220485
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767824259436469,2.094202363304833,2.346525945508703,3.0487119980510577,2.4311472740243425,5.7908416087032695,6.961683498305186,5.511941419923187,6.424957769230762
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.108395239302748,2.4317682874053905,2.5041734123238553,2.9698638277762015,4.19820247060571,5.371588952483364,3.9062558039135027,4.823300834232231
28N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0261142341537959,1.079068276166736,1.025924743028216,5.057413738522518,6.068897944768679,5.27619200756006,6.2520863389368335
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6790956946700353,1.645232582553366,5.630293499237932,6.620521983147186,5.81674477918397,6.771459775033687
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.688040418827755,4.381059326214238,5.279427823220179,4.842154375901748,5.803489983402289
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.780204523500359,6.751648608074926,6.058412213748419,7.036530492825277
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.209817334432166,1.342774627567302,1.8858588531095617
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2598990024571504,2.325328212359609
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9786589270542043
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
