,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36S,37C,38H,39H,40H,41C,42O,43O,44H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3192778480977583,2.1435834590256135,2.5143569089959605,3.268239932362239,4.6968221179112435,5.176903344237351,4.596279217475328,5.004162898983168,5.676729895400187,6.705912760331555,5.636109275288305,6.644496357776674,4.69396392866153,5.6981519897209205,4.747427048889763,4.059840143848206,5.839951066916999,6.187267219370731,7.136261155751999,7.088055868567909,7.909645315980563,7.793846067474834,8.055468308999833,7.281256324692539,9.437297598076306,10.185942138423481,11.195136713853044,10.337953473778361,9.730835064656668,5.654287861964805,4.921928122953937,6.764619574225995,6.834539536977753
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2549940381556515,3.230694086208387,1.4232446738607594,1.408126855218424,2.1711318730226985,2.473686040435228,3.4607188249952676,2.411929657784484,3.398799554881232,2.804779118891825,3.891698917118675,3.4190285314370072,3.9278152171123124,3.51615260609004,3.4009956506817383,3.973731068060822,3.805378607829726,5.51929226734701,5.93995931232942,6.015144983182591,6.219774130150811,6.115747219971109,6.075126116960007,8.014083710144925,8.816517645734269,9.878975251453479,8.691073024767086,8.653521494348087,3.829407810558549,3.7317104305121513,4.540276593624915,4.775970264533351
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0079629297777526,1.3791779427055775,3.5776658444491285,4.426121860808374,2.523037606339901,2.861483234607027,4.125618137420375,5.211438186578953,3.7198319319798725,4.643862515822189,4.902992215986545,5.760490889798667,4.664248597698772,4.0474927308076305,5.2757739797575995,5.490196027923443,6.717012115851555,6.805299026436246,7.23944644880829,7.650663479995293,7.802180990367009,7.429332315651895,9.328265351602921,10.311562383310186,11.329923738152681,10.369895508964765,10.075437524977414,4.669897483162644,3.9631062034738633,5.482957641723955,5.37068895074948
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12877204451195,4.497836234420643,5.396236370216132,2.882715237793194,2.835303774376604,4.87635099006789,5.958788466266135,4.228340992443435,5.014577349273061,5.802260396181122,6.711374889350997,5.443484690195626,4.724218714555897,6.007296758420199,6.306166364668112,7.385340876293643,7.37313335895483,7.8677838860603515,8.412980473105915,8.631539328137533,8.208760750250088,10.026309722799207,11.094624704062076,12.08819994870795,11.205728689391435,10.863705353938307,5.227489978109744,4.367548582289114,5.98442029350831,5.7242028817262645
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.436282830954281,3.429057951179689,1.399559061136358,2.17289610012017,2.7674782012732395,3.8541967163725372,2.3856488681587416,3.376295571846974,4.574788346425193,5.2160197373586294,4.341178827175052,3.9670101256816164,4.64964773308717,4.649124026438715,6.160406520185914,6.4393902274809705,6.546375118921053,7.10698046592283,7.110505167006084,7.04063374498856,8.819277828999164,9.816696839196176,10.846259876109619,9.764064537528677,9.699259573109138,4.025727927866937,3.6178010698073724,4.613884321609769,4.55073462894177
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0867855881036619,2.850675800489388,3.93809719250352,1.390634513426126,2.1465014690864286,2.4409373753497188,3.416229036565848,3.486311436505452,3.5602780938584955,3.6882473923058328,3.9254513684183787,3.7520322943518494,3.212469800068049,5.247071523141671,5.899834813203894,5.5847645937774315,5.8353576724167855,5.507691059426556,5.860135188553482,7.623561157009346,8.359708973683064,9.420790513287582,8.083326577232585,8.323420556516993,3.7971284396110034,4.119280678926136,4.192630794327807,4.577186919929624
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.937353863618293,5.024775830367964,2.156547051795959,2.4794114429010863,3.426729559385686,4.31202365062756,3.0619560282893667,2.812821899940476,3.590362345594773,4.062042882062001,3.7101746603911137,2.99683007610479,5.089805423264454,5.848903330617178,5.487541796087556,5.396791402488445,4.935694559639714,5.370907608965529,7.198057387718086,7.728098955420595,8.802317135065415,7.366173263795668,7.666038705687867,4.166747594385121,4.66760696937858,4.593080921588185,5.155827557118498
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874240763353575,2.440754571415061,3.414563381452088,1.3908336994979342,2.1450446599428066,5.535577651100181,6.028130333210267,5.156508831169308,4.868344247881891,5.088429914560602,4.982890606427583,6.533004386894921,6.874590406468774,6.693971728852555,7.607008269651792,7.54325836978689,7.728765691680556,9.242210769707956,10.360252136213086,11.359371768808153,10.25696502067486,10.379611830520972,4.203896249372446,3.9199627717054866,4.385252588267972,4.12950304195057
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4317825573678733,4.316993057847475,2.16439051658518,2.4883145120280523,6.479521486081139,7.046584616806048,5.986471661491422,5.581831451428808,5.890604724173624,5.887484906585075,7.264079329474964,7.504659738339438,7.370005532835168,8.441509848103202,8.446345680680173,8.586271885903871,10.007483251890413,11.222117798050457,12.195195043829314,11.168062266346032,11.25688094857033,4.818231354896244,4.3650340197694915,4.915872643075985,4.457712806562048
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086893896656405,1.4114505227254521,2.1639095867554774,4.642582048803789,4.635386265143356,4.58782663740491,4.804268602034246,4.250681232430216,3.6406627295492506,5.653977889518457,6.348737389744446,5.732743156102068,6.409998552217962,6.029684869672238,6.645983442455558,8.088576818787411,8.971497707675782,9.98857951370357,8.651418618718711,9.086400796339106,3.9534112769705336,4.358434744248079,3.9094797414290183,4.132116333124806
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1615839721237737,2.476815196573593,5.115752432982579,4.861004269032001,5.122936250473467,5.50248730275631,4.579142159887741,3.7770066894651873,5.825552937770477,6.646116511711422,5.764358103493347,6.463136279776022,5.9299110094586,6.81649936111227,8.061118312347697,8.8733812925122,9.862034910108294,8.442958195255828,9.086027459142633,4.430802184953674,5.052774512853976,4.137018730191019,4.449179567402771
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871127847056963,5.5417106679215955,5.762403661746036,5.242268521831446,5.214404366594228,4.8908875302524555,4.521115470743717,6.2826239094897645,6.817331831489823,6.293725291314332,7.272087834554009,7.0365902925412165,7.532973569663341,8.885174254986016,9.951620680447164,10.941768497141842,9.725690117720434,10.08010822644586,4.152543676433625,4.266816135814374,4.013011153977608,3.8918563899466183
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4997835673778175,6.648439052121652,6.127604116860316,6.123721221770444,5.591095362666147,5.186149745238671,6.865561178389569,7.418206747190617,6.715905544033106,7.905754149046189,7.6341241812065,8.28005723407303,9.42075168532793,10.550939827372718,11.502801770860547,10.293886586768803,10.770852585500725,4.742091126386605,4.915612986482252,4.310761836404508,4.054741051635106
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2312197218977134,1.3655009362532886,2.0531235442821147,2.46206903670959,2.538476668989904,3.4478500194113946,3.8739604012365225,4.358891485976633,3.469191357655307,3.5217533757034256,2.9424824469910003,5.243228461711935,5.718093827094182,6.7881264086072814,5.710940037524134,5.371001346571908,3.577219837302268,3.922050053884517,4.6318298297473826,5.352677395660736
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.282017700470672,3.162427787444896,2.8172818704145106,2.4448860782948594,3.623098719420951,4.3121051356434315,4.39482813464431,3.287398142713048,2.9715926271900193,2.892719082571887,5.057294118269454,5.283028781500526,6.376418732880046,5.057120177140672,5.018981870910888,4.122749102952489,4.737794744870448,4.917679352328262,5.747128148823711
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0149634315248202,1.4555807296721353,2.0766692009625802,2.5146967226390684,2.762305097818107,3.4290926333737968,3.070428031019064,3.4122013428485185,2.771778521299315,4.767604616930544,5.6588251870604385,6.670456500673678,5.809366269484163,5.4469610748716315,2.404093168250638,2.7051262081785032,3.5937788701275326,4.264666574654669
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.092199354852852,2.8678746581371524,3.11817611585412,3.0613897406453225,3.9869123668062847,3.8889526841186957,4.358392196383955,3.556169275007571,5.45097192068345,6.447874378876686,7.416294299555281,6.6977360413002645,6.189376755121505,2.4235434407673453,2.234216731384386,3.753629704555585,4.224786939481869
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947220601059686,1.5500420374927766,2.170479539207756,2.160423744990058,2.560496005002554,2.7961306159408528,2.822428806359747,4.1838696629388785,5.352594689850233,6.317477334297095,5.426431341195938,5.429363602722576,1.5239432398449524,2.429210099854511,2.3807364028089353,3.2143078919225423
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168501794926515,3.0681986979529294,2.5003252202750663,2.7775622641683446,2.5650488822156747,3.144765717411531,4.471399921074018,5.43577693434314,6.437447208035574,5.286910524655892,5.587426553384017,2.144388063795607,3.178151939879677,2.5620943067629893,3.470552001262624
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975819419800268,1.0962915609088117,1.530342500360672,2.1716268563131984,2.169866344170077,2.756934160638981,4.187466435014277,5.041566580288028,4.429817562778549,4.417823631305427,2.5128019079841377,3.385584993710621,3.000917378615247,3.8427860873710546
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7683128304790217,2.165046888773308,3.0765627287635886,2.50681518672875,2.934914897409301,4.487651347250287,5.233286729695738,4.962441926990087,4.612195513059367,2.746920872807067,3.2809620177842036,3.409330023108171,4.0704289774731235
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1637761127643986,2.524579751418008,3.0734714784411024,2.9157006047264136,4.4948008010654785,5.234026238494874,4.648507935580016,4.957539719456598,2.6897287123896167,3.7030160547313247,2.6521261887675545,3.481008219262784
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0951889275818936,1.094262141489613,1.8383329359474783,2.79484750968749,3.7635018603089807,2.984322631129423,2.987579785141359,3.888523343444142,4.750490033309344,4.371077252586164,5.277640580038373
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7687692546691132,2.4340361354090545,2.9528611835371583,3.9636291782996897,2.724261948599107,3.262830078083969,4.182860499336139,5.182852334695235,4.487842764904888,5.4521022909741195
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.427040517961567,2.922005041090535,3.938005828697377,3.220108633129493,2.6958062851448936,4.2311402691511635,4.901837846351746,4.979112448965622,5.85098292922277
36S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.826834464162992,2.3886131187659085,2.4463391710759095,2.44680974470775,5.260686629989818,6.078473279138812,5.538616851951495,6.368336259576816
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935812841348522,1.0946936057470231,1.0948606656893627,6.658954355454114,7.487606022057122,7.0179355157207235,7.9149826259994045
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7795551963531262,1.779447665600145,7.548182404639858,8.363847780172813,7.840031935450218,8.70630828896929
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.788755592745586,6.788004811596697,7.720646464161861,7.044893628424455,7.984328052721273
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.800707059414785,7.513410177846677,7.352075020403789,8.243262800703244
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2133745008843304,1.3467393118323614,1.8747408358590014
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254369758871994,2.2926374287519944
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764589105521325
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
