 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,S36,C37,H38,H39,H40,C41,O42,O43,H44
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03111503706212093,0.09997435546426758,0.004845933240499312,0.027793659106205792,0.0030493478816038255,6.39903424985988e-05,0.002743141517022485,4.535476015665729e-05,0.0009886977736910385,0.00011486770464386176,0.0009450614230614995,0.00010867353226506893,0.00010506191347103844,4.107141986875451e-05,1.4902379902759222e-05,3.071708064661394e-05,1.690784781960275e-06,2.018754630128683e-08,5.685086386097993e-07,1.4330175934773592e-08,6.041996991612564e-08,4.678878846586798e-07,3.411033810962749e-08,6.287166047780346e-07,9.572763692844433e-08,1.1925974430226916e-08,1.1481593453765981e-10,1.5646661744028734e-10,1.7865213752799036e-09,2.8030907175402575e-06,6.68333145015243e-06,6.375302930017313e-07,3.999133979526448e-08
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3905089366980531,0.0313082894795339,3.3918678872378396,3.5783985071715025,0.13115074469966514,0.2864069791381899,0.02686269964602328,0.3361340033433461,0.027837790799549955,0.2320718301971572,0.003961058118209904,0.006341761391107398,0.0012565334616677915,0.0069103097802022395,0.0016949796886401858,0.002212586538504979,0.0005575138910365318,0.0005304020653765507,4.0741445929137754e-05,3.348635081823481e-05,5.897286083592079e-05,3.242108794765386e-06,4.452931511256253e-05,2.462141705833476e-05,2.3295641402160117e-06,3.0350372370868683e-07,1.1593784554619901e-07,4.2070036676555844e-07,0.0032423506325919282,0.0024601527782268373,0.000375739024723612,0.00013729178828092437
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9577554154147092,3.374014845804994,0.04719193920107348,0.004226019049939467,0.25309048147878155,0.007299879493100292,0.050277420675980455,0.00044329327250225425,0.06652382175098281,0.003039344704137914,0.001306013341979606,0.00020846115681658062,0.0009572331786631139,0.0007937232739056999,0.00013583065037542363,0.00011595930108043717,3.5719979261647494e-05,1.6501752087005883e-06,7.987462004255264e-06,8.999759991704104e-06,6.680415389759276e-07,7.884429396698422e-06,2.733958490166999e-06,3.9384988888280237e-07,1.724227338684159e-08,1.708012642431811e-08,5.278106640638214e-08,0.0002617250415566097,0.0003176343623136346,5.140942907287671e-05,4.536455034542808e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11812715463178824,0.00357164904083207,0.001398303899192932,0.007113276559485793,0.0034015144135808306,0.0005413537907229538,4.158800032239007e-05,0.0005887352157705195,7.041834750687315e-05,1.28360298699004e-05,8.869691943469427e-06,2.7530961893562633e-06,1.7780891068408522e-06,1.3826348230772112e-06,1.376059061142243e-06,1.6185569873261585e-07,4.516166796086907e-08,2.0994395111273434e-09,3.7442311695556896e-08,4.805040143551764e-09,2.535707932516118e-08,9.224796038154182e-09,8.42325653671594e-10,3.573075169072126e-11,7.567613202752455e-11,8.950618024528012e-11,2.6730840222422003e-06,6.647074376142648e-06,2.917980729266745e-07,7.098168053332188e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3008581682165979,0.027346789796391935,3.585802965737589,0.13231391253955005,0.22948505989984427,0.004021785539561895,0.35327366087148027,0.02824287886960075,0.0005565678691653309,0.00021524014839552352,0.0009932425061090766,0.0002142797066082558,0.00031744629775368183,0.00015792174375584,8.587956423078413e-05,8.570890889458838e-06,4.6791486063568755e-06,1.2964743271892676e-05,1.1186994870460154e-06,6.07024082532881e-06,6.100657580873636e-06,8.188750459520167e-07,1.4110528989697002e-07,1.431266216656013e-08,9.014759960734864e-08,0.002318162472708135,0.004218675408745681,0.00038327516699498965,5.781420477446453e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1052516426297947,0.3076123801413305,0.0036027805541147817,3.9803995437595656,0.1302919343679909,0.32080809986991465,0.025827087780103675,0.008335018134297129,0.008669117433904305,0.0023739156062744515,0.0001910303525473056,0.005377146516334169,0.005997865404400837,0.0007522307589279686,0.00018103270181835107,3.6261191532549475e-05,7.398234351946309e-05,7.193875330768762e-06,4.640846967651768e-05,4.185455040095487e-05,5.5437892028387115e-06,6.545367499111165e-07,3.1599808880677926e-07,4.6098194173005425e-07,0.00381970989467581,0.0008849303031643746,0.0007703841894956126,4.65763121907381e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034983406358011226,0.0007560677179418995,0.12935167149997007,0.008508520525825736,0.027221362902888124,0.0011106614541498416,0.0072423598394348865,0.01696333114097992,0.0018808534457828152,1.6737656144627522e-05,0.0005925159577071515,0.0011736965725894777,0.000158167683028676,3.584550865176617e-05,1.1164150674369822e-05,1.9434776194371395e-05,2.4172121668719626e-06,1.1525226740305428e-05,1.532273096194192e-05,1.2766983245038332e-06,2.2783478215160358e-07,4.0815512525327335e-08,1.6789014845031147e-07,2.7743921062750587e-05,1.8676752320256895e-05,1.1119573689155615e-05,2.297824994057507e-06
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1129969981911882,0.32113012009548625,0.02627497171029236,3.9528429784628116,0.13085188824841554,0.00040381107442433173,0.00032189876206142887,0.00017505044942831005,5.4737176092278794e-05,0.0011231497151734382,0.0006722217033418021,0.0002403853887707058,2.5082955917410388e-05,3.697408400782365e-06,9.353881645052242e-06,2.7011706622559473e-06,3.425443632298908e-06,7.643431859827299e-06,2.505241110159484e-06,2.1724927212751766e-07,1.6617909714966572e-08,9.344155915691488e-08,0.0011666400208622807,0.0014581129143780708,0.0002867440212783595,0.0010082690792189153
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027623091948549394,0.001074861952025108,0.12606780129209572,0.00838296533045546,5.837915343587241e-06,4.7848405745343214e-06,4.094413668331853e-06,1.7260013129849483e-07,2.1094029671875347e-06,3.8019054504623284e-07,9.697289917731666e-07,7.1691550473929055e-09,4.0597727624103186e-08,5.231133326510928e-08,3.2395717219912967e-09,1.2971705487530016e-08,2.0330365946286122e-08,1.0411359774309403e-08,8.230114367790975e-10,7.802403168000183e-11,1.5087464610985535e-10,1.1730526826791987e-05,2.137299868243403e-05,1.6939066576071582e-06,2.951718584442986e-06
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0552999870936834,3.7387172676903284,0.1245542742735617,0.0008495234695609366,0.001427986361113423,0.0005069466054096472,0.0001072841727864926,0.002434386669743882,0.002745498934590196,0.00043194495348375384,5.4149127256541973e-05,2.3027705269296206e-06,2.183503245525853e-05,5.198976632758701e-06,5.488707444323282e-06,1.6462017801005535e-05,4.384514355693092e-06,3.459160009544604e-07,6.289047038698925e-08,1.8396684109411865e-07,0.0030401930427171597,0.000458815009932792,0.001715516299314962,0.00039950668863431016
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12562057182684638,0.00808495816267274,2.5496531580682102e-05,2.8162500954720393e-05,9.176273362720977e-06,1.0580041633900805e-06,1.5320627973158807e-05,2.2842627761088252e-05,2.9858247843073116e-06,1.4977317726039274e-06,7.841828164600884e-08,2.2562630719313859e-07,6.94334383322115e-08,3.178464758057942e-08,3.813982385469927e-08,6.784137251969469e-09,2.7067659225110674e-10,1.988318620860241e-09,5.534017688546555e-11,1.4714679640537298e-05,3.5101897992717568e-06,4.2545511703906413e-05,1.3189237100252882e-06
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.919173214543434,0.0006724864660863084,0.0002733737483804066,0.0005513839969170098,6.716162441955387e-05,0.00046758028709789623,0.0001409232001475802,6.936217702258052e-05,6.700085953381674e-06,1.1989035946236015e-06,8.617798193999437e-06,6.549589237625497e-07,9.197408770367232e-06,2.6300742375501285e-06,6.117388939852475e-07,5.459076146685504e-08,1.5889390470036346e-08,3.498314460337326e-08,0.0009927369807370412,0.00031738580294041197,0.0011609174745198236,0.0016053076433374391
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.114358256661731e-05,3.080129099819473e-05,1.8588271897268527e-06,5.146159223201607e-07,1.9066986951532527e-06,1.8119702205332544e-07,2.119879509709932e-07,4.528589414576345e-08,4.771160266869856e-08,1.4174893547824752e-07,1.578465247398242e-08,1.5963899557824845e-07,4.3415742889685305e-08,1.7926919948507702e-09,1.6857693019289854e-10,7.722267270082739e-11,9.259533140237863e-10,5.691870031521162e-06,2.758692373650007e-06,1.6569347194517192e-05,2.7585015230036092e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.724063024777653,3.5551258593353285,0.1409381882334405,0.2732405834821663,0.027600738325179064,0.031249570936637938,0.0008175969846149211,0.0037291069964198176,0.009894109991826688,0.0013285613455524814,0.009158570849003178,0.002310824126690786,0.0002418791616204674,1.1756900688997263e-05,5.533620553777041e-06,2.8812438624292724e-05,0.029126862707479217,0.006702713521610837,0.005524874555095066,0.0013114935001438122
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.540662287309389,0.026733532410512906,0.06682048889423785,0.03970793118385518,0.010462684510249828,0.0009240151252215556,0.0014016394106640684,0.015761187638360694,0.007615103488588182,0.0036338852795695376,0.0035870751898562647,0.0001502185815839413,2.0513645185515905e-05,2.313073655912934e-05,1.4640962706646832e-05,0.010215788886375116,0.004260234293991638,0.0014740631708693164,0.0003942666271586903
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8140581097383333,2.8152202616945767,0.09373694301679691,0.17861968390313168,0.008221725784108624,0.026166811134543888,0.017354788591932027,0.0006846158725168916,0.007457184837367681,0.004029056774428594,0.0005872597095048088,5.2269837593099666e-05,1.9438785529679592e-05,4.760649738511091e-05,0.19546765391225174,0.05684810201856397,0.027825196147576295,0.005379343668755698
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09751018021613755,0.020948027377414746,0.0067549436414502395,0.0008703344105256416,0.00019945829710432683,0.0005223686630324575,0.00011323042204636202,6.809119732209545e-05,0.00019470056913883926,2.3633466324057828e-05,1.4852335916692994e-06,2.5514443546814647e-06,3.087242247845623e-06,0.03498627247410435,0.07816895984632621,0.005653746367652812,0.00017776365134980487
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6049675319229117,2.5937724124246944,0.08627723781216412,0.09233430470105897,0.16210600273494694,0.008815618729423491,0.006361507418661594,0.04099714244465422,0.006787112201050022,0.0011630193550096202,9.74074313078166e-05,0.0001033968723889167,2.758762426325206,0.2822639498502979,0.2219708404817842,0.054273661970241194
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08084693502355156,0.0321636605532829,0.003655442554055366,0.010674930400928484,0.004291446288583467,0.00021551252606100135,0.0019173474784740518,9.657666217588456e-05,4.547919377451137e-05,2.670179275265916e-05,4.9910320363277805e-06,0.11040843947618995,0.027613361101405,0.01116807921438856,0.000825760672329201
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64738274512822,1.8725447532367718,2.8769508561815975,0.08637317357585217,0.08378105140395498,0.19269820814820945,0.032470797471916155,0.004124821127545197,0.000797335902167351,0.0007720719103587736,0.19880765066695696,0.042502255773336495,0.029902929779843906,0.0019706156909771178
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023472547764570306,0.08400076799690015,0.03393468383430509,0.005327525454630555,0.01736417168001325,0.0012174821571832029,8.302648211411245e-05,0.00043335902552299466,1.678324539300391e-05,0.009823810564803859,0.0019567269418387934,0.0008224395766772696,0.00014368778139584037
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08118600207238857,0.004518600925635274,0.03400526092723588,0.019103985550702696,0.0015149629200901238,8.844850222899936e-05,1.7051744742868635e-05,0.00046122669436576835,0.01106974461282606,0.0018849844554773565,0.01251275055894463,0.00024738148260294857
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.663072492578157,1.8828504931419332,2.7162594384021364,0.11730879266637684,0.02711275255028378,0.008576958209601804,0.008631359933616523,0.031050693223717035,0.00783181618704211,0.005095375528233803,0.0004487963799731931
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023584521677318504,0.09332823622463182,0.0073221316927870594,0.00028779392392142,0.003968959130845828,0.0008899720045629778,0.001095954321309156,0.0003037503096849914,9.796204080114723e-05,6.961722694320827e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08974678700312788,0.008318425598247026,0.0003846965085585463,0.0008595406544023021,0.004309043903997445,0.0008828698924021605,0.00013977103059159557,0.00036698313883287703,0.00012516608686352626
S36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9029390570453315,0.09227924585507008,0.09810384579825071,0.09554336102716066,0.0069550414682311434,0.0024289126621951027,0.0007956382777986742,0.0001453839051981376
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8150108766978348,1.7009448691557827,2.0021665022773774,0.0016026665157601316,0.0006266640262392459,0.00023509040741809262,2.7769697644397517e-05
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025147156270043824,0.02508845868230325,0.00036424290811565285,0.00013714321460278622,5.3405502626557855e-05,5.884684025181386e-06
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023589872083173313,3.223086408388198e-05,8.850630192180908e-06,3.7187048724796057e-06,1.1172597775832571e-06
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.921616858175824e-05,1.1471259322548555e-05,8.010448157680372e-06,3.132780357351095e-07
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.876253205764872,3.4867761454775774,0.17056905025449853
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5166660289528608,0.06357607516565578
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.820081408065616
