 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,H36,C37,O38,O39,H40
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1153502155063737,0.016791990712056726,0.02566051507708722,0.0006967542399760607,0.0013259474319058384,0.0068113873917854395,0.0001957698742598435,0.009978750851856621,0.002579184972338222,0.00109751698383187,0.00041264361410076056,0.00011690617655513158,5.097386792662917e-05,0.00012167207190394436,1.3410601430119407e-05,4.270550714391419e-06,1.0471710047976757e-06,2.9644298452646822e-06,8.482163729173209e-07,2.355610200344138e-06,1.728004650480841e-08,3.911405122791756e-06,2.2724715442734578e-08,5.211751625822103e-07,9.28994592364063e-09,0.009822073395677089,0.06296499465784444,0.0036313753197642074,0.00012472719453548997
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.669207894614319,3.6670611580939774,0.1358192153259964,0.14686511968417182,0.002621268954466044,0.0011966299005736203,0.01019971161729874,0.026878506741551456,0.0013732228956066517,0.0002856772534314267,0.0004328419331805222,1.4119469113671457e-05,0.0006065862546797973,5.200383075243398e-05,9.267577792237969e-06,2.109336671551887e-06,1.7099372819795455e-05,9.955600230870942e-07,1.6259684510466776e-06,5.869532748725703e-08,3.952000473289585e-06,6.047807488140933e-07,3.2469595900308512e-06,2.5359041533334903e-08,0.0004860712698064318,0.0017309515716329577,0.00016884080501894383,2.1570372242707414e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5580336958931061,0.03181770239084425,0.028522357705412338,0.006326447367792157,0.0020344895874144786,0.0716201113247455,0.21099449187517116,0.006491761386183695,0.0013107414559482278,0.001756234790059083,3.989984445973427e-05,0.0027974119303205702,0.00016476612851311356,3.5933900241799654e-05,8.414186722482953e-06,7.14985704801524e-05,4.816443394672909e-06,6.465874404101846e-06,1.9634986758720885e-07,1.3085024765505104e-05,2.0273060665765286e-06,1.32652461226207e-05,7.95192354186014e-08,0.00025581455124319696,0.0002124462955759715,0.0001465967064618115,5.686636586410554e-05
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8288047642227743,1.8044044563500177,0.0005576966943185158,0.00018651971271631956,0.0033369316566862622,0.007373516769472066,0.0003970810395448887,6.450353492049032e-05,0.00019164474617065774,2.568541711434058e-06,0.00035330438771985495,2.039175242377067e-05,3.5127637065535122e-06,8.094447370154967e-07,6.808711148331703e-06,4.269190270189682e-07,7.054377154647185e-07,1.2598377452377463e-08,1.518958539226123e-06,2.4222359407133354e-07,1.3591164085974272e-06,1.3798697295897e-08,0.00016830885563248743,0.000534282390064672,6.341170654171335e-05,1.0837735496371792e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037877065624000616,0.0001287130837995809,5.843015018236475e-05,0.000797440320903231,0.0004071444116680034,9.671466800387218e-05,4.036117185335364e-05,1.7814047877817707e-05,4.6820630750232795e-07,6.644370041275494e-06,1.7174198739811075e-06,3.8032988103342547e-07,7.148150871216785e-08,6.299309207591364e-07,5.749603082527699e-08,1.0260367611092391e-07,1.798734494684595e-10,1.817385303359842e-07,1.4256970271020464e-08,2.0285316437718137e-07,1.7769519189414495e-10,1.1127564247592758e-05,3.262221602196025e-05,6.409618756308966e-06,1.5539845252821038e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.382599125487332e-05,2.1863955302570126e-05,0.000274947511637591,9.333795693233782e-05,3.8656431419981097e-05,1.5699117706713395e-05,4.2242297761951875e-06,4.451523798465473e-07,1.272178182132322e-06,3.054855916007071e-07,1.159315193843824e-07,2.2283257461452877e-08,1.619951666143038e-07,3.864175623924382e-08,8.321792699383934e-08,3.443978435768713e-11,9.979025661355223e-08,2.177629854216434e-09,3.34232217458208e-08,7.311129479603551e-11,2.606325005050092e-05,6.830873074259447e-05,8.40384560163443e-06,1.730279231004772e-06
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.322360265472991,3.4476931646837916,0.13825498381246826,0.27910663397823726,0.018428325031135673,0.030202011261407452,0.0013441600909422924,0.000926017211806851,0.005753169732569952,0.0013487196376704702,4.7183271254302994e-05,0.0010630327872433731,9.920597849832902e-05,0.00022417126020024547,2.808642016360885e-05,0.00021922976907351455,1.6555676919161044e-05,0.00038706102176744306,1.072723756490035e-06,0.050669878852547146,0.010677903802839867,0.006566914970955268,0.0008167511847786413
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5319445066857574,0.024166878334850095,0.07248645375383041,0.019057576455454694,0.010237140767951874,0.0009179850003875334,0.0006688664077237894,0.001322590313973665,0.00037041466637847964,4.178589419256973e-05,0.0003147378892982694,4.084340416354859e-05,7.715825722459657e-05,3.4983345365002805e-06,6.530339574634114e-05,3.139461845713676e-06,5.7796840989533804e-05,1.4428778594144376e-07,0.046850247832651806,0.008503790540889893,0.005395907612096212,0.0005706920403498739
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.607555659870923,2.852751414865996,0.10104376916306179,0.1852746042344228,0.01276617531497315,0.009019356504599507,0.028495091207899614,0.005401289834200421,0.00015610662451492896,0.00494081384427042,0.00042695763912647955,0.0009941596380040052,9.81216547170094e-05,0.0008505274246708855,6.262438194981623e-05,0.0013409363113376233,4.481392130384343e-06,0.19492905353276974,0.031709858521426715,0.02719038146054989,0.004848511244753051
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09575861012770126,0.017541627719579678,0.019812150611592694,0.0018781256494915244,0.005922003126691333,0.0015849354915261626,0.0003896160025201878,1.6424201843667774e-05,0.0007456983981560805,3.587087264955713e-05,5.240175785969914e-05,8.005976041447482e-06,0.00011261530765660499,2.3311108357404464e-05,0.00013814966986203103,5.444801209897321e-07,0.005467181030521129,0.0009844766595726862,0.0013554299650497814,0.0006050569601896427
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97305010350845,2.696427398642729,0.09278787388608545,0.08462147076920323,0.17538532543017954,0.0364005113846593,0.0006131821293979822,0.034713415469013825,0.0012338830036893178,0.004846180042566095,0.00020869335499273944,0.004115736134590875,0.00011598899794051931,0.013082288491714361,4.025513335470521e-05,2.5903045210868236,0.2605140341430884,0.2142466468001312,0.05491867274548334
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08065530818102928,0.00523036987584069,0.03362968948165879,0.007282000790919008,0.0006462751624769503,0.00016951812631305074,0.00414483025394774,0.0015809364798593517,0.000445714051799162,1.1413822067485313e-05,0.0005421621918458852,2.06050617073128e-05,0.0003243611549056391,1.1967977938898144e-05,0.10052297308519353,0.02205973990422183,0.014893105866298662,0.00113543575190711
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0092400285444514,1.9914752252630092,2.7789314639269524,0.2488173406390023,0.015338357260439528,0.23849017037554426,0.01393499704071921,0.03589152651653499,0.002656200776734563,0.03697576229660299,0.0026604475415374917,0.022396037423419862,0.0005200853310225462,0.1838787890061936,0.03875123797269915,0.024068948606100954,0.0024061876278396177
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023900634231076356,0.09613622853812398,0.02840637517236355,0.0005370691157435825,0.017124268774886486,0.00391630471171589,0.0030122511922663353,0.0005419686898779918,0.001825251236519776,4.567682253409089e-05,0.004991779679662467,2.1537079293310057e-05,0.03010166005674253,0.005876441140730049,0.002804933881928373,0.0011050442507103408
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09830703537504348,0.018351923738699094,0.007329714866400883,0.024366901918985606,0.0007505369489482216,0.0016353737039944694,6.556626180986846e-05,0.0027919077782199153,0.0007295811603131863,0.001787350711040414,4.030399027699083e-05,0.01069189973279272,0.005947837453824101,0.0011991275699321235,3.686292259308388e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7537085838304316,0.12499764927475643,3.688536172377927,0.12336850717301862,0.33312975701594527,0.026328004740803213,0.33100828897629914,0.026289770016832525,0.30129147433266884,0.004032846955049685,0.018818823354676245,0.004162342295984459,0.009237024535984018,0.0006724244512115174
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9095760650827018,0.32701873225179734,0.028393822047450668,3.791815894624191,0.1307200340553527,0.31549405093949995,0.003605781310261902,0.3323391498746546,0.027361815176609294,0.009204317092504827,0.0019391048649575193,0.004822400452349149,0.0010443932626498231
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02836077407190518,0.001534539105098487,0.1269236458464431,0.008207892209102452,0.0038936111707452703,0.000514420898591661,0.02686363008461501,0.0012323915833873933,0.001920312565869109,0.0018001842820284386,0.00022738690145973628,4.377787740850181e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.030130542575049,0.31692514136041083,0.0035553262197924873,3.8124509537683373,0.12972881812534243,0.33497922388973533,0.027199789134727537,0.002947051898891967,0.0008638103784769369,0.0016856785337530517,0.00021307872545150985
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003848041572497074,0.0005264834031877275,0.12834219361512278,0.008282991337215329,0.027163827426142984,0.0012270687740794095,0.00014235721524991085,0.00011229981661375898,1.2492835793964652e-05,1.5659107863719157e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0322037666851758,0.3340294562596619,0.027220577454109884,3.8009479997191136,0.12693499246879525,0.0009640191919776386,0.00044281045092058047,0.0007530475175273887,0.0001682842297756615
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027429939710786222,0.001355745862377411,0.12477616851808104,0.008041919217793847,3.756929386478092e-05,7.86123881113543e-06,5.123776908977362e-06,1.0944276600532987e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9125028800414776,3.8296951535966772,0.12805274979529524,0.0014710591442575471,0.0004204127344673986,0.00037666345717952965,8.486630989523736e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1251829162274456,0.008017958256989699,3.4749893631502715e-06,3.3355321710226704e-06,1.7040918525168536e-06,1.0327435902013349e-06
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0070285131892858,0.0013043679202885683,0.000163441770725678,0.000545599374626532,0.00016142226094162382
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0226210271534484e-05,1.0939753607330793e-05,1.0159187509017897e-06,1.5766907313086165e-07
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.703873138622388,3.4688045390158937,0.16536807933222542
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5157743967416628,0.0658514739017626
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7154417946949385
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
