,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36H,37C,38O,39O,40H
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2356098563277038,1.3600059842718903,2.0832628564233957,2.0464347881637637,3.7312520645067044,4.8280017896239995,3.481433446458537,2.6793275465165167,4.569831347525058,5.4968664106250245,4.820356460388233,4.958347557305392,4.144449177553479,6.215623386019136,6.624589204458727,6.020052673025846,7.352993506738769,7.377120317577606,8.009858539435845,8.496892045428037,8.62193465397123,9.505706969277812,8.914200173233446,9.973706902212225,4.857399414583018,4.292586295172939,6.193636142988687,6.517343457851122
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2576230650916362,3.174534028048754,2.4824991967868275,3.5111089009429897,4.70536215067356,2.9100585020715837,1.9300156645357087,3.970900804575874,4.862393874853397,3.98460041865904,3.93240127118609,3.3709642501852186,5.4265697169130105,5.988042177680846,5.5173274425329595,6.480420492127359,6.4348444621301955,7.379455458758007,7.964077515082038,7.783942503973332,8.624061792481994,8.1790401463537,9.25192052791361,4.60043907533481,4.302752384260246,5.925706711465779,6.403796013274692
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0083130981798274,1.0111011498233484,5.035640189666277,6.111301777525254,4.834848295399735,3.994984040435084,5.902794055492093,6.847006274710441,6.0277581471001564,6.128746001799191,5.247902197355274,7.37850139199604,7.677624108704797,6.980512681409909,8.555615761178318,8.612152771489477,9.040387934486649,9.441087733139609,9.797281413355648,10.7036378309101,10.016869678401914,11.059085350862025,6.127477172569406,5.44680393860162,7.462642188044854,7.716003766927579
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7389259623775466,5.528808806535325,6.502509126814263,5.500323876335744,4.755923150307627,6.556722093963606,7.500308681340784,6.80289553647665,6.992700756033791,6.015672739291121,8.121019238984424,8.339226336526414,7.581482120795332,9.33254028506519,9.424018049982267,9.682832990659728,10.021361184512246,10.550825033563374,11.478336525348393,10.71162434503388,11.7399224130879,6.600412352839111,5.797409365047767,7.903286272869804,8.055439638341857
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.673418037850246,6.816849448126629,5.327546531395978,4.392577920444547,6.377829969171332,7.314119118325636,6.29920562294987,6.270493664006587,5.491622744025391,7.63655887436735,7.954760904280127,7.281101746497257,8.782184855114982,8.816492696684644,9.30412173781126,9.711548839721637,10.02107668226984,10.910170595428989,10.258185982538317,11.295254189749299,6.756445174521006,6.15394688621674,8.101877006605992,8.413953346165153
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2309018517594417,1.3619371100050364,2.0439810667104825,2.438443965824307,2.7290551568501606,3.7314377674284547,3.9026887558469956,3.958418231376293,4.996485872889664,5.869267311007723,5.77441778020041,5.657124790653258,5.386352745591346,7.117824668203917,7.881006400423431,6.941937209046228,7.596739653277716,7.589037984610242,8.628432034004986,2.985562318377254,3.2839250988367237,3.9078635887530675,4.507790083967555
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2774844155403886,3.1564094933186837,2.7714584812262006,2.712283506503963,4.279416777880849,4.574447043474757,4.673974330604835,5.293756261747033,6.135260933021922,6.134639312146118,5.801231892058671,5.527868154183105,7.253212925776582,8.011967189003604,6.970627843957256,7.551977769681182,7.624697491072226,8.603907168589432,2.9726646234372356,3.4286423098929526,3.5108114974495037,4.055686569838846
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0235113858127785,1.4511613241076013,2.088664921597398,2.4384612279233515,2.6011741312230714,2.6556786966805657,3.815515170275508,4.729225261826273,4.658123946155109,4.581053043711519,4.388591242896727,6.029844802777088,6.820531420712016,5.912612775003795,6.635688125676261,6.535299641062558,7.604671830022569,2.4566339746732115,2.8822422197312774,3.547680941683673,4.258633989839294
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418159991956496,2.948196739050436,2.5487666843691854,2.5792513296155835,2.403155104066109,4.047018746164288,4.864899314292966,4.6531054836665975,4.953621345168483,4.8191245654719275,6.232707976694953,6.969476173687885,6.300994950066689,7.078828474550397,6.850136313547456,7.935058759196849,3.067123326076969,3.2092343049090086,4.293445147053655,4.934045752267243
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938876432548357,1.5503264990661028,2.1413126463762326,2.156346113549875,2.5787940594119907,3.507008219561043,3.6229610479003718,3.3320787973965658,3.318272273228828,4.718299831672441,5.54971897279528,4.587980721085775,5.351874028835069,5.165219611624576,6.218085361741184,1.5330930830329705,2.440535250952397,2.388917740314783,3.2223839936369325
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183719777650936,2.5042021627696265,3.068030091095866,2.8227818525771537,3.9255149002943015,4.291170936331604,3.1028050257439688,2.849801716607666,4.939655467824196,5.86203092882818,4.311899188513074,4.900452976808178,5.10181472154535,6.103673466779306,2.135931745101464,3.2532864681803977,2.41850102349869,3.3740895749886977
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970169117059896,1.0969333386003772,1.5137885541652525,2.5353898616217743,2.732887328974143,2.534249567301213,2.7327578861071022,3.8226584141649034,4.688480591193234,3.820770748657945,4.686364214334362,4.328628894562748,5.415672733993367,2.5282175783184067,3.1958963563142873,3.281286617807924,4.0395073720229355
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7640646019981052,2.1542131695402476,3.348261831723018,3.6485473950009144,2.725045449953445,2.5628878039828122,4.523836271039857,5.451555766295747,4.082246524460036,4.790912464472511,4.820232827614344,5.886572838125816,3.4533768431651706,4.1434860364512875,4.1876341219796975,5.020642323633978
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1532883732533197,2.6483709760235503,2.415413012845401,3.4083455870982875,3.748644121680977,4.032099671061205,4.714406579362719,4.567387521171243,5.517100722543112,4.819324289697813,5.8859902952658185,2.7525387801075767,2.989682392717706,3.7469818227784573,4.324772227026401
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.401245769682253,2.154632266533552,1.4020429899995959,2.156794256254937,2.433079164629578,3.4140751700971874,2.432658377453791,3.413930041869366,2.814861144009644,3.9019021201073634,3.0649257587796646,3.8360432861110585,3.2631449566247643,3.9405048488626977
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0880973967912386,2.409379926243329,3.3971820915826463,1.3965690450535504,2.1540571332388168,2.7865049511315187,3.8736621765548547,2.4196407513550113,3.4059060603524416,3.4326671175760235,3.8921610636245494,3.528993171462805,3.892711571556912
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.396294761071667,4.2971895862854685,2.1552744671565462,2.4771723022834533,3.8745961149453967,4.9617521302982475,3.404018418173227,4.302694118134012,3.3135670354349234,3.423216174938147,3.67197642829093,3.869496760316359
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088388147547952,2.7865926549652733,3.8738220307619144,1.395142735285527,2.153019344486303,2.41958907827584,3.405338728794829,3.990262221321561,4.962250927930753,3.8465326247760827,4.6062518561092585
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8749579581167306,4.962183581108525,2.1529209318459883,2.4743046151561408,3.4035850547618653,4.3012481928869075,4.287725333060225,5.351807358330867,4.20530443978759,5.0808844535959
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872589912757862,2.4140825058959376,3.401274480331874,1.3959800175886468,2.158251750370104,4.536445593489884,5.032562776463849,4.28453116945973,4.519571716834111
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.401794115181969,4.303245786048744,2.1575534944903882,2.489036789773053,5.1563090322051535,5.456893051327033,4.895207556505894,4.933317597437092
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871795749868978,1.3972344016859022,2.158945746242206,4.971010882373637,5.8994235496706775,4.548546969194132,5.146590151360429
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1582228707290114,2.488969682114435,5.827089481897258,6.8318166169954715,5.30276196854191,5.9278397577820865
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870444515343938,5.2039777289363665,5.932761306043286,4.743673533428388,5.110703037301242
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.178155222857892,6.882346503153413,5.598436090988728,5.871636983936767
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2143680093308826,1.3457237772344337,1.8735787135478967
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2509596895442057,2.2860081268534276
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765721371507667
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
