 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,C32,H33,C34,H35,C36,H37,C38,H39,C40,O41,H42,C43,O44,O45,H46
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1368436286278003,1.8474635104673802,2.701787234523759,0.08588449529847109,0.08692346068557255,0.15215027193570316,0.005933180218105516,0.024179916630448828,0.007890744301636055,0.00147220315951338,0.0009368940367285306,0.0006256812587915606,3.876720314344162e-05,0.00010445834039723989,2.754207925570462e-05,7.961540875428552e-06,1.5203729755164375e-06,1.194411116123284e-06,2.954343563177364e-06,1.1634263426679725e-06,2.42293749952438e-07,8.116501398480747e-07,8.479675628336736e-08,2.577637804451749e-07,1.1979430336594987e-08,2.850352160965741e-07,1.147684192126519e-08,3.466240955374289e-07,1.205133991211138e-07,7.184373096436047e-10,0.00029652102953070525,0.0017246111714554202,7.739946116488983e-05,6.512373960543272e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025832535369286314,0.1277348243158436,0.00336137326777175,0.006318677147487239,0.033423368252677,0.00030619225601258293,0.001497213394788588,0.00048728270039544164,0.00020664041259577104,8.795575503761643e-05,9.141349631480722e-06,2.351361513053263e-06,2.8780793819294104e-06,9.601538799586251e-07,2.384211588157825e-07,8.036814280742988e-08,1.6193791196883467e-08,5.055690599498064e-08,3.292778949504083e-08,2.0650874343886017e-09,3.138811366376615e-08,7.027368909007237e-09,1.2015189732039744e-08,1.1076362049777799e-10,1.4983593032980025e-08,7.960831993614192e-11,9.47287071006997e-09,2.5998903030455267e-09,2.2132295995902496e-11,1.1691030600280428e-05,5.4069926905153665e-05,1.4329322886030837e-06,2.680278121669488e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09046010819624373,0.03281200716590327,0.0033377768163151966,0.00786502400764455,0.00010696002618115763,0.0006018878917395387,0.0040466265810772395,0.0002280900489852744,8.475918336869892e-05,0.00018389670303076144,6.203797978887593e-06,2.1969695042312054e-05,3.855774004302148e-06,1.137163152309384e-06,2.5689969018749537e-07,2.6279681786256504e-07,8.381881280161707e-07,5.494164081465414e-07,4.418253007898443e-08,3.843394238423059e-07,1.3527374331800956e-08,8.535955853261612e-08,1.6634460475728474e-09,9.192875705110737e-08,2.6650475160039377e-09,1.7818633191168942e-07,5.78687211483242e-08,1.2016787565016784e-10,0.0001083934746868298,0.0005260864636368323,2.6396812687012883e-05,1.8139915731740786e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.905406897268159,1.8157928748371481,2.7935459237157434,0.07224849458923133,0.08198875766263769,0.07735040646828595,0.002529277657357637,0.008497422351526757,0.0009096647251300993,2.272496058497442e-05,0.0002141801222635964,5.400368917551912e-05,1.3302562773848114e-05,1.6612900717305479e-06,1.4752704875498068e-06,4.498099948735401e-06,2.086578757498625e-06,3.312810812339251e-07,1.503273025116325e-06,2.1586531739892223e-07,7.434374926229559e-07,2.4194186432069387e-08,4.212610306975062e-07,1.034299379476522e-08,6.267864069986473e-07,1.97643098873157e-07,1.9119065219896925e-09,0.0028522813755569587,0.018882364441548005,0.0007156977371629847,3.6101693590806505e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027833383794050315,0.09412427642269605,0.0038298030440293562,0.007356898882569629,0.027511085891247955,0.0001253848523288248,0.0001812874754448801,8.884373043249738e-05,3.0753089930168898e-06,0.0002544710162957209,6.8424886718876365e-06,9.46614784846922e-06,5.595663588042754e-07,8.504202808623518e-08,5.639858623007754e-06,9.61780745822871e-07,4.162005873276087e-08,1.1745101485827192e-06,7.804425039559248e-08,5.541554640720037e-07,1.3915934848895972e-08,1.4349418842041217e-07,5.624269272530569e-09,5.669171995181799e-07,2.0044475745883972e-07,9.740328543728083e-10,0.0035433907770066053,0.03519869347533977,0.0009605222889254028,3.598121652581554e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09575705155536529,0.021496126548646854,0.004275051378349604,0.0059767282278111455,0.000571656448580038,0.00201195603770965,0.0002182448955037053,4.44228932927615e-06,2.2244626576739535e-05,1.149197579874972e-05,1.5037016709573692e-06,2.838377386460422e-07,1.9959438679606478e-07,7.50637071611493e-07,3.1558790603014586e-07,1.2459224785210665e-07,1.307631120051056e-07,4.0431708647759024e-08,9.647884435803888e-08,4.615688053988265e-09,5.943582892520283e-08,2.310462710042316e-09,4.863066593863152e-08,1.2739196031397171e-08,7.153388992264809e-11,0.00012159137767953077,0.0005551001401440381,4.424031826000263e-05,5.185195860013536e-06
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4859012524424193,1.7596304225961015,1.8081794586007054,0.0308896751282364,0.1294080500090986,0.011064286051550506,0.0001288322365522454,0.0012244807657003642,0.0006668354064403026,0.00020318712247444082,1.996044390772944e-05,1.1910989737629052e-05,2.3431446210683826e-05,2.3697362272326328e-05,4.107735288805259e-06,1.6057475529407395e-05,2.158714397126893e-06,7.403296309688168e-06,4.9121409051444687e-08,4.795804918134028e-06,5.493163879322083e-08,6.352935935372006e-06,2.1790903260432426e-06,2.48131577507138e-08,0.006532269159939902,0.02669520579095136,0.00142851353756214,6.965094176725195e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034313141343983666,0.03358808195054097,0.05208029054915575,0.33270709786712827,0.012796017518114988,4.894793973519995e-05,0.0008281900345535886,0.00030762469977863027,0.00020654836382782982,1.2745605295405582e-05,6.427346874060547e-06,1.5404706528499013e-05,1.7990177375803995e-05,3.4006601967728756e-06,1.023415357559454e-05,8.676303886456793e-07,6.239576147870629e-06,4.5777309498618024e-08,2.2978273578333486e-06,3.878605636664645e-08,3.6428912104646827e-06,1.1103318540151008e-06,2.4451821234450222e-08,0.003528632986102953,0.012537343768341258,0.0006734700721764408,7.316173949112326e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029753464993900414,0.0005782724871801204,0.002088195967754447,0.00025502522570697295,2.0288134898738264e-06,0.0017215234473672014,0.000310853949375689,0.00015689712318422977,1.4048480458717094e-05,3.995258113898004e-06,9.786446352522127e-06,1.3389747813841169e-06,5.340779773987947e-08,6.175750554726633e-06,1.3100893403450442e-06,7.621760528264687e-07,1.8239410204401452e-08,2.237594628473616e-06,3.4386131719799096e-08,6.058631507599443e-07,1.4966333627963735e-07,4.748799797837933e-09,0.007515207641164423,0.03657852743652634,0.0009389507465092928,0.0003275278403320758
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006519067518269139,0.0018502540515240584,0.00025214796500971914,9.575574163589451e-06,5.7493830963206705e-05,6.331834118444846e-05,2.3821929403866626e-05,2.7479926871798455e-06,8.228370840246413e-07,3.7055555146547903e-06,2.4474815651931436e-06,8.173705201564019e-08,2.3952315810760183e-06,1.8535182810808237e-07,4.715854685644061e-07,6.9371932642781076e-09,6.799281160319026e-07,1.2080464184549555e-08,1.2289826291089767e-06,4.321017613717615e-07,3.679740956386013e-09,0.0009108804582487195,0.0022084926862847576,0.0002794075816224817,4.092051865356439e-06
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.70241000394367,3.661787444528148,0.1491101551176951,0.27134707560759097,0.027871123678281373,0.02995355339965164,0.0007532426537002479,0.004312684913544196,0.0042430178373811245,0.0026846078183346,0.0002112854914628759,0.001269993655650531,7.02745206540012e-05,0.0004843823997157659,5.073257525189945e-06,0.0005888117362945477,1.9672532345360594e-06,0.0005859229884618844,0.00017299491400887823,5.762980163082077e-07,0.040968706578352415,0.018212823183760454,0.005684016115535762,0.0004794162173566985
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5203358191536039,0.026731203159141348,0.05658845260175631,0.01354964193528807,0.007017987247463872,0.00044956756576786105,0.0007205128563906316,0.002242743120968005,0.0013166292203573154,0.00010344984781840427,0.0008654462047502642,2.9287513781728336e-05,0.0002473792720740081,2.84082479073966e-06,0.0002915435933829036,1.402202865929958e-06,0.00035922588811784784,0.00010698294065418501,1.9590073740971548e-07,0.054209666982812016,0.0208932551237664,0.004159628551527267,0.00041324263456521404
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8662663169444191,2.7520739994184513,0.09457365986656618,0.17522967710935508,0.005959884839486174,0.024518932848562436,0.03437853580061598,0.017167323105642576,0.0013850035004829842,0.005559986823798102,0.0003082613256524258,0.002978176050396103,2.9575470088971656e-05,0.003530419951020977,7.1431975721125696e-06,0.002422627125502369,0.000634442360838483,2.8688855308045547e-06,0.17139551572509035,0.023970058389611193,0.026921092538102473,0.004986318431251191
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09856899865688973,0.0061319738024669945,0.01832324732620849,0.0014088541666168464,0.0019654741042289814,0.0435167798983227,0.049311038619515135,0.003966858602448831,0.002891265888132599,6.0866538823756144e-05,0.004724339120036669,2.131408832917181e-05,0.00637703505685161,9.242184644486784e-06,0.0031571995537608144,0.0006725698143615899,5.759654078563159e-06,0.016621375924646853,0.0006859527109942531,0.002818682077697976,0.0012632288605598507
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1045619681174372,2.619664869376143,0.08422316328484247,0.09784800569404561,0.17560386618548723,0.036825169184411505,0.0009263381855049158,0.03566018941409482,0.0017079114862188494,0.006062939016633656,0.0002690953960486908,0.0045860873856480855,0.0001064585111969496,0.011249079232730996,0.003174339351160127,2.2057487171323054e-05,2.6430316305068704,0.26278865886263614,0.22976236252833715,0.0543621543270254
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08143324058791446,0.03212440027119756,0.005793201176867768,0.007838456766619761,0.0007837060419225717,0.0002689326287264038,0.00454788527129335,0.002411319583977223,0.0005467059213470904,1.7603028251489405e-05,0.0005718525911552197,2.2493843010451542e-05,0.0003129485916667507,8.358545108089199e-05,3.2096911550816287e-06,0.11402226266468962,0.02648254067071909,0.014017200825716336,0.0009171090049417963
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133481397399108,1.8883775474522282,2.7559126722767684,0.23918850830237254,0.015255669778654779,0.23401092774647814,0.012866112942381047,0.035634617859507625,0.002539992575337102,0.038243382420580896,0.0023714801510750227,0.021361319037052656,0.005924047774639285,0.00023585764540234866,0.1970078002891976,0.040055063682343545,0.0325060336973953,0.0017353069839671775
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026320720580387924,0.09886219063357493,0.019006421939826157,0.008183541870068645,0.023522871306312698,0.0007427068019543182,0.0016214880959808387,7.471140050974157e-05,0.002752904012539359,0.0007399817314335255,0.001073763821066498,0.00023280132040059964,7.599367402932877e-05,0.012760228783899485,0.00271651618013391,0.0010415845642737231,0.00014554969722557765
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09199036244117997,0.027257466008631992,0.0003751138774881202,0.016476376483631205,0.0027853175012306775,0.0028519399355967368,0.00044265403428989103,0.002021835203989353,4.0533872469605825e-05,0.004761019704887515,0.0013190321953026052,7.958080101788667e-06,0.00882881434673255,0.0013094159258083549,0.011848962166032817,0.00020412336599306968
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5143243289069512,0.12118292149626497,3.7753361019308365,0.12526129060233804,0.3298714511333304,0.0261639043113171,0.33687838198917275,0.02592140607862259,0.257169797767673,0.05822681424120499,0.001226944949670794,0.030247474304712058,0.007086160670721542,0.0053349455180020655,0.0003808724485866444
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.051597060762795,0.32913900411682484,0.02867630622941264,3.828193487501841,0.1324501773826977,0.28515892639734874,0.003911033283928722,0.3480991643329352,0.046590193874097255,0.004047575033150119,0.005849802824821837,0.001893560644247741,0.001181194193894522,0.00013520560752122712
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028907289431785665,0.0018220122565217878,0.1330379170837812,0.008509507486801349,0.00351389505573918,0.00041136034055089254,0.02644767095005074,0.003129563684359127,0.0012660840597193967,0.00022000782721964818,7.136727402012877e-05,5.308696670247581e-05,3.4801649921867295e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.794868499292018,0.3012027818776619,0.003943199632949201,3.8197606030201086,0.13156627066838,0.3393556134549258,0.04651069982686931,0.002469986655286638,0.005580678518730786,0.002016828330377446,0.0007148548299671653,0.00014971341706926378
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003517843852380631,0.00041886942824964635,0.13211382379235537,0.008715263473030532,0.026441028581477344,0.003216183979168563,0.00020310841484083575,0.0003614650381593698,0.00020923043410148168,5.7846528763727534e-05,2.579861004603501e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7989960283785287,0.33091603592004193,0.02746499271805769,3.7361080189939786,0.3202605693253546,0.03473427953493724,0.0016133050598954313,0.00038814307900256195,0.0002836808497809207,5.46061737666248e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027895901066969375,0.0018586125830279965,0.13659724788940197,0.012592668585994726,0.0012943144797714634,0.00011148401005867115,3.4812280102602955e-05,3.299570595827195e-05,1.033194390043235e-07
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0281506536922715,3.493384492688126,0.3158702212722261,0.028629278774329414,0.0011341517436851134,0.0004280778270586705,0.0001706197054188452,2.1710186449364066e-05
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12766270535325264,0.012361300828536703,0.015188923753784556,7.80235895840864e-05,2.2286203785304437e-05,1.0279635989096647e-05,7.991334529666716e-07
