,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17C,18H,19C,20H,21C,22H,23C,24H,25C,26O,27H,28C,29O,30O,31H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969305970017094,1.5582916055158038,2.1596891908654063,2.134613634607401,2.5872180678167536,3.4897449596927443,3.5872820777108014,3.3741920362459297,3.393399105056177,4.705169761892487,5.536846113463419,4.618896353108506,5.397721505951166,5.172490924237428,6.49746481104517,6.8757546019274605,1.5216171189554193,2.4305715877689047,2.381122522177223,3.212847102738226
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1530684254404484,2.4022795599845086,2.427151366589766,3.490678393354742,4.3631518015677635,4.288749927576182,4.3197883200273965,4.218474815165028,5.6588380148177,6.448619823203217,5.6252818291616675,6.386417429202272,6.195261014016984,7.536711336009152,7.924425369829167,2.139791789087844,3.1175721681835933,2.6359425124719005,3.5213640833769975
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953254113368975,1.0957168775701058,1.5131821138817336,2.540058040754724,2.738056093086975,2.5405456507155186,2.7445584780791465,3.828230499372985,4.704742440294022,3.828251266890358,4.69701869583146,4.33555647903701,5.702033995766014,6.116977667072253,2.5544942138086966,3.5225007868768445,2.931664125419292,3.807412834053217
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7628678847454655,2.1534425263942083,2.667392539936142,2.4456956231009728,3.404740082931642,3.7437878342723074,4.045666286399723,4.746373904777405,4.569272414519725,5.518607711027095,4.827804667721105,6.160745618752746,6.694350203620924,2.8170739115056493,3.941715285344716,2.661109243060058,3.5577219576806898
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1613403050730864,3.374804359001695,3.6815663058854438,2.727793565504457,2.5529560305856083,4.553261932652149,5.493579968893903,4.093667142524233,4.799594933881012,4.8432241434827015,6.194654193951584,6.487048473381048,3.4594915300867664,4.386791196938828,3.9105866157580076,4.827206679367292
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4041885443674715,2.1558672404678396,1.4016468206658907,2.155928440320258,2.4416997916573653,3.4296236296253713,2.4381693022367785,3.4212877529136905,2.822522706572056,4.189188408355395,4.622250485229442,3.0701364004527547,3.6876410981524486,3.5217185053814433,4.159048465560886
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0876507409405547,2.401619040414593,3.3914610730789128,1.3924740434279494,2.165661789593163,2.7810267013248158,3.8701911698479554,2.414011413289177,3.643235497010173,4.328600088550403,3.411869446309535,3.932214297262657,3.4757032585345846,3.8703967988143586
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.389934393409585,4.2948583102362425,2.143652057505196,2.486091960659174,3.868649163103513,4.95781158699099,3.3951131452974797,4.507764461191333,5.279551777754341,3.2862449454302305,3.954133769820248,2.9268299534410067,3.2650558053423273
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869774388589681,2.7872455164701404,3.8729620917127123,1.3950092718879659,2.1573262596979084,2.4191383818602787,3.688847444139522,3.8394012191555627,4.004395309108351,4.34599276342502,4.735182342686557,5.321601840537821
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8741181244635055,4.959748984323774,2.1456310713305276,2.4694950727247873,3.398684802926082,4.569673440733259,4.548369457861778,4.328424056678295,4.674483182801439,5.208912438893659,5.881907553505508
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0858346763495412,2.418748350089085,3.4070638406999647,1.3990040055959143,2.365796370986806,3.1757867526165193,4.501977764049221,4.74056140411091,4.639722648984554,4.842568445110295
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3968357533389897,4.2958815582164664,2.1464742899301243,2.5706268605020197,3.518510676323199,5.1254832548456095,5.312899818757611,5.054762139981757,5.093204937903387
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0892013798748075,1.3991134884582246,2.4294237736719952,2.455155830266426,4.967995713032721,5.089437560944083,5.650960986433952,6.072178863301105
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1605360393778508,2.692938011252988,2.299088417482139,5.833545826928638,5.852947525745263,6.629126315552663,7.049814732654918
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.367591357928239,1.916941851800836,5.179312446267821,5.264322898730282,5.613557555946194,5.8696322056642565
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701700389550113,6.393071328151866,6.3402177264580555,6.799423350890268,6.939241202393714
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.895143956586773,6.788995197863765,7.44007714128423,7.625941566522836
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212262419793442,1.3507193322958577,1.8759539595841983
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2535722725963523,2.2870215626909354
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765850003830123
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
