 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,H31,H32,C33,O34,N35,H36,H37,C38,O39,O40,H41
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02852172279758669,0.0017797770159855286,0.13463358315370022,0.00873904597066999,0.0035172287204709995,0.0004118118926688119,0.02689320391068839,0.0031237001665538333,0.001294118307170855,0.00042854682285731194,0.0002643939790980543,0.00014243021951276802,9.721103352555716e-05,1.9469935547578032e-05,2.3528462296251718e-06,1.0647359556026359e-05,7.593169071284933e-08,1.7681595261276328e-06,1.2442713165361496e-06,7.806163946355582e-07,6.670643171169388e-08,5.259695665671416e-07,1.841073817843153e-07,4.4697983165864485e-06,4.355860087956742e-06,2.568700705474214e-07,7.143054421954176e-06,2.6102830907204222e-05,1.50366285378567e-06,2.2277332223374913e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7511807299006383,0.2971049779376238,0.003943582407569757,3.80665265074887,0.12863351172406556,0.3385181466657391,0.045727842251791245,0.002774171229667166,0.0032170296477612437,0.0011032764109057402,0.018035291913667234,0.055635078108270175,0.002018037629930164,0.00037401173623718975,0.0002044765569759327,2.966682124183606e-05,1.9397926782627195e-05,2.099119904522273e-05,1.050317459672101e-06,3.532563132235822e-06,1.079364930589577e-05,2.8734912002337243e-06,1.0910253047252683e-05,9.213364653315459e-06,2.8094567261494063e-07,0.002461691975395003,0.014383014312297618,0.0009020574915643148,6.311588004626056e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035213062449221955,0.00040589160316084616,0.13201443188561512,0.008594107290433195,0.02572803449023775,0.0031304110231280546,0.00020138638478606197,0.0001996804803117147,9.66501700657707e-05,0.0016756221987044295,0.004067840662267841,0.00019384886658602163,1.9972186384942248e-05,7.499477917471964e-05,3.4290299244510436e-06,3.1632770465250815e-06,6.1540344646893175e-06,4.182761672577584e-07,1.3951275532608776e-06,8.089620999740532e-07,3.2163335506041335e-07,4.87639030377629e-07,1.4635272971297297e-07,1.7905542604168545e-08,0.0024802249574531476,0.01858048544467561,0.0009483796864139249,2.6741364351323682e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7591660686222752,0.32574815131032875,0.02787227296579675,3.715554347212431,0.3013286627128552,0.03467925567669128,0.000883066982245051,0.0004700235895361282,0.0029359574495390617,0.005320376130169113,0.0003146915580907461,8.598569585227533e-05,2.307838635781656e-05,8.13290950696377e-06,3.4535348938380395e-06,2.7644875054966267e-06,7.432851734101575e-07,1.3064006521013027e-07,1.8715674567626461e-06,6.779151341673728e-07,7.3905719610856124e-06,6.471511463490565e-06,4.37981435230661e-07,0.0001881370475720623,0.0005885794237079356,6.902455448838662e-05,1.2940846045528254e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027819372154669786,0.0019343726920222348,0.1348068941618079,0.012384145812775027,0.0012619483454596736,7.906959677006498e-06,1.91281582451186e-06,3.925034472551658e-06,1.0811729131532388e-05,1.5185571204945347e-06,2.1395236471377643e-08,1.3758446182343675e-07,4.791821162086762e-09,5.746116316096561e-08,1.127180249138604e-08,2.208354232813292e-08,4.924671781481038e-10,9.20328191433839e-09,2.930497622344319e-09,2.701585377629101e-08,7.388540823605183e-08,1.501242907764322e-09,7.981794700739897e-07,1.965721896590722e-06,1.5637967309967138e-07,1.7164295762484016e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130040249403262,3.5548811428874796,0.32042382030164357,0.030297801169742122,0.0006563726034430617,0.0003084835268981484,0.003201303048615628,0.004210383476794366,0.0003544636981849536,9.220726927161582e-05,5.7362699890872726e-05,1.8921078576816797e-05,4.889856438317075e-06,4.784052335435329e-06,2.515877783881848e-07,6.934317251516831e-07,1.98788718569487e-06,9.724518472281618e-07,4.2297487426457e-06,4.283311948682922e-06,2.692268663562203e-07,0.0004957460633837896,0.0019543472962477507,0.00017409106365183502,2.9430197137636505e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13001724836525286,0.012689841371359645,0.01667017216591682,7.007457057062183e-06,4.093901878943207e-06,9.366141936695271e-06,6.648439971179698e-05,2.728098154047842e-06,5.127903281998414e-07,1.3546970851763263e-06,5.161009064558186e-08,2.437429036383776e-08,1.488343217559418e-07,1.2013074979222438e-08,5.270957181835456e-08,1.3115489361226196e-08,4.771690154115049e-09,3.8636349009024684e-08,4.590575897189808e-08,1.0774732217555538e-09,3.140811413193667e-05,0.00015275817210524956,1.0956581524945719e-05,5.81585624548353e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.370781010173572,0.14003957293709413,0.0007767751476167595,0.00030943402485233973,0.002330800041456249,0.003305127202424485,0.0003760574021553498,6.667930455950266e-05,2.596476485780541e-05,1.686485213436839e-05,2.561383731114475e-06,1.519465547689114e-06,2.52275395240531e-07,1.1042279624007278e-07,2.170252505984127e-06,4.361820047371623e-07,2.814527119560095e-06,4.41284485386273e-06,6.466397906024213e-08,9.276021677045998e-05,0.00023158872133242914,3.0287799639650004e-05,4.401373173368306e-06
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.883575960691155,0.0002048976665065816,7.678531572820335e-05,0.0005755251864158206,0.0007715275236077623,0.00010464214999872379,1.652334196933225e-05,7.909135385564259e-06,5.130903355410332e-06,6.273100332521153e-07,3.496654704809865e-07,8.501560611051673e-08,2.1248306114607374e-08,6.328248665365965e-07,1.136916674693289e-07,5.962588931623936e-07,9.319139971930568e-07,7.763674370053764e-09,1.4400638723099934e-05,3.303128556999407e-05,4.89002946439665e-06,8.153354507101085e-07
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65620923800558e-06,1.0249615105539789e-06,1.4270123452897465e-06,2.4138506893311984e-06,1.5000364972372893e-07,8.722186084497707e-09,4.286518950902263e-08,6.483642511767584e-10,9.705110493030134e-09,1.1722820603132789e-08,1.1084070550282377e-08,8.460230294105031e-10,1.68150537938061e-09,8.047763566665367e-10,8.776280591149543e-09,8.402472717605747e-09,5.79692516211594e-10,4.3432709628810073e-07,1.4378355136512866e-06,1.1190239568303895e-07,1.043984521054142e-08
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81268398928434,3.665832375158143,0.1399830586262084,0.2749336912910063,0.023076164927381626,0.03461020721747199,0.0009036624701479479,0.00439760263055744,0.008132998298624128,0.01088174095965222,0.0005570526145151078,0.0016006378958596246,0.0008440884616181255,0.00954248404177735,0.02065684026914638,0.00048564294050756907,0.031643654547305944,0.005114607458026374,0.005854549334100817,0.0013914133813587304
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5478339995828088,0.024774986402162358,0.06276647963017358,0.035805620401945015,0.010930964664264298,0.000973198553273602,0.001824571537408115,0.006635047734360813,0.005601367785987743,0.0009870084449932204,0.006112471528697622,0.002058850507942883,0.05882443194589704,0.18708405100884884,0.0015136837231800593,0.009949406909875474,0.003367801418133143,0.0014791802828031803,0.0003445928907672702
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7478931122593657,2.860050945662397,0.09684681059970002,0.18063005986830927,0.01098289752599424,0.025604775049389406,0.01514376813289825,0.004932798000215621,0.001033355141517589,0.0018480219440452639,0.000965069837890048,0.002351591041403575,0.0017169482732959374,9.172700813242507e-05,0.19294801974472497,0.04416763624751624,0.027332130994190837,0.005172436458113272
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09600622980140516,0.025691891854869642,0.004442211353881564,0.001945742120933458,5.201845920677073e-05,0.0002623344092949065,2.9402517395027417e-05,7.954775875118614e-06,0.00022769729655880422,5.728031677620926e-05,0.0002550098753892893,9.729356741039474e-05,7.264624346303705e-06,0.019617560722052563,0.0379785596993607,0.002880192594781228,8.545081600175308e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.074059767355494,2.7381015566370226,0.08611365912174018,0.09196094625978413,0.15957311463192347,0.010051140233713118,0.027388599409890357,0.012852645233893512,0.0033897207065258506,0.011960571349530658,0.002928766532488747,0.0002531477174574359,2.700534545651284,0.27530700088608734,0.21895265444886403,0.0535810925725515
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07793228891336401,0.03156311709463222,0.002461038073788835,0.010751303177715332,0.0002639749587700635,0.0011538477610069098,0.006458524910339936,0.0008859888836930674,0.022851383807161785,0.004465092425073314,9.923749774420898e-05,0.11102273838720955,0.027890307398556025,0.01139663620995568,0.0008387045499373968
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.131921911297434,2.018164527173841,2.7292852362259508,0.08206689474910878,0.09644356339394533,0.18530127550974618,0.043837667482636386,0.030106483872820486,0.00048429492916712835,0.002276849478103471,0.19432398283118266,0.04171536946387139,0.030864090013426687,0.0019681676120686387
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025440576776222246,0.08909043972980335,0.002415014146483818,0.007563478451445116,0.02738233915492705,0.00490341748349532,0.0034265424868507033,0.0001341041218951844,0.0009566095535944452,0.007284305800967283,0.001261429888139376,0.0007814584952891002,0.0001479143519613757
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08331742700049771,0.03316232174846334,0.002909153105667972,0.015867778482372197,0.011544335784066884,0.0021543400967943827,5.855149457079101e-05,5.395997292767518e-05,0.013323255365439213,0.00233237062199787,0.014711690590556326,0.00025030935445991
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00393482884021,2.0219777535176187,2.7546122373091904,0.30271362354773634,0.22928240625568252,0.013687140314377566,0.045497706375074776,0.032021634771890906,0.00801187498473916,0.00493477725942737,0.0004638599690364176
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026157835897816728,0.08899770132452356,0.02531791347098178,0.01050798985957857,0.005021783418402315,0.0013331681230328574,0.0011953096706942556,0.00023401143903600818,0.0003655050658065706,0.0001467937436139266
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10302252389357314,0.019700794121977228,0.024046546563402216,0.0010640090313582817,0.001212920607968293,0.00403537563525691,0.0013621705217047309,0.00033334140808216617,4.807437909315482e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.191413451981648,3.4583649201168,0.1323686785070296,0.1452496740208341,0.0018534755787615043,0.0007290751431831,0.00027796049143269386,3.24130120418209e-05
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5762327051521263,0.027178989546040144,0.029842158927936402,0.0007536507834816908,0.00021233825460627298,0.00013295872817618848,1.9328646804095406e-05
N35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.870227234744534,1.915166253663438,0.0015640852691858054,0.0006618706737882007,0.0001549559882991769,1.3321861697113135e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040950100725677396,0.0002654992074440088,0.00018060655604579257,7.653564627108089e-05,8.084199679236903e-06
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.807420671353423e-05,4.247395890222272e-06,5.967041728061062e-06,1.7874491173852647e-06
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.780484032054217,3.532333663709673,0.16633841323900445
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5120293089632653,0.06492673415129369
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7589866838158685
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
