,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31H,32H,33C,34O,35N,36H,37H,38C,39O,40O,41H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3925144121598385,4.301660218161446,2.139332964368887,2.4799034245900167,3.8702383155809525,4.958932821617966,3.395302951085785,4.5030949082137814,5.277886342752135,4.258182887456745,5.294001314823864,4.455381681457367,3.915763932854607,5.837625347197241,6.483256606628117,6.279133208280492,5.803512831471089,7.32583099835127,6.441704774835656,5.597178183201075,6.844805780524902,7.6825301104589965,8.797164522555805,7.6331218405998,6.83344051090992,8.558365492280748,6.4642513010408935,6.074565750396502,7.796632155240018,8.246010880374108
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866437530067778,2.7868444801837784,3.8725042086794077,1.397933951224808,2.1568490771571827,2.4193424601492137,3.69000634987804,3.8442627084075123,4.049031184048264,5.2625525574903795,3.4354172302335018,2.4732193532033735,4.447133427924669,5.259071602383701,5.276597165878951,4.7975195205061025,6.042241563094201,6.213085102288043,5.821091074325222,6.79522342329283,7.371590910310258,8.324399956249403,7.481023765438906,6.775227270609676,8.317502503378728,4.241401957315972,3.3667422100106834,5.533531228047824,5.656685401084557
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8733456268109427,4.958930340297975,2.1439061733594547,2.4616002594051993,3.3955328100509656,4.567178350968441,4.54872389697559,4.022397270401575,5.146212293389696,3.3520836167550634,2.5089905648776973,4.174984469885385,4.88683944398517,5.227179013565413,4.910689482674641,5.87964032547854,6.2943607210660675,6.0062315906958625,6.9841673721548405,7.294938622058606,8.209277054690595,7.340070324064351,6.644228003091643,8.093426441393648,3.7083657565023915,2.7297596425835136,4.924746408076383,4.956485773223283
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.085770225679938,2.4186740635307014,3.408819885135777,1.401899857082726,2.3652201532304407,3.1768801126611774,5.289081901250685,6.472833299077602,4.9130427677454005,4.061373267779775,6.049429870266137,6.943837589641994,6.315820687664879,5.554526105245422,7.219433588597088,6.841507779236955,6.258413097626986,7.088322786893144,8.251599752236146,9.217779124966023,8.504349928802814,7.839890182074822,9.468202878877433,6.289390597304392,5.653799485899768,7.588741024003102,7.850558478623086
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39593961066339,4.297525358221246,2.148365713301521,2.5683853037649196,3.5170205927012477,6.068989656321756,7.198533025455605,5.766592519433451,4.9813675045158075,6.889178171527918,7.7827016548143275,6.9930474291233615,6.180340017671381,7.906780372556038,7.373765130062826,6.753096307679405,7.496574533245205,8.823568103906975,9.771875812894645,9.117792445098674,8.482473051601845,10.10353475947811,7.226710288445819,6.650731631081263,8.506909983111967,8.79866780939589
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0887060687730545,1.3965060514872987,2.428567867258761,2.45735160949935,5.18959184336992,6.411164987016768,4.398893031399504,3.3842222219118585,5.22600381775844,6.1723092139455025,5.7599983293448505,5.05534819084653,6.44115011658187,6.772075015744744,6.475703046103889,7.172639237303388,8.059534438909234,8.916083377518055,8.365623771472638,7.754960747592822,9.243022604368548,4.884440958982086,3.9306351361445633,6.093309502006798,6.1061428204536
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1605530784327316,2.6978103877194877,2.3076239681574306,5.89717899840743,7.08121771575521,4.958425562269071,3.9677595329565425,5.5481977083834675,6.5081024221788395,6.067003218488885,5.35446374028903,6.591694803031115,7.244323443548588,7.092866653095389,7.625090966679321,8.485606526165462,9.245067667554236,8.868353984979127,8.32381228203895,9.706758305547522,4.917947523714396,3.8457154811035776,5.986664575163189,5.831934908365251
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3665708864063781,1.9167980668130378,5.724584136684858,6.947304557053778,5.0555976397975675,4.083363643867999,5.980404707529097,6.9593568889909445,6.2642086376520485,5.431682475670785,7.023892842260917,7.071656780437168,6.679918996336989,7.315794816175256,8.47879240441459,9.348468525115816,8.84490895334543,8.245441813216745,9.784961630727812,5.889093144401793,5.079101867547894,7.117506155608549,7.22106968899658
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.970302007481699,6.984241372530936,8.189797995417248,6.226104167123295,5.265395836089727,7.007000954847963,8.039218444496708,7.095965967661781,6.151607038647357,7.76032125163054,7.926316710098404,7.622080286499204,8.021005775795734,9.38381884053111,10.160243443248307,9.884031988105301,9.360913464683392,10.837345735317367,6.825003027180923,6.000428809344822,7.958114965464445,7.983760832788019
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.347017058168983,8.55094473433229,6.465909915666248,5.48543775991721,7.105670854941694,8.15269012417673,7.222195592780231,6.2807763750388155,7.777979406196325,8.202895401846973,8.007822017821697,8.31253238623769,9.622220622767106,10.334857532970409,10.167802122088775,9.681403182774691,11.091811724913182,6.719391453843137,5.813568002383579,7.7662929186276735,7.678404683538304
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2366812238284177,1.3571216729078723,2.0541597004952297,2.478153646892965,2.5605713613589964,3.4605911499172475,3.79243772644541,4.406911965089961,3.573992467264961,2.901862792822582,4.516259698063947,4.233731479372708,5.407481552876699,3.834063508914218,2.93808546609061,4.626614381484061,3.5884452552257478,3.927886687536692,4.651351362545792,5.381379745853053
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2768492173545063,3.1721330378716432,2.834934734429608,2.4358484983458397,3.7084564759575476,4.319037521474999,4.53136607551242,3.4738224569521567,2.8403627985875226,4.488354254357524,3.693946697474752,4.875966142274877,2.9539807383022305,1.9608175583278082,3.6282971544687537,4.094038095891466,4.6930822813763795,4.890162381748402,5.7172823306161655
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0147569163401668,1.4565182402341783,2.0718596811474916,2.508034135524485,2.691218100517622,3.4264555904139957,3.1502349213859127,2.7989651658456967,4.031601297939665,4.048053930056698,5.090044860769349,4.049449219981239,3.3872458671861088,4.888142093522641,2.4206650460470165,2.7370595031274823,3.606324593082905,4.288895021417351
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1153495130400746,2.9397646207826047,3.000649904359574,2.8233784218926647,3.885401896832117,3.8375653515664974,3.497625877843264,4.567714995375749,4.909610434726845,5.895756316014452,5.030046306129651,4.388796294074718,5.885022280141577,2.5590926269495653,2.4235519952829936,3.884779366236526,4.389826338724038
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938989613383863,1.5520114085138408,2.1609808279712377,2.1731336666095906,2.5865344055234547,2.768443743444669,3.5032770453796562,3.230807295814541,4.069043445486796,3.476987582952211,3.1277249556402227,4.217477659359431,1.5244908959337509,2.437420897205904,2.375195467297029,3.2122788079420337
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.171909432659839,3.0595445186773955,2.565686683435256,2.75413632362919,2.9444784802039377,3.794247207292448,2.8613020384866577,3.7137116850893737,2.777109671107566,2.428401785777565,3.3658532305941473,2.1354429780242503,3.1652296504487993,2.555553024743284,3.46891494083516
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973996028663375,1.095446309614108,1.5409706014731088,2.182281336141043,2.154028932286339,2.54071687569808,3.1812932066959583,3.363433947621959,3.3673042159909423,4.18439225096737,2.522468188346023,3.418153269341952,2.9854768619738303,3.82309436055575
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768766632584034,2.1730393796494085,2.5925086874192362,2.403616620388316,3.470806205486933,4.057603714414919,4.340167360110192,4.268122545238441,5.214661643090652,2.811116071915682,3.3718804423546604,3.4793140061569527,4.1443157041905225
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1579800203274417,3.0688744312871377,2.5391539548556334,2.6617779719923096,2.882364668076937,3.6567879117276587,3.8988742319296184,4.294025763939513,2.6579488338663806,3.6672380687510504,2.6041690075486934,3.4034389068286286
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952436384488562,1.0942925432513668,1.5331268532858655,2.409308059914765,2.4481783365931356,2.6084012794434552,3.3687825696607123,3.906804801520867,4.824301068716482,4.3121378781112,5.223929881566993
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.771164531747521,2.1893836845762396,3.271269156825661,2.576358116094309,2.3732862606978133,3.583613798997048,4.232738188743741,5.003824813473232,4.891697066096976,5.795577759570556
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.119885733729187,2.5697080807063903,3.2498163874136887,3.5619544084555437,4.0901211259385555,4.673468994277482,5.526902783529774,5.0131329878163875,5.866142170572592
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2254789323223645,1.3639073585984682,2.0821604431227243,2.033003833328066,4.473366192132872,5.575740450413484,4.516516136307192,5.476338370792255
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2814509242628005,3.181785222011634,2.5026906864946565,5.071819330714467,6.224539169799517,4.82058008064768,5.7188331442124785
35N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0180868444005657,1.0116070071352123,4.792657976575021,5.865528538942288,4.9164343910189245,5.887482949273523
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7476971891581818,4.51431948619857,5.47217075758953,4.871171843769976,5.825030851358001
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.388333889214865,6.505957533152928,5.314230789371071,6.256059471340606
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2130177080500684,1.3483167633744817,1.878663840290265
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253283840008674,2.293784315564834
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765642042574625
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
