,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29H,30C,31H,32H,33H,34C,35H,36H,37H,38C,39O,40O,41H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095816346665823,1.096606188099901,1.0949067694831842,3.929502535083729,4.7004737605557665,4.386246317346488,4.192948942293024,3.080313785543262,3.2372673009837993,4.084614067396057,4.298133657873965,5.0357754165998365,4.804730235550099,6.412717110841024,6.830739252644623,7.146964576976783,6.693568524525614,6.140306017986546,8.16919215228208,8.837587537340935,8.579395285336718,8.42300118098622,6.693011698378151,7.3877217541246,5.755809233056468,7.239936344191815,5.483017068955438,5.435995846706171,6.4100427987951765,6.859587845601203
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7737808944980322,1.7707978479612294,4.320344424198484,4.973318073638902,4.684360486468494,4.8154673885462955,2.806387366812469,2.73266632378575,3.714535979807807,4.093354722956896,4.394536575295412,4.004713214763581,5.828426869243395,6.366135426715088,6.446455858657983,6.18622818998206,5.79120806581423,7.70548156394061,8.269619104100427,8.170176283025032,8.048303804881396,6.055092256365113,6.638412004942754,5.076597538195012,6.683079297182079,4.8108120070166995,4.930669963495477,5.5902340036599165,6.0701514962305705
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7666730811051694,4.133123772685108,4.758015542514426,4.817694173964367,4.284981586450567,4.102561763371765,4.290516586047467,4.977712057043096,5.070545386057009,5.878358444080916,5.6590323223868735,7.319704515010305,7.700175952600395,8.007635660403086,7.7107560257231595,7.186793177297167,9.189350567674737,9.829922643463695,9.63853622031036,9.414155178983066,7.716894818063724,8.359885437946255,6.76685611538778,8.297904063407254,6.113137544800795,5.932305423545932,6.988656506407881,7.3197508266094875
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.759827873552384,5.6279604563174,5.114417948797809,4.88554953874747,3.3938736174735147,3.3022363653088647,4.610031241071239,4.945082676345113,5.5832357350829644,5.2592310069968775,6.843540210679876,7.32505713389223,7.610080305641791,6.886492572466736,6.262000510367821,8.342865535859463,9.059400083190836,8.619795410380162,8.664001927106359,6.7500959344924505,7.512494021317336,5.785219907755422,7.145448039746601,6.2486027172256735,6.320467573295056,7.154520001600712,7.693629105511913
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956718822236924,1.0976336663442188,1.0973523870222874,3.947276728780411,5.061448257724905,3.792057178594861,3.026280591835493,4.931739513654208,5.514005522691925,6.020073990460244,5.775054779851298,6.849770788265062,6.763547819277079,6.1756314665003815,7.880478007177508,8.586181556222257,8.530414736385678,7.617879954586169,7.577505208055963,8.254955974194633,7.07340549525359,8.293586832888728,4.786188758147825,3.9691078505456696,6.043278416017264,6.167654180126612
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7609989800138799,1.7732243644912584,4.748743338405437,5.844477429375158,4.372285721424986,3.5285538816910234,5.2968464594914,5.934775300561491,6.37599487886739,6.051689674755938,7.096488854080753,7.309898629736838,6.8385285612333675,8.373273587067205,8.990154056340579,9.115391284279168,8.056020941341686,8.173983520224434,8.751648272694919,7.710476803497841,8.970210312896743,4.8318120456416045,3.8213414499218175,5.996576859027811,5.946185648582085
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7659770540390347,3.590034847701088,4.797483541209521,3.227437524727679,2.347597120067458,4.411103203297962,5.1366578157733,5.2914653647804375,4.9329941333326675,6.181939491054755,5.981134421785986,5.362450532838059,6.987303152494366,7.72848991042834,7.629490122438985,6.647065284562014,6.941825045808949,7.6485533875241245,6.564723082344138,7.6275883166609315,4.4116435388064925,3.6628465640790275,5.735251040157475,5.941162566176849
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59743173005203,5.682544429934977,4.641967181424689,3.91925476672732,5.889093662118838,6.439634052922765,6.926926323439765,6.660761276993752,7.813557810392035,7.532879700406772,6.836249731396707,8.617081790144594,9.395564107928676,9.183528253230307,8.323114724517099,8.34401227535994,9.096055707075891,7.824329590246649,8.974375489558719,5.855683515476222,5.060220675822718,7.125745735581073,7.264716541350653
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2303222386896524,1.3692187350882234,2.057749142815913,2.473710196912716,2.5205184295092202,3.5289790452970395,3.9563202684323766,4.42221886394023,3.670079968659557,3.0913898099248165,5.107316274301618,5.826057021223707,5.562690448554888,5.347901084029772,3.971729142774397,4.779349560321143,3.284716053687957,4.5881915793094405,3.5368237753193212,3.8592093535979126,4.603575997654556,5.315091351108326
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2796693278529445,3.1637967534392994,2.821359564537881,2.375987104933905,3.791157751734657,4.490169334319162,4.525150214576209,3.6740878390953484,3.2478659073607603,5.176232987961606,5.808662613827576,5.515280966621927,5.652383045513883,3.4770168540726543,4.254652306086859,2.563267593735481,4.011247412314454,4.0231208401545,4.607951816528102,4.8193824382989625,5.627023621377856
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0131200886555403,1.4541743886658793,2.063415406272,2.5096638883637548,2.7535253025216124,3.4250471663194797,3.1124755186955237,2.7412275906979935,4.4514038932579405,5.085486575944078,5.128701232061825,4.538534410493987,3.8078275959422148,4.468022530438692,3.3963927708016506,4.613733374441667,2.4144514252476226,2.723391414865846,3.6069234560506906,4.281931418271804
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1010670864837846,2.9151630302177014,3.0113429265183354,2.8922974150174356,3.9147929407566116,3.7874767296248724,3.369700124219849,4.9437441541184315,5.59317274182078,5.673700805743763,4.813144556746626,4.697213408386484,5.328361700608126,4.379685596553093,5.491756223947172,2.5160745919087697,2.3609022563760544,3.8477666285246532,4.338114024970131
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0934512501755076,1.5510971310764101,2.1595669966072504,2.159859550826801,2.611763246833108,2.799042119550309,3.9334150968535564,4.282023952008506,4.771173703888003,4.179689982540027,3.1662844792786844,3.5095100055331594,2.8939255149075733,4.1759321181761955,1.5238028691600818,2.432664475101048,2.383954499332696,3.2166771216292194
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178490308217553,3.0670825408568216,2.5138754746588554,2.853658382762326,3.1259343060495515,4.2913855223858315,4.554970998140931,5.009166059323935,4.774290572015121,2.8317392824483827,3.092300724839956,2.2785228890927294,3.848369228257505,2.142310104549352,3.1698980999119852,2.576750738078688,3.4881717396735676
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0996023208054893,1.0980801213423719,1.5411593351330324,2.14881159467013,2.513281157105932,2.789663481631413,3.4780586559840163,2.7525800038209938,2.5601808520879885,2.803442527701123,2.866434596604502,3.5076566930063526,2.50947562062174,3.3950604296218727,2.9862321352833074,3.8182016110753603
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7639354885995355,2.167724852490988,2.5123420288308576,2.6651154140845486,3.0196717615686306,3.6835775091101306,2.4417853510474252,3.4984188164293104,3.781819532995571,3.8758089468435397,4.322213189286924,2.7193843312886474,3.2697313938117416,3.3668540357596854,4.009355152916186
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1686381873858456,3.058686597233728,2.7901935670966735,2.6178878251579074,3.7974503763508465,3.147632650642006,2.7849335495187537,2.5784468903429474,3.2012189026946656,3.7724903720560303,2.679537813401342,3.70400109667533,2.6239771550331135,3.440644470305541
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0991711381301128,1.5376877591186802,2.18695699161491,2.183807344070164,2.193515459089,1.5367817349914767,2.185680014368515,2.1915834714687903,2.176793516324668,3.9219538018193503,4.790773779477297,4.3908153740444495,5.284735233982091
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147039171471255,3.0722619907826667,2.495133384983367,2.500435336209278,2.149205868494365,3.072884557846331,2.471528855884792,2.5178262048710605,4.206917757436805,4.891586252186661,4.948270873309694,5.813770254454341
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982823628296976,1.0964234554924075,1.0971590955201709,2.5328841193519067,2.836952363866884,3.4926485340410456,2.729253999244665,5.015839713132114,5.813075012693254,5.350128623557301,6.160185903137161
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770475230408726,1.7730654918596767,2.8071722773968215,2.6685265001966627,3.8385914460928685,3.082911875877907,5.1756848851712505,6.0642037295629745,5.234875601061025,6.008388451369577
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7729365895344906,2.7703492125703852,3.1870875093195807,3.750554985200286,2.511463093926716,5.980592193161905,6.781465801209501,6.342865953801642,7.188123052465749
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4974998662839245,3.8452652681474464,4.34972828645429,3.745020551447135,5.095236080760323,5.70127402746272,5.560564909382567,6.268315509543243
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098832092369514,1.0942904771712758,1.0968334429349635,4.518426355631218,5.562854543474509,4.72473257367478,5.692202568721537
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7831459804745893,1.7701295621730757,4.62036610346444,5.763207078185189,4.508191508189845,5.450512042021975
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7658581763470333,4.280104317175881,5.305061178740594,4.559767723414132,5.5322783018116475
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.578608098081965,6.5826573388161025,5.820944768619564,6.78720328153522
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2138291620030175,1.349565854800856,1.877215130683109
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253402290843104,2.289002697532285
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767443307646335
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
