 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,O34,O35,C36,O37,O38,H39
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027424925778362086,0.0011299005612745994,0.1228394720090773,0.008276667473337884,3.947339733745281e-06,9.005073851042766e-07,4.147481931893182e-06,1.6678204437514665e-06,9.349330944985468e-07,4.337049908098578e-07,3.6928728630591934e-07,7.821551184505893e-08,3.4987710950673545e-08,6.854502374586957e-07,4.6351695881519106e-07,4.487042422951504e-06,1.2894308332622728e-05,7.10134062751333e-05,5.050861930699924e-06,1.854066892903461e-06
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.018138549020705,3.5979478951589803,0.1229148121048651,0.00019291190579909245,3.221586187167336e-05,0.00016149944679208494,0.0001324267327125206,6.897515073078786e-05,4.058209069679464e-05,1.639814073402246e-05,2.2337571339292595e-06,5.273575385267293e-07,1.6809412463791862e-05,7.014501161028974e-06,8.388341746888572e-05,0.00020168802933215324,0.0006818691504151195,2.7068819880959882e-05,2.618052046710062e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12090757027992671,0.0080385731942052,1.850098272138112e-06,5.141119769902502e-07,8.723762932039136e-07,3.2683725947890707e-07,1.617310052548504e-07,2.1004390893253344e-08,3.022798011897976e-08,8.857121702732229e-10,4.077220339127052e-09,2.665136622503894e-08,1.2183619224614972e-08,1.0971303820994649e-07,6.002959447304335e-07,2.7238728960155e-06,2.2084694872859245e-07,2.432513039885009e-07
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.788011977767484,0.0002497245827690342,0.00011036247570386792,0.0007871826057884029,0.0005228591399025762,0.00010470955301966622,1.3357043925688039e-05,5.77624727533671e-05,1.2438237832368415e-05,1.1958264797273799e-06,5.449938646345798e-06,1.7573129255099573e-06,1.5499751133477013e-05,9.485511342371966e-05,0.00033803365561572984,3.300115722432162e-05,9.144017366735646e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0315295308215298e-06,2.3135220961201242e-07,8.470600993959465e-07,1.3179629494430856e-06,2.732300070640292e-07,1.2175643027134697e-07,9.636041520266758e-08,6.336906555048927e-09,1.8089112430175192e-09,5.104787548226852e-08,5.004063874380904e-08,3.8121299050786206e-07,8.962009792057302e-07,4.730204659741943e-06,8.143620799927476e-08,5.7262557140447257e-08
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.741013524798614,3.4029706607871275,0.141694599730121,0.26577537390213996,0.027782261644508255,0.028486799459226997,0.0024530187314926177,0.003637087892887525,0.0021277485760112236,0.000569526911839674,0.003231704963732901,0.02672958143219742,0.009843299602681863,0.005114325896733857,0.0011627067887283182
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539108189720359,0.02625114518113414,0.05808279951554482,0.022070640871440173,0.013203721903133403,0.00101947231565358,0.00461432075399415,0.0015513071613242335,0.00024649013372009254,0.0016002848768807698,0.006642138165508904,0.00421783601413344,0.0010138071254283676,0.0002924241428329255
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.739671016836893,2.8538620956903253,0.09516803663120765,0.1800833991326555,0.025494448623652577,0.012038757299525749,0.012233901343217696,0.0027841946897429193,0.013214768190521795,0.1862636896182981,0.07915829501128661,0.026681188155862734,0.00574122943673816
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09804950881226504,0.01358186620390267,0.011552386772928025,0.0004605120582912292,0.00021490046777694616,0.0007929010379269519,0.00034169037796316637,0.002445955727754412,0.04797467680419065,0.127719643775297,0.0084533062904657,0.00044875080533945955
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.036255049602816,2.793590077980214,0.09533634850616646,0.08199061129719509,0.19530009814962132,0.03737211642861135,0.1533833995448582,2.58629249780004,0.24314375275359243,0.1929357142025675,0.04955790056088494
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0827367873553655,0.008008878023032517,0.0017567758456120686,0.022675333626893446,0.005161983248721302,0.021754297205378692,0.08101417641703046,0.00724353863797933,0.0126621379127827,0.0010280972453637904
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9755224490907652,2.053664465458023,2.6209711234326587,0.2813299109483556,0.26053864900087476,0.18467376247732312,0.0311486817508222,0.021218109829172008,0.002121209532421342
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027654466750621998,0.09782795679129874,0.024859797912782367,0.01945186685607525,0.0027871960495395864,0.0007228970043491323,0.004948210932199326,0.00021351050982820752
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08967181760156229,0.014362348872697828,0.022249237900976992,0.023895307680654287,0.004301694950949897,0.003106802579340373,0.00033866506485114023
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.102023715974354,3.8628890947159946,0.2122864111132461,0.03753726572614756,0.025329365003191606,0.0013049951332041454
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524693708695825,0.04058184550726246,0.012014295360761304,0.007954718375818015,0.0006368803661650491
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7382089939827046,0.24973799785932235,0.17005135078508776,0.008675167249302063
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8499656696848854,3.0954040389871107,0.1513279066504335
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3316068004792063,0.07731536898398994
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8535013540766685
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
