 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,O30,H31,C32,O33,O34,H35
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02943031085066794,0.001739274956058079,0.13201324202689912,0.008500717914715628,0.003603543642574092,0.00042274247978224544,0.026728822909829697,0.0032732767762766457,0.00020596063632272177,0.00011801324135851665,1.9546182678631396e-05,4.805676803232295e-05,5.9566469314820125e-06,7.173859484232992e-06,1.4453779169087966e-06,2.4451674999648176e-05,2.510004038080993e-05,1.033032326569483e-06,9.605241412025123e-06,3.508187232270643e-06,1.6581253794445416e-06,8.756932745601631e-08,4.934311690352189e-07,1.2850138486619755e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.945289179454612,0.29611982654558067,0.00402781105533534,3.883917902737858,0.1345422811376329,0.3427549104889702,0.042976924385075624,0.003942986982803931,0.014327930220653706,0.015474146121690388,0.0026596500131046696,2.9668270640770267e-05,0.00040167242041364015,0.0001826128269619698,0.0027388455992791716,0.0015865563074266564,0.0001648529551925293,0.005379824288530191,0.006339417785347745,3.6638114939091526e-05,1.0363296617132978e-05,1.4203247388627771e-05,7.986289706218841e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035502747037183813,0.0004030490761470773,0.1344300624493815,0.008800445360700904,0.026276640530164208,0.003069253417285367,0.0012778156179171773,0.004058975887253569,0.0011977695295530832,0.0027449046432683755,3.160732222107221e-05,0.000606206260890918,0.00023673771536203425,0.0037709484069257115,0.0032583328812016976,1.518838384284571e-05,0.0034988486752141057,0.0011558523584718206,5.242576230579665e-05,4.468982987448911e-06,4.1952612047646554e-05,1.678579140129699e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9487583040943564,0.32400818454911207,0.028200738937353753,3.7654117802641984,0.3155005367758239,0.030811530036147228,0.0019836581119439256,0.001248214835829889,0.00016378864017585482,2.3893767319038695e-05,3.569676494100116e-05,1.024216508693776e-05,6.934417502463264e-05,3.159374154959593e-05,3.1999509919611313e-06,0.00021797574176377066,0.00048640539779876146,6.985764500644365e-06,1.6403402996190142e-06,1.3238441602669848e-06,3.278898723646506e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027636400597142563,0.0019330592101680644,0.1294023480846418,0.012888101287273468,0.017094265132850728,4.466697263172392e-06,2.6775080905760973e-06,3.4133918187517764e-06,1.455376499315264e-06,4.762110630274208e-07,8.553230768093556e-08,1.9555269568094502e-06,1.9935312791652393e-06,2.591075765057127e-07,1.6803388247499385e-06,7.113106907929989e-07,4.8650736994559907e-08,7.949455649303161e-09,2.069192617248916e-08,1.5965764266212545e-09
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0869495561243383,3.6536175163862334,0.2997467711531676,0.03433929728909457,0.0017678775340136954,0.0028937617448756697,0.0004373055307211049,1.2033313390058531e-05,0.00010820170401484863,2.5431063585323876e-05,0.0004364776092122269,0.00026647350397679403,4.0488934468507765e-05,0.0014564127054456505,0.002186074247533698,1.5072636988022747e-05,3.1734895913904104e-06,4.944379304427926e-06,1.733842823758991e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13538485739949824,0.012029734672027836,0.0012627436776604384,4.0217703953793205e-05,9.520297117426857e-06,1.7310072736975712e-05,2.5582869334073166e-07,2.0208339920113616e-05,2.6200258642639085e-06,6.966142601738667e-05,2.8495697045771706e-05,5.703823784619644e-06,0.0006589347781539301,1.6020100212621458e-05,4.627208384899717e-06,1.1053986501696755e-06,9.691701742253755e-07,5.358080690243128e-08
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2809475932929097,0.13883000339007834,0.00131723368866013,0.0008195154768904644,0.00023762545261879486,7.2169414609968285e-06,3.559860610005683e-05,1.684010157410043e-05,0.00011878212070529082,6.985544167803504e-05,2.2201756635364944e-05,0.000198282974720021,0.00010559041605340269,2.8528053023224587e-06,1.2614439951902368e-06,9.232845434720138e-07,7.288055148269024e-08
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6972537346640635,0.000294061485066055,0.00015827474770382932,5.742497258562351e-05,1.701442792101382e-06,9.52336166447354e-06,4.405737378032626e-06,2.22234806979138e-05,1.466258076288085e-05,4.367777441616205e-06,3.0021677196206964e-05,2.465564681708443e-05,6.00823318874788e-07,3.278088316210903e-07,2.1135557234236435e-07,1.3830660616775958e-08
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0487230698741357e-05,1.157505891136168e-06,6.471932798013391e-06,8.790847449979822e-08,1.086336621658468e-06,4.2210133099906955e-07,4.9759586590036875e-06,4.165035478509438e-06,4.143888112650984e-07,6.081293891790907e-07,5.445310571339235e-07,8.187663880221407e-08,1.1141112254975383e-08,4.017154342506046e-08,6.03787020381219e-10
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9690977207767215,3.562434225646534,0.14569798408436108,0.26865272558675346,0.022793744179283593,0.031776571168655704,0.0015221485384437905,0.0036043706978763357,0.021075721111846163,0.04212203683629856,0.02927644480222691,0.0065200622198859776,0.005659919095095334,0.0011847088046886833
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5484750913982539,0.0242381209200212,0.05560768645967587,0.02147194132271557,0.01565911911516428,0.001193939402029498,0.0015562294519837483,0.08144581700911473,0.24566103259369576,0.006581169505821827,0.003664072283921037,0.0009547032771436287,0.00021441627606211267
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.80742261453802,2.765622125861649,0.09482565077713412,0.1750185139268874,0.015235172048787993,0.025369925420482664,0.013122263960277547,0.002915524030911665,0.1980142985306987,0.05633285023273768,0.026326489389639884,0.005221307843595313
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09442501802140912,0.013759168597955895,0.009477671139856758,0.0005878677751536276,0.0003910650002605376,0.000956096936475137,0.0002026442534555084,0.03332273715551848,0.07646340833894005,0.005394941333249914,0.00017335411486452124
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0496097394092514,2.7143841197804774,0.08977937401616787,0.094414080008274,0.20897380019203596,0.020329449186245352,2.7406889193946813,0.2803825819993679,0.2142146048217161,0.05252181155375346
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08105256109496772,0.03273229034317615,0.0024736418420283623,0.020798677806645016,0.0031701002486486107,0.12130432994171936,0.03283700394840139,0.011562716950925922,0.0005820814099639637
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.144321975252727,2.0729436867485838,3.2295847390254195,0.11436466290925529,0.19918599885588745,0.0415715191147526,0.033633347491364776,0.0023285277568423357
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024952773947906737,0.12159791001403053,0.005184421985968024,0.00655091688647591,0.0009606551924519202,0.0012561071930839995,0.0001761329067060391
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11415338175645573,0.02595464024260563,0.014526873160990217,0.0022279351328862163,0.0191259795233506,0.00037764488839675536
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6326490322724436,0.03965481429338211,0.00948987026008627,0.00514320602696481,0.000669256644669658
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001602028209741091,0.0006121537871330851,0.00044953177967155256,9.839101259756511e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.125034737096082,3.4828868868358756,0.1721601525109574
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505239005618003,0.06691105321936885
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7754125565177656
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
