,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30O,31H,32C,33O,34O,35H
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2352092047510053,1.3529303128880739,2.0338946993122757,2.4727367937120395,2.7068190557160583,3.216099023635805,3.4007817194120102,4.237204277770182,3.276298152962213,2.5187905563749844,3.678719928910202,4.002769379697861,4.786290810605413,5.524649301437923
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2839489783309928,3.1639977414898315,2.849432161835774,2.7315572841669007,3.2549680737476874,3.672277665571517,4.2289845213721815,2.798521170091602,1.8632761175827661,4.283573226776755,4.870751605193553,5.161158570306017,6.016535382568576
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0181217748131468,1.4551584232104833,2.1022811541670396,2.514865817703068,2.650179823007968,3.4189433336023183,3.1462337080044063,2.74929946299154,2.395041995849979,2.680095157806363,3.601742036183204,4.267629003274358
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133264083748209,2.8675713412774964,3.2487761083181548,3.1645362318199877,4.0508098844453775,4.0757500638402115,3.7385599650831933,2.449809978805406,2.2386379238043714,3.7873852336837306,4.250353720105774
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099022318108021,1.555714467828176,2.1592018148835956,2.1724817946530344,2.471539874612104,2.482766635297334,1.5211253190678653,2.429950890908635,2.37879091312224,3.211603307817839
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1440025546685497,3.036237827635372,2.5623092932452303,2.5789907389036086,2.495176130907556,2.1378115885712976,3.1365704792083062,2.600890576768151,3.49600166416763
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1046758495119886,1.095233042867445,1.4049974077771428,1.9543745643121802,2.5454054193897435,3.494365972124409,2.9473646883272027,3.8144943077794404
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7786073057194536,2.0931825283802947,2.525951376405539,2.8746823205068956,3.519891182149142,3.474046177165152,4.182169198112388
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194812462093044,2.8087468174397086,2.6487820054617783,3.706332836053664,2.5245050524251784,3.3572549584470153
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9805798383928558,3.7749738900061423,4.757114537092854,4.101860172916001,5.037179304640635
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.964346037639202,4.841020493549356,4.517982860339999,5.454735319818917
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212819910022419,1.3488675512726,1.8756346733822697
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2533530685346777,2.28895043840855
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764392855407089
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
