 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,O29,N30,H31,H32,C33,O34,O35,H36
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023159885661401036,0.025482927760723806,0.0011567110633223798,0.00010189380499525669,0.000201272359704463,0.0004666042329459774,0.0007765737843088427,0.0004880187276938841,0.00018898231701558466,8.051913087681051e-05,1.7388323346079204e-05,1.9209047981139094e-06,2.127096833115516e-06,7.752448292208669e-07,2.4346204186009857e-07,7.328259907790624e-07,1.8434402104805514e-07,1.3705422552412472e-07,2.506790774958745e-09,3.213975507954103e-08,3.7292909944586228e-06,1.3718400395656971e-06,2.8730107337615607e-07,1.5532123143202625e-08
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02660442834822918,0.012024475613720664,0.000795364272100807,0.0004972016671167534,0.009285845067405374,0.0017286546253523216,0.0013703994384824947,0.0004261860418739438,4.9209886765488875e-06,5.012137001036976e-05,1.0437285052011802e-05,1.9664002882668896e-05,6.810956368008547e-06,9.6427512263908e-07,5.913647894262297e-06,1.216181561014551e-06,1.1224088677375121e-06,1.6056002083431054e-08,2.7801350488410037e-07,1.5842314079472786e-05,3.2698305797440597e-06,2.426406278788207e-06,8.783275573520655e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030691115194410035,4.304243980191025e-05,9.063605904713334e-05,0.0007384119947508871,0.019817697844258797,0.03330332869425989,0.0022150639419922236,1.4447142848927896e-05,0.00014544912739111737,1.8845634892405982e-05,4.743491155223545e-05,1.8239375546125203e-05,9.148689739113536e-07,1.4013488413899822e-05,2.877573997417393e-06,3.27724686011166e-06,3.130432535414229e-08,1.085541031953241e-06,4.703114959547783e-05,7.979962921789152e-06,2.743589783182898e-05,1.5610707353452824e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1001269526605575,2.0894095588362567,2.0258936478177554,0.005453971488035864,0.0018136554480961548,0.0011260479786046745,2.7568066161220983e-05,0.00021164746546585567,1.554089929378666e-05,7.820067654047691e-05,5.672404080780957e-06,2.0072091355682886e-07,2.2662040879833922e-05,6.642498636376393e-06,5.590172392676285e-06,2.027344747634885e-08,1.310016571443029e-06,2.2628307652566848e-05,4.160138761470644e-06,6.328079801790065e-06,1.5357327887155492e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023303107234897036,0.023958179233955823,0.0010933625492088872,0.000433355065383223,0.00016385588237399773,2.1422015734628985e-06,3.0148133817187173e-05,4.365113204451987e-06,1.3117263466977391e-05,5.990750369111453e-07,2.158603429336381e-08,3.4674648434762645e-06,1.0799075367273758e-06,8.816559295965476e-07,9.123266586641421e-10,1.8791797584682968e-07,3.903209422340126e-06,5.744592455059205e-07,1.2834293809937947e-06,5.3701923352633685e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023210719720561324,9.528653949608668e-05,5.9941773176364066e-05,6.000391573701691e-05,6.50651893030485e-06,6.148954770024417e-06,2.0446778914440245e-07,2.1268278227459803e-06,2.1088398161062116e-07,1.2577850538875168e-08,1.6692208437696365e-07,6.49274585207138e-08,5.7856673008060966e-08,1.7956105491379049e-09,2.403478749357646e-09,2.829859365949261e-06,7.497333229800063e-07,5.724799581052764e-07,9.909937093155463e-09
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016432328314985867,0.00010662595755828175,2.2294691755631035e-05,2.0909895495080377e-06,3.4618602242630914e-06,4.489520539774361e-07,4.922950438412954e-07,2.068972737578889e-07,2.83170715764669e-08,1.3203749427148637e-07,4.484083993006038e-08,2.2732254412183295e-08,2.6945867759309294e-10,6.3174805386978505e-09,9.087910095573193e-07,2.869421938944683e-07,2.9327113471033783e-07,5.731262509023338e-08
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.863430328668999,3.488557442454409,0.1350265002158847,0.26782450606109715,0.0318897305095347,0.03253148028540315,0.0018547898153840059,0.0006239949459505567,0.004921586868422562,0.0011544762892592014,0.0011503639598252902,2.8325638965043254e-05,0.00021872263061872843,0.03620225452899395,0.008045493653539959,0.00977867588502479,0.0004265803844765159
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5496299387296116,0.023069571664682598,0.07147637998539472,0.06423830529428709,0.010472422254068012,0.0004202614364654522,0.0008860372857817378,0.00255328592618545,0.0005419121169844762,0.00046751012531699027,7.161120890386563e-06,9.383319668321288e-05,0.014883677474558016,0.0046012582547767175,0.002695959497402492,0.00011392261539044934
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.720469642610508,2.8666094352325127,0.10399031987047924,0.1896712960308002,0.01705804857503701,0.0036325437231392588,0.029877484113629837,0.0057098881283055986,0.005226660975751585,0.00023078095392392584,0.001085940292524623,0.20943139928583962,0.040454796281968186,0.03297840849068932,0.0026658328049654623
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09629223283824051,0.02974282798179173,0.005112127617038276,0.0005272996791172435,0.0014513792563657368,0.0007653063105272917,0.0004417467138695397,0.00016225204974495977,1.1269113051604052e-05,1.0232226647977072e-05,0.007110928154567597,0.0007099127461446253,0.0017097704994446516,3.229534084825403e-05
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9121097893400527,2.691830420358065,0.10028152544028757,0.08437973301803159,0.17621994841060296,0.04108189673540061,0.02562682916301541,0.0008042363612180692,0.002130798330307382,2.7819627814823717,0.26508979387388637,0.21143886206781343,0.0545538068485204
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07998137453156184,0.0026399118503925845,0.030746782883209534,0.01520842824496027,0.008319426479277636,0.0015919428549628911,4.767023447627139e-05,5.464572729718675e-05,0.11339413352402794,0.02979608714878379,0.010253201081292795,0.00025860287142087657
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.045935197870335,2.045835372930421,2.6511934070955503,0.29799975659206385,0.21979505341833872,0.014002343279947538,0.04416368889218214,0.17837970535733014,0.035264045725510236,0.027984109496091758,0.004156629715353466
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02697711375612566,0.1068218173627633,0.021320598048356842,0.0215142026437537,0.0013023169407446744,0.00112700344304284,0.02591227209951863,0.004218713014884634,0.0033534481591561693,0.0011028178361467411
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862538489084399,0.026725691154637854,0.010726184220157586,0.003763223481504374,0.0013484280292355155,0.014941053336617216,0.010631548255867651,0.0017477209705386576,7.782531718425467e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.661374112325795,3.4196863365077186,0.1370099605415096,0.1379749669805217,0.00964192437635264,0.0075337458500966265,0.0023097788314522805,0.0002507755711632642
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5559576702809669,0.030983043866693927,0.030344234785271706,0.00371820378927204,0.002011933456444636,0.0007151841043744542,0.00011692491306214414
N30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7870438036524643,1.9441176980448587,0.010646270019506465,0.043532009125515525,0.0026494375730920366,0.0004017094584231051
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038571746902165804,0.015195347270251625,0.11594133628396242,0.004665758978650403,0.00013592091341529944
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032593986028528477,0.0011693420478748884,8.689398279571048e-05,2.5533013521261694e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.623047814649349,3.6129451917198625,0.17546520633673124
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5133167144029146,0.06771644416805289
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8423013252895517
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
