,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28C,29H,30H,31C,32H,33H,34H,35C,36H,37H,38H,39C,40O,41O,42H
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157244469349903,2.4896219491615548,5.56591987970958,6.501758290865403,4.816886258850093,4.008739761421025,5.240048318362936,6.3236949395084805,5.155839567963704,5.537730350787893,6.3993873810881485,6.373929421859495,7.229824572023057,3.9212159892034206,3.8463147449209885,4.340083961335283,3.043419194022715,7.021434883840536,7.298940816464063,6.540785855943924,8.00492720655554,5.036674982401669,4.25286271537543,6.203848512499525,6.282341162654652
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870960801546554,5.6432010977499205,6.783171433331578,5.04761742636801,4.0714925588472015,5.9247772371676675,6.917291901775295,5.858252816941703,5.843234102271287,7.298241480546555,7.567925180971465,8.013593775454407,4.871347834615203,5.238274485954728,5.155738470018865,3.801475662142535,7.813561947029186,7.791827032113466,7.4366545929202985,8.886601167164008,6.1810954075769216,5.568596787175699,7.484980967360997,7.75196031132172
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.643256879283056,7.785914006981382,5.938614163463801,4.944339335361175,6.700225431379147,7.716254739595206,6.428459567478724,6.399843012581619,7.788098518863315,8.047177973464484,8.586407245496018,5.288689410697643,5.630087855827222,5.374207600000416,4.293436360544554,8.127992801265236,8.097510973458688,7.626966711019417,9.190412324653558,6.956811704724558,6.3598813938068375,8.21473767376621,8.467378329294315
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2279988540218572,1.3698226093887869,2.049688556320672,2.4398808139848662,2.621194823897299,3.757606951314978,3.7978205202577233,4.940802361309881,5.306672410340658,4.852982753755694,4.4500379297132575,4.8679185239377025,5.393437122908213,4.079594889522465,6.2176292067773895,6.228847441324885,6.657997111866962,7.034437683905199,3.0449535680792894,3.271408095104526,4.0607495041386334,4.644133223399793
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270273502741352,3.143206466309852,2.744375281567632,2.52842762579678,4.244066750880346,4.415832888353631,5.13243800881353,5.38189023642702,4.840971438780486,5.137503449918026,5.408268524853461,6.121251144031768,4.959452890173946,6.529606881210654,6.629486058417144,7.088192614083558,7.204101308248706,3.059766174406816,3.441976704915458,3.7298409348058126,4.268980152949406
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0127065700019573,1.4542058696001128,2.060653143888791,2.480254392771347,2.5442096339429505,3.819918169739697,4.2598319017067166,3.9383257333350667,3.1204548188558308,3.6584470213806393,4.031732754766167,2.813222947728661,5.003488234335737,5.028059900815155,5.359085548498971,5.897412943468673,2.4561105627994624,2.8396161968074947,3.597188752364956,4.289603009281279
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.129033601769149,2.944023354022873,2.649979641233295,2.619670302808269,4.158974891762232,4.6152010494782285,4.491242762801443,2.8162528423634945,3.456625530716602,3.643668520407587,2.1950138736360385,5.152664926315811,5.12952265716496,5.327251226861954,6.144011674294822,2.9858087201438916,3.087670876387278,4.244800040838857,4.858975787789326
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935105129101792,1.557580387426652,2.116032380236371,2.564326235983768,2.877459473368907,2.678769906411642,2.578687918431229,2.9138526082932517,3.5226195789034884,2.802160853612066,3.940740084973612,4.1938741081998305,4.379091599851272,4.721829207145569,1.5336013098282335,2.449398928558277,2.3891581155453667,3.222169615921612
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1710126832010754,2.4993330373694382,2.669110574217107,3.0603903774408643,2.320124476998015,3.501685413905539,3.8371432357735222,4.330441650378537,3.8354592923894733,4.071684734508869,4.258226756661933,4.74214113210175,4.683129131168383,2.1233933025442724,3.2072301542283834,2.46193222972336,3.393398713515557
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1002039605667424,1.5440807403094041,2.174561934117057,2.161830388479708,1.5389076927089063,2.1893726258531925,2.1802653199275763,2.206443199018863,2.5805953623178493,2.824867594827532,2.9021810625413913,3.522583972613968,2.5739002707170084,3.378481492678517,3.1807801215091063,3.9950497221130155
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14600130201178,3.0593487923000553,2.5067628820631715,2.153710022058095,3.0772933792577297,2.4724722112072164,2.5449078122806417,2.748612232808017,2.5419567331858155,3.1681278810909994,3.7371927119230928,3.460284563170552,4.233200416288175,4.1254604906757715,4.992120004155617
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972042661710741,1.098373508837253,2.559831454735372,2.8113529104937016,2.8278699118297355,3.5264659767928808,1.5341001336918851,2.1862590766708325,2.1968511814326384,2.1753901039390042,3.212451080676798,4.210593591168546,3.1629835262406614,3.9766505477199545
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7526176989471933,2.7908149515771274,2.595049920222913,3.163639544546064,3.7983783122183663,2.165262865727661,3.0858107222791267,2.5256913207788765,2.5142506241935827,2.963086530588707,3.8864734834960655,2.6196382076157088,3.2634292668928593
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4926322503013507,3.7805667983631825,3.8408889189532003,4.342839296959891,2.1546837731406927,2.5401797976470366,3.083304448892329,2.459447883869035,3.4427676705721297,4.589922310368091,3.1836483671101963,4.084280316720753
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096827145359191,1.0944256119041396,1.0958235299853032,3.1393358734453414,3.497245414686175,2.8837946689734655,4.141784364223278,3.027705960168092,3.3351515931444733,3.830921389360162,4.386335056045393
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7708012339791819,1.7642459408798155,3.506916574044105,4.132502000922785,3.1462377807838844,4.348020950654704,2.7859071460310765,2.927350669527083,3.4272010553271386,3.778867770614718
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7618591097689538,2.826266946527207,3.085539779834202,2.286975097146063,3.8435393005568197,4.076701242352787,4.407560682256521,4.746446302443112,5.305972870878317
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.142217475106924,4.336216357512213,3.8864833370015095,5.181530536335827,3.2575056073474458,3.2663779525253513,4.335722358244148,4.83063961218786
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097626488363772,1.095691091109937,1.095981069068582,4.671144062547891,5.565171025034175,4.639458810682842,5.3828795242582395
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7714660197818506,1.769931912540854,5.20975055905015,6.114585228509012,5.333850441040868,6.1590623924585035
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7653414897951094,4.945831465919565,5.654566360205104,5.028235101153338,5.654105926993908
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32173197689083,6.27862091086101,5.026789964788227,5.721877867429894
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2119300463795775,1.3524443489442564,1.8763645739693537
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2492450856370847,2.2777805670275946
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768429098707824
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
