 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,N27,H28,C29,C30,H31,C32,H33,C34,H35,C36,H37,C38,O39,O40,H41
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023987427454573274,0.025190875032095494,0.0009161881657937521,0.00033486849534103413,0.0006420603050918405,0.0017996211131601214,0.00012038315137785638,2.960064512791405e-05,9.959833184192135e-06,1.3598413306503687e-06,1.2735540906305687e-06,1.0481230406922393e-05,1.4950863611140619e-05,8.13618566519736e-07,9.376151994811011e-07,1.0627908209048798e-06,3.097665857154652e-08,1.6231818704692813e-06,1.0415647564432362e-06,5.619765541808874e-09,1.8021941894375004e-07,2.2533277466152413e-09,2.3185105701983844e-07,1.4880217058532708e-09,1.0870371109916732e-06,1.5507950479332067e-10,5.226827097981612e-05,0.0002200451407435855,7.436780490088779e-06,3.0772973305115414e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026977016864162096,0.0015823774844032634,0.0006627529642859731,0.001113792784190215,0.0009506695205498961,0.00015176614557010915,3.519598349255304e-05,2.644294954723403e-05,1.0476785227142571e-05,8.018186592462229e-07,6.970338958245392e-06,3.1956813471012424e-06,7.042678782376299e-07,8.394820079082876e-07,6.274964581276521e-07,3.503031775764498e-08,2.5807696446555894e-07,3.1523763732721477e-07,1.5185646629056748e-07,3.650853219738792e-08,4.993176982992509e-10,1.1407446875999483e-07,2.8238824612003555e-09,1.23259400464093e-07,2.609660709751438e-09,8.67125858388107e-05,0.0002526715959799697,1.2074158465602558e-05,7.377977776723554e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004710844658482483,0.0005378719643241991,0.009354504769684246,0.004022096320292157,0.000752994005419616,3.6324369274476354e-05,0.0003678662936270616,1.8342646990854305e-05,5.091172440740976e-06,2.1464737295584513e-05,3.1377186187508954e-05,1.7744482521120375e-06,1.7699893690714674e-06,2.9036891220357575e-06,4.14280887373053e-08,2.573957631257784e-06,4.512007345969238e-06,7.006798226072419e-07,8.719848407778841e-07,1.543771332990218e-09,1.3053910423721504e-06,3.91685817113796e-09,1.817370656187478e-06,2.8420970243914212e-08,0.006070377937732685,0.042548518806655,0.0024544355187732236,8.562697820746479e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.857084203029737,3.429379131088819,0.1382243789902241,0.2688677945430251,0.026818575798815525,0.03364834278121401,0.003714886965562325,0.0009479418583029364,0.0036276770431566685,0.0021453943467935332,0.0003341135336851764,0.000416154238737948,0.00041023144231827624,5.961732034931444e-06,0.00026658329334999786,0.00017482022150483445,2.7530323713609306e-05,3.8709877987097574e-05,6.316834495478929e-07,5.496267985005687e-05,2.864281234415955e-07,0.00010715057598814637,9.936420666267765e-07,0.03353237629998673,0.004603365266543105,0.0062413352946347755,0.0012503144117468334
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5434804072390861,0.025298361671998837,0.07109114791450709,0.05668475196488687,0.00915946320634882,0.0013994420076434144,0.0003513248718475248,0.0026062988464849446,0.001804487142360811,0.0003531258773046275,0.0003310167323881813,0.00029872858330409757,3.836076977403735e-06,0.00015050905022967465,9.221392142433338e-05,1.5001084027632672e-05,2.6963339657834484e-05,9.200647401730322e-07,4.047968835579896e-05,3.602280473913311e-08,5.94487048622e-05,7.125766262605637e-07,0.01177385781598353,0.0022327566873925966,0.0020725429358783853,0.0004701548406725875
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8810362695418057,2.9295416694221776,0.09898925502081668,0.1828432492616652,0.025442331191788292,0.008875658240132367,0.024389355173111665,0.017670901025631486,0.0027855503667960635,0.0020347620938838545,0.0023669118406731554,4.583315070127991e-05,0.001797619356269306,0.001054181847759919,0.00012367233995580484,0.00023281065222556518,4.146808535110402e-06,0.00021083453352918613,2.780740848806751e-06,0.0006839701632339046,2.821337206526664e-06,0.20517789713915935,0.035718594669014225,0.03024606251102592,0.005020469706044639
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10054026257463011,0.033820240007870206,0.006095267539953819,0.00045994227506773733,0.00016309196173147633,0.021417743624250973,0.024415711005506435,0.0014219833212452127,0.0008957614257570912,0.0015501552341034008,1.5247692796815926e-05,0.0023255077159706206,0.0010131417449747993,8.557485093874106e-07,0.00024556159983901704,1.835787566406566e-07,0.00013397657896174753,4.1529485339530936e-07,0.0010004192861596817,4.1480786805436765e-08,0.00840078243899156,0.01181999430045988,0.0011527099993411394,9.364252719001875e-05
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0393248652701335,2.760028744620959,0.09195756913228381,0.0944138694818899,0.17077470850643872,0.051244425514666125,0.00045986717785129194,0.019744497488624724,0.013606444234378345,0.00020690829288272372,0.004204658890253815,0.0018208000744794478,0.0004890877110728109,0.0006975016406336465,5.341325045660206e-05,0.0015214255403243615,4.1075194952000516e-06,0.0006677978655220684,5.311949649700054e-06,2.7856254566309424,0.2728193378169693,0.21932236226551022,0.05342694859896557
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0876934942286719,0.004190323157028164,0.006632718305018104,0.022543022446220196,0.0038361892093080607,6.043555006374213e-05,0.0020403152910780653,0.0012911497113827775,4.338772547041181e-05,0.0004245037674588392,0.00010557794702981127,3.39904479143005e-05,8.111116490450154e-05,1.540814097200638e-05,0.00012562451702158306,3.0857241450910067e-07,2.162562020235903e-05,4.3391759962929655e-07,0.11164108737881517,0.030420942490931635,0.010746591222207558,0.00045680920381840906
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.114360285184908,2.131744538798096,2.9085909047913585,0.2600588001033425,0.006366692879679392,0.18920893687653212,0.0510978338656457,0.0025861872394730145,0.03480163481045845,0.014988934429504427,0.0030901315428972786,0.005051507423770377,0.0010842529689901736,0.00403822472943581,0.00014696815889070347,0.002247067736411215,6.198357628761642e-05,0.17787401336737205,0.04220961713337153,0.029459532952909387,0.002078928367279853
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025925538735564135,0.10454235310471494,0.03005896678758413,0.00017923600650893157,0.011406089113003226,0.005136404805155204,0.0006842085068872183,0.0015346824418227545,0.0038425103545206563,0.003711526204539961,0.0004629468523693614,5.0443980573522396e-05,0.0008326853111229049,4.962143978803901e-05,0.0005688893057578248,2.5154958347206602e-05,0.007446997210693196,0.0011934710938809046,0.012804832910008779,0.0003224432522621612
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10479256461445119,0.01783625358752472,0.002251048267067679,0.023152833033932563,0.003005047632614888,8.096471064766853e-05,0.003016644506690591,0.0012098384266840956,8.773626703351134e-05,0.0006541542917384291,0.00010032425771799858,0.00061519087622397,1.6015954610315575e-05,0.00020357005704152442,2.932023191792865e-06,0.027872289144849738,0.004530056731092746,0.0038817469069520882,0.0002708527832460117
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.154204931295812,0.11662932774691903,3.1076698238384672,0.49721614464789776,0.025700202231446756,0.34242420577412125,0.22500088740145838,0.007981151025176159,0.03840783290172953,0.00378298289082446,0.07166441206052498,0.002905469878131006,0.024517431981599253,0.00036217520506465206,0.016568629487877212,0.002911635721473224,0.002420344234061053,0.0002830474815181949
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9521351537203029,0.39133109226261187,3.4499498990064623,0.11208152046203701,0.4597808727631236,0.10848413186814733,0.0007928141777384656,0.07285562406674231,0.0006798680674624524,0.031518157237602346,0.0009420158746569207,0.07795358291752416,0.0009201998295909064,0.003956146351164286,0.0008074684600934273,0.0007991932290940806,4.105556956546241e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03069457672333553,0.09922529305858752,0.004823249634794191,0.027727681263086,0.002975493923376149,6.575101963779417e-05,0.0027185657708654887,4.551099735694564e-05,0.000976700781871065,0.00011361266046239216,0.0009399524604611909,0.00010904356445462504,0.0002582422274366447,3.0102726075509345e-05,4.254157510408252e-05,4.457528751666828e-06
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38746521996577366,0.031006660552290954,3.2982597785069094,3.5647717665667695,0.130853825691289,0.28563036273127274,0.026723122259493026,0.33960035755592055,0.027809631781388067,0.2342545257709153,0.003941044251454917,0.006189360167206254,0.0016308132180183899,0.001388864530223105,0.00032346102080516026
N27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8291673650678806,3.275020354651894,0.04614382380896111,0.004199550199162738,0.24926896691249228,0.007323124817584459,0.048343457305487475,0.0004441305727762579,0.06669410827262628,0.0030382353250761884,0.0014564111568451665,0.00022188287346457114,0.00013903515663936383,2.2248523944057297e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11744104373267727,0.0035202488998612447,0.0013892314735830524,0.007170869729418938,0.003414180986622384,0.0005460190060929682,4.162087010572968e-05,0.0005877931637494616,7.04673183977711e-05,7.475715790961068e-06,7.125487611059356e-07,1.426442393581695e-05,7.696745283780615e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2981830999570183,0.027214570752716716,3.5971231624719713,0.13413465634306898,0.22853360990034202,0.004018173468983033,0.3547116630963645,0.02837626217202671,0.0007271539035205721,0.0004887768417375926,0.0002669781386755582,6.310391000019511e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.994438389030355,0.3099096991733728,0.003597507999223426,3.983551420024712,0.1295842723257965,0.3229525866461337,0.025890401692745035,0.0054089871379137955,0.0011243035612834781,0.011683458408923902,0.0018030282116262564
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003507017521378497,0.0007586463096571627,0.1282776952902409,0.008500361333446671,0.027290615152968378,0.001106033284184571,0.0030643985388998374,0.0012196364611342103,0.022742021120818023,0.0014100497630709086
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000443236475956,0.32085370244693645,0.02616761985824656,3.9689249860880107,0.13115039155066,0.000401249349266497,0.00012910534565794413,0.0002443888163277397,0.00014441201748116583
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02746610463361554,0.0010493890361438218,0.12741253317489587,0.008421112113198514,1.551176318681513e-05,9.69379819448779e-06,7.4551479353202055e-06,1.760966172215106e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0253881433958667,3.616767333586934,0.12320815241306837,0.0005144106209766797,0.0002522065058934847,0.0015588241695253385,0.00037686878569009874
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12513657995997618,0.00812612589561268,1.5168631170237035e-05,5.892512856653376e-06,4.733698311965018e-05,1.0631513611469856e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9607958411424775,0.0006224288879841111,0.00023857640249891343,0.00036938615133839947,9.325787647262995e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4029307275231773e-05,2.2321760153598547e-06,4.263958617134467e-05,1.0561791524033026e-05
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.675139712125987,3.5459071933017774,0.17655907174652763
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5100766084574733,0.06770329438426281
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8489643361677128
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
