,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27N,28H,29C,30C,31H,32C,33H,34C,35H,36C,37H,38C,39O,40O,41H
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.228871565717045,1.3679650764277476,2.0574193020811626,2.4633226629119434,2.500173227154807,3.642050488122223,4.481208235322633,3.6198275347537647,4.359337731802528,4.552657562854569,4.273946831444493,5.51569838519365,5.70201030360053,6.290052290506979,6.224468315016916,6.318747888623237,6.17456962164185,7.493939713660744,8.163112171882705,7.549946205046176,8.284282635656975,8.064019347129623,9.092526023708203,3.374856583962824,3.5889182585513253,4.498909099132816,5.148823702865166
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281872342360266,3.1656107463234404,2.8145211286185736,2.3371149711303323,4.051389300113488,4.683351907589361,3.937155486414219,5.080323396348615,5.463500041192312,5.201233868416119,6.246693906424813,6.68920528862597,7.34177876340208,7.122976726804056,6.899124233587027,6.574400257867542,8.402366076636932,9.146552492036452,8.191047969321758,8.833422991838273,8.858493784786397,9.897233237758728,3.703581019944607,4.104548248660537,4.569098478821801,5.252216735479113
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012085183018686,1.4471947126573508,2.0456538698376328,2.485372132627,3.4055622143983926,2.7133761464349995,3.0328497769910494,3.347763724648125,3.294645473451113,4.14876249732859,4.471976129945926,5.1571611244230064,4.889600083847825,4.985044359668299,4.921371300773957,6.160945488591873,6.87318761768808,6.211234013959224,6.9817798413721395,6.712738226268703,7.751549631996465,2.445663249550091,2.776208345915938,3.6353232467863283,4.317021533506266
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1057942665363636,2.949862929559212,2.815067226831602,3.804247966654178,3.15873280730908,2.8278879183197256,2.8716062672054052,2.8768664326167923,3.8017022560012785,3.8065166035964513,4.411081331099158,4.2963707933425,4.765530680931589,4.910886525774276,5.51852668981241,6.139408421073242,5.865915174864714,6.710687055442402,6.1833054890143515,7.191209883727318,2.7479438704307584,2.7585293577308696,4.029341703029052,4.587149256438938
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0945001514674273,1.5571544554793333,2.1643772533180092,2.140737549564264,2.579754520357774,3.4563713252340675,3.7173999025084297,3.55891626835704,4.572334248243851,5.44040651872454,4.6484308195745205,4.099933724745352,3.794626896474536,5.876571951772048,6.751173568100815,5.422799396028015,6.07270881126312,6.178856740573389,7.2280036559275045,1.5281755663290089,2.4439868861111758,2.381540418726726,3.214835336899002
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1688322207384827,2.4759960756139274,2.4078498915225337,3.4929009615085618,4.371475395508295,4.500334188008605,4.503200229798617,5.568103085191958,6.427932360755662,5.661455434115936,4.915235051400543,4.428940872605404,6.892654959952495,7.790911195475135,6.26589011895801,6.822868517988903,7.128754953621028,8.173380502029355,2.12703785922822,3.117224507674779,2.5996996589737065,3.4871805478000426
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952801776665475,1.0958076196746367,1.504332065554806,2.5702388813180543,2.9767709745477515,2.6469196657527556,3.7165762050737454,4.635476790845185,3.776706222098138,3.3474839970878296,3.1714079141340608,5.061377472089861,5.949252900327504,4.715489705357409,5.452913314045958,5.419780675641236,6.499371643444972,2.5629361778955912,3.5208879023134356,2.9589582512042156,3.8305243461564373
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7608102207050407,2.146175352486053,3.3965481780422198,3.926588336164666,2.82618551381393,4.367914080446191,5.333636835313119,4.139783171824663,3.088273815573244,2.626341582629112,5.27512289816525,6.251530370240451,4.4603454431751395,5.035065518441822,5.381016736466889,6.421637002499857,2.768653467096691,3.867926146325989,2.6239815980099377,3.4984176459704823
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1427322693770465,2.757597952836477,2.7922724034711206,3.4642245688370097,4.060271098138929,4.861424267844101,4.4043525450262875,4.295972108476342,4.154367330240217,5.749561729083364,6.550076032705488,5.636845937688519,6.404903627697436,6.245786351009194,7.3279752347224765,3.4687437145441473,4.419056363763195,3.887343640053203,4.811102569072006
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3764381294138393,2.22625610437251,1.44620920705085,2.2603927192656985,3.226821507625752,2.309696658765396,2.627946389272589,2.9646659159130846,3.651905369698642,4.479668495815055,3.823373007195348,4.749836287319341,4.2194128661284855,5.3043657103563735,3.1523498000181642,3.7383554547848106,3.6949561617476547,4.34541885810957
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082173712293342,2.2577170155627977,1.381376106141329,2.1291825392772616,2.252192625571201,3.6518923381178565,4.214560620037043,3.625036180686516,4.164489979132754,4.596554523868818,5.630426736596827,4.586166010889605,5.614099255213075,4.189828656627992,4.551895141866191,4.954488160000462,5.574776475709623
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3219112477979285,2.1439609993256816,2.5152775356233614,3.2696289893459505,4.6991736358519365,5.178892750885517,4.5968741490215805,5.004390761691622,5.677597440706786,6.7070881055284275,5.6361687847905095,6.643907407577324,4.718276968572784,5.0886442272450445,5.591245118789147,6.287068929369105
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2565747602481214,3.232079989498958,1.422674955355926,1.4076747448224185,2.1696430804450544,2.473752710675183,3.4607918541589853,2.4110116968095743,3.39811377463364,2.8039456977614403,3.890494041815,3.5434738850904712,3.929782126478968,3.826047552276595,4.211357712076702
27N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0081598421556013,1.3806368406032352,3.578261974683667,4.426161919402501,2.523328828051989,2.8615671162916416,4.12559791667806,5.211414238782506,3.719382017682187,4.642829128322673,4.977431829291886,5.129451182364459,5.681281317569187,6.1329766416573115
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1299044076464075,4.497696274861796,5.3958821594325865,2.8817782222697916,2.834016517945932,4.875216576735637,5.957419130292018,4.2265383696491465,5.011917297863238,5.884322982687231,5.942756906635574,6.655282303521425,7.087808043366179
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.434490319963114,3.426754212064183,1.399610213020173,2.173388910636928,2.7657895059932818,3.852456930337888,2.384249980488447,3.3746381411077486,4.687350015791216,4.827708542489784,5.148109291883879,5.452619692148186
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0864863073750668,2.849297686869733,3.936511324076474,1.3891289657947032,2.145723621059831,2.439134181032512,3.4140680527474823,3.6540971933261646,4.051173557134675,3.482196095658146,3.639237333835467
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9357399648557125,5.022951609086271,2.1551846406282147,2.4789968633150963,3.424971307909527,4.309980232694701,3.240844366669074,3.8387128726719406,2.71096765778328,2.8844347942789397
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087214517712999,2.4398576958808853,3.4131826639586214,1.3898876810122283,2.1436007542167235,5.669580610835258,5.665745613856319,5.993967413074176,6.113974138989957
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4305937472220966,4.315093461104904,2.1632640804008254,2.4864832440153957,6.602978986121597,6.509633607136484,7.020936905749092,7.1328004230701865
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868585331498701,1.4110192870661626,2.163235677209097,4.818182894481835,4.991664588776351,4.607536112808491,4.537149038222243
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160665411443799,2.4754476801446574,5.300319354995002,5.469734516763149,4.853769443078259,4.624061638609437
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0867376017735835,5.701731230883651,5.715702717577422,5.745254605200576,5.703201018524034
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661881334674734,6.595202415034438,6.649058156721725,6.505301413094039
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2098128967538673,1.3555636468332715,1.8781968441535586
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2531917391979728,2.283442505535304
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766823194143248
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
