 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,C27,H28,H29,H30,C31,H32,H33,H34,C35,O36,O37,H38
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9279328233684163,1.8814369780164129,1.6991891109635646,0.02106668218257976,0.008890898488155052,0.002176515128814671,0.0004024057284852667,0.03286129041857394,0.00806696519538505,0.012393917040864774,0.002991293975097453,0.0010933783855125723,0.0001354304912276616,0.00040691936307192533,2.7619742185347462e-05,0.00010734523148896169,7.462122909873692e-05,1.1008744208895749e-05,4.887636760875225e-06,5.434342409188497e-05,4.553657824368784e-06,9.33655305801473e-06,1.910637765201173e-05,0.0008197724187399835,0.0011391474659482453,0.00014584249239439628,1.5516860616071604e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02417098531153017,0.02305687881716567,0.00043963357391496594,9.301957935936578e-05,5.092502679859834e-05,0.00022853464356886732,0.0012690026241981567,0.00046031253068168354,0.0016079734765244158,0.0024054165072451283,0.0001856351841267312,7.3009680658930876e-06,8.745534162568624e-05,8.216155469309427e-06,7.5034121718164926e-06,8.722540232319886e-07,6.807113741569282e-07,5.880423037396554e-07,5.866278261379421e-06,1.9038114684732932e-07,4.6853926805034973e-07,3.6866864718820835e-06,0.00022649940672048174,0.0010702671187357016,9.749035944550677e-05,5.7081164492878145e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025056288131849236,0.010957560011643164,0.013256292127902247,0.0007179125302738676,5.819481465851872e-05,0.0022967863985594583,0.00032280512497684377,0.0014867493650843056,0.00045746902067533846,0.00012547403294438375,1.3016648622521387e-05,5.842009362133638e-05,1.3112951298799302e-05,1.0464629426776284e-05,5.113555283653426e-06,8.65409626182867e-08,5.892662278128569e-07,6.708443189618052e-06,1.0876808338444732e-06,9.311056348160207e-08,4.102142079798199e-06,6.975047663670964e-05,7.225151232992388e-05,6.252590480815279e-06,1.951895514773483e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016393872486554217,0.0006279220809848329,6.723415265019739e-05,2.9986481507870977e-05,0.018619580541700875,0.002719032054693593,0.003974992532483235,0.0002260261592661461,0.0004016124315138203,9.67720446070075e-05,8.684160287342202e-05,1.749438236253731e-05,6.307760392143535e-05,5.086306449575417e-05,1.0260658979133197e-05,1.3256127551208863e-07,4.401831366029896e-05,3.151721394534235e-06,9.444416884996087e-06,8.99740742110744e-06,0.0006938362324002689,0.0008254113642669481,0.0001355351792491355,2.0313472275379496e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0872125724109756,1.6979588515633606,1.882992294732326,0.00648756484230309,0.0016017649393466754,0.001391441591014314,4.69627508642434e-05,0.00025285273921467344,1.584614071981072e-05,2.4117624825334416e-05,1.4792667601959408e-06,7.729379601778552e-06,4.7136700438432655e-06,1.947635075438825e-07,6.373232789291805e-07,3.7836594694792836e-06,1.9774747150869132e-07,5.027950846780982e-07,3.8498487120453007e-07,7.324665850402812e-05,6.210355507504928e-06,2.382038362040706e-05,7.046700043256138e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023220120392704935,0.023012368805796823,0.00014859935457889328,1.3511117053610633e-05,5.560315464747667e-05,8.792078443065066e-06,4.462949234618208e-06,2.7419896375668884e-07,2.115319838180696e-06,1.8883677044279068e-07,5.946967394088176e-07,9.15964041059425e-07,1.1731231541745046e-08,1.0054413301929799e-08,1.5617151460922685e-07,1.2442435970427823e-08,2.897506234944558e-09,7.589937944807446e-08,1.6470595152195955e-06,2.8490948804638094e-06,5.156903839509397e-07,1.261881121816799e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02328039738224219,0.0012260353536168722,0.00028160700105694936,0.0002753782343880573,6.513688940223972e-06,6.38910142232163e-05,2.4223287928837323e-06,6.019972408788377e-06,2.545630395367482e-07,2.256818945722827e-06,1.589825407100065e-06,7.927183398592774e-08,1.3022630973580362e-08,8.806163573904513e-07,4.888882343401235e-08,1.1619604500801017e-07,7.546567393212911e-08,1.8196410736859292e-05,6.412868609473321e-07,5.701105037947407e-06,1.8543166537821065e-06
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010157396544174802,5.440752641949764e-05,4.223085986954089e-05,5.988073440654773e-06,6.935003122210404e-06,3.023139945046438e-07,7.721523858084112e-07,2.7002674762854895e-08,2.894164261579846e-07,3.836016682079446e-08,3.950424187770807e-08,9.121386113086771e-08,1.2384633230055897e-07,6.8064287539471025e-09,8.000226037196967e-09,2.496466966483979e-08,1.6612282716099713e-06,1.5717044354879306e-07,5.008719639043591e-07,1.6220533138877613e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.790915651481098,3.447345259708055,0.1335980717469324,0.26749966476135273,0.028065248829765466,0.03002881082838657,0.0028975585450554675,0.009200551504519039,0.006918196829337475,0.0006454706991865233,0.0015055824004654994,0.0034878102897763497,0.00014209038984236422,0.00015137388303010368,0.001193328516141401,0.029726181030282434,0.00614740063745145,0.005788483654257631,0.001287269361051946
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53273959759436,0.02663984036177347,0.0667132730315723,0.04792958604926667,0.010280152494603262,0.001105998813922926,0.011605355799050282,0.0017784470864483648,0.0018333493897646491,0.008098252408402895,0.0026740452450904964,9.355078745820755e-05,0.0002134171379539751,0.0013929727849109064,0.010846708846755204,0.004158055934843308,0.0015714213034101754,0.00034373206418558677
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8416791102353987,2.585280774144266,0.0947077691279492,0.17287423845771144,0.02545820611025562,0.0188320318520072,0.006946658105419834,0.001475700980155592,0.0006063851069633142,0.022703744890011146,0.0004371284309876433,0.0016646146155330221,0.012834022355321162,0.19392932963047502,0.05269347036813059,0.027529117128647848,0.005144756170454512
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09795456546600678,0.023545614271752724,0.005452876868605405,0.00030154051189468234,0.00046374296050943897,6.47650710958736e-05,3.879344834434306e-05,0.00011359176494218914,0.001952278508849492,3.3185255017720294e-05,0.00019393805111311835,0.0015828578536003501,0.030470637904358333,0.07168677454084671,0.00492439437229808,0.00016852997711458428
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02223460481145,2.5982643483979495,0.09689114730329029,0.16662407920210254,0.006752801075877279,0.03009773987554376,0.010109294379900602,0.1554340103768931,0.007318539962833492,0.03183330337933965,0.007922026552213524,2.6210856012680104,0.27266690506757635,0.21697874539919398,0.05304605060401002
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08153277105663637,0.004423386445502109,0.011550934716143435,0.00019363523488835632,0.0009059910457682729,0.00482659599303048,0.025730068574402853,0.0007361837713482089,0.0011634811647134313,0.0007091562145411512,0.11440715918824007,0.02928482719768566,0.010806267122236868,0.0007071189865308636
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7791001872702352,2.702223524916198,0.08754563952618466,0.09226226090789269,0.08623911714337518,2.8670112889897146,0.08469598676424583,0.09058190403376032,0.08422507534021517,0.19208627160730904,0.04318860839944605,0.030401106412333026,0.0020415366059259865
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08467742365091913,0.034345434835967525,0.005227803817209775,0.003941454578249681,0.08233450880717397,0.0045270928500174,0.004391227152027222,0.0348409428172638,0.010021792710189548,0.0016242723584917185,0.015331311410094028,0.000325220021893724
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8791136961565853,2.021554834645272,2.1160664048566185,0.1713465459647392,0.031778666745241546,0.010102336338529305,0.00892208147794249,0.031010403274507242,0.0072439430659303194,0.005085336797585438,0.0005097166188529068
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023032838346309648,0.02424291911116727,0.00980032778331974,0.0006003253290194355,0.00018959420575703767,0.00440369316115663,0.0007917194152640139,0.0001481053882386174,0.00048131299966602814,0.00016153574626587286
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024954737005607797,0.008734609359084877,0.000549535491805031,0.004157977774514654,0.00015541263555940432,0.004883407038253518,0.0017450493418580404,0.0003925870645431484,8.782515359584409e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03083943765497077,0.002849359443979349,0.0008314891404981317,0.00045681044969247964,0.0008669496991160486,0.0003432381563360787,0.0001377306426073588,4.751471429642606e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9075554567432127,2.0040170832184234,1.8152040263006035,0.028084691353349456,0.008101368458050484,0.004004339441401612,0.00031912687129120876
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02437025556172623,0.02404239350323989,0.014790000805453563,0.004415693062535642,0.0007306789294843075,8.733658566395519e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023332429091778684,0.0025072396456879975,0.0002874638931982254,0.000341287538436319,1.5893887653328775e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009746548218600992,0.00013268567050905844,0.0003797435466206256,3.453204229941775e-05
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99764817442603,3.3658267076224235,0.16986183711557468
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5109191174653658,0.0679592372772323
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.644657365779947
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
