 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,O31,O32,C33,O34,O35,H36
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027202759624958772,0.0015098825424306739,0.132562277947185,0.008523353325849747,0.003321587067027565,0.0003646865549877809,0.025394644428070157,0.0029903880846926523,0.0012717957647412348,0.00016331644963840652,5.7249137110582105e-05,0.00016064775427937494,0.001209040737591316,0.00014703926238146536,6.692350570958183e-05,0.004123070346777169,0.0002510887246431892,5.000709794256153e-06,0.007570431642639708,0.0011392830013950972,0.0693725757070992,1.1540157674794216e-05,2.95187296682764e-05,8.207010035898854e-06,5.52497988692835e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022120006088402,0.30517979227131153,0.003993601351070408,3.4568051747183848,0.12123645249038839,0.3452415255004109,0.042106050798324315,0.0031537153322925837,0.007118489968000158,0.0019182755678836122,0.0012558485971793099,0.00019294100867428554,0.00017409106231547344,3.6276621453668056e-05,4.4038897003981226e-05,1.0290889225883504e-05,1.4930283589453808e-06,0.00010919244566859332,3.511304228925871e-05,0.0005348505002136794,0.0001187666021910394,0.00021962186795167205,3.247135420404723e-05,8.609208296816995e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003517765481405588,0.0004442885429705168,0.12786327433178424,0.008322675086648745,0.026442389157192325,0.003369333668631347,0.0002092371847846053,0.0005027441413312239,0.00014540861121792314,9.490268577327932e-05,9.182241872629504e-06,1.8656075700285157e-05,1.9156528789920912e-06,8.134123173464403e-06,7.484209294528199e-07,6.904338545332678e-08,1.3684926809087727e-05,3.806068470502133e-06,5.433478226180011e-05,4.153239944848508e-06,8.21965713848627e-06,1.8571849353943293e-06,3.167859674579887e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.019943112759174,0.33104322916652706,0.02789307650910966,3.767536574241508,0.2861273897925013,0.033456865717027884,0.0007160243159548552,0.00027248626092457595,0.00011255915462823896,6.49265491508011e-05,2.9355974857925293e-05,8.099458814525562e-06,0.00015184930965472798,1.4547028540423668e-05,1.0629777646986582e-06,0.0004534397043621241,0.00013435482184909198,0.0024859010354478933,1.152405243032284e-05,1.7684242624604884e-05,3.4180715353659963e-06,3.0437003917249683e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285914784179917,0.0020303201225273515,0.13533421835992887,0.012260281543926665,0.0012465707669391257,5.459360781068234e-05,2.4329506457920758e-05,1.1758275994422362e-05,2.0448558277763595e-06,2.07255729844924e-06,2.9611604812629366e-07,1.0636717023171371e-05,2.116985172495589e-06,1.5150521881501788e-07,3.0038584144076452e-05,1.1421625436547345e-05,0.0001375787487071234,6.990174650223224e-07,2.6904779726333317e-07,1.7113938566293285e-07,8.574963850094264e-09
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0793740363356377,3.7444209778560986,0.30487038410544987,0.034187392892033985,0.0010379326155507962,0.0003164747896341469,0.00022994507449175527,8.588408188048291e-05,3.339564876236878e-05,6.003711530810918e-06,7.738691977635104e-06,1.2938759530456423e-06,2.611718659117912e-07,2.721992018431263e-05,1.1857763705491742e-05,0.00012143392811471421,2.5620029889483753e-05,4.5570268193531605e-05,7.959115028988162e-06,2.0115415391153135e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12711770767632458,0.013584188510407103,0.019883549369978937,6.436620009808713e-05,2.010039657207585e-05,2.4969707849598066e-05,7.814698077535098e-06,2.8812599450755982e-06,9.215391967298814e-07,4.282631733687481e-07,9.416881496804308e-09,3.929180913964103e-08,1.7113157326775763e-06,2.9305743720620114e-07,8.213643467369636e-06,3.6312667059945625e-06,7.652839477678697e-06,1.2434165428398813e-06,4.3547273698152367e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.809078945191774,0.13162572573856923,0.0017099388357262602,0.0007575930716889473,0.00019053946621741535,3.000048757961782e-05,4.0561740655559175e-05,4.852713207714743e-06,3.4254548183704214e-05,5.953141633208148e-06,4.855395527858519e-07,0.00010641811934397616,3.40305285133069e-05,0.0005010665757263083,2.5778387894498378e-05,3.101728864755848e-05,4.094450488670298e-06,7.256674048328193e-07
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8161194787829489,0.00041758380924958316,0.00017728604431888062,4.9225134423042105e-05,6.017517680700912e-06,9.663442262317079e-06,1.3208247885421187e-06,6.775861774069303e-06,1.137232981007763e-06,9.799541289545743e-08,2.163866732801667e-05,7.876674078539925e-06,0.00010062629610209373,6.621456516475721e-06,7.591151725452883e-06,1.1891816304801517e-06,1.7829417253700797e-07
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2018945432235029e-05,3.511497444042e-06,4.899200540142701e-06,2.322264026188847e-06,8.819974597340519e-07,4.955107342219378e-07,2.4086823254831913e-06,2.2550909428709076e-07,1.7006762220717064e-08,7.902511755752961e-06,2.664636209459559e-06,3.222771542277236e-05,5.999722227922888e-07,9.153481802526287e-07,2.2424532875042757e-07,5.87198027979241e-08
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.709779640006675,3.5659902555447713,0.1341649373783017,0.28293372291457797,0.016825175733687026,0.03027349531059767,0.004357779950364904,0.0006949135238640824,0.004819984750880302,0.0019599140909331986,0.022984859579097128,0.05445478662946274,0.019870891014989706,0.008858018535032777,0.0011135180509285192
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5309173282504265,0.021847148372526215,0.06239568342973581,0.01482265551038664,0.006922939166071063,0.0006148436807216218,0.00045740269961624946,0.0020364016275315755,0.0009772685912544793,0.007036945751096896,0.03126185683778121,0.008054735238092345,0.003657467615616153,0.0007768468311294408
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5762848177559199,2.9273912798069737,0.09324586014799574,0.18294306465334223,0.024949715353403956,0.006664535535937599,0.031558066592236894,0.009731647747936556,0.16679974261090363,0.19229377447607016,0.027713860851428435,0.02854390699126788,0.004888458318651923
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09786985963142336,0.01650103832188976,0.02194488533117489,0.0023525893787210705,0.0013199431701027553,0.04862069937127289,0.010580230010666547,0.36665957587703935,0.00555222761068308,0.000745794356455387,0.0011856384519970398,0.0005134771201527055
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9623871609541774,2.6309282725261642,0.09204334761173305,0.0952436046318863,0.13635086148836342,0.04419071121210642,0.029385370503806435,2.7136336369726117,0.2638446505624413,0.21702324350501867,0.05504366586430465
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08135286690150445,0.0027240655349769494,0.007639329013623408,0.026031904479440815,0.004152341920185876,0.003861624599792557,0.11549803392246383,0.02808920607009413,0.013357529705080529,0.0008634534277636163
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.107925306217709,1.9868775265813596,2.5120103887534304,0.31804106491473816,0.26923095726155166,0.20025357241907782,0.04248665998459136,0.026402137228115657,0.001810713150887877
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026075278778056488,0.07845546149005678,0.021036769515407006,0.02080651940569289,0.011381950073532598,0.0016926902111791264,0.008703607235417854,0.00013683737493419557
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07990816930941746,0.02649757447049106,0.013593228233464538,0.031096665097106957,0.006353999274527622,0.00319023139090302,0.0005490357714554861
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.645010839518352,4.451556666880749,0.01352071873129701,0.004462603006203797,0.0028669483802725715,0.0001818544400541411
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5873684501003045,0.003946567585228794,0.0008239145177792867,0.0006314469799758027,5.706962065399335e-05
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003647728230703612,0.0016111722350828916,0.0009146951280023727,0.00011959971955344262
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.282398930010937,3.3283372965526663,0.17067068621190284
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5062038073680734,0.0796068191699999
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7356993478242249
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
