,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23C,24O,25O,26C,27O,28O,29H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.233322190278429,1.3550892192278943,2.1096375604205138,2.439524714926334,2.706218894556542,3.7306125114046886,3.9967648855105575,4.554663730736365,4.273359972835294,5.3507377432705345,4.182219835086458,4.383926727067416,3.6670830078618293,5.498219814374875,3.0772175615486193,3.4008420262827666,4.0563918934958405,4.6587607027982205
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279663270795885,3.216558181246446,2.794326030688758,2.738026975228379,4.3005162670385335,4.708810293397328,4.908331495102364,4.990238995532774,6.021407882145018,4.744868610576564,5.373094001469838,4.8040627670807785,6.480603765512246,3.044885585830362,3.458603600203691,3.692157434273698,4.2196607185882895
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.047208163476078,1.4425181495479382,2.1009064354961846,2.444557438144233,2.6687082525960815,3.3664281881335216,3.0615847911887184,4.113271689977369,3.1992401399523516,3.275108693737709,2.6698548960889616,4.469105188090488,2.456387633079018,2.89894536514423,3.5815945466869,4.273324176535792
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09644142433774,2.7902844101914392,2.441917503936211,2.4717997225943726,3.515611452095303,2.6684087369192695,3.7079292459761763,2.9984912282661127,2.438429152001854,1.6430269115779303,3.6173055025277825,3.2494807854871435,3.5906884574821887,4.40615989747611,5.107634301006262
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989457812992012,1.549396659633378,2.158774234461448,2.145839257516658,2.612374177909683,3.496579255971625,2.723649933249768,3.4942165239776117,3.3637036627728607,4.660127781202249,1.527397182246114,2.4551598147360476,2.3867055638514656,3.2069386936134157
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.176714022660868,3.0672562986459777,2.493348555574825,2.844223074184513,3.6769759555573898,2.5225949642662564,3.8944052866034244,3.975068012708974,4.934351753229843,2.12175243777725,3.2439325990568375,2.4059088495652325,3.351127157094682
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970713415233357,1.0983556297135517,1.5435942683228203,2.165860563593714,2.1751391495005783,2.6779131075344433,2.94371834701484,3.742206201461414,2.502839328830383,3.2337948577606728,3.1878456125397467,3.9479631049751895
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766622650395506,2.177755291763966,2.6574590164220937,3.06642933619129,2.8089773919801795,2.7954575096781653,3.8889124074458254,2.7355752094386303,3.052936239956756,3.6640224809592428,4.236433648790201
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1661841752432354,2.339882111250964,2.6377132403308274,3.551782975702536,3.995646479861917,4.459777167623334,2.6326898362608673,3.4503198314412122,2.8691998929488065,3.579372856939101
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962363715930132,1.101109906234081,1.56489370901832,2.436982046077596,2.382260030109332,3.917898706874437,4.694497955201286,4.512416561285,5.362743297471174
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.747676014901434,2.1435341178179605,3.2312208421076933,2.498962253452176,4.624045436331317,5.390049565562601,5.051136225411338,5.857767779862778
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161651442874536,3.008138432943872,2.7758891225126447,4.136693598904409,5.087298294219411,4.540400253688211,5.475083050812572
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2897202126639316,1.2359304173335284,4.847910142971364,5.393273356530643,5.7131955091524835,6.5215741496623885
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260704903208795,4.5982943120033,4.919583252874769,5.688120616791331,6.415805562673993
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.033973948572962,6.609810680646035,6.815423167836467,7.6462060355670864
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2096501310431962,1.3654646902024346,1.869094922783873
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2498317027498014,2.250112568644523
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9756126446919727
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
