 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,O24,O25,C26,O27,O28,H29
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.677174818555335,3.5847958194346434,0.1272874522081453,0.2830713866082168,0.026412910444503668,0.030371587544357176,0.0011856010484050383,0.00430797964273788,0.0016289123221885082,0.00032296398248821134,0.00011795378176948645,0.0027966097159421166,0.01784255830812599,0.0009904708199769269,0.042167682729782385,0.007607996714252413,0.005528230225635117,0.0005375434982434202
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5492785757569024,0.021269489342393144,0.0751717462598285,0.02364295374274572,0.009380095778221534,0.0007566062731585443,0.0009102194338418412,0.0014688537917173575,0.00038131966559573627,0.0001002295367688033,0.0011442964802300254,0.005826729914350411,0.0003433833690369356,0.043450347911711915,0.008143072344856894,0.00415372580894096,0.0003167424945935693
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4883124235315013,2.8500369795075553,0.10116931334585988,0.17970046834363052,0.009462898514193907,0.025394480061301072,0.015981408023105603,0.00230546450541258,0.0009078872868226728,0.020817473616312032,0.16126817312266378,0.007700011122811309,0.20487152025648983,0.02812047956504686,0.0288876773412197,0.004830906492795939
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09704749532195744,0.006986828906234921,0.01940153381477827,0.002996640770350556,0.0014335784677270702,0.005118325788138978,0.00022145493829195395,0.00022718029758528324,0.04314963763453694,0.3575925429542267,0.009591625355662048,0.011199039872210825,0.0005621008265572769,0.002250327714142797,0.0009276358853507194
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8565341256780061,2.6607254655294525,0.08495508956030551,0.09557224013676846,0.1608246925317043,0.02353513372180549,0.016827487954852893,0.008386196435154869,0.01206672478966013,0.0033585623215150323,2.7808905776514283,0.2579374428484747,0.21772578418043065,0.0551390178458987
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07896273765471173,0.03478147997002745,0.0037457192095198266,0.010541030551128983,0.0003231648458441594,0.006151157708154775,0.0007148225040194411,0.0006533209387412642,0.00029605529733400804,0.10936058548924277,0.02369558603567634,0.016216238894289026,0.0012636859909398446
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8802639665547423,1.9277069510335165,2.86899633462896,0.09560054271520135,0.08257374593753064,0.13854507591400958,0.031058008201625506,0.0444716126581671,0.21321857831635496,0.0429126766009154,0.02637265332735661,0.002086321902344035
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023834978212908142,0.07938063901811976,0.0013354615890075472,0.0312910872707548,0.013133045066798132,0.01076425260800784,0.0024038489424550447,0.010033227111645227,0.004266550019740967,0.001250651996066332,4.3362219617648634e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08666117670211881,0.01040835443564303,0.0014688690563859907,0.022520975850770286,0.004057274807646394,0.003856161496190613,0.013682761076550198,0.001953788958171776,0.006677275254139636,0.0001421256589921871
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.098083605826891,2.0679702005019918,2.7268405665487445,0.25489759475923884,0.3249566312847198,0.03477391505113603,0.00898234927334153,0.004135367450941917,0.0006699800358481722
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02475582100204954,0.09275085633016134,0.023988167282988027,0.021006388926298247,0.003463841930341216,0.0009736663506350052,0.00045671416315518076,0.0001052851100606933
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08731227454504409,0.01666159103199183,0.023046372902603696,0.00156546918801026,0.0005819193486886753,0.0001791029935112043,3.888518508543548e-05
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.215625480773711,4.8378673954932765,0.002672435976055626,0.0004327146227134926,0.0005645133606125285,3.571343019659334e-05
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5619616720865874,0.0017601838212609883,0.00023396220841560844,0.0004972573360539218,0.00017061527472095328
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018923171024971402,0.00047804717419249257,0.000365177178740371,2.3212559723151394e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.628426073838461,3.4804793798824667,0.17449771714082418
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5110869486439332,0.08095743962931556
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8587014839110603
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
