,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18C,19H,20H,21C,22H,23H,24H,25C,26H,27H,28H,29C,30O,31O,32H
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2832967923200136,3.1606383146948422,2.822379224609197,2.3925834537033444,3.7172991498757137,4.419369575746933,4.797633397229261,4.575334709729696,5.284032924637038,3.3877249860539522,3.1006350428403517,4.426373664795458,2.9652921494856517,6.037247199338974,6.009691023426858,6.854954028658482,6.500404159587013,4.057838300689875,4.631891741547816,4.877840736400753,5.686938695664237
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0135658709579625,1.4546654324718418,2.0646471710390637,2.530158978577514,3.420344173082012,3.0719399484414747,2.782687242285206,3.28986202325313,3.058185493776544,2.815417096816803,4.091760672533193,3.3203560377959924,4.543926587391772,4.836168113892475,5.163431737598609,5.108684856945337,2.4089758718345236,2.710303684206866,3.607723900826975,4.278633341184323
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.096864637149984,2.8910036248559807,3.0957668094293154,3.9678376543860914,3.19246699423477,2.765089140088171,3.1564077434586886,3.843651707071872,3.5428565990292213,4.7980569254211956,4.253777266120462,4.700304999190188,5.125867930242073,5.126157966761646,5.332581738470789,2.4712395158072944,2.2984071923994325,3.8066208190672843,4.2859536832823855
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956502424277414,1.5613162084485184,2.1380772406982214,2.570671217431727,2.839979311388637,2.7286525904638683,2.535914756200948,2.849905430370209,3.4958264144879303,2.722374540425901,3.956152830990835,4.368023184259902,4.738298942711862,4.235567974691849,1.5230983820302324,2.4332061025865346,2.3835147128116576,3.2159656902798432
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1633770786601736,2.445009883487024,3.4961635707215564,3.8130953032670734,3.734963346266229,2.6974433558422857,3.1344925808049133,3.676987469417644,2.4241860935810813,4.7353571146250495,5.024205736116959,5.623284807272031,4.884438735035435,2.1391437154446393,3.1527764701121033,2.5919120814461305,3.49441973393029
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0991632505063946,1.5429085262049482,2.1641522943136726,2.1719879885764097,1.5358116779005726,2.1822408329886573,2.1816451623804456,2.1856315449096497,2.5840862246703886,2.8998293880021264,3.5261709990281367,2.8315508482365574,2.5454862227048944,3.4667639515637885,2.98256514304959,3.834854015039453
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1554505482195787,3.0600680830089924,2.518674462757364,2.151584609020522,3.071938975742817,2.477635734330526,2.523636631622085,2.7825167580588963,3.200296217677321,3.769143083064956,2.5826599043935707,2.6992633535270834,3.7699069869614426,2.596729806907779,3.448549767089156
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989061964366968,1.0991231865147688,2.561952682827738,2.804361660274283,2.84422013397898,3.5149787354366664,1.5340109991750903,2.194349093006861,2.177238185252732,2.1852156325980197,3.0494967102367965,3.544128476549491,3.646002735674409,4.246153858456363
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7563910930271933,2.7873332916659184,2.5814028456036673,3.1832207697331776,3.7774470049845488,2.164618993898368,2.5189811235809927,2.5183792303543107,3.085176364775054,3.481640689026324,3.744486757612935,4.3676895108964935,4.9495618215837665
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.501164495117792,3.7829348843868367,3.8567092508299123,4.334287325246215,2.151022963635691,3.078807754536227,2.4534579953901368,2.539074756670002,2.6118486801676073,2.874888090129546,3.177069256333282,3.562046292661973
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959495615338297,1.0949021133444805,1.0947324300730399,3.137962907137666,2.8772292402455344,4.141853656612645,3.4925311760823607,3.8886767622841467,4.803578565280031,4.327802485159659,5.247670182016152
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7728550504682266,1.7658059231652123,3.48575645825106,3.1136019313968037,4.328017242293253,4.1109496269863115,4.27588267690566,4.995714505334454,4.9840848230997175,5.8654396243220726
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7724911494620552,2.840136547968832,2.3030510090685943,3.861344384225475,3.0835187536243542,4.703807522104555,5.629829296976089,4.97557143617268,5.8652961925922
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.144986774610403,3.893558461915398,5.183450732222649,4.340133549758807,4.122069042712078,5.1424552426583805,4.423126054862791,5.392925519750507
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954037534826007,1.096119156408497,1.0975348589883414,4.408567869116148,4.943424066706976,4.707512753255532,5.258599839531426
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7663628398574043,1.770966721749582,5.115058170044387,5.729298388217485,5.458211052553015,6.115344016392334
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7703228753553975,5.001577186116533,5.3158256583106525,5.3671060740655365,5.776566441117441
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.521855990236676,5.183596991853991,4.496296588561476,5.008078854246237
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2140604640580106,1.3496791152218144,1.8768029086398754
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252840157293532,2.2871328102445125
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767290362746925
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
