 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,C18,H19,H20,C21,H22,H23,H24,C25,H26,H27,H28,C29,O30,O31,H32
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340359243687824,0.026145865948792868,0.06713338395255744,0.048162495470365996,0.010183892890675658,0.001009276269235193,0.0027430377651393723,0.0013249373140977738,0.0001398038652794531,0.009970970573591045,0.0012494277034895696,0.0014194816171066993,0.008472920095199732,0.00036338304082898787,3.9906256440236376e-05,3.0967013428195855e-05,6.0369066026133567e-05,0.010843565616081241,0.004014691416175442,0.001559423634396942,0.00034764589956037817
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7525584566038013,2.8220677646061367,0.098309929405751,0.17201165895093462,0.024937981922631414,0.021154876807695025,0.013368960928565876,0.0006291924771038016,0.01857139566259189,0.007244156408824587,0.0013860465955550794,0.0006552085710145317,0.0032464824473557724,2.806352079987029e-05,0.00028968693555708747,0.0006928741144118788,0.19428903641283207,0.05224967619390039,0.027939862805303792,0.005160790196528153
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09614344964072141,0.02457282995682797,0.005268815389388393,0.000269228756985207,0.002120070800843976,0.0017560632250874786,0.00012484316650529514,0.00044374862812701643,7.219216820653074e-05,3.279436228931232e-05,0.00012706108568960595,0.0004429862413448671,2.697700152953786e-05,1.4487327189005583e-06,0.00016192478578180847,0.028091557140436207,0.06564230952959726,0.004710698956479797,0.00016547542704703488
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9236261428597552,2.6411910703934307,0.09646766178058441,0.15940389598572607,0.0061576076723381945,0.010965407061335197,0.1712750820241315,0.006294108807824328,0.02934848368548848,0.012277837730163554,0.03400908303600356,0.0005771164004322316,0.0032292422413637834,0.0006381060918143611,2.706055945657013,0.27298043612483125,0.2174210190301995,0.05404401846376439
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084237630920314,0.00419466571828031,0.02434167988763425,0.0005020031804019442,0.0012198164731043182,0.01271686493524482,0.0001960461319134854,0.0009287299879576771,0.005818322684848276,0.0029601436436855755,0.00010643111168051611,0.0007573187532894377,5.538673876737121e-05,0.11747988277490728,0.029472339006520354,0.010874305771374937,0.0007062699680395745
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889336546377881,2.7439421036250446,0.08434082392705977,0.08799755893003369,2.8280888859946676,0.08302284591139819,0.0904986781381878,0.08670664197215205,0.16467564429748327,0.005585790109421618,0.028837146563723826,0.009935473546470064,0.1846510901945645,0.04268664678589121,0.029655356200047056,0.002086559541813693
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08098813371153568,0.035568742067857206,0.003434865939606846,0.07938345480682196,0.03415039720003343,0.00566347321829741,0.00345273395639234,0.010072502612155754,0.00010007082072593931,0.0004566544983286569,0.004973311490840127,0.009783934695257734,0.001659527462506083,0.015294004652476767,0.00032963589312995367
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8997446282132848,2.029404347237638,0.15851953583615067,0.010456335868821665,0.00514694921491432,0.030220925319195624,2.837865397898349,0.08238798933915326,0.0912475648034019,0.08323006896132101,0.030036591298185006,0.009710438559881525,0.004035921404419163,0.00034103113774364147
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023289487679033716,0.010176360393804762,0.005267657484719246,0.00013096051511785056,0.00045273179344085257,0.08371440472812175,0.005401778667288637,0.0037858238454868687,0.034142067854880276,0.0012312388617261583,0.00015155307598768708,0.00042928898521377157,3.484829854083493e-05
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030228832245907222,0.0005244558803152444,0.0005285810869035679,0.001825819055269351,0.085780156037773,0.03253427533357156,0.005777459321902212,0.004047275865062705,0.021671648500388274,0.0074720439175860465,0.000715600283650808,0.00010751737006087225
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9066500766617298,2.041331485271216,1.9528633892982552,0.022190961782303398,0.009265980900738269,0.0024673261726005924,0.0005569562379452719,0.0316305479908546,0.007174064037621414,0.004815120550037202,0.0005118364811385057
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023709943828525315,0.02426287489251644,0.0006373729961427488,4.499910429944798e-05,7.920500368374661e-05,0.0002121558992149719,0.0007867018154648076,0.00013225101963598718,0.0004724257769571638,0.00015948672805965458
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02526673574613225,0.00992687522879876,0.01034513497156797,0.0006219767447817048,5.613821605421343e-05,0.0048458366549253284,0.001767789833615363,0.0003679375805912821,9.765970880581953e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023405327994141523,0.0006245363337415988,6.586150719023465e-06,7.031194201823077e-05,0.0010391268977185675,0.0003966864508906376,0.00015486059857194867,6.146618560354256e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.053635526731321,2.0178387023052924,1.958958028194157,0.003633338461719371,0.0008889723844724695,0.0004434631244746162,2.9227247425156477e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023789179074961586,0.023236424914639953,0.001132381426509621,0.0004270627933047333,7.794144951089876e-05,6.317830671287439e-06
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023263115952908198,0.00023130769420021124,0.000189324257348078,3.097561795695203e-05,2.3060604068536605e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.447459943987766e-05,2.8300050927243525e-05,1.8321530100617878e-05,3.5088367995594894e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.535010593820452,3.3659915104039153,0.1659991937269507
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5013983124384789,0.06492381201149944
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.781425215421108
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
