,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28O,29H,30C,31O,32O,33H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0949477434226977,1.0941556816416649,1.0998317654119323,3.1666031227650233,2.908405368295932,4.15373338811831,3.5615951859625112,2.992951701953307,3.7012338170224464,3.4056028983914057,3.2989103390376076,4.472100934017167,4.8706545244197175,5.718381558562818,6.583973105888064,6.02146476644707,5.788330318826505,6.050365993017157,4.402324440982763,3.6293885680637623,5.729442296403342,5.904001241790396
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7641917628009167,1.7661959304410344,2.8354089862500156,2.2661033270037207,3.827271075420464,3.1753143997212736,3.9798393849371876,4.51714017322594,4.44491069098933,4.358101528330057,5.40466792767559,5.75013599147876,6.704972337837754,7.518495011029189,7.067544111994403,6.757408644858799,6.933594245288748,5.135426242287526,4.196566569061956,6.409114881016418,6.444727933280199
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7724290726738559,4.1473364266292885,3.878380874038373,5.179053137243938,4.370603594758888,2.641381246682781,3.2262861782749077,2.861681760018736,2.9325721767391495,3.665629222916048,4.044649998329207,5.0109820154187,5.777359121217241,5.44981302883237,5.181200871884372,5.346800955565606,3.408335569934321,2.587273367228777,4.719072882137372,4.865638507054771
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.572294722478807,3.2470535702117096,4.3908526062300055,4.222723378876191,3.4078519604228807,4.355056387725745,3.490232041975827,3.0607446889462997,4.621128554176699,5.227902248483878,5.653656663279499,6.590025752099445,5.954753250431492,5.462320679078972,5.7287172436100064,4.5632269720797956,3.845582362745614,5.842498447531634,6.028412849601187
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962130841579398,1.0965810949241959,1.0977322184382203,5.11133598060406,5.545008931017818,6.014621524862557,5.944673268916714,7.262840223563083,7.442449506275892,8.465886559934491,9.387667062820265,8.49927935786707,8.615050962366892,9.03075309208329,7.456232988705095,6.7333569979887065,8.805113882584205,9.009571852460999
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7664721261773098,1.7702914853203635,5.393789503832095,5.883348058891381,6.133290481204997,5.993320372371542,7.305129047608822,7.572408844119991,8.53897424394341,9.437868252383243,8.704111183014392,8.58521650277275,8.89506216208589,7.279953017941341,6.423567539828016,8.594813584243495,8.68971210576107
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7695747122161656,6.018385657613666,6.488614343847216,6.909744702321093,6.76987808632,8.214307899997245,8.417059239055263,9.346055525637608,10.303983822668334,9.314736725897138,9.437022708239736,9.891472405230903,8.467209932284517,7.762890620773951,9.820166643681766,10.040618000685592
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.203766810644085,5.391954305284855,6.259682272553154,6.3613058385266985,7.413169325045831,7.437320922954258,8.709992822989017,9.564158902527328,8.741656402412163,9.021109655387697,9.4278345371306,7.604557865049265,6.89233885786327,8.936863518588625,9.132987794694229
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2285445012682528,1.369278487851646,2.070367076108752,2.4624670541599745,2.499673260873453,3.6305546256963717,4.4690613412149975,3.5984825656910018,4.288279114611363,4.843092967060541,3.3685050768022253,3.469656889245433,4.614428537328777,5.231413151663033
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2751674041669845,3.1722941995348277,2.798749778529489,2.3247979074268232,4.05675843829989,4.670131675750398,4.018865344917625,5.003517879525632,5.493094628386845,3.646949095078534,3.810703893804682,4.766254299905536,5.369444945638815
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0114122190211412,1.4443678179454378,2.044022094609693,2.4583008362684464,3.397330922803856,2.6343181611578985,2.943651643894853,3.4852142925164697,2.451154138426821,2.8080244660217266,3.626877030699357,4.31575494853176
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1076150387185684,2.950047590236037,2.719768476274823,3.7611554068073207,2.9124698614184426,2.6883141313585015,3.252789278599755,2.831491743497224,3.04176878795825,3.960495229857095,4.5813505917348305
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0979876565640423,1.5378489363852408,2.1752248756829493,2.1489984067534107,2.4471020765008307,2.7659538028379527,1.5337928326924382,2.449476620175614,2.3938776004289206,3.225029704116129
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.171556258430442,2.470934126120193,2.5128163310333607,3.3855633672849943,3.7028021109973386,2.1287588208156154,2.9814678387317923,2.8073226635877044,3.617852177230583
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096511441964798,1.0935900362805433,1.4232316748584826,1.9460731871007688,2.5464498438752896,3.6273557858805767,2.752288506037215,3.6954534630168023
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7776586037559756,2.0941299796774735,2.23587538343253,2.835327409552399,4.029107180777905,2.527960467459005,3.477538890457605
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.025725849804759,2.807972662632576,3.4756751250961875,4.48664138190431,3.8063159518273006,4.761344473828742
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9705294328782149,2.9686039547875605,3.8281505538476166,3.129434332670369,3.8944512736934365
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7797679718633,3.606929356482257,2.6232097533706624,3.2537737353568503
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2072929112416257,1.361316393789094,1.8823304253435638
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251382669419335,2.2790830225065655
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9770209646348565
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
