,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36C,37H,38H,39N,40H,41C,42N,43H,44H,45N,46H,47H,48C,49O,50O,51H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1513883565283485,2.4889310514965772,3.067293367811087,2.6895638309054637,2.6726944763204,3.8712846052135754,4.6088939187617335,4.558895530463007,5.493046779553932,4.688381432968031,4.557450336339369,5.664382828721619,3.61598059289043,4.665531134011595,3.6160644385193748,2.9800449718631783,4.723568347653501,5.097324343683523,6.016535297507217,5.997323691795018,6.788097663186663,6.703093206267404,6.948056617641538,6.219196403972387,8.09121027060393,8.118850407208692,8.69014483102612,8.92656554463996,8.558379221316994,10.253057554098161,10.920109627722288,10.530843547689212,11.92792200728702,11.054262720044136,10.81116803294059,12.022813571079569,4.623549979930853,3.7863369907903714,5.910728200341867,6.079511067338229
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096050553322274,1.098517351942907,1.475940297097996,2.1343404194745768,2.5000791588230338,2.879757738219606,2.596090586092414,3.8660967140363973,3.710526366381406,4.024377267330327,4.550809638655103,4.5640993301469805,5.232734109505762,4.855263014720384,4.52359923365862,5.671421067820913,5.666280931423788,7.163708121790454,7.412414173169063,7.780272160902721,7.805689280462913,7.768450610404086,7.4444450659074235,9.302760976099904,9.53883203080128,9.792109963844279,10.0671535193533,9.638221751354008,11.400700649526717,12.153541711839681,11.851762656485523,13.138483838798619,12.108405923051114,11.747500934101614,13.109808622122776,5.44992884234486,4.651589960876244,6.563438430752838,6.635586061181809
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7806418366871113,2.0939842291104993,2.9319752792173865,2.7010583408355973,2.706555384928242,2.32869695532299,3.574645164804533,3.9548580511531113,4.3766962860340195,4.697802676575085,5.139635843650671,5.82172955283376,5.567808815637381,5.200914977555152,6.536741319761867,6.55885944501293,7.9828072297752115,8.178326184523787,8.675291541346448,8.52807851058533,8.51755809764456,8.056234007052122,10.013574178002688,10.211683048285847,10.58019677291533,10.700596840446723,10.206397914135042,12.033383586947789,12.835206306653468,12.556639905479598,13.826074576882771,12.685996431538427,12.289373432662053,13.679408613244464,6.419468581968318,5.609110780993764,7.582867091751964,7.675226390465227
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1159335972252897,2.7299760905564026,2.9306199904542765,3.048280674937631,2.508637042802099,4.0379844262464655,4.185263872609512,4.625947334856212,4.916755788595042,4.662802671933744,5.087241465318247,5.096108347727168,4.9663650910719905,5.752918859850455,5.537364253917339,7.278881338183599,7.681020498425611,7.824725169002431,7.836786580038236,7.645850217101797,7.543760450819881,9.362499625797305,9.720303515018974,9.797416881197218,10.060716929689232,9.604584768018556,11.37900588377441,12.179916945665017,11.942874175206578,13.141604598278573,12.024265324613584,11.605402613056,13.033706490989804,5.597292401515169,4.957874634198689,6.606443666717631,6.7137521861398
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0135600709029913,1.33556827798687,2.323699482984692,2.574636611769292,3.2374962476398665,2.321342261644977,2.57140153065926,3.2367762922562213,5.519326499012742,6.271996525612066,5.4789218326232785,4.983826846872235,6.105378609247472,6.213750316836228,7.588918688352573,7.750585427552598,8.084187590742626,8.466967844637088,8.499243479967701,8.223596055278893,9.919673669684308,10.091691705156945,10.312344649920538,10.840703064686588,10.523582661733887,12.16683169356468,12.79855300810884,12.402903366910516,13.782490407318777,12.982479941521461,12.70306082653318,13.978609180741687,5.509716168145455,4.51265720325702,6.496625359836612,6.350877723824089
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0149129622140394,3.2128666962482377,3.5447371087876482,4.057249587503729,2.5049965078154734,2.3798220367798506,3.4846484046429227,5.318250767374251,6.12549111235529,5.037092213714227,4.481569220677337,5.523543832609831,5.727703858187206,6.966435487265854,7.080914304640271,7.395013268126105,7.977002760359386,8.06892830575493,7.820108864445967,9.38226653252854,9.516913975155838,9.715029599854931,10.400490139305425,10.169885249321332,11.711103738567884,12.256709468268085,11.80532637908837,13.23492616962058,12.6021632356202,12.392112365308805,13.588038650644263,4.747361902949507,3.6790269377286844,5.679862560460789,5.46239634482955
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3397582579459835,2.056076283746988,2.0558719414902065,1.343491636855229,2.059777185843654,2.05987542714787,6.834730389600752,7.552244987191823,6.812752745532649,6.297162726973676,7.402112739750233,7.484479981078434,8.885783680967332,9.037069070509784,9.337078321627663,9.790950531820148,9.802976890283055,9.558591525007024,11.241809893051363,11.41094089045962,11.61062653254518,12.170403771050076,11.850365867325797,13.495315553433826,14.120688651812435,13.716196150806743,15.101810796797388,14.306285710859498,14.014186216526843,15.304368408998492,6.715840907827701,5.684370642681024,7.612147286337408,7.360802707391147
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010152318915087,1.0111815460717122,2.3156386045339192,3.2291955507166423,2.5554422332626703,7.433802034288302,8.042120792926337,7.628529475549991,7.202194447113122,8.289274204556099,8.257044457989073,9.804758136031767,10.02595550823777,10.294370717462655,10.57809771290981,10.506575864198904,10.287002346526911,12.068891779555177,12.296706026076043,12.476955657379847,12.891634576884254,12.487878838530843,14.221240799827505,14.935365491250188,14.597583887043763,15.914079870154886,14.942927569680842,14.572086980816376,15.948231758660501,7.752125340268948,6.798274916222194,8.67067708555264,8.48278684767708
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7253217095205426,3.232406197333879,4.09097234337771,3.53429330481921,7.053297897984242,7.553876649920142,7.416891730476686,7.101602740259224,8.11316128247452,7.980053751247959,9.641342160746047,9.94075790650169,10.16399873114503,10.28828495202356,10.142810710743358,9.963884056159364,11.803456790081047,12.094249189245168,12.239502855701417,12.53226463452203,12.068504992256425,13.857181845365037,14.642287036050657,14.368532270047304,15.613146701338298,14.505196987534633,14.07707586563042,15.512654234560516,7.739189818254838,6.8902040177554404,8.690221464647246,8.602856052163741
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.551342948373004,3.525189747294632,2.4051808730744457,8.428102415858215,9.045038128225391,8.612013795405906,8.152064422723335,9.274769773893704,9.256662963124402,10.78451234853982,10.980131734993488,11.26355984067913,11.578604407283581,11.516027271721159,11.282102593939216,13.064440804187951,13.274628591840596,13.46986278591927,13.895696890344722,13.491021494932099,15.226191625339649,15.933856532269541,15.584840174053534,16.914247650055977,15.94949614313415,15.576535147779916,16.954238467033537,8.690566427384738,7.703495121188168,9.580747917686425,9.34133218093651
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0106920170967812,1.0110438172718526,7.751644283796593,8.533486921840561,7.528539008265667,6.917853975316031,8.004322466554916,8.183861340576401,9.42739517720292,9.49294343908495,9.795952593169353,10.47814134289348,10.558659219366957,10.316132611331549,11.870660903113837,11.974472646272359,12.175968735879696,12.904827895651716,12.66846480469095,14.214231818850626,14.739977755559178,14.261615378333394,15.715478691222177,15.105473478796744,14.88230753510748,16.09237393928916,7.105279283388349,5.993964195069196,7.880503486535449,7.474733033081097
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7247835916159997,7.630984728339593,8.492092416795835,7.2402870735726195,6.549975394289795,7.6699472293570645,7.965279291762315,9.017797270264666,8.994177755026648,9.361427093225409,10.157805104906856,10.32383184936544,10.02735917855067,11.49006247783394,11.523992801083416,11.773787178163834,12.595585669524821,12.423987650970759,13.888505832150118,14.337710066013122,13.803465635700025,15.310513596030463,14.842514594146209,14.684446826942887,15.81377933004704,6.668279858316456,5.506202797532363,7.4117646260712435,6.949205408135774
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71798922570253,9.462615107631505,8.519235261330302,7.923495628075662,8.960213995278721,9.102337297842515,10.389205870251024,10.470424490953974,10.722648265690388,11.447791168498368,11.499506917857184,11.302747326897341,12.843676563872576,12.961842040659315,13.125165061563981,13.878897169758636,13.64105456250974,15.186367923159606,15.710489718493589,15.232728182964124,16.681004130610056,16.071737008020563,15.837138480940983,17.061388875928042,8.02755666751827,6.93003022776382,8.737410725697789,8.282250792325772
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2275962064854713,1.3723471451787843,2.0582764605844597,2.464350654917368,2.510081923745209,3.4590182776097125,3.862364819737268,4.3763590079822094,3.50721935677128,3.5602131637204004,2.9537940317350833,4.978162965355056,5.293978268186191,5.659005538423015,5.562103347340315,5.091655622221043,6.893982797572274,7.732419765484777,7.538461142090223,8.715873837716476,7.580228543107998,7.264959487225992,8.57284931234698,3.5619164045058556,3.786306129808975,4.704950041269615,5.415152861591918
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2746035595269283,3.159144579363748,2.80011429303846,2.386394536274471,3.615739971146433,4.282769916625505,4.406657114321853,3.2906578622522886,2.987995253071193,2.8491769851082953,4.751538647373132,5.2970708734752785,5.378111289516214,5.115643783460664,4.552102109251994,6.409986880090183,7.363639354754029,7.311439584354788,8.302649306392574,6.958989868744648,6.533284346580771,7.965569193344041,4.070942721853395,4.535630023566466,4.994138058179445,5.791844703721495
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0131122682438503,1.4548492714016934,2.064218434434509,2.5157042832040943,2.7461422795663166,3.4255806893504435,3.101938270803451,3.4314932447784807,2.7926026224363913,4.5167562382966855,4.684175586383809,5.0898931583610745,5.428977873020624,5.198548840063446,6.75116440969867,7.379205497389411,7.019625464710125,8.378364347048427,7.643622220440313,7.502204225630242,8.614078845837515,2.4179525895855702,2.6994941641279295,3.6126971205639107,4.301706856933904
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1021361129087124,2.884659423236122,3.1072902105486233,3.028411281399292,3.9674520455633235,3.9090205981475665,4.369068199144347,3.5727491433724725,5.208841972020355,5.201555593357275,5.775816086007387,6.204503331580661,6.0214117519829395,7.505546335322684,8.046850202654129,7.599212227655766,9.051939780838389,8.450503549618572,8.36176186011977,9.397844880550531,2.4832456393071456,2.337746201122761,3.781549642367609,4.292191902121281
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098726934955847,1.547275925302688,2.1708136444689363,2.1563448172579265,2.558577319407924,2.7697541948131783,2.8063405443280116,3.9200882931866556,4.242295869763272,4.208665787722824,5.022266419130237,5.0005732148915705,6.282771166671794,6.773453999664284,6.375292421434467,7.73541282409582,7.272576611819543,7.214553601790716,8.231435662944083,1.5306796744648854,2.433056855498919,2.3814854819838343,3.228124029689527
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.155560406943202,3.0609307487259354,2.5173751509317377,2.717297020600626,2.471566647733484,3.0516091128384275,4.142417194879105,4.709990057739072,4.347094782180693,5.053760343832227,4.942587418110325,6.297759336988425,6.903689743416912,6.63969203465516,7.827783565442176,7.164175702997514,6.993196579173407,8.146155834825153,2.12807220112846,3.0349776646472426,2.7021044915494836,3.561310811307627
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098141890633567,1.0955162267327878,1.536275332862982,2.1670413434668894,2.1683624970520685,2.5380560616048546,2.7939518039119,2.7800625924659856,3.833790247039789,4.0551557894023365,5.008171576491336,5.342048701182797,4.869929795775153,6.301371535558419,6.127779132253523,6.2394850154681345,7.031668936415019,2.561496803037083,3.594114713673214,2.8471766781246637,3.76658116853882
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7665957426267551,2.1755542792725384,3.0783669517311583,2.5149407792404066,2.792929788187532,2.599088788717029,3.137434905978923,4.15895367907917,4.4523954082044295,5.26577144747242,5.4505272493438675,4.832281829319157,6.417413471797801,6.461522883041109,6.681721721193311,7.306943423239058,2.857634092587872,3.6704828764036423,3.229923388492124,4.005726070897859
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1678667943670544,2.5243805807827475,3.0731508561046277,2.759711880369795,3.114868987569969,2.549685957214675,4.11500096620517,4.517901488356355,5.126669692040479,5.275874394769956,4.7620600708084995,6.157996007138358,6.292286791978269,6.480724931111596,7.147095140744688,2.701447378838433,3.8625918683284772,2.4351669701114083,3.3420857878041272
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096693950452208,1.0968771053517459,1.5326596612237637,2.1727873831660633,2.1727242240344617,2.4647550042791484,2.541417609970178,3.742665368637923,4.3597479404470105,4.126648649071761,5.33768311463298,4.7371777720502815,4.7602124334216755,5.686177988444666,3.9192073141875308,4.9129523690824035,4.242179565373292,5.201297720185061
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7619551593069853,2.159893198125729,3.073321547225123,2.5165315637952324,2.6799641790681177,2.5950667959607303,3.893066645447302,4.658184133865321,4.608605777303101,5.562976494839821,4.696515524159746,4.551960481760164,5.680274034497774,4.143923695722149,5.188601486609859,4.377043409939404,5.353622606584498
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162342669523606,2.5079418170271564,3.0745133893761087,2.709918244564547,2.4527908841724786,4.035648107242837,4.811975349304459,4.63668216390425,5.805878697426115,4.8875789843265185,4.8075734910497925,5.845064223741867,4.267711000398902,5.072509764206382,4.874470817565904,5.801982036975686
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098842244569912,1.096573594159709,1.475637978445216,2.1353361137157236,2.501280810804574,2.87961755060496,2.5952838758716625,3.8699437438172146,3.710121921519029,4.023545685102616,4.551797993236182,5.091016801967938,6.124553848498331,5.162255977155939,6.081605375359617
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7809269310408304,2.1154091517984988,2.765296644200431,2.9074573785208684,2.9976851642711466,2.444097823579225,3.9838661796136616,4.170641514695089,4.620804792561246,4.896550874987026,5.290914924519027,6.217516838256366,5.425432813841662,6.277773524132365
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0945079342075417,2.9122767889717234,2.7217888403334602,2.7513667522717564,2.3918015040738614,3.626375746878419,3.962967410628207,4.373396135031262,4.715660105220166,5.176189208954,6.299680096849618,4.96059392609342,5.842455984556807
39N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01294416728652,1.336102239800993,2.322590231435961,2.571794425032401,3.238651525885166,2.3212419597364615,2.5705504970247652,3.2373022439115,6.341314045809732,7.357238340475674,6.478039313306059,7.425875288438855
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0138236192738423,3.213429988335429,3.546912385113157,4.056738067775534,2.5001832682771474,2.3655974942549785,3.48259666623677,6.436859051548209,7.385871997990437,6.739221656383161,7.70685420172626
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3397729670218197,2.055533804437994,2.05586699414527,1.3425944355407953,2.060021117180348,2.059783891096938,7.534559624005983,8.584279957987565,7.540626488318716,8.465221197295763
