,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15C,16H,17C,18H,19H,20C,21H,22H,23C,24H,25H,26C,27O,28O,29H
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2433847414454045,2.627626528339874,2.487376930838187,4.1133883936288544,4.832846149625427,4.467985474992064,4.534952628258803,4.843781324696384,5.513351086577923,3.6616579177775157,3.994361967937353,4.136533435801826,2.9310066440395457,3.409660576528154,3.5590020828897333,4.111759779847874
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.455042537109003,2.1028555068344144,2.353449403111316,3.307331377785729,2.787296036971995,2.370738403074954,2.8774879000585334,3.2964951241613374,1.4811916090457615,2.1253281481270294,2.1260532894419235,2.4683980172659528,2.888057907241031,3.606754028201849,4.292956911172798
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0922205821088244,1.5457795770294813,2.214181749043129,2.1572023473594393,2.413352931903417,2.8168360573140605,3.3829515596764983,2.4457103795925295,3.2151200081770535,3.1416938010693554,1.5260476669952412,2.4510250914414575,2.3880460127106113,3.2100123667264984
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20954558665918,2.7544781826628872,2.388121264001468,3.355375570771645,3.871812986926768,4.209419466005728,3.2791353981737075,4.122333511095301,3.7414002145746053,2.1270372633911916,3.240723431724757,2.4370216987964004,3.3762224230044064
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958828312134736,1.0957375646159313,1.5362192483675872,2.1662156100025673,2.204639644933931,2.4202774737204082,3.325090053207422,2.9702680051368286,2.5352836929035116,3.245339901751776,3.256076834254184,4.024824478412058
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7749299617535714,2.2186816731807637,2.455030661029916,2.7245687736312014,3.398796076448058,4.18094972078256,4.015574156248079,2.6585915799995297,3.3508606962614627,3.0442098960791726,3.7090000681521667
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.177087849707832,3.063673887067694,2.457595482409408,2.8128176871942556,3.8613462071702607,2.9633783875564434,3.4287771713245503,4.261955277926266,3.9775561677385554,4.843558368451353
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966135056354782,1.0952271917169776,1.5392795848893701,2.183707312739002,2.2175183768899904,3.1754765267761647,3.3643448758349486,4.262380538741089,4.8542750453040915
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7766115970722756,2.180735300443054,2.365316667375753,3.07359299777964,3.0281676836638063,2.8644164292401006,4.149106669245793,4.53816347091036
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1960933602179695,2.764469462604857,2.4384956184759856,4.226805668263729,4.415566739796135,5.228209045035981,5.831581766562192
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09582397021826,1.099511276108472,3.3958040555130435,3.529267494345375,4.635558583436353,5.257894198307895
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78656981468921,3.8020152374178133,3.5823250389266006,5.139455789036165,5.608732213557289
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.329476518266974,4.589078848380728,5.48163733750773,6.188687195958271
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212542494312808,1.361195793219983,1.8696393775600726
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249563178013332,2.255158676906281
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9757943657710831
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
