 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,C15,H16,C17,H18,H19,C20,H21,H22,C23,H24,H25,C26,O27,O28,H29
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026327258202669124,0.0007049163235597483,0.006328754249543572,0.0005195694726110589,5.69244537063085e-05,0.0002501036089519182,3.365695746160302e-05,0.0001865779767182829,0.0051150929052890814,0.0011224487741420264,0.000574027114006892,0.07325351399339078,0.0008731809849943373,0.15732215215438738,0.00016723395206721947,3.17990365403531e-05,3.8156589158594434e-05,1.2077490393558321e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.692240195799755,3.4314855931601578,0.2903931252702553,0.022580951107245673,0.03183427825760607,0.0037538995874886183,0.00025981605857472445,0.028261860324366922,0.00020626225205466753,0.002786612843699965,0.22584009739461772,0.01539001317387978,0.017434312348126202,0.04737774783663837,0.007810456436170732,0.0067836711439563935,0.0007842466646077462
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5432788154646744,0.1108447958210668,0.03325791079179008,0.01568085459306584,0.0016413958952841146,0.000401297083876373,0.008685987805082396,0.00019769716963702333,0.0023388469580110094,0.05689826538272545,0.006976077399535985,0.008252468433033067,0.05811377459110281,0.010832847003092144,0.0061996289741858696,0.0006601648753675748
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7687533743016655,0.08816250656834412,0.2052545659751623,0.022756380554652234,0.003388825983545951,0.20092931725433616,0.0032009381423474537,0.021248558185815947,2.7863028305602495,0.08949189447466188,0.09215428769866119,0.1972602432442585,0.027419141084031942,0.028542542606885296,0.004740845597858256
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9664346919721765,2.67994018860031,0.07745401456793966,0.08889292258245063,0.2006102986747108,0.004705875304572116,0.026088307223358198,0.22069257569972478,0.016937899022484215,0.010165063408251962,2.664996614203769,0.26259778341942347,0.21803993387560147,0.05512602584883619
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07933472404749053,0.0014021550282654616,0.010032615684351986,0.022857209912485965,0.0004522990903947921,0.0006186495990738727,0.018986715542710808,0.0008400292049679514,0.00015533448564553076,0.11441296959584091,0.02418603494627236,0.014272553299056856,0.0010656566122633215
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.958263816064806,2.011521049490269,2.4487929155375174,0.08563637052094086,0.08082905595975687,0.19504564836225172,0.022063849964534032,0.0036816612229934043,0.18918259962897574,0.040663667055765185,0.022916977723631132,0.0019395502842376455
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025687877875016474,0.0753885343213887,0.00787848903938082,0.0010790632334376493,0.0264463191605675,0.000636580664279629,9.182591032219634e-05,0.01536264426946543,0.0020631360114902186,0.0033424653263824933,0.00011375594810725254
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08216711687789924,0.03113643142080491,0.008052587687294999,0.004902786100009493,0.0002858644120258269,0.0004887299690423674,0.0250187522940708,0.006011287698172052,0.001824705867287446,0.000622530967300472
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0709694986507543,1.957103677850592,2.685444090511086,0.08229083833788287,0.08247361978787549,0.015024699331190217,0.009971233195831819,0.003707998065214782,0.00022270460250550794
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02466687040995419,0.08187334065732221,0.01143501080166387,0.02143355084349885,0.005013164415993199,0.011465813169357686,0.001033668980183533,2.4446602657324235e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08087701923174362,0.002070806617709975,0.008464846839810969,0.0022083855409986697,0.0007830567934881127,0.0006543574001793839,1.6480532871288034e-05
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.010861930408025,1.9590895471765002,0.01645729668607826,0.003640735371433196,0.004495740323371397,0.001041635074907843
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026501616942172124,0.0006974717438135158,0.0005908639531704285,0.0001624511935118811,2.5923240383862733e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029226847415526613,0.00036294458347951863,0.0006993973495840189,0.0001225261071446937
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.324992195712428,3.19731109270595,0.17118401075010548
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5105355278945157,0.07954937547662644
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7148923790949389
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
