 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,N32,H33,C34,N35,H36,H37,N38,H39,H40,C41,O42,O43,H44
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.811642401668311,0.614153356188475,0.029322379318093228,3.3697363269133693,0.11055726783986597,0.003354640148242022,0.001100376028105629,0.0007685566917294967,0.000335877066178325,0.0006279847716442744,0.00031141889982710946,9.330936994350614e-05,8.378961509292182e-06,5.600210406075945e-06,1.668324862874604e-05,1.2303977500183194e-06,2.307190799921699e-05,3.4131180869506617e-06,2.966112664370968e-07,3.248876232486708e-07,2.672201437348143e-07,5.649183065781216e-08,8.087708941451055e-08,5.2978901418643254e-08,1.1938090960228465e-08,5.8913562916984574e-09,1.1598892457609367e-08,1.0130848382416957e-09,2.0337568296113773e-09,0.0008499794756266221,0.00039396061774228663,3.617200301878065e-05,1.3064335786738823e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030317404494246913,0.0008629125026333728,0.09720024834807306,0.004564599196112518,0.00011536177090065713,2.422505024224364e-05,1.7649719369794425e-05,1.153957533972516e-06,5.1652693531689664e-05,3.66489131851111e-05,9.182113699601757e-06,8.482065543269357e-07,3.133254760090409e-07,5.398306011095144e-07,9.749248985890802e-08,4.9069083907227196e-08,1.1796631271820956e-07,3.319228425446852e-08,1.7049579525973968e-08,2.3459853615293014e-08,7.101799148756527e-10,8.583551647234344e-09,1.804285609807721e-09,2.499285223223069e-10,1.889435274904372e-10,1.5081381699033614e-09,5.2754023371903713e-11,4.2793435461874196e-10,4.402269089398558e-05,1.5166437574487546e-05,1.8575028571943264e-06,4.4505258034455153e-07
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9887703355621655,3.420071073138271,0.11850416618279003,0.002759180986702775,0.0005656042490129326,0.0035762552404056958,0.0015778705161400008,0.0014002994205037922,0.0007057349347565633,0.00021899039812400822,2.0546056320513983e-05,2.5685055647484134e-05,2.6541341430763588e-05,1.9745159036688165e-06,3.0370202159790693e-05,5.079646400674154e-06,7.070900958083826e-07,7.460784674506726e-07,6.527393938415837e-07,1.5215732240836388e-07,1.850965820893169e-07,7.439787613749971e-08,1.0556784224569071e-08,7.846204241879207e-09,4.286901643391072e-08,1.236182489705584e-09,6.2481987361806546e-09,0.00331372339357755,0.0033413043566346418,0.00030868098183474413,4.048866292238884e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10210286250595924,0.004654936854350922,4.7216424048368566e-05,1.4407587422993196e-05,2.9838404202120472e-05,3.207448082909181e-06,7.576207971937698e-05,2.187340203585464e-05,1.1179876671096878e-05,7.631728766721579e-07,8.037371523883508e-08,7.591670405648898e-07,1.5109841733362828e-07,3.9848029009803554e-07,2.0570903447314492e-07,4.5039593166151803e-08,2.798178222462866e-08,2.7927813617267816e-08,3.091908284957867e-09,1.1986791337292857e-08,4.178494217299544e-09,6.768976490434397e-10,4.756608440459331e-10,2.1340492706301006e-09,6.286393627874531e-11,3.4998870468427867e-10,0.00036087915802851533,0.0005663696131782414,3.665109059725058e-05,1.3672716487223013e-05
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7041690964099887,0.002022966013097538,0.00036628818305346755,0.001422399162266108,0.0012314586530504101,0.0005026635189688822,0.0002945964987293159,6.913142270612016e-05,7.130501356922281e-06,1.601271542706062e-05,9.106110568229964e-06,6.181374815339424e-07,1.4083189177616084e-05,1.643390735855954e-06,2.736604822750621e-07,2.9341630469748026e-07,2.0275452887463796e-07,7.615802244398395e-08,5.049723855732324e-08,3.0122458874459745e-08,4.205986114946825e-09,3.188525776742779e-09,1.1109991954194598e-08,2.314558544824763e-10,1.138258376442991e-09,0.0005001631229629988,0.00020158357389288284,3.3064234950822e-05,4.614435920258231e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015650768489761102,2.517125024725786e-05,8.162712907411329e-05,8.345745032833918e-06,5.196536702811727e-05,3.718186658230316e-05,6.575634514671691e-06,1.1875678971318138e-06,7.357965357002172e-07,7.320599386684279e-07,9.600411199350845e-08,7.52843600793085e-07,1.0954021800735347e-07,3.637949097523574e-08,1.910069702404371e-08,1.2916188674161333e-08,3.7043721423657416e-09,6.813914765757545e-09,2.1121253634959203e-09,2.582873914747097e-10,2.817355237993979e-10,1.4676736492802434e-09,1.3317347224983678e-11,1.5562151567394267e-10,3.690745116191607e-06,6.811887105828696e-06,4.0288024472090456e-07,3.8487053988234265e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.922739552234052,3.591452303416335,0.1426584545157702,0.27285682654640986,0.028695923743347285,0.025626862542402845,0.0010584594063725028,0.002896513195353334,0.015412639076266638,0.0016872937681413624,0.013912882837955776,0.0021376241073901014,4.874489060036069e-05,0.0003848942845665615,0.00027283983807624423,6.681577198019983e-05,2.4059135484616467e-05,3.172373882109891e-05,2.371172672877009e-05,3.6261457934116947e-06,7.229621617754756e-06,4.1774194570187717e-07,1.4517655938517393e-06,0.027903025741833065,0.007071467795955855,0.005633742658664287,0.001221485477061801
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5195799883988853,0.027384596210118572,0.06651852589093658,0.02913284141189365,0.010945647016610785,0.0009638059526485554,0.0010085122964982318,0.0521012567174616,0.012137951540761471,0.02900381301537569,0.007804155012800337,0.00016381347013794123,0.0004054568149125526,0.0005436709068439016,0.00025980633937994213,4.641376082792359e-05,0.00010554144185002945,0.00010365852208371606,1.2194816903288164e-05,5.598474433612943e-06,1.1768836919445747e-06,1.0516035766627851e-06,0.009292790225673558,0.0043136218535861914,0.0014315233742138306,0.000382583079711285
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7898586140530537,2.533485704674364,0.092252852709099,0.17525752592311217,0.01104919940707072,0.02631387122444495,0.012742776926219987,0.0012050999049221245,0.0025242957661096854,0.002263717380872457,7.424505826703065e-05,0.0003961737023023826,0.00045300419209792775,7.324549302478722e-05,8.159782946493e-05,1.3968310392326044e-05,7.399440894340081e-06,5.578454629340257e-07,2.887268095928819e-05,8.07585852857784e-07,4.477080497333752e-06,0.183127673791654,0.059635202593452216,0.026242431451415207,0.005122880434372812
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09935615105267115,0.01290317996982493,0.011360876136016662,0.0005726696860997027,0.00041843017610565525,0.0008917622000279568,0.00015400939616427856,3.368709205475717e-05,0.00024755645229579404,1.7157221241514975e-06,4.423329675495857e-05,3.6485044396350474e-05,3.0033645970206635e-07,8.915241798912454e-06,1.095075599422124e-06,9.127200666370072e-07,3.7251337792199024e-08,2.68168910100286e-06,6.696134136063847e-08,4.5900820078159654e-07,0.041324565978575256,0.09170863229812853,0.006653150749475367,0.00021927918749797826
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7423731167179157,2.804498645961608,0.08081790229815122,0.08833673085398863,0.16914849709449564,0.010266239397205723,0.005909111678940038,0.03211207351841802,0.0008556763018054969,0.0006462236221178586,0.006263020174251566,0.000153019625671047,0.0012948513422592345,0.00014311813392012263,7.456861674559612e-05,4.176421308788036e-06,0.0003501465520144992,1.0959697269719015e-05,6.659605518377631e-05,2.5251368823345826,0.28123965649819876,0.21632651696187355,0.052765849356619765
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07880092021442686,0.0323859806242115,0.0030915254755878863,0.012398050828877016,0.005303192574157345,0.00021494806579802628,0.0009221459985834235,0.00035933970591028874,3.8596788365374834e-05,0.00013958693867344163,1.5393330643487246e-05,4.410566790635784e-05,1.3057895876800174e-05,8.31946043922116e-06,4.310535461904408e-07,1.1395656455581715e-05,3.8150659742441917e-07,1.1128932220216825e-07,0.11750043148913769,0.03080346921751398,0.010745809985944543,0.0006062355020781673
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7920811973915862,1.723110038763164,2.581592887222184,0.08350193848470311,0.08548954777882067,0.18529384091429008,0.008054445932280774,0.008101277020637676,0.03569947407086457,0.0024686442965941024,0.006331354428204955,0.0005924392908229215,0.00022365608697250128,4.75220069346971e-05,0.001538658233289747,5.2957016875576635e-05,0.00020800892605454813,0.19286008013730407,0.04070076971741747,0.03670249767212594,0.002453735402392909
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02443686860616867,0.08421885622761938,0.03376078388158299,0.005236999842344936,0.008016681108227952,0.003955143258458582,0.0001880395960422998,0.0008312781950596815,0.00035183193966115134,0.000247441929122294,7.90471656739733e-05,2.0026048761279114e-05,5.492531196971129e-06,5.730190150221581e-05,1.3241944301078945e-06,7.1593283474946645e-06,0.007798210121494176,0.0011807510714290093,0.0008075346266925854,0.00018086979312359475
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08537822637690984,0.0041977808356254975,0.03264804297177126,0.010939154576804277,0.00021486862498143466,0.004113930884167116,0.001009618963069947,0.0009222476410313263,0.00022914116882488678,9.838975192355548e-05,2.664610757241448e-05,5.441906592018597e-06,8.063721905671173e-05,1.8761363036468026e-06,1.0720144314468882e-06,0.013423894163783423,0.0022506769113136427,0.022400433542524523,0.0004278087641089723
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7671007581058955,1.7552687665207922,2.911057737955492,0.08150707385093903,0.08202688206001674,0.19905307980183373,0.028333510673331785,0.02787334615125109,0.006943863891828342,0.0036976365623481167,0.00036622387437679205,0.00469812825705071,0.0001440826793210892,0.0005500203836993345,0.029480477976740777,0.007469212558046612,0.005568105050720973,0.00043648097637116745
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023592292580783214,0.08863762849201562,0.03481163740321169,0.005636876003419333,0.0092362947515221,0.003214723525906127,0.0006455771872337923,0.0005620517112584489,0.0007640572096518916,6.005691481569819e-05,0.00019147434970645527,1.2341381942837515e-05,2.8561611373545404e-05,0.0009652008108904653,0.00028717966002389517,0.0001385169048441215,6.804529728121622e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09022997197962968,0.005355684044604958,0.03326437952199712,0.01020173111751288,0.008646567155585982,0.0008237337680037093,0.0007751276775159743,0.000566609485849412,8.653044028417156e-05,0.00018271689667059832,3.930193161139073e-06,1.4962887988634321e-05,0.0006797166153382772,0.00015385452368543717,0.0004832596355252017,0.0001459586125693857
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7481968624666067,1.7329185614794655,2.6704894073423757,0.08907547139889427,0.2710603706460327,0.040291433224334566,0.023473329938032084,0.001996726742039323,0.04623260007546903,0.0015615780905697818,0.004259440556219851,0.005615202334098679,0.0019000677085327239,0.0005285366511579709,0.00010052002999672016
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02264782875433502,0.09318441676291744,0.0073227529116544066,0.023509695761230187,0.010286135862886292,0.006873710371960273,0.00013101670392878795,0.006154066888183873,0.0003405388929351716,0.0006034561282155515,8.811036706179998e-05,4.161784959189063e-05,1.4326214543558535e-05,4.7567500227607695e-07
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09167765696927432,0.017586473236775424,0.020007893884652628,0.014595240783335295,0.005967750959158913,0.00028715559964820336,0.004332389069966358,0.0001678036297738661,7.368968872700776e-05,6.253594546690167e-05,3.3729109160884896e-05,7.20547694181839e-05,5.492929950223768e-06
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8441783838527526,3.8714433630043175,0.39158626780155087,0.008605405988711179,0.028598658496062912,0.39510862848153405,0.011735417644271773,0.029121556274646854,0.0015590994945501035,0.0006049671654547034,0.00024024249614891524,2.6064451128293697e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16971307279929426,0.028935365719268802,0.0014371940444501963,0.0019997347864388892,0.013388363564488581,0.007210596118881751,0.0008959279334557202,5.6387028244730963e-05,1.5947105015068352e-05,2.951701179376709e-05,1.8143560547301263e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6177710363498012,0.14997874719496262,0.15254996558181821,3.641635383096589,0.1525470433270818,0.1502863135483531,0.0003559129704252262,0.0001406630507911899,4.7613316062802835e-05,7.104130790858143e-06
N35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8503861874771075,1.9061551912637786,0.366364268750619,0.02977039592140629,0.011738944831702125,3.195144111681203e-05,1.2991143002794026e-05,5.778927613400708e-06,1.7144307491445687e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03763736230702519,0.028842857195374494,0.0027365473994263034,0.0008108123318355531,1.881487883326205e-05,7.2532207303632745e-06,2.371048547833432e-06,9.018183126929813e-07
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011926685330251319,0.0008335396232075354,0.005495758644435966,2.81153381020971e-07,6.713926492540878e-08,1.8388824907233925e-07,3.9951044472630315e-08
N38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8544610971405084,1.8882296058395915,8.980652433002168e-05,3.7738282137086965e-05,1.3068436634428027e-05,2.0643158104016734e-06
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03700911031862053,3.6531242384452156e-06,1.542003976950923e-06,5.678846195511511e-07,6.622047421522836e-08
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.540386146836603e-05,6.988951231634566e-06,2.1054087950833633e-06,1.8967689130455767e-07
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.285147238304662,3.2352674314415557,0.1658108959552399
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5076633085222575,0.06245779437969656
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.573770486853037
