,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30H,31H,32N,33H,34C,35N,36H,37H,38N,39H,40H,41C,42O,43O,44H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079895791885074,2.2078532617252087,3.2406431330704155,1.3795542917646295,2.137956598812893,4.427827919073186,5.225660050852684,4.679612984566682,4.190389964167979,5.492388837011046,5.385453555595598,6.991617417241644,7.3005705293159,7.613907126412104,7.560032723448201,7.449895867480584,7.202817027679942,9.07304760424492,9.377870018394933,9.576646609479395,9.748063202156482,9.244637804853436,11.071989451870305,11.894205002530462,11.63035075324783,12.866247026560881,11.718553838114683,11.300095909110734,12.711361790575044,5.458884777809341,5.004710128495076,6.433712516829395,6.623229810790552
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.236028625663567,4.220692663001288,2.157784909207252,2.553584976176113,5.160148019491528,5.972142083733167,5.50276275114344,4.971991899738459,6.4434768487086655,6.38630736762617,7.906786381894222,8.149287140601672,8.585559673366792,8.42335358971232,8.34870190982438,7.974612697614191,9.924181858894,10.18468448658675,10.488687190101789,10.545281590260489,9.995288757769655,11.865936350922272,12.719401046370583,12.4694170224895,13.698121407082553,12.471123086498634,12.023644309920545,13.45217312560254,6.435698723463283,5.8985125359535076,7.458699376624484,7.623833273408541
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817607660252817,1.3632482544119031,2.1258687648024712,4.332389387388783,5.006727931879916,4.150223217888547,3.7503035628072072,4.375294317706859,4.131493513067877,5.918738066453326,6.372781210483909,6.26960610064304,6.726093832099581,6.52905736817946,6.690077571309492,8.205635235675281,8.598934651024548,8.480681707916453,9.063805761839086,8.730137330601611,10.362370184751379,11.049472754994328,10.719198745715198,11.987802847574761,11.129428047254049,10.808526724462986,12.133717200062907,3.995722207542402,3.7190346454478727,4.659602644195461,4.764610823150605
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.145553112459521,2.5445916824932744,4.995082553616741,5.5945372156546895,4.611293261691876,4.23918538675525,4.512858209005734,4.231392044023775,5.9937730758173915,6.483271384902285,6.158176223860005,6.931617789933055,6.7065054205225785,7.059955041621689,8.347188862255084,8.762520659173934,8.486515905546456,9.296134973326685,9.058625433776616,10.560332719234115,11.158540963329187,10.786196907218413,12.06919690149558,11.383550042881854,11.117285758394296,12.381100201767843,3.861453092244248,3.646694726868166,4.236878952012222,4.196952727846785
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010157744894347,5.02396218573799,5.803758122643166,4.9783918307192945,4.430717062260145,5.479753923754265,5.335691510495542,7.0235581361777495,7.370035881493648,7.471729730703121,7.792932035366422,7.652102292940763,7.619643518524626,9.290368543275603,9.619044409767547,9.652896905373751,10.103599336461881,9.704998539268916,11.421167800860381,12.1494655288344,11.823343432139547,13.10777575635559,12.152923687062145,11.793514596698127,13.155508666227405,5.115159440175422,4.61745076248785,5.894082034663263,5.925388223516464
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010637693510366,6.808892401239903,5.88830438639779,5.270294496989015,6.334913842578936,6.216097882843061,7.8701564707634075,8.180427110214866,8.260003076408445,8.717922037859605,8.588718374415548,8.577070666266495,10.199489171049459,10.50593032080909,10.524565160432788,11.057915317082958,10.68526845715842,12.372983558948876,13.067012283532655,12.710309636750594,14.023330541093044,13.128551868893275,12.782568208195519,14.13092695646183,5.804592872913212,5.206208215537728,6.494440681764353,6.392874013473993
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2318383096571452,1.3697060472817824,2.0415861256843133,2.451443191110259,2.560786353039955,3.375978706427652,3.7466916089240883,4.319142915119584,3.4048169382310047,3.482677032939391,2.825282642919189,4.861904235396689,5.1778922632777835,5.570519498179699,5.402430502739778,4.894823396528542,6.724111416130709,7.584078160350868,7.390478218336089,8.564286967636404,7.3986778760964445,7.067740217341474,8.372607538706,3.615564714442393,3.933970979087306,4.709493234111582,5.443910674605458
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2809903375630465,3.1518358326687967,2.812121722175383,2.560110092690983,3.428425385691643,4.032648011314623,4.288086366402046,2.9768338081173846,2.7580812918648583,2.4250482162198854,4.39368343139517,4.920467951414622,5.0904096192712345,4.681204755307552,4.057340188141857,5.969799440591395,6.955044830497618,6.904320139898665,7.893576110954066,6.508554573166681,6.081753025125939,7.498533914686488,4.2074712635949805,4.793601858878463,5.063919425998033,5.91413598361732
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0163411193883585,1.455961222735716,2.0882006024292608,2.5223072514480953,2.7314898773289586,3.428653066753983,3.136418320574486,3.460902601820591,2.8384785285328555,4.549998125689407,4.723826036532919,5.136490910709252,5.436628632390406,5.172201268658188,6.755844291497461,7.404041130885461,7.037680186580207,8.400488354023338,7.639342932295993,7.478022224111291,8.59725978794876,2.4046421732380585,2.688587640976005,3.6079388255106295,4.282568190233583
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0729639419876142,2.7764677890610665,3.2248284158864755,3.2184957098562283,4.033048876419075,4.06436300762216,4.44114475258167,3.7779773557821157,5.410089544112434,5.465605203267081,5.961758881066471,6.37261813126135,6.142697799314917,7.678857505889888,8.259046477315675,7.823160272237804,9.259544580520627,8.599310267141178,8.463769307616081,9.543220027705852,2.36349720310582,2.158522186213645,3.6998949776058567,4.170851061253968
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977290184840285,1.549604491576881,2.165783857611105,2.157544670377935,2.5668256943180237,2.770863729468758,2.8176801542390817,3.929328434358771,4.255942438987187,4.237329100697631,5.013191068054974,4.9469950269243474,6.2830806705647975,6.801341241191852,6.3846230620136835,7.759835401872171,7.26567103189638,7.194011484026957,8.224397210122454,1.5275561132479945,2.432590802477216,2.380786676063808,3.219105607669378
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1693224413331205,3.0662559804316514,2.5232206978894505,2.754409890963451,2.5047195456510813,3.0937786075521134,4.172714366126205,4.742089182163939,4.382309668513242,5.075910287849411,4.918172390294972,6.3297242558071325,6.958836677022458,6.664674345981866,7.876352066394709,7.192292147950374,7.0154204243654785,8.179418524769986,2.1339795510962962,3.1219047293549975,2.607990362273878,3.5002986695616403
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0981536944047654,1.0967482831900977,1.533063694428156,2.162673589276965,2.164560774714351,2.5427254060281914,2.7971462092163497,2.813721179306386,3.8258727555251233,4.0091083215449155,5.012919575639067,5.372061753477924,4.880032246436781,6.328331190049262,6.128608272508139,6.228660844192791,7.032892827371356,2.51750099196826,3.466070377641494,2.902002211434378,3.7715047425807895
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7696976795189543,2.1723693671561297,3.0740817655726658,2.5080957041925434,2.807827311927177,2.6145082938458537,3.1912057045298274,4.153500502584381,4.416121990228743,5.270692390261254,5.481520311860131,4.8577692834528685,6.449390705821087,6.460367352387439,6.661347348276428,7.29975198886437,2.788049107714072,3.4405751111124316,3.33065860353744,4.029495237440944
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164722447474771,2.5266438268373927,3.069431937087676,2.759753606271328,3.1022114899573907,2.5819597315528813,4.121467417445675,4.48423778814299,5.156274771010249,5.332520940162201,4.782008257646026,6.211396628258749,6.32224244509052,6.50681895447358,7.1873993060878805,2.6501500048819193,3.7283461321878693,2.4853558364523463,3.3365595791026585
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096069003525251,1.0945809383316438,1.5300040079268071,2.174816462644601,2.1784042175977953,2.446993694580159,2.493091821424365,3.727810227435382,4.359881005037359,4.108342079910785,5.331527185670122,4.721974998600107,4.737617245677884,5.6669903580790715,3.893408513386048,4.835214574826656,4.264988410289465,5.194433151506967
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7523635522417045,2.156288563650154,3.073413421402351,2.510236279819342,2.669764028240169,2.5391523636560893,3.8901493085105137,4.6720038185947335,4.592229310903605,5.567209963246038,4.693120962220208,4.548928128240406,5.681755323148978,4.133297982136701,5.178047330214363,4.358487315885638,5.331901111128211
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158614079572929,2.521199638930092,3.0759549429556645,2.6660703742602236,2.3841547529057405,3.9831970344227314,4.775516750407553,4.602841751984381,5.765284614538226,4.829467787854165,4.731112695979236,5.772245363413375,4.252341642989332,5.010565602567241,4.903284002262877,5.8037888377416875
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0987303142415936,1.0970055272976007,1.4783738821225458,2.1299268847196084,2.5030187732533093,2.885200090415572,2.578645375587795,3.867528624418505,3.715760340234912,4.0254385259267655,4.553124018758701,5.051852979199953,5.992333251383147,5.20838473684892,6.081057366965537
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7834647541499928,2.1147781578573057,2.780042134142592,2.8945418443395092,2.9748811184919983,2.415171015246881,3.9601489763834006,4.16601170818027,4.608546421855734,4.876165319456835,5.239535587823411,6.031926383324072,5.4951592192478875,6.282412850390182
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.100328179762775,2.895435723474376,2.742750788542124,2.792028736836649,2.394597391781619,3.649690045770205,3.9803654263838326,4.391825958479893,4.7440767405445445,5.160852585790852,6.193389248235036,5.028889587355209,5.865666465204311
32N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0136616129046958,1.330559733307563,2.319651648027504,2.558963834972842,3.231393898363305,2.32241896593994,2.5652987571215085,3.231149223058029,6.30006189043445,7.241925450624846,6.506180109673651,7.420570341783612
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014319069685297,3.216803239896606,3.545854261374533,4.057409031865727,2.507578645679109,2.3523574703951793,3.4816725916861326,6.360875093363304,7.264512924426003,6.705930578659714,7.651147202007311
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3415304698646089,2.0538184226028697,2.0565828265009563,1.3451677476143113,2.059482347664911,2.060157861580923,7.505021502813658,8.465514722992474,7.5978139006188385,8.487108009417106
35N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0098200436770841,1.0103304097770478,2.315848847679413,3.2357691366259558,2.558002331152315,7.842558755339375,8.79037788065871,7.803271855653267,8.616718613150592
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726915459868651,3.2358091975671894,4.091309059908876,3.544781734320854,7.294181037498953,8.197190381999144,7.231978258708321,7.988939998263279
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5502796793789804,3.5382136350589257,2.4171804379161865,8.771285348475232,9.739150867240694,8.654990735089784,9.450673086604969
38N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0106131602790402,1.0104549810317305,8.577976712214396,9.547714996775799,8.70113381942686,9.621288532143515
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.724659894469029,8.586490481556993,9.55374461370018,8.77440937957868,9.724911712496063
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.507544905326055,10.469707559179056,9.601045779953834,10.504175803031831
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2107704467483076,1.348659027172312,1.8811826710098425
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2552683850442663,2.3015381865921354
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769598984879677
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
