 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,C23,H24,H25,C26,H27,H28,H29,C30,H31,H32,H33,C34,O35,O36,H37
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081634496148274,0.017368623598341015,0.019220462846851083,0.000769298279753361,0.0004634895735102784,0.001244733197959924,0.001534105219325843,0.00015240631813462358,4.632975899165892e-05,3.4019132552298714e-05,4.6015829879841874e-07,9.535277835537315e-06,1.2803888127521645e-07,4.300479548025038e-07,0.00019175787326886073,1.1442638647496395e-05,1.704105262989586e-05,0.0007169802632873701,4.858586080569438e-06,4.9885007680217086e-08,1.0207079490509585e-06,5.200172099595335e-07,2.287763132224896e-05,5.04718458353981e-05,7.0909813159047985e-06,2.311230872242831e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3416726622337976,4.4242573024572005,0.002329353675425666,0.0006486732100232095,0.007515755609960567,0.00932561360170947,0.0011350343499769155,0.00025928443254885636,5.9654601444553146e-05,2.003802010097644e-06,1.6776893783654323e-05,2.8735825368109147e-06,1.9923062777316147e-07,9.037444879624046e-05,9.513246941317277e-07,2.285448668759571e-06,0.00020419653002079485,1.7961344068534446e-05,4.992942388426513e-07,3.997578306380589e-06,6.6040915385201515e-06,0.00010424826543170562,0.00019801090669199772,2.7459231795728956e-05,4.474937715270855e-06
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587005170157504,0.0006336952531144635,0.0002141278219343623,0.001447353126741116,0.0021237764540651405,0.0002601201466035652,3.65048461630213e-05,1.7030311318388947e-05,6.176315788808395e-07,3.2292189578730923e-06,5.816175236983412e-07,6.190210954937214e-08,3.646666631762496e-05,1.972987444531782e-07,4.879525726808609e-07,8.988906932805296e-05,5.0865031092500734e-06,1.4295882322379327e-07,1.1706331284333515e-06,2.1959219262956964e-06,1.924469654422667e-05,2.012151379580246e-05,4.943643826388344e-06,1.3259711659774354e-06
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003020935220171203,0.0007837285328199245,0.0058224257401124635,0.011351264975051345,0.0007447085130272563,0.00016477558231775546,4.648462089830441e-05,1.390850670079935e-06,1.8449458508845717e-05,4.192295703364657e-06,1.3205631255175376e-07,0.00011691974757145618,8.280815593231239e-07,4.965594394557016e-07,0.00025364068786226657,2.0576817995346386e-05,2.7765517668365547e-06,4.609738655236839e-06,6.2585232637468735e-06,0.00010665138714957556,0.0001316371585237952,2.5262182986651727e-05,3.000664241969986e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.764300669387287,3.4268266475389626,0.1341073975427215,0.2793386981183612,0.026375887651069796,0.03830441864411657,0.007549314954418795,0.005024296661564398,0.0009367209828490264,0.0003565488822010465,0.004308850695641908,0.00032791195993131517,0.00016585204658547958,0.0016314041302989413,0.0005766488534702241,0.00020527056480967865,0.00013815394448224438,0.00014470424729373654,0.03028339791046944,0.005290891803158032,0.0054491663306369675,0.0013135820030690804
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5310405411483732,0.023244730846796124,0.07943065776213384,0.05080008455872964,0.0180023586160101,0.012826581701114836,0.002476719156339166,0.0005043560109445622,0.0002529500315895383,0.0032398266776553775,0.0004661275359632011,0.00017376108404265622,0.0015444281319163533,0.0006836046255627934,0.0014089109880677242,7.872880244730318e-05,0.0001816085480368379,0.010465692940156784,0.00385329128553355,0.001290292670599616,0.0002973491439590692
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8173595099144904,2.7417081620488637,0.09606822845384266,0.1894981006022578,0.009635874101599162,0.030919988893218467,0.0032107590302508093,0.00035062843925115494,0.02390020181161215,0.0005558516293484583,0.0015150132461132504,0.016559828482464956,0.003040670643316118,0.00018761445186288306,0.00032395571804699763,0.0009492249631519734,0.19734110261928578,0.04295400172508715,0.027674428303566367,0.005346831613040504
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984125045057781,0.021443482873566566,0.004597566788868801,0.0001804926982060806,0.0008764230346807178,0.00019289096843233544,1.887242749809559e-05,0.002815898607414491,4.6288941215832935e-05,0.00019236797681387863,0.0032721382829521417,0.0005716161981377255,2.2647548813647944e-05,9.279612255830294e-05,0.0002159213613994737,0.02117402226012799,0.037989816880127036,0.0032531651291966,9.358877477261274e-05
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9852958926497175,2.5915623435552066,0.09681679558119183,0.14831432129757594,0.029055842891364314,0.005789791600886218,0.15076208156153315,0.006650179174442883,0.03185993210880822,0.008652111314036759,0.02099919775811862,0.0009642372795386489,0.0027334523979727354,0.00687712765410442,2.716940882021342,0.27259112210302333,0.21122549462542645,0.0537743637351209
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08050478525849236,0.005505040719638865,0.006810670803142904,0.000856168264798729,8.571624743902717e-05,0.024983378704384607,0.0003169292381413058,0.00123282051394491,0.0012409552691852177,0.014114663442992836,0.0005110149068316971,0.0008716288938035444,0.010737756604584536,0.11423249237689648,0.02671340333641814,0.011336440650273949,0.0011925872465561316
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9830640013132577,2.559316499479262,0.09612072127822002,0.08261469216233519,2.833632093147236,0.08316078543205485,0.08719371882226046,0.08878569270563297,0.1554522895270593,0.010877760939838055,0.027967885007927906,0.004810656465405572,0.18549172019689994,0.04376106485907691,0.020462632704133704,0.0018101622725587019
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08560290917105806,0.005218436646704072,0.0354082858656628,0.08262160080846515,0.0351695341610172,0.005278716927270999,0.003979218526683592,0.008333397178935775,0.004801965404479525,0.00026066752525344405,0.00010531804790847588,0.027491266083475407,0.004664460167081996,0.0024490476863010535,0.0009576611974377869
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.871171829533177,2.02381095472471,0.17597390612276675,0.010234662421014784,0.009291945923832978,0.030737538422913158,2.874191157963929,0.08100708271517965,0.08956022836225452,0.08259290743344372,0.012671942472460507,0.00342715686851873,0.018668932660691834,0.0008294664206929259
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021940034432619493,0.011897976972139457,0.0002534327520733459,0.005558172239054082,0.0007782011728272309,0.08435782816309412,0.0030376008067440896,0.006829037548259365,0.032475212718594326,0.001989922236830255,0.0010145294415073725,0.0011356201035603863,0.00014878084165381722
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009562171899897942,0.005157699441788566,0.0001833473244814421,0.00045880340896409244,0.08231018588700945,0.03374704566432496,0.00295262599024837,0.006595704843717298,0.005029395745037579,0.0011158364455789993,0.021655772449905353,0.0007147798817637163
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.040673823955383,1.8888721552733831,1.7863078806951305,0.03346162432731497,0.0009986253134587342,0.002741633242939301,0.0007529786104687464,0.02515507295355085,0.010253664188815584,0.0030525176779523933,0.00021430349170126206
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022720867424794067,0.0245831325924446,0.0009572782250143463,0.0004010305797097491,3.101377622716228e-05,2.2929428908469163e-05,0.010410629478245337,0.0054176901956763945,0.00030342953401185646,0.0001272953584925407
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024477846233074363,0.0010406260020692226,3.796873686234825e-05,2.29444220207764e-05,0.00024749205272200925,0.002714052925405941,0.0005805331401413927,0.0005337193146812691,1.4385063402011511e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004317070654135002,3.7947181938280394e-05,0.0008667956115790965,6.954363447708722e-05,0.0009366079956711904,0.0005510548025190465,0.00020936830551199215,1.4138890758186307e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0426306001455234,1.8703132244511407,1.7872264419641115,0.0021844785365905395,0.000869369339583953,0.006080170231381438,0.0004378930622244148
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02311332125698784,0.023324879131892517,0.0001997520581882295,6.79373050327392e-05,0.00024532218879613765,1.9631500741024155e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023740023168317803,0.00024644640019721997,0.00011559946712824676,0.00013702789739467036,3.6828726049265015e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013599241776005577,0.0004908434177617327,0.01041853284076133,0.0002822611500941097
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3304363193804045,3.3292982619157647,0.1745629502644902
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5169011820622424,0.07756537856705514
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7523503936388127
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
