,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36S,37C,38H,39H,40H,41C,42O,43O,44H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1357382540732037,2.412015800297043,2.538884173019665,3.4299097494927406,4.110920175406784,4.1396330380572675,4.10342744381115,3.4510215463246916,4.7101124378629935,5.362326863296631,5.68043034242187,6.068185144650728,4.053428872224465,3.952963131794773,5.332162409778146,5.631515303115535,6.503901851725843,6.678744213143536,6.752446317729151,7.765235180160351,6.11041219578353,6.886655778095868,6.171433108391828,7.868078593553251,7.100038939214454,8.70667186608856,9.122996774087047,9.436053759501592,8.736348542999671,7.725711817107676,7.8483930565886695,8.855810955340985,9.599690788316417
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976270747397188,1.0935393109489768,1.477099898802481,2.1472797279150853,2.506210790573791,2.9161364717853395,2.56961990427165,3.800876211264405,3.7064538223709342,4.038523745010037,4.528648793212983,4.189297665407172,3.7461585420718824,5.407913841395534,5.931073451919889,6.293535299805391,6.565314953764317,6.035433040518623,6.986359461150798,5.258854576432479,5.996983201843374,5.456051309232092,7.040572133007196,5.701190726837667,7.242175405699741,7.471301417872427,8.082040603865785,7.340410155942066,7.637468715619739,7.9591403773239735,8.620889222858326,9.439855230066943
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74761150081611,2.10876615675783,2.870793550544345,2.813477925949284,2.8098935504901306,2.1986132334889597,3.7457866283649692,4.103328340372154,4.641164006424088,4.787353908759663,5.011607747739822,4.408358990804315,6.285717521678666,6.857193572730155,7.113357591965435,7.261554498649845,6.846405648266419,7.738406603570475,5.977937662232651,6.9305703689345926,6.465447072588935,7.996781402279022,6.552150612922251,7.97788470792249,8.134263784650594,8.881853308223473,8.00106700098913,8.515348054431605,8.896136665050122,9.450086140429786,10.302311179006342
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0612374434255814,2.2601261972808384,3.326484927106127,3.9275573413607336,3.616543560143802,4.8412362368553445,4.369497519072871,4.527673333189652,5.277223875979832,4.809184957380592,4.567568468941893,5.932597395231666,6.332332852822018,6.890312574357785,7.295335866766194,6.589756755901136,7.572131598298529,5.914329577286227,6.307778023976337,5.671029597012113,7.2899578493901585,5.891438131422318,7.526386655413814,7.689338056918933,8.314914451245029,7.773350073483974,8.135437756535232,8.347023636189496,9.169141571213286,9.938055688365278
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011577865563348,1.3367621108793357,2.3375055851895796,2.5445197108277817,3.187865692437489,2.314371831077886,2.609694404335855,3.219041814228,3.9913236101649874,3.3572371681791613,5.042441744062984,5.7170964876867,5.640354526981075,5.941650791158974,5.066336470232105,5.927737091714838,4.228969425438021,5.003389890109453,4.6689759424804915,6.065634100833779,4.458326525580767,5.880691123303538,6.056387940916532,6.78006264489445,5.964789523079626,7.02096845743223,7.5000864227110355,7.856833459377998,8.712988618140473
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9998288700803466,3.2135722055703,3.5292441356331223,4.005443800432924,2.4640511291957248,2.4059208920562893,3.4571180610035492,4.360786713514576,3.8964661539593672,5.233673055694914,5.845762832502873,5.779492452820971,6.232860140859043,5.03873226413145,5.887589199323602,4.3219694800846655,4.6870610121023395,4.350488126724699,5.687258855623197,3.886008791334853,5.37870448439396,5.470759308773387,6.243806995354719,5.631897155614855,7.056972873366758,7.493818474782193,7.875101261380459,8.690436726241092
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.347545652845576,2.0401914295270878,2.026433621131357,1.3395601183068848,2.072386240772306,2.0299628753768495,3.9381382432349104,2.975107604701836,4.9269594468701,5.769798746342801,5.238934597378857,5.34423745353395,4.571705508995902,5.283251341762274,3.5745989104456064,4.8472794237166665,4.769417692856255,5.931574698054674,4.352684292361641,5.467162524208804,5.674604581129058,6.440323994575749,5.320499397336192,6.709240249726027,7.378574269438241,7.377427373974246,8.296239449018305
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097746698477919,1.011988662730171,2.3150745309151826,3.230514054167643,2.4972331343376855,4.311707699157981,3.183139318672478,5.410529384530926,6.286237157886941,5.713424457352736,5.571639527026201,5.266054595515239,5.901395462102323,4.208191841142658,5.836692328968814,5.782482167506293,6.920207670219052,5.546296109434147,6.507426720790892,6.7454899248498945,7.488335267427021,6.187740791132545,7.235840455361386,7.952477485182977,7.865236910246429,8.811668827449408
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.701466681128189,3.2263758139170347,4.075252991371212,3.5010866314167726,4.5294456396666165,3.5080517469166446,5.756944237505027,6.549843353398848,6.256163299821786,6.107173462409564,5.990817292540972,6.7032860434700785,4.975185983936964,6.527538956400591,6.335091059546341,7.619654439716143,6.31930944869742,7.411311469895125,7.658194315237468,8.370938113268657,7.1385307854454405,7.766134920272819,8.386550441438033,8.497327259588571,9.423605309244843
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5621958017687323,3.4678034635782287,2.399263044602745,4.267022672557859,3.043069546139724,5.254574384068956,6.191036070728379,5.3719326973771535,5.0567563736549435,4.990719619672505,5.504351948226034,3.920965193826392,5.806817074867716,5.874204262445477,6.854704231590737,5.698190345890818,6.467468353449946,6.78919321650225,7.4235998648489225,5.990477398369145,6.892775386307458,7.703463496108989,7.408847376591731,8.371610179591828
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0277110768236961,1.0110434886568616,4.272381245626178,3.341876838764111,4.953252537088885,5.854284532245742,4.921429728161985,5.065307655158649,3.917127101969389,4.447401884409196,2.935238016393365,4.172488317771107,4.374257199230408,5.196223254319002,3.442338345226768,4.2715482821329145,4.439187839688216,5.293970023421343,4.068703230601254,6.323105551972744,7.115905342561301,6.800083924716428,7.722961488164137
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7314355811118125,4.140147246640493,3.4479821260059245,4.611233756466941,5.44961340907392,4.52654571169348,4.866973101779353,3.3574836011029667,3.9173212313881365,2.5536892894942147,3.3238735952943963,3.5701744783779756,4.312993288924688,2.4240619474763165,3.408733999707063,3.6338473356034737,4.396369103593474,3.3819741485371613,5.809089905966287,6.556785725732428,6.288492241534653,7.165246588573249
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.757549251081729,3.7136813576621197,5.351840051224515,6.317027739538646,5.093607190008534,5.058980930273289,4.0569919368983545,4.369785036576842,3.039030131349355,4.572297848859521,4.953962175918602,5.534890059918601,3.9184459559022806,4.347321210442005,4.501325529593744,5.388823640198667,3.9103976221196577,6.491116233748938,7.406051844958775,6.796183236822571,7.745212138184476
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2400849865150654,1.347300108659582,2.024798293664441,2.4752508141098355,2.790067947827028,3.110756257427744,4.108731171477192,2.8589105254479414,3.614511879003977,3.0788926537472867,4.4674777894512445,4.686620293017118,6.025322224187732,6.819913368506566,6.51080416487168,5.894888464453881,3.698300681031437,4.0077743067654295,4.806029342575472,5.557794038139223
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.284133158618536,3.1636189075763026,2.862410463327773,2.874391216924393,3.0940605804253907,3.98794394049652,2.4331815824617706,3.842727636627957,3.570140145921044,4.825624680334416,4.576976504237509,5.773155287900339,6.474435947419157,6.427008206757727,5.5041067126385474,4.321812833791543,4.893366729268534,5.203420106136832,6.070348673605216
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0205587220913832,1.4515037465289806,2.0987961666914807,2.506076027432502,3.4212616047022393,2.748897884231666,3.016201870951537,2.5613018381330104,3.6239186130493715,4.516985329385232,5.682248100265444,6.611582597177879,5.9621835343119995,5.560528553778626,2.396115441467633,2.671795972172859,3.595752195797666,4.275128087624826
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13750790008098,2.8417048600899952,3.280354570176113,4.140335996688893,3.689904623147072,3.4976059727338713,2.8620787241006655,3.896978362528681,5.086213156914215,6.308073089239753,7.254651432856211,6.459636295639843,6.291909562955091,2.455694440029791,2.235149609591138,3.788298141872308,4.267073869088296
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098499223422756,1.5540499137228685,2.161921640104155,2.1299800486275218,2.581888265659922,2.6858405622393158,3.025582066196437,4.210340527306394,4.93691575223324,5.9493582617512075,5.141181198509022,4.636135227317329,1.5263960722348489,2.4277399190271627,2.3734846711209845,3.2160102733262907
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1463461676954614,2.445028357844349,2.3838088537479027,3.4929530258795882,3.7014583193234487,3.96866651426784,4.948459758766535,5.489230050892884,6.471619424503148,5.774352238048021,4.988304740558524,2.132934524806315,3.1169343344093132,2.5982277424880738,3.4884612388115834
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943735145192313,1.0918762920301146,1.5342337606850847,2.1720772280119314,2.1945643000017987,2.8501736954294565,3.4203845509949096,4.412983087176347,3.7511602778635704,3.1178924402474855,2.5583985575858432,3.511686736102425,2.937536519916159,3.8225988707668486
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7697145550105968,2.1809347720221623,3.0658703154013023,2.4478844913520534,3.2679246860011233,3.2209583038270213,4.248051057019023,3.4302906731898024,2.6805928915756496,2.7646405219914123,3.866779534996091,2.604299965314187,3.488209964044541
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1654446107271643,2.637892682550764,3.071070835768605,2.883988032632078,3.5656664225400307,4.398077334602994,4.175146794529243,3.162088360513579,3.4585440845544864,4.394894457418617,3.872742110810017,4.804968625897854
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0949113110436055,1.0955680465840199,1.8390364302525577,2.8539082658645007,3.8083803384154913,3.027449788833511,3.0772877127407856,3.140819581984302,3.7118557522792375,3.668355867253134,4.332413423447807
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7608164348865951,2.354222968614152,3.77428658613467,4.62052151828827,3.9590370640966026,4.096242348890891,3.257263469989048,3.5287106319087815,4.121212793722884,4.71905102185862
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.414935917821213,2.9596093417288456,3.9615745339751327,2.7211201504654663,3.2842386202907328,3.0443683328509943,3.4958984104637905,3.365485250433074,3.8349676974231244
36S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8309756187326187,2.3888569324401576,2.4316216421087558,2.460876039366452,4.953540049310436,5.54459130039001,5.331705876086174,6.0100688577233905
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931104375114609,1.0934145982927919,1.0930908065704201,5.47805578047768,6.257141675593479,5.399509386706457,6.029054497598358
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7766767896961742,1.7819616668888252,6.557592695046923,7.31940599332949,6.48723575229294,7.112854358546643
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7904866939944355,5.37446365375154,6.063158052985968,5.176373247143256,5.654658947979331
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.264227031843164,6.2025286785276865,5.035339669271101,5.744496720320186
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2106881121405417,1.3456582525967837,1.8826232228796425
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2590528783245696,2.31469394705041
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9773286978203038
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
