 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,S36,C37,H38,H39,H40,C41,O42,O43,H44
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10847213832214964,0.005183819628069797,0.0032828433148617275,0.028457145718327137,0.0005916236176579659,0.0031334877555733165,0.0006260864146939715,0.0003870907200338447,3.578250477298539e-05,0.0014389958321406882,4.622661168518505e-06,7.066819294698767e-05,0.001071471467854579,0.00286545486675549,0.0005226661770048047,1.0029021004331895e-05,4.770684813881765e-05,1.9656631155218207e-05,4.642137911781141e-05,7.560850350918358e-06,3.6976453324344405e-05,8.976193967225043e-06,1.59887708048867e-05,3.3168049875520467e-06,8.83911220828093e-06,5.527971119745345e-07,7.060273699011077e-09,9.805822775987849e-08,2.672694925376362e-07,3.3082099637482543e-06,2.220115413953394e-06,3.7362731408752126e-07,8.134117823743736e-08
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9896864635157332,2.026291254820637,2.852344867841281,0.08902629786627503,0.2595318542584296,0.0347772480123449,0.022309668878391253,0.0020226712704348726,0.04561487051771057,0.001219347378184188,0.004366385078093504,0.0012196410145263459,0.00296134580829438,0.0003412077161233096,0.0001388560881399048,6.351545070767961e-05,8.504440750289888e-06,4.619058324836778e-05,2.003405276562731e-06,7.072092164861488e-05,2.6612844650941714e-05,1.3944144837685357e-05,4.67711001683746e-06,0.00019370579035843383,2.4624222051947142e-05,6.220664898748396e-07,4.58853199525322e-06,1.999545183428708e-06,1.2990260062212267e-05,5.020536222297145e-06,3.429091978854326e-06,6.950934711147383e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027521531106065922,0.09790041069936328,0.013112934576768431,0.01841789003084915,0.010872113209034473,0.013254843139393957,0.0004689025092510235,0.004105712328070221,0.00038448054093453976,0.0003472767586150116,0.0001223052206027475,6.12849531855808e-05,6.553280172472142e-05,2.438948156124887e-05,7.122551202387584e-06,3.168781553597455e-06,1.2862012051861882e-05,1.4836992745514976e-07,2.8357440067461326e-05,7.794879797184961e-06,1.8349656931704317e-06,3.32149313830854e-07,7.156265278096541e-05,1.0953538745583913e-05,3.685399887487506e-07,3.5860612501714684e-07,3.7271830288787555e-08,6.885869123784971e-07,3.519623937853211e-07,3.8160191928593434e-07,1.83081443339006e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1143877966403063,0.010349735273434746,0.020749293602434493,0.002819009509688164,0.0005535114071066882,0.0001055093917339267,0.0022420907047944194,6.32921379248863e-05,0.000646013511921284,0.00016311041833283468,0.00049827151334636,3.556369898127798e-05,1.5348865189945826e-05,8.701118246801087e-06,1.2513803502312015e-06,5.605165046884686e-06,4.2759942764369896e-07,5.174959563314374e-06,1.7147154987018354e-06,2.4260688347155224e-07,8.065675127788552e-08,1.807093632366641e-05,2.639904217782707e-06,2.5698496664006143e-08,7.783754067958171e-07,1.7416927144964234e-07,1.2899284815848233e-06,8.537326380286814e-07,3.215997245176183e-07,7.577689986604241e-08
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7260070858675596,3.7734472282185627,0.36075860785918207,0.008847774303820666,0.032314137121650766,0.38434314329946273,0.011193311502540215,0.02925945764833182,0.0015509030574047677,0.005930397612131655,0.0005290389700668419,1.1120132155428841e-05,0.00010129706229616842,2.039732318415144e-05,0.00042860136496544743,3.0889330340233556e-06,0.0010196054653601738,0.00015877161979663268,3.194024182517907e-05,4.533268129258694e-05,0.0018478453201958844,0.00021557750493475525,4.810319940484753e-06,5.14493855766629e-05,8.2791693514217e-06,1.8749766327819106e-05,9.300097514722272e-06,4.602477835360941e-06,4.6757413052489483e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16456231866725413,0.030251865576843895,0.0014096670981764703,0.0013052618760973633,0.01585961660848889,0.005635835147450585,0.0010734620791861271,7.3628197357678e-05,0.00018088533261528816,9.757142642285999e-06,2.0805823153224878e-07,4.29228248932656e-06,3.257133753820085e-07,8.106847035893594e-06,6.895387880678783e-07,1.704390416357171e-06,0.00014827887060131495,3.0970157129939224e-06,5.7361304604430785e-05,0.0017641153212391014,0.0002812344439904191,1.9024941408929408e-06,0.00015320304850008348,1.581906250502918e-05,5.318442719559613e-07,1.3025221312634727e-07,2.3123125736379535e-07,2.4262461595370155e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3296939139235184,0.14876140213428857,0.1522573142692737,3.837161805399912,0.1412475936485451,0.15644989394394992,0.006976715888212387,0.04522893295975006,0.002841207420880537,7.344784003626703e-05,0.00031859531157826804,9.790239665607992e-05,0.0012710003472148346,2.556196506287023e-05,0.001668408346206185,0.0007040115149851423,9.400956245686487e-06,0.00025748805795888785,0.009370753646867402,0.0005909798492266805,1.1249638674382112e-05,0.00022165413414532154,9.495834002781756e-05,6.565903543442886e-05,3.492901900375989e-05,1.3789487366189235e-05,1.5324550697304318e-06
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9500594361179886,1.802581478642829,0.36324100485541744,0.028790261026089947,0.014756188284326344,0.001647919983388757,0.01026176576505454,0.0004796568326987105,5.8294368063260826e-05,7.667257166314723e-05,6.4172277011165235e-06,0.0003956654006235655,3.024374524707163e-06,0.0005374383173750719,0.0002824747350289175,1.2302731043911663e-06,9.200392629360454e-05,0.0037078924823325324,0.00024221501248101324,2.8288238881346572e-06,8.160675609636403e-05,4.297192916502546e-05,2.3657016901434957e-05,1.5769950433203173e-05,4.013253582513254e-06,9.694713782870679e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03585879556393312,0.02775724978067784,0.0025407928307952243,0.0012678905052063705,5.7464615684788e-05,0.00026028111477294225,1.3206746044769346e-05,4.031707522722527e-06,1.5157297527101932e-06,9.649514609577636e-08,1.0024413630627116e-05,1.579733450718379e-07,4.889092081183932e-06,4.139139005754355e-05,8.825979946891493e-08,1.527595021899586e-05,0.0005133273712528696,2.649111336794352e-05,8.705154219690314e-08,1.4060625348477629e-05,6.4506658601359845e-06,7.095188070405101e-07,7.721357428991382e-07,1.347515393712584e-07,2.604431803554519e-08
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01536676922081448,0.00039222386741366577,0.005714507095852861,0.0009466985501557224,0.006978420620816106,0.00016578840949121876,3.2668165015348194e-05,1.4991680325038281e-05,6.095034834618929e-07,1.8876454334293413e-05,5.954005266595175e-08,6.68615134351569e-05,1.1780557228946442e-05,1.9031028664073801e-07,4.909621851734158e-06,6.89113503724581e-05,6.7179496169300634e-06,1.7866293999801997e-08,3.805432837733491e-06,7.92105149027833e-07,2.4613511905302587e-06,2.006961131839624e-06,2.7802894586592686e-07,2.261064446784644e-08
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5591348834571737,1.9364868640593231,0.0014539899086313257,0.005822138933059218,0.0005813347398081065,6.499463842568609e-06,0.0005671810798985877,9.96748207428011e-05,0.0055182898291340765,0.0001200591893348868,0.014011206507086649,0.004431091053072156,3.09665561895045e-05,0.0018623865837518183,0.08649059679332835,0.0034069431335961298,4.778730746146653e-05,0.0017676002237599908,0.0005195749351470935,0.00021281686821139623,7.822911697893953e-05,3.48729868307196e-05,4.2648641764841955e-06
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03860355317870057,0.0002469775098892235,0.0009625972904091507,9.060160586471522e-05,1.984756410333688e-06,0.0001908657722679008,6.707185773358049e-05,0.004235276099332164,0.00013506314395828056,0.004504519894594328,0.00896297696039483,0.00010879343696257315,0.005537506054452912,0.2648646933283344,0.007436036317003625,0.0001837918389018256,0.005175824868338674,0.0009110531965270674,0.00018632179693223172,6.649880228570826e-05,2.1903020587799027e-05,6.082662007855788e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.680659861151405e-05,0.0002809259753370208,1.3755338261978167e-05,1.99590371807723e-06,8.456284224755972e-05,1.2341808091731465e-05,0.000602911115113014,1.0383616375841953e-05,0.0006196485834020216,0.0002132515609134522,2.6326092052997296e-06,7.712460938336108e-05,0.0010007932609975567,0.00012963978109648,1.572398215410331e-06,2.1127818332855597e-05,1.0414021783589078e-05,3.62866169635323e-05,1.777224078669537e-05,5.456060255926154e-06,9.659391080329982e-07
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.598966670225016,3.771651345202656,0.15109058814202547,0.2709673780481575,0.023550189430657786,0.03573100752717023,0.003349468330570371,0.00919972563255489,0.006459715278684414,0.005925153431803221,0.00023282932494339548,0.0010250805582301126,0.0002623580686936522,4.723315548527118e-05,2.2417591886592092e-05,5.186073156271398e-05,0.028516097150928288,0.0066372885225056966,0.005888455135163201,0.0011934952874256277
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5495722910746298,0.02289764222084978,0.05271718259972641,0.016364237979214047,0.03794327681203273,0.0013129281760340117,0.04476845374848959,0.0030248771005171593,0.0014465855625697133,0.000382241632648328,0.001275890256039476,0.00025735547899523314,1.7640728538825812e-05,8.255420773761735e-06,3.2720241225359104e-05,0.00461620917350275,0.003004274032446186,0.001067881565766482,0.00015794211160069516
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7455622705953986,2.7323765200295056,0.09555707433077909,0.1663737951713833,0.023403765186567282,0.006044264724503812,0.0299901843881821,0.028885558244114096,0.0004970203304884846,0.003495791925739164,0.0013075629292945146,0.0001934781481840453,4.044225200483531e-05,0.0002993649388911557,0.19393107692742168,0.05817081716583786,0.026686211475013127,0.005286296032331994
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0953460336372901,0.010174042143696216,0.012719804810325308,0.0008786118713284274,0.00020460312672887504,0.0009756173681650937,0.0006769200442238166,1.839035247486187e-05,0.00016634907377166552,7.422667357415147e-05,1.1362164403561081e-05,7.050393808771815e-07,2.5038941107835555e-05,0.0344636326319796,0.07610078948038246,0.005714828977136266,0.00017254445377501426
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.862650676564311,2.4541030264563344,0.09364674443072096,0.096998884188509,0.15571403742103784,0.015269779172428999,0.003239203233013521,0.043839120830928474,0.002130432657535264,0.0003063917483348,3.3978285529645547e-05,0.000852623341140335,2.786731155884773,0.2854524848836473,0.22404909370106801,0.05348751927839546
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09071523694104022,0.0040807512041654,0.007517772490934327,0.0243513994580421,0.0026238400486182645,0.0001163081531032617,0.0036755587468187967,0.0001614523978388238,3.672803956500381e-05,1.5913123030397713e-06,5.489297299066109e-05,0.11044904293645752,0.03271204906016445,0.01086155686544088,0.00044566847284155386
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8112930319300806,2.0701423590382513,2.7384253919850066,0.08254057241729784,0.08250438794830717,0.18993315386505943,0.01209191077464232,0.0011371718573510714,0.0007778384349834688,0.004194893243365083,0.17775426894632002,0.0438840149911006,0.031435915090141126,0.0020915481102535827
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02722425081795299,0.08278984113094601,0.029515093963849326,0.00894495858672606,0.004433806202560953,0.002544639105717783,0.0002629529023723265,7.03286700920458e-06,0.0029612345000362694,0.008782644552012941,0.0013666238234582018,0.01466662107362282,0.00033919190607401006
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08224844160205946,0.0017466399750147854,0.02782278134073879,0.025256702662364794,0.0007555300284681765,7.637454581721492e-05,0.000140696993615963,0.00014597938592353366,0.02626563027576334,0.004479858279872628,0.003662281848496929,0.00025259536923205594
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9715298193772939,2.012720399145171,2.6490979514017594,0.11086464195421304,0.028073554846842486,0.008479378044849994,0.0059733082191850695,0.016040075199666243,0.0036459335758791123,0.0031948378289945872,0.0002626878612095318
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026442361391822766,0.09685995765544586,0.026207916097171546,0.0014196169381979207,0.0003381853090527187,0.00024588684280368867,0.0010149403877566243,0.0005203350196090195,0.0002161972197404216,1.7193014319127897e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09059357883196706,0.009567166482391976,0.00039609757353509245,0.0037975968305521413,0.00046572650344001154,0.004147574609366211,0.0007420111462642653,0.0011814629429572898,3.1514601911641904e-05
S36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7991768598859395,0.09328468059944683,0.09562523902703224,0.09710587011744953,0.005135812901752773,0.0010732203515350508,0.0006460445040223986,5.554423494746885e-05
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8216171972389978,2.0567222488388106,2.021034566618941,0.00020571480218353755,7.48343066506868e-05,6.648386956158159e-05,5.48787743570589e-06
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026941087217138948,0.025696093402960196,2.673235135852714e-05,7.653672889795793e-06,7.37713641774107e-06,9.54214403492415e-07
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025257607682622973,2.917463519080954e-05,1.6952267471004312e-05,8.59363806515745e-06,1.0310279032754721e-06
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.997802748567096e-05,5.895891536045195e-05,3.0612819289288495e-05,3.967511964741988e-06
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.219382653716917,3.354873101771907,0.16745473908358266
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5173347175995295,0.05917332646607398
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8407333017280147
