,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30H,31H,32N,33H,34C,35N,36H,37H,38N,39H,40H,41C,42O,43O,44H
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2349374344815918,1.354248235093489,2.078799688052602,2.0431879819336567,4.180645568101162,3.6415101392489007,5.518263831282357,6.118795602819235,6.358394696089814,5.979731200170903,7.020225401542516,7.516473585996659,7.8968051371908725,6.4047260849880026,7.294514861188437,5.689727542781863,6.064759198885568,5.346805977920245,7.023383402745213,5.920046433426768,6.824017563678259,4.919919689934874,3.6345295596550957,3.4627093038017507,2.928946344997586,5.5158758845272295,6.4599096667338465,5.114904216888213,7.601082601148315,7.931495691116685,8.500207975204367,9.285329222998142
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255710801841026,3.171645315076403,2.4852205388482513,4.3604470446924,3.6894067076971147,5.689300455205055,6.378157990408392,6.464257164154883,6.157905722146217,6.857377143531098,7.303180301191602,7.760435534676915,6.0239979837227295,6.834926254961725,5.379655813243817,5.482297957801521,4.84433942638164,6.413023261755118,5.0988682048761325,5.951494913085462,3.968326529218222,2.7763851979876097,2.9309003808870884,1.8924543953899182,4.407246081645507,5.327254853568144,3.9464950333936253,7.836102788165934,8.250993698857203,8.714245152464036,9.558895091492042
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0096212911382307,1.0114874579238624,5.296870882803284,4.7068883073512,6.591504747776963,7.175881897063858,7.341744920203634,6.8251360574712,8.089566860490221,8.674570477937346,8.890393337838544,7.474284681817122,8.315166281163814,6.653115194047794,7.271001093934327,6.617396101514319,8.269109977853546,7.0606206167393415,7.914089534127217,6.002301719963923,4.764867696989764,4.627900376129756,4.001912371865774,6.456489493670076,7.423887627461441,5.929367424657545,8.517296010012204,8.861648885789947,9.333816117539966,10.096928498202585
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.735314067964321,5.571485752843973,5.113044581597674,6.8047371192196495,7.297083557857221,7.5806166027471376,7.037079897958483,8.487759031766128,9.085157328235745,9.259328299105453,8.024344595444237,8.90211033756702,7.1898592042852725,7.924179470062524,7.22892461194437,8.918833847902727,7.8475158377619305,8.727485756512426,6.863108269081223,5.592281744575779,5.325031014199602,4.901313116888403,7.399829237125412,8.37341618485253,6.91117695773082,8.625871716047577,8.890875968631773,9.442962966657207,10.143070495958046
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.092902950652738,5.38449156963347,7.396328467696046,8.039513030820032,8.071219738613955,7.518927204850164,8.70100145739578,9.310269770320117,9.48022413469502,7.940871031303683,8.702503164879218,7.093856779851431,7.69662937805217,7.126035261067089,8.703194506669618,7.300614697050624,8.081305165715275,6.1378840049213785,5.004030923522576,5.048364435119947,4.144736673637302,6.384824048363805,7.336497963442879,5.730845512374267,9.311433212244012,9.724959947121652,10.074204903624008,10.872862461959562
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2434626665256208,1.3511814730241216,2.064910706559676,2.471328418160608,2.6341487858383563,3.3632128965996975,3.688596972554576,4.31700350185059,3.532672738504508,4.625031611137745,3.2831647269386592,3.5482573037574943,2.7315136605991546,4.2839169976174665,4.4600347223696835,5.405247139836918,4.483122304881903,3.597543327661537,2.629486212014357,4.050937496293178,5.784437079555161,6.499750033378134,6.1252726643341155,3.633669193026861,3.913608869543883,4.737221081459777,5.473106174989278
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2512065911834065,3.1626106889852394,2.7814719518527813,2.545397953590416,3.4087075259529005,3.9924729089306825,4.287397714231305,3.1017585346113594,4.127833435061719,2.5303825193366087,3.2323003963000043,2.626322172769897,4.188424571335287,3.8391329323371015,4.767229172780573,3.6838568388787087,2.7391724821755195,1.7143198696753896,3.209918648039586,4.936656405822513,5.740344654292584,5.226364303199254,4.1757150018810725,4.736478066725243,5.038431047846812,5.889608543895868
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0170620365220404,1.4610358958118297,2.0892430460935882,2.556028101602285,2.763870112441691,3.4267043098567704,3.3020327268600105,4.330829530795425,3.3326786301707383,3.6091252668780975,2.987548383809366,4.1160438468791405,4.836345894765927,5.667731129518959,5.20418660869162,4.5699136959690305,3.6107902813364032,5.191605805723028,6.5550735191378555,7.161963736517349,7.0460662876452735,2.3846422708911126,2.636682768678064,3.5880415006774693,4.263248464766408
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.092981320814317,2.8410480579354314,3.202195089807981,3.1567234764493515,3.975238522599412,4.171578526524546,5.155686382688134,4.3112861593910266,4.397635878325499,3.7244033691438343,4.7366776112477655,5.686912446462611,6.507441366995211,6.087380728626434,5.445464440164055,4.513857139607174,6.017551029581932,7.434065227226588,8.004324171832884,7.92313302632614,2.364180787901172,2.117335706031097,3.6963160862045585,4.168191384328955
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096885725989294,1.554744437138845,2.1738266006759366,2.1331101276412316,2.638653717151526,3.4762676232084027,2.705783750556787,3.5336691454890508,3.347784315920813,4.014679347191936,4.799540791660862,5.4586529253161045,5.379488152740587,4.970513583711616,4.032847757822078,5.730763167845493,6.705803542527018,7.2699464587718365,7.294609518261415,1.53177520893113,2.425890434733471,2.382368608536506,3.2266221861154687
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1658708641514264,3.066203042364626,2.5125990478265408,2.797085417143928,3.5678761597346353,2.44254410630162,3.8921382371753896,3.7761638422268224,4.575769621243244,4.933288234397593,5.5869290195959564,5.34195732103496,4.84010693357886,3.8805875495640114,5.529179721537442,6.615080218160049,7.274577895607618,7.118114673883868,2.1433907943307053,3.1286855931590734,2.6085126989017446,3.5077592337754466
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986406607395929,1.0941179743765048,1.5488717436283153,2.1611517194892396,2.1810351346930643,2.587475475324756,2.844669887958051,2.8474083778322474,3.9042840799659477,4.360265823656134,4.803324498999493,4.788130182204191,4.053241143071059,5.714389922034207,6.058819185243696,6.4522638221448165,6.807732166254829,2.5285574224349094,3.4637818790383976,2.927426171253942,3.797600944226607
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7550360244995766,2.1934054631323696,2.7119336237751392,3.0572678051235602,2.6605821869980613,2.8326473755185355,2.5233560784120246,4.097512630041669,4.5222700169310635,5.11343210256814,5.184875856886278,4.5236292274892955,6.1206415073924125,6.356760479101003,6.63409090703216,7.158881655777444,2.810370650177009,3.4453137994203558,3.372523001555908,4.075358337264277
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1543996305198942,2.2792255637044128,2.6977390558388885,3.431643015801429,3.8685238972200846,3.5862924669175587,4.618407575105049,4.899187012483396,5.58142554164253,5.661346954702293,4.9542960489228385,6.597536629924193,6.760031110401859,7.111231017441738,7.534911000646026,2.6039358700037254,3.6718483167087452,2.4657613521910524,3.3098515745878627
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097440065211172,1.093834366107024,1.5385488908536442,2.192154257068102,2.1727050432679187,2.5214891804178667,2.945404897404527,3.4308095894390593,3.634045402021443,3.1065304024770497,4.6198010377789425,4.6118216206898355,5.008082191974152,5.388280054247967,3.9438274746553326,4.890386270340139,4.282894275644834,5.213891977834128
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7611102262557272,2.144106489882987,3.0696580935259683,2.468224953547891,2.756188849502158,2.7901939691533255,3.816039857856423,4.304425747234727,3.952224182773223,5.30045876871983,4.789810431383039,5.039084604937546,5.639567533747708,4.588285218802168,5.608646245567726,4.651779407172495,5.554162482156106
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1676681865814236,2.569821047251499,3.072696341705346,2.7496239565927465,3.2785710403274284,3.261406645144387,3.2165867608067242,2.602986038987209,4.11127839526635,4.426356142316587,5.005942824780487,5.057241983622511,4.123105026889215,5.122145256630932,4.435649549547956,5.408540647505166
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0914155740777076,1.0956688940450823,1.4713389896437483,2.1317838468022847,2.5113155428484597,2.905840470475604,2.65440312489898,3.909641791253219,3.712024841649697,3.9985963710758026,4.544738268629162,4.8774740736156685,5.584741942963202,5.487779114137947,6.365214163885813
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.755182843440341,2.0795554056693413,2.961453200386818,2.645246556260282,2.596556227207834,2.1872930366765515,3.4924959842651906,3.940500667401304,4.352427499307171,4.62291845491345,4.710140609445407,5.242623147836824,5.552333814527497,6.39423083712321
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.070269920013485,2.3742248642790833,3.2800212379797604,3.8477114953213776,3.6820620354355813,4.821099288056622,4.30963772994422,4.361136723552554,5.217330604247338,5.1490839587258534,5.765072078344287,5.7328519060313345,6.530902427979253
32N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0119223873244663,1.3481827555167312,2.3289140064142426,2.610215779889657,3.2758165637938603,2.3160353640074276,2.5581070799845675,3.2311276148317196,6.2230149745494625,6.981296238070022,6.756191607585338,7.673854684639148
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0144664420318823,3.200471550754926,3.563733044860267,4.081109392452623,2.468766527704731,2.3772918208612954,3.4684894595688474,6.813364971741042,7.6319391126398894,7.204710895365148,8.11399465570553
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3201920064786092,2.064382820112405,2.081118018979113,1.3546831015042549,2.0570206045997597,2.046416834448164,6.886452382381025,7.606559829536009,7.501224949088183,8.440556701417133
35N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0293968742574227,1.0229072877701104,2.3223806094191826,3.201010977993757,2.5289804046870237,6.488905529715663,7.125232071453757,7.225999936615262,8.149919879045624
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7063003407522521,3.2573112975912117,4.093837008801564,3.53253455866829,5.540345526033661,6.1671881347030535,6.3135697708165015,7.223716131147163
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6192671120517614,3.550520998050573,2.4163613000749553,7.227058466964159,7.799725570300326,8.009573482651207,8.920003196471292
38N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010644189311963,1.0107991434496193,8.212411854576475,8.95571513502297,8.768714599716088,9.718180122331482
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7166551288826557,8.73675456377343,9.473846653722225,9.263748616600804,10.198529851783848
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82136004940966,9.538566971297998,9.414166615230506,10.368490201028273
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2127422748140368,1.3403196493872098,1.8828967360790574
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25770743231944,2.3199121465660912
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9776631011973431
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
