 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,H25,C26,H27,H28,H29,C30,H31,H32,H33,C34,O35,O36,H37
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08227952870064015,0.011976758706251367,0.02780949731725524,0.0060064222137032885,0.0006118414701883346,0.015268856102022665,0.004237236367327091,0.0013234069893648392,0.0007273790701136651,0.0001313740410806563,7.48566022079622e-05,0.00035514528582236693,1.0735407968143207e-05,1.6266209945658971e-06,1.2779339231938636e-05,2.0115436849543755e-07,2.4024099598563e-07,1.947833687898637e-06,2.518279575314253e-06,2.2944104061117798e-07,1.6674997826982008e-07,1.2230858397188626e-06,0.004147576111059426,0.022801886223989487,0.0017467527325172316,0.00011304507119946905
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.338466902797491,4.563811091531821,0.0036078071864011907,0.0013536425997937584,0.021167156085790867,0.04698295759232063,0.0028641948400229267,0.0003093097958615232,0.0013024806884042728,0.00018195394337827686,0.0013670217014039032,0.00016220271450945178,6.00052121346728e-06,4.752514505276806e-05,1.6845787056407602e-06,7.032297963949219e-06,1.1858810116338603e-05,2.235361941324565e-05,4.118535558150782e-06,2.931755001212011e-06,1.3284785491674e-06,0.00034019951790767444,0.000522907463835709,0.00013030551390848244,4.6413526589295095e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5689480259507054,0.01711919330110595,0.004995344245369279,0.1959986186895064,0.44881867135696474,0.0187404217731188,0.002239311564322999,0.0077491414973465955,0.000995626175439135,0.008547804357539768,0.0007450460056544761,2.976245149366452e-05,0.00026628859526334203,8.04798280529262e-06,2.8330526952835555e-05,0.00011100582550238602,0.00013288541272652582,2.4903018180477687e-05,2.4388829402033352e-05,9.759374695716971e-06,0.0014212989759589956,0.00025553955799745287,0.0006617094969125006,0.00035982055742400654
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017829220096814424,0.0004695860725630191,0.00800973427580412,0.010541913998449504,0.0010613927048746252,0.00011196408926938961,0.0010347671271957737,8.716399771324657e-05,0.0011958951375860005,0.00013819174941846757,2.7879702190203304e-06,3.0875554801738925e-05,1.6549222895401172e-06,4.650165344788348e-06,6.237301400369155e-06,1.9114378184054148e-05,2.4193148336904002e-06,2.345239947132427e-06,1.0783272320624704e-06,0.0002829944567623449,0.0004058956385885812,0.00010815929528797466,6.263884048463009e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.80506964491831,3.5148887627495187,0.1320929602129095,0.28871381355237774,0.022231333092247008,0.0310030087799108,0.0012100230513489851,0.0010212074497102375,0.005760770051784603,0.00031808066234262355,0.0008263987896276193,2.3385038681045245e-05,0.00016417464633744494,0.00035106416427854725,0.0011280051373915856,3.0149444941951486e-05,0.0002662249833687014,3.368175607110224e-05,0.05661755396089238,0.010287930906735215,0.006779642035591615,0.0007627989161191895
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5471308752084982,0.019765710623822597,0.07900202118357745,0.01998170528419807,0.011298853133472245,0.0008596691014844948,0.00061424721879344,0.0013385383472993284,0.00034281091737731195,0.0003778793596701663,1.991834454018182e-05,7.724883543080985e-05,0.0001400338723280825,0.0002094120284942269,2.5851319890746183e-05,2.0430987621944396e-05,2.623114438726759e-05,0.0703864937349381,0.013264338128340186,0.0073625843794712445,0.0006184929049461996
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5721702464824578,2.9601716562155516,0.09698960032365178,0.19308793986839984,0.011170367056168473,0.009817416504706133,0.02884599993198221,0.000643484499990743,0.003913456269641152,0.00013392186061045308,0.0005506172083016292,0.0015108733279987074,0.004836512131990753,9.731080913888412e-05,0.001043180564456181,9.793934574209295e-05,0.19608012391831706,0.0285512280573523,0.027162518394702226,0.004931428321890419
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08747990371023873,0.010920112896746215,0.018302849617308103,0.0020702086733277447,0.0043518555670372105,0.001334471945346194,0.00020331021708996921,0.000558655610313985,4.552270917335122e-06,9.66010712750709e-05,0.00014852003970133865,0.00014416567467712138,9.865564610134214e-06,5.6061575785415485e-05,1.6702404257218362e-05,0.00659864743155647,0.0004566254291225036,0.001665431803600348,0.0007011090409301257
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7822011902649282,2.6170184427548304,0.09375572431540924,0.08658420079687024,0.14518867729576448,0.006902927389837554,0.018869523402567867,0.00064791714899326,0.0020376995432613842,0.0074762218269472935,0.03210083988607251,0.0010423535595234235,0.004567500356848164,0.0006910364337400221,2.354132133648733,0.2555184784048393,0.2065865043545536,0.055245800962474334
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07984443956161669,0.005165804110119687,0.033719013980948676,0.0048339065799880565,3.62469313706093e-05,0.00966468157991518,9.103239038354971e-05,0.0005848922761166886,0.010066058310898685,0.0008221892269190123,0.00023130661304238131,8.63907120380869e-05,2.559985729599923e-05,0.10718141042154272,0.021909551920621606,0.015884574880167812,0.0012944900330067455
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6540522438021452,1.7600182209812263,2.830163988130204,0.0830961396541835,0.15638395157168394,0.01025321313276839,0.030316437616551672,0.005297491585145586,0.17885003976066696,0.010703840669047393,0.030234244358306794,0.009829631919404891,0.1991699987276468,0.03978866736253101,0.022959381076494305,0.0025416555001662733
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02291788602487932,0.0857822450593495,0.036631482482756494,0.009181460625770521,0.0049015576623376855,0.0003807764989935958,0.00011497950642969101,0.009406522793264593,0.00019728829439813467,0.0005102595133374965,0.004627354243324389,0.030330281995426978,0.005859224262957374,0.002458359204426941,0.0011650458185143986
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0863445332807169,0.0038034070857173585,0.029960781001126424,0.0005046197899718496,0.0016668418083649605,0.0004705537393099313,0.012651103533305452,0.005585313214201859,0.0008618219787763781,0.0002056785695550012,0.009602934786064443,0.005475768134015513,0.0013290808439618829,4.024881797759505e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6395908206893839,2.552829450345734,0.08240619479268352,0.08321433967236058,0.08461650190422221,2.7735126551359066,0.08225882122790806,0.08112323988646208,0.08236756653850352,0.021499014524023446,0.004547542365161472,0.010638340365459312,0.0005357726953428843
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08347998364275999,0.035205234896694027,0.0037181123027218987,0.005411528407449406,0.0835734693804866,0.004449612234060485,0.004648670775768027,0.034992559433604464,0.014029746774595564,0.0009150213158436449,0.00924121430927638,0.00042450619297063064
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7205062206280435,2.084467840668736,2.0679172580520007,0.16968657368786794,0.03168184785922157,0.009826614697191705,0.009205435857040811,0.002880620346259216,0.0012633243963993401,0.007483914614346651,0.0004908055403379796
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022243313330430725,0.023793377695015216,0.007968990546176835,0.0004203177457238194,0.00014485669870989426,0.003972789852231262,0.0004712221161489172,0.00018608187733648585,0.00024943294263435334,1.949225753761219e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024279384633814294,0.01184414548846413,0.0008681239823435938,0.0051739540140522955,0.00019119320042904064,0.00018257550839684278,9.728224650751294e-05,0.0001575545108513099,5.219432667802337e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305892405174073,0.002705800138103731,0.0006258131784298016,0.0005294761892093991,0.001792552665780045,0.0006896394148588891,0.014452409794989962,0.00034816977014084927
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8039507977710456,2.1169603932384637,1.6910142137719404,0.003368795006857328,0.000626585276125198,0.0012065856569676847,6.449060524771344e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02354221567300563,0.023101932250481294,8.037449025488641e-05,1.4605531340139422e-05,5.738433065494153e-05,3.406963832386367e-06
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022277833729464902,0.0002544251238598694,7.115139531177483e-05,8.532089491763983e-05,2.1952890449927764e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010350719615972448,0.00016035170010719746,0.0003673922562041909,4.1606253293302586e-05
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.818274498814222,3.2042896733963415,0.1674577054071702
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4934161887923186,0.07909037224402271
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4900313117132646
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
