,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27C,28H,29H,30C,31H,32H,33H,34C,35H,36H,37H,38C,39O,40O,41H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097564753824818,1.0987902500986453,1.094740853403127,3.1532649851858987,4.15427896526379,3.5123830893614785,2.896414758386067,3.8935725759773727,4.28805268705969,4.957317926529854,4.958647302722219,6.303086195568462,6.3663415653777795,7.177224026527003,8.152304470763278,7.553232646633817,6.7642540824909085,7.938137174256406,6.856556057977277,6.006616098610868,7.758912215315033,6.8260076822136995,8.783366001687574,9.229012171322024,9.601194378089465,8.678352981611825,7.181373957876842,7.101641650337448,8.362243788625825,8.940726236381671
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7737178470745936,1.7654678058652007,4.136725169868697,5.178781915046756,4.3200011806785925,3.8851087124404056,4.106740570807275,4.476631545600846,5.172819304136892,5.139626263657314,6.477531263861195,6.473321665856486,7.541435598308154,8.455904159256908,7.988374237035995,7.2716208664502915,8.259705827812194,7.369005415564368,6.6213286739001695,8.341800038771115,7.265949022805129,9.317016499321289,9.77895660789128,10.077921676685571,9.311499403659763,7.193120290564263,7.041912383524039,8.339570442280502,8.847842595934779
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7664496542098607,3.5608453357001375,4.402481444598829,4.180917017613499,3.2083623071412832,4.3198347858771395,4.945382230702155,5.16254080991536,4.967268530323807,6.583864534157893,6.81948550192141,7.384604995125434,8.411367774793645,7.536386106019346,6.648879845560298,7.873535034262497,7.15603284034126,6.244776699370433,8.017352667525216,7.2858226009632165,8.730869928628001,9.051499190037942,9.62109267307759,8.65280176995223,7.375484614184583,7.157766606654869,8.635234254877352,9.158503030512268
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83997564748054,3.8498909081610933,3.1208036353382407,2.286835472798041,4.709720080602326,4.904356659301478,5.853732131523334,5.943464109674324,7.148265703423286,7.131274494292745,7.935133666492186,8.90368993751315,8.364417281685872,7.570299663379044,8.834055215723208,7.441318947138114,6.559512938004272,8.28376070651661,7.343419929072418,9.517156615111766,9.989486378505832,10.340246562174224,9.310551149513406,8.125680389086694,8.121673636421777,9.266667325546528,9.891174770499074
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963300091426327,1.0968599561045467,1.0959213540760984,4.435924837127163,4.376635296796984,5.451408621144078,5.815069306965421,6.498441928156155,6.47880228346036,6.756022056880298,7.711882035940866,7.212301339237491,6.461773293412475,7.978126418411277,5.812574340700759,4.85061036356773,6.398206515791967,5.7538133976636665,8.032227034157764,8.586402135239926,8.846948462919176,7.5455712583862455,7.8246162335021445,8.13477799380749,8.848079174462418,9.645686093921956
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706279637105762,1.7664436983240877,5.058043080812187,5.001005461148266,5.913123718732278,6.286596147725358,6.861923443393616,6.900372571148887,6.873307080880165,7.818480320449662,7.2319208793254735,6.476136426633029,8.088096039437463,5.794201813944302,4.80642284591446,6.206094312838258,5.824907687797732,7.858047646954147,8.379791849433307,8.690079057975957,7.24709142743279,8.245835702658932,8.60805100327845,9.235146072865717,10.061640170831183
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7719932427565748,4.47924555385347,4.124295100621483,5.6210395805177535,6.134335796256188,6.532290595106248,6.328294992828816,6.846081684097566,7.712933018197302,7.519767771401162,6.8932609895780965,8.299878993494081,5.82244228260617,4.986742120674642,6.42683576838903,5.558789338830829,8.360202797493342,9.024498289155307,9.077845603757607,7.867568800835269,7.899090145046336,8.323091089010829,8.815555144314276,9.64983383691733
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.147339017550851,5.177209382148743,6.19543028259383,6.444148635033241,7.348994585910121,7.355477381122455,7.705620591567224,8.687779921113304,8.08916233908222,7.274295294530978,8.796081319506433,6.84541089763759,5.864233571364088,7.454428842138363,6.8050963755769684,8.949464250926038,9.438133294144409,9.80410435200749,8.493971034640873,8.596031610661093,8.796815365063058,9.677876315160098,10.432005345880649
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.228844885181877,1.3627503361424849,2.025901112297506,2.457830449063407,2.5043225359451564,3.49499634044424,4.357985012465493,4.2477436823298,3.856784127432766,4.615232071876521,3.504978548688115,3.06630066375324,4.57473851990661,3.4550733381780514,5.616431826581008,6.295609004955824,6.200026859601489,5.7101087807429085,3.5447476061075034,3.886334630643279,4.609218916782877,5.325513721238841
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2868553996355727,3.149991311139704,2.8246461262698106,2.384150951607989,3.7407234007657397,4.435974920580132,4.824337645799553,4.605665042739624,5.30309672098291,3.4302238527298776,3.1519897877379566,4.471556292758203,3.004816246106562,6.06794066352748,6.887706050508358,6.524631067768096,6.047365991537292,4.0511759474751505,4.648899091507465,4.8460998283113845,5.6583764498818425
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0162721466689577,1.4492715641215932,2.0587753430967486,2.5270950458806998,3.4164855413054362,3.0716832846849957,2.780124673341583,3.2937945508008224,3.0573776459308477,2.816737849635698,4.091113016010687,3.3192709903022557,4.541970772901041,5.164108654205449,5.106870236553224,4.831979572653397,2.41517672814806,2.7364781161249687,3.607302425632415,4.281803628485643
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1375337550616815,2.932579132726772,3.10273846658539,3.9931106386995974,3.183937730231106,2.7194919609493757,3.1785933656998053,3.8223320318133425,3.4964608830784316,4.7731318949603665,4.243979453671356,4.682820205864452,5.106244801020947,5.334712315998647,5.088626620911779,2.566568476993157,2.4211482533416064,3.9002188756411513,4.3902708110174995
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095711935799997,1.5627284100910095,2.139285100081734,2.5717252431313242,2.8373121758455118,2.7308041086682944,2.5382661859014264,2.8522212770132103,3.49840596447742,2.72472502195545,3.958290589211012,4.739898369680797,4.23851057804666,4.3713499626347065,1.5231948570257905,2.4374130821250732,2.381716064439038,3.2129356647153267
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163139271705367,2.4450559796167375,3.49608746794596,3.8106240137631935,3.7358475654074983,2.6973074923761766,3.134110731907246,3.6774478278724225,2.4241826883696653,4.736142325279645,5.623737618969569,4.8847502682973065,5.027209092950943,2.138273781177349,3.1648081742364633,2.571829319303135,3.4791944378279522
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0992075508502794,1.5427989046310149,2.1644671509716535,2.170752675106529,1.535982749609294,2.1825733855250604,2.1822928244354443,2.185590253244702,2.5846548966337672,3.526596639883543,2.8294494779944284,2.9042800301038705,2.5404061170816,3.4515804304142765,2.988462064689884,3.8323954648225476
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.155198655823711,3.060263182338966,2.51476818937552,2.1508139666337045,3.0716440634825766,2.477576153678793,2.5221381277776787,2.786113164581518,3.7698474248490386,2.583724352392553,3.2109418103449046,2.688697641482847,3.7446681482422983,2.5976551452316072,3.4375353497650134
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098988745797587,1.098630761918247,2.562289738409019,2.805490545957431,2.8443207904731915,3.515169438698992,1.5340988965528963,2.1776446862649714,2.1853676138313314,2.1951301149206364,3.047229457625401,3.519045442387367,3.670293684813115,4.259528294180992
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.755118583084536,2.792655565037203,2.5880834133864647,3.1900122285809025,3.7819008714352464,2.1649865045711,2.5212780766112934,3.0855251618776838,2.5183312204085517,3.478052823365087,3.724103596582755,4.386821881476231,4.961175420846979
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5007944200681314,3.785308740740502,3.854714201781082,4.333578906933982,2.1513471445719516,2.4519818830226976,2.5421872354961574,3.0791575296897,2.611072104860247,2.842229940178877,3.2103522541387712,3.5832977983777354
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096213203732638,1.0950153966633565,1.0948469584037206,3.134253887054981,4.141498110077054,3.481071492822404,2.8772295988077,3.8859158425420115,4.799388532806897,4.323972003781732,5.239447599753088
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7726795544638156,1.766473107698607,3.4803914841067676,4.328061210723312,4.09932026911683,3.106896819080078,4.277556071642751,5.000595342812414,4.984473821003535,5.863590400871855
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7726864399631614,2.8354287264553797,3.860290471112978,3.067376962305115,2.3051029255474367,4.699253878972032,5.617981944851324,4.974346269861764,5.856849622575047
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.142005916672069,5.18298378702626,4.329145067326087,3.895198453306765,4.118552760383176,5.144145547686686,4.407369367071027,5.375786060747631
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096231112893967,1.0976295762838444,1.0954917215462534,4.407242892894263,4.914466050400597,4.737172340661576,5.276137096094639
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7702229949931558,1.7664021463046646,4.999068470885328,5.281932489156998,5.398910916041646,5.796355817383145
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706484069396506,4.52194075404396,5.154628584584103,4.5286455017648555,5.027408041133212
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.115008976511104,5.705467881029759,5.484908704378287,6.131055371420814
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2124514677976517,1.353289595047561,1.8766039845239681
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252834121151584,2.2823066071970826
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765552902344244
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
