 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,C27,H28,H29,C30,H31,H32,H33,C34,H35,H36,H37,C38,O39,O40,H41
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8515849362815726,2.012149710816223,2.09298959629269,0.021855997462329718,0.0024151191327672628,0.00048768772503660074,0.00898349171969115,0.029377825902022925,0.005818280088917126,0.00585593135581472,0.000585597573041774,0.001445238679088523,8.024547387430747e-05,0.00019155555382045775,3.5456512905374105e-05,1.3211014545683186e-05,2.160649395177572e-06,3.206654481946458e-07,0.00011533919890287236,0.00020039477086264412,2.802617228070403e-06,5.440413054058624e-06,3.29640550757182e-06,8.942108644660607e-07,9.388794304232562e-07,9.462748873367843e-08,0.00017423730471494148,1.2171269275204621e-05,5.379430206702007e-05,1.4235929272521375e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022701808169767412,0.0245268255276625,0.002101347994840408,1.8201241653192923e-05,6.759764060904061e-05,0.0005605466464841946,0.0009495932761580672,0.0002803925457104395,0.0002605577934142733,1.7422878911599327e-05,5.640162158826456e-05,2.166696029259896e-06,5.152212322556693e-06,2.832123186857771e-06,7.381540458872848e-07,1.5336890091255384e-07,2.8210946245721402e-08,1.2005169073403543e-05,3.287043924649069e-05,4.38581862827192e-07,1.1152259138391685e-07,1.447338899840389e-07,4.7725419172195416e-08,2.7509649225265775e-08,4.5915782287409e-09,1.2614212758776944e-05,7.513304189910031e-07,3.5806478018152177e-06,1.0684955411566222e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234473639735997,0.000476022263651954,6.406243247036869e-05,0.0002042704694993347,2.038218951638804e-05,0.000996482297254797,0.0009779193539979358,0.0003221005497653362,9.247841679349555e-05,6.259557406207428e-05,3.559521086526907e-05,6.597933776442133e-06,1.2757056233603237e-06,1.4788525071196545e-06,4.6194237302010777e-07,2.692772937962218e-08,4.585175886084869e-06,1.904030796362477e-06,4.845500543027015e-07,2.1708206514592376e-06,2.3384520519975638e-07,2.5363132705180647e-08,3.87084719832842e-08,1.6249448453464765e-08,3.068350115320584e-06,1.357644491273291e-06,2.928888622744097e-07,5.465154129247196e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010316080313186315,0.0006580674803280395,2.9966295030936507e-05,0.011305636166448974,0.0038035667244564753,0.00039797964768428784,0.0012405445081337119,6.011408793060724e-05,0.0002942190064874062,7.6249593246036085e-06,5.817264864194094e-05,1.635535964417123e-05,3.683692437750352e-06,8.298410514306909e-07,4.1025555397311564e-08,4.750212341586568e-06,1.9689690566870865e-06,1.7095990401116978e-07,1.5402498956262889e-06,5.900416146786824e-07,1.1318958081929509e-07,2.817759059414726e-07,2.6447916301464147e-08,2.3846826254558806e-05,1.1493567754206069e-06,8.489522603349897e-06,2.6772891796866816e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9388526972113465,2.0381399418421835,1.8820070847198889,0.0024579960183816474,0.0009047341840888665,0.00033242480381620587,2.4369314208017023e-05,5.173339192561521e-05,5.5420789426552375e-06,2.9648451879707438e-05,7.332050125596901e-06,4.217200807052346e-06,2.622048553835299e-06,1.1478449724044992e-07,0.00014519823236790186,0.00034593689431994257,4.552068726848546e-06,1.3496821494873856e-06,8.210183199547361e-07,9.861395655619276e-08,2.0882278906064755e-07,8.249465333065586e-09,5.48051069379496e-06,1.301362666281114e-06,1.6892035376581127e-06,5.015472009928246e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235142691325827,0.023424450549434983,0.00017038662926704973,8.271975112572605e-05,8.192533507522803e-05,4.054143685872091e-06,1.017468788533371e-05,1.7624996651033342e-06,6.939251161242055e-06,1.5460870899097756e-06,4.3873492727719565e-07,1.6137152680784084e-07,2.7267592406232666e-08,5.026499703020271e-06,6.519867922882838e-06,2.080240528723465e-07,1.458673515308817e-08,8.728654421474857e-08,3.017312932840355e-08,2.033880797114307e-08,1.542459271419716e-09,1.4487123045636707e-06,2.388672787345669e-07,4.346961323120624e-07,1.585102111789638e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023321693378684394,6.543111561341242e-05,6.929683509215856e-05,1.6233244165553273e-05,6.587557052073478e-06,2.0165116147996542e-06,5.871594401796187e-07,3.512272868100297e-07,1.5475591230718067e-07,8.115730709690183e-08,1.0025126062629397e-08,1.7274355279539577e-09,2.8268496259364895e-06,3.6378357330946187e-06,1.1459971416272197e-07,8.742970392106031e-08,1.6209308784098653e-08,1.5883101500691055e-09,3.42854211687893e-09,4.754368010395638e-10,1.4326105257644883e-07,1.0961972507494977e-07,5.419120185923276e-08,2.1790831805645894e-08
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007631725190269112,0.0002730570522350151,9.503243412134488e-05,1.4499796194833436e-06,1.0935285570390363e-05,7.84263258557516e-07,1.1526776340087252e-05,5.233579945862488e-06,6.846992424147658e-07,1.2629927104157446e-07,2.4059437553347607e-08,6.642381628285676e-05,0.0001199795415314231,1.9045133134998338e-06,6.332102131523243e-08,1.7529457663201242e-07,3.138657778123388e-09,3.1248092779989634e-08,2.267059873162225e-09,1.8363715448277418e-06,2.4332262416049133e-07,3.631835348016921e-07,1.5305537237608746e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60028659809919,3.5071791402033146,0.13901833640869798,0.279927406428249,0.029012419723363214,0.032926425181021124,0.003044630854799779,0.0034297613109228187,0.001231131706581845,0.0001932574852556712,0.008194515950934775,0.005673734502789962,0.0005059865297931676,0.001625209418110174,0.0006458973246159516,0.00010726988172615748,0.00018942237643071458,1.6392945439314133e-05,0.03233849706629538,0.005221983844385464,0.006066890740318437,0.001413013177466338
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5406983930164528,0.02329475709292006,0.06817674898348072,0.0502451989314171,0.01095174457742043,0.001169301547740309,0.002784113394466825,0.001329034606039281,0.00014073487846943955,0.008580914572224839,0.0009145093313646102,0.0012968737113185913,0.007654634213952294,0.00036848610743966254,3.410789347668697e-05,6.0066024622940084e-05,3.561451245881475e-05,0.011316147643243735,0.0036429962223542556,0.0017089921585753745,0.0003847264864949018
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.564010604330667,2.837287320629858,0.10113132747061937,0.1759011213861633,0.02485932468486518,0.021388630248289187,0.012596132737470511,0.0006238532216829018,0.01928820996101247,0.00750927769164389,0.0015048290077530613,0.0006871111872356339,0.0033342337006208173,0.0003039210280060267,0.0006934699196488037,2.74598770731993e-05,0.19719863982626426,0.04363132676373801,0.027250351680074295,0.00506639252593466
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09621900665355476,0.02381632094622388,0.004466725955441064,0.0003622706073993509,0.0024242058285055545,0.0022264343039242185,9.880915211568642e-05,0.0003661647055973605,6.599929975648067e-05,1.8282094607746657e-05,0.00010940277278037591,0.0005046622615163532,1.3506357654513579e-06,0.0001986836594947139,2.2275021996698285e-05,0.02247096752651523,0.04758515747786396,0.0037017769448135507,0.00012075476628847781
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9425568730007194,2.691586397687584,0.09800497619416992,0.15715658001134064,0.006217910806136873,0.010988533005171774,0.16755792029561822,0.006212114479975828,0.02937408603987879,0.012042232497807115,0.03336142248834753,0.003092252424635067,0.0006513582863185707,0.0005661676476056421,2.775860028911797,0.269496222082367,0.21706732005451257,0.05361265013582772
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08306588959994521,0.004186196253784358,0.024278852927115513,0.0004966115528435289,0.0011944376781445332,0.012625036787055843,0.00018892861263020144,0.0009244985400431727,0.005842152007192736,0.002923378187894121,0.0007541788911229474,5.572247265717145e-05,0.00010494653034687218,0.11475672327596698,0.028625655741537415,0.011311289800912117,0.0007865536582305488
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9643443202309279,2.784640277397309,0.08226233016202333,0.08969778678265117,2.8663086025861513,0.08413228056837996,0.08935626871424196,0.08881194690366478,0.16282103396762942,0.028791000675763012,0.010030823946709733,0.005506396764727972,0.18459198422568374,0.04206993989474106,0.030097012589264185,0.002043223941244343
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07912677378603172,0.03565170535138562,0.0035387782677560597,0.08149525667443958,0.03412939276299021,0.005642668558282216,0.0034753509274891847,0.010028785824894637,0.00043810865113735886,0.004972778650415233,9.869989653021882e-05,0.010236715319548173,0.0017351508044932684,0.01575511780931116,0.0003201794187159823
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0153903746875157,2.084734789288342,0.16370693974124967,0.010276000462704049,0.005172752552999205,0.03018829740526585,2.901213920819853,0.09060224362752534,0.08462590956593186,0.08170972634775531,0.029916512453598804,0.010195622069075691,0.0038733736508594907,0.0003251675906914553
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023367217825163822,0.010012394477370679,0.005205706278277322,0.0001287840967105769,0.0004384864190809523,0.08578922070691197,0.003711291198865041,0.0342360351734492,0.005478057594937802,0.0011987302877634054,0.0001725888589023672,0.0004044295833810496,3.8387020866892385e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030430592794841393,0.0005224694234204907,0.0005225996744511185,0.0018006046440450785,0.08434385813945489,0.005867364146488807,0.003968366241529964,0.032524470983929854,0.021519457767755323,0.008488162543581201,0.0006025604240488258,0.00010110447613143059
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.047120304899571,2.149832790856707,2.1000714524740514,0.022664231933183968,0.0026040859319019782,0.0005789570183727388,0.009332715300014005,0.030535491408184984,0.007022700777436719,0.004905259378412415,0.0005141550257000693
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023661312441952242,0.024334947548772634,0.0006291743533692884,8.009361371263957e-05,0.00021029705510122731,5.052051436682525e-05,0.000805964565606665,0.00011748468962802239,0.00046386898347439143,0.00015322580551546672
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02512613499843419,0.009955003248326655,0.0006314101009026185,6.852011579550066e-05,0.010240525609809037,0.004533038469771933,0.0017102551921998055,0.0003664003959173989,9.827156220065802e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023823404156274597,6.649579584738774e-06,7.168791551404041e-05,0.0006267743837100603,0.0010452875403168527,0.0004139200307180513,0.00015778231667340492,6.5702855087668155e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.065823040562501,2.056595077832757,2.1479124119857853,0.0035070744924236563,0.0008792649949808384,0.00044171829543478147,2.7568377017672674e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02320356303103477,0.023672753337914854,0.00021520495448013044,0.0001864642191035104,3.016168982283851e-05,1.9853407762226993e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02315309264744214,7.486245220311716e-05,3.0513428635803308e-05,1.774798084119844e-05,3.8993638715734136e-06
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001101292978252566,0.0004227185943437295,6.764376686307916e-05,5.827900863675239e-06
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.755119556245213,3.53836472786824,0.170322769902298
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121219167189701,0.06952863108771701
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.823427264438604
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
