,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22C,23H,24H,25H,26C,27H,28H,29H,30C,31O,32O,33H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.228878418877784,1.3627198907132383,2.055536454459258,2.470873330930215,2.543822639120139,3.4924291926316955,3.89626379814385,4.4029104181796015,3.623950457607263,3.0082900644320603,5.037000919751047,5.493797236713808,5.244738531635423,5.77704668761189,3.9922949917394086,4.591823739041582,4.8209233091859645,3.3457665218790775,3.5548536107000768,3.8882423087722975,4.61234685919505,5.331737267919659
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2786146154919127,3.1637342492252785,2.8313799783555837,2.438342078610161,3.7206377390764005,4.395249671693029,4.493213377622052,3.534345136319028,3.0306854915388337,5.014002498052775,5.329909866278424,5.4618068482132065,5.693814207544642,3.417933997646554,3.9063356844337425,4.257606977955433,2.563492595051443,4.092457142499327,4.694794726719852,4.887663537807534,5.713723510913085
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0134995495039705,1.4561521221385916,2.075040067476037,2.51295067117175,2.7382536975984744,3.426943671931763,3.1359523230782544,2.7602737805781055,4.455043396676191,5.142557196921109,4.519184830175159,5.090199534597583,3.8648307820564085,4.666055380019984,4.526658518538566,3.4686115222868303,2.399803750381251,2.6993078489813405,3.591500823013342,4.263700988002221
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.089084850465573,2.8904922532059603,3.053554957673796,2.940234003964947,3.929935435845224,3.876022043555241,3.4844930804075545,5.0249967423422905,5.774152462150077,4.88652440075024,5.653180055510076,4.785014396206695,5.5906779508918865,5.3995190944204206,4.462562692005172,2.4377998528369442,2.250823109003261,3.770650156135035,4.246426036935061
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0932509227463933,1.5511371321846235,2.1558818151799986,2.1599477689775357,2.613683916053451,2.7916586518138815,3.932866193231546,4.771470411943219,4.173878223767749,4.285153308966279,3.1807607543018683,4.185257316725931,3.5351806609981717,2.904920722374725,1.5239530422078793,2.427723714055894,2.38512926674854,3.2179638723935278
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.180495657190641,3.0656123964006436,2.5211299007133485,2.8530490240280764,3.103861324484741,4.297120735377187,5.011652471640849,4.773658946823684,4.574304673668141,2.8478118804903914,3.855754446430844,3.1342075017796023,2.2819303313067945,2.1467015208654976,3.1841776910304262,2.564773182958227,3.482619287896912
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0992230813894726,1.0983582050545972,1.541346715058225,2.149966104435368,2.513646202030627,3.4784825513115587,2.757062290125974,2.7863283251647544,2.5583316702265724,3.5069466045983377,2.804052739582387,2.8590383104961656,2.504430052537775,3.359490080182855,3.0147611746597236,3.836429770221808
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7645225274149272,2.1695514275424888,2.5250715461136277,2.6582991804768668,3.6817265268669876,2.440476433748541,2.9994093114652176,3.4969414959633136,4.3228646060681895,3.7755530594851074,3.8740015493679563,2.711842246289191,3.213926382749735,3.406928702677967,4.038008940363853
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1682201378107635,3.058589278481248,2.801846251786345,3.803970284264636,3.1713456607925883,2.6275084309188377,2.770615572483198,3.764235409178901,2.5652166636053892,3.1749945527618455,2.6696401780607575,3.6628953258041697,2.6578727581664587,3.458831009832643
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989657980782495,1.5376017447562718,2.183660329139202,2.1934481752216164,2.1873965738100485,1.5364538528385703,2.177106827982727,2.185669271137352,2.1888632033237383,3.9194487088205774,4.7644793760661175,4.410247211607263,5.297603354144799
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147087837239099,2.4977035671507775,2.4980541706173427,3.0725745638042494,2.1485313395117283,2.5145552775087694,3.07259619344517,2.4700755481145813,4.203376981256844,4.872106935725301,4.957924125124212,5.821988311292149
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964372679590424,1.097209904152373,1.098324558056897,2.53277470439346,2.7338725361813863,2.83400782731148,3.4911273187388985,5.0101195327644215,5.764631983992737,5.389820624876265,6.188580187413366
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7729769542797285,1.7704233270128233,2.767259637062813,2.512870122369983,3.177835148527889,3.7489950271326875,5.976143891763153,6.74028274583549,6.37517528345996,7.211342321892561
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772895923766387,3.497222289079447,3.7469002802041325,3.8446872676979145,4.347336444173275,5.089592430814911,5.641756567817701,5.61370521102928,6.310881508755183
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8109649961820793,3.095227380772776,2.6693242345089936,3.8394523120750494,5.167439011852691,6.007483502863516,5.280227618207338,6.037715643539204
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968115394435973,1.0987657871436896,1.0938701490342124,4.521258205302782,5.5586628387786,4.725119826811639,5.688662670344567
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770728276026016,1.764738933132041,5.579656640314774,6.575797972196962,5.821853920456493,6.784620040164658
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.783965943950399,4.629992693085063,5.760659580751054,4.521103889699384,5.455024359809489
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.279505363649421,5.315462354001526,4.532492084332392,5.507397781714053
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2137473201627558,1.3477917818834437,1.8766675024631991
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2546050224737733,2.2931639247388724
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768251937030282
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
