 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,N29,H30,C31,N32,H33,H34,N35,H36,H37,C38,O39,O40,H41
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7412394374450906,1.711117771448468,0.0030654232673205106,0.0011467474907956993,0.005067668045902779,0.009901911105679617,0.0005191889345810413,0.00011351046128527109,3.00363874494447e-05,8.211906584953965e-06,4.749371412482439e-06,3.1203340135066426e-06,6.247371897583065e-07,3.127511563838503e-06,9.129110668651408e-06,1.5725602799721017e-05,7.67078938146426e-08,1.7055208555230572e-06,2.0561714897393557e-07,1.4073538904812999e-06,5.561472871160045e-06,8.16039249951217e-06,1.1715608783102738e-07,4.646218386972212e-07,7.393379619635709e-08,4.1530184180516017e-08,0.00018325709283609215,0.0002731927518104249,2.151680574764836e-05,8.25496979339757e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037761933127951064,0.00044341066660580353,0.00020050708173291465,0.0008795596291905072,0.0002667103985936059,0.00010685067922056035,3.8056078299320006e-05,7.0405580615551244e-06,1.1970700339869467e-06,1.1075230967882987e-06,1.2638739641523955e-06,4.711822667591292e-07,5.30984354263353e-07,7.574094453843827e-07,3.929206513486605e-07,3.736330156378642e-08,1.891196073078305e-07,4.367463724008758e-08,2.3152234329693044e-07,1.2172413689226502e-06,2.488882399953596e-06,2.1964218444026073e-08,7.06366333202979e-08,1.3786028540963002e-08,5.115219803286664e-09,1.5136934478743314e-05,1.3487143826318437e-05,2.6682321431215072e-06,5.282397115280446e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005111661676926449,0.0002189361010086488,0.00032477439054423574,0.00012752570857732515,4.224061879409824e-05,1.5957338589833725e-05,3.416573260528466e-06,6.030230323972319e-07,3.9428436049426807e-07,5.552829858146424e-07,2.689114446674523e-07,2.4355831573785736e-07,8.211045658956806e-07,1.0461294288610645e-06,1.7236853055990764e-08,1.8604260776378112e-07,3.0612920864925286e-08,2.8813684815887086e-07,1.4122228463309128e-06,3.431343248871954e-06,1.4992048269490965e-08,9.425330604884152e-08,2.21610738648792e-08,7.702660287378649e-09,8.067952322998728e-06,9.287076248365445e-06,2.529291946218315e-06,5.248007746150307e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.451487680432716,3.8390945293441994,0.14814078878071446,0.28593776447988073,0.02621681814115706,0.036376022418918796,0.0013801219258402497,0.003912518358009542,0.0025185035128511557,0.0007412761526734979,0.0001761727523466039,0.01599820938962146,0.028680126632484537,0.0004408857267068633,0.002034450874449145,0.0004015988026419004,0.002302377717373044,0.017031070382001204,0.028189536734353315,0.00043160970346312055,0.0007187910778788942,0.00014756310086705415,3.7857786251760395e-05,0.03513389548529114,0.005363770338825985,0.006548283663753873,0.0014730542297004545
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531086759517349,0.02194002301696052,0.0638996015693927,0.04291105724573685,0.009809289994327772,0.0010674285431362396,0.0010059798116509588,0.0025836397978108577,0.0002530666333383502,0.0003446654112665426,0.023444175945605744,0.03491578231608283,0.0008535306656116681,0.0026626076046257705,0.0004948454882257591,0.011088502393565292,0.09806878094331137,0.2868453705499199,0.0011910425084143972,0.003030226086995269,0.0005378714410242402,0.000159934266134365,0.012281267068410817,0.003210594192804249,0.001958167795026812,0.00039447406671166974
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6470283677145816,2.7283463783231188,0.0947016229967047,0.17559062770649725,0.01374787853249626,0.022615348886903086,0.009509415219127154,0.0016756201246328484,0.0008633328141085528,0.012326600788993863,0.00718122147688971,0.000321922538095043,0.001800579653504289,0.00019685350805020985,0.0006966928080410772,0.004084112279085048,0.004296527524294214,0.00013441058934737793,0.0002642668217589933,6.067600453851796e-05,2.706480922087806e-05,0.19947863135298688,0.043614481922294446,0.028259143576418413,0.004910470428458158
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0937191972497442,0.02366278312138892,0.003655329543660657,0.0016229291759126685,2.9966409514026182e-05,0.0004250277051927043,7.502466291064991e-05,0.00021952828781768297,0.00014557936564696394,0.00011575910625083452,1.5446454760148498e-05,2.8854161415736712e-05,6.8918245113014365e-06,2.0222423602112016e-05,4.703220234181238e-05,3.1538706965372754e-05,3.407619729944855e-06,3.3906524619098377e-06,5.014525608082465e-07,1.8072102991872896e-07,0.01637996565803579,0.024204259968198083,0.0023578325874824557,6.0347878253042e-05
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8618733637295017,2.40990877179507,0.08411730432489617,0.09077819186603797,0.1617586655505174,0.026575746416809043,0.013041054165145338,0.011263572493216967,0.002170614724035236,0.0004065042860976753,0.0014856346091747241,0.00021786868931084058,0.00040358965658826573,0.0006905944011263709,0.0010342954252802183,1.588304882316205e-05,0.00012964670576944004,7.334526958224785e-06,6.49960093723756e-06,2.747978266165985,0.28601031860762693,0.2188655568639552,0.05312975721158364
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07743581600040672,0.027298719352826906,0.001630795476035951,0.020380224047324313,0.0012400050454188793,0.008723647314029526,0.0007799670981649687,0.0001311321285741851,0.0002080027714594923,0.0002159040055659256,6.3589702425925765e-06,0.00011419547273661124,0.0005942099865412498,0.0011903126289547483,7.83531560877293e-06,3.017765074242451e-05,6.540390884435254e-07,1.2311181829538498e-07,0.11023625957443106,0.031936278951237185,0.0105612679867777,0.0003536473520466821
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0516269720527833,1.943098925896282,2.744044573516434,0.08831029875143592,0.08250796383282566,0.16583415712478644,0.007135767078992328,0.004621856477363462,0.03314595941732419,0.0006996865971792277,0.005751987945996739,0.0017910508188577617,0.0004100064956230609,2.4921166859814825e-05,0.0018923210534234208,6.770121725330203e-05,7.754927039282933e-05,0.1761333476587768,0.039575822688514756,0.03859417871488563,0.0029759660366465157
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02742825040894803,0.08025401318107028,0.0023837111206037598,0.033346136873460885,0.009902424610020555,0.0002006526760871541,0.0024559176590244203,0.0006521855753877093,3.2746270792971544e-05,0.0004762172239505258,0.00022294989772242424,6.543577428730352e-05,7.404784127862385e-06,3.532492756275207e-05,1.1078680088871806e-06,6.922010783005916e-06,0.003946924410771935,0.000478798118297763,0.0009341895976687775,0.000208755304399455
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0990173971185162,0.007503833923280467,0.0033643903806870323,0.027274481526888605,0.0005544108752171262,9.956719946191406e-05,0.003191396508070654,0.0001585137396242775,0.0008746215009074465,0.00022749072179673036,7.523359491834469e-06,8.545490723932403e-07,0.0002924797388517142,1.2505541697072076e-05,1.544820902310562e-05,0.01952420051732262,0.003354868470894723,0.030679254089108765,0.0005394138238146162
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7492122341373288,2.0907608845488808,2.66889923065409,0.08288854996111783,0.08243761634851643,0.1831858260050214,0.004421036370820808,0.03809691665134973,0.01079519481734012,0.0012993167246213577,0.00011324703069071074,0.010545817019930445,0.00018634101387404733,0.00019016762858770075,0.02684463231641962,0.007109877349939883,0.004452915938227497,0.00040958632306231646
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023870772902220283,0.09179259792510042,0.03131801221392272,0.008186617958199971,0.005454908062133668,0.0012838002935922077,0.0004469529789350446,0.0005292896987660889,5.247028727684011e-05,2.121930405163397e-06,0.0001382912891090271,9.372721692990638e-06,8.45400038862465e-06,0.002935850551882613,0.001140553176620207,0.000189606629241168,7.172735536808972e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0845695763100629,0.003283494141534282,0.03166626542899387,0.009695246490070697,0.00011515610092027728,0.004834564816564191,0.004647743583947039,0.0005611113152765856,3.201671027253106e-05,0.0008972059569082314,1.1797114463751868e-05,0.00010257427744497782,0.0009549353927289506,0.00038739774932883275,0.00015372021937232194,1.5100655099686833e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7585333561300582,2.1519220664082233,2.731339461918901,0.08937910949252259,0.2686717315020393,0.03512419966541812,0.015435849775360833,0.0021952294919521664,0.04518655065607355,0.001816583446993425,0.004403191976190546,0.0023751166441206284,0.0006045982751988338,0.0011341668131907429,0.00012597772037548083
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031508761927551365,0.09801402702697881,0.022815711056983767,0.014514558638439867,0.012527467026534067,0.01772407010403554,0.0003383418463147603,0.0019356838524934306,0.0004958096195335493,0.00024241551966364128,0.00013914362314237927,0.00033947352365737427,7.680006874000167e-05,3.540943169122457e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11407165207016245,0.007579624306756738,0.023846771736343975,0.0024375626430441777,0.0003754193657896643,5.754237486166325e-05,0.003604497130023976,5.8093367585776434e-05,0.0007640491949905126,7.564239598578659e-05,6.007863566637184e-06,3.103476857513332e-05,3.6096467341817373e-06
N29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6353083204076198,3.7294387799980715,0.3847168156062815,0.007082448542858666,0.02815338319405214,0.35857538117115345,0.01244309274284594,0.02787831059219137,0.0005480032254550626,0.00012976267641114092,0.00024221019697540092,1.0405497101184658e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1611114592165689,0.02699144613956772,0.0010600820991817361,0.0020421866806388245,0.0146817909588427,0.009610250161127487,0.00119435193672901,3.373276855977991e-05,1.9654520547640608e-05,8.16356158228615e-06,1.9088086371521484e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5699151718454556,0.14111434655599842,0.15796334279801372,3.537057674715738,0.147034023948171,0.14998643979251214,0.00014169992406301568,6.191779877817716e-05,6.0998371892051484e-05,2.0699592638839803e-06
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7196488140490267,1.8663723242330204,0.37295963023109197,0.02764739324296006,0.012387361493354843,0.0001782141138003679,3.035757867938388e-05,5.282931475369956e-05,1.0586887670971379e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03994959384965169,0.024880889179441645,0.002876926362331389,0.0008065356422539693,0.0002239104315132634,4.7049170530333306e-05,6.407088925897142e-05,1.580836441128497e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013182303487684455,0.001201125111810919,0.00782934345426467,8.761597697803936e-06,7.95589870650204e-07,1.60519976522e-06,4.867071603520401e-07
N35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.724056068669518,1.8473713657106758,4.960754323099503e-05,1.7187643178109835e-05,2.2937710234427477e-05,8.229511595514438e-07
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036094623972430906,2.11304446373628e-06,6.581173565001208e-07,9.213279862363422e-07,1.5300151767760894e-07
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1320320084127218e-06,3.6330968078424064e-07,1.0703077442109077e-06,6.974601407527814e-08
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.191593777179945,3.4219355255004733,0.16769363790807235
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5197469861310783,0.05976294853855901
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8385938761535936
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
