,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27H,28H,29N,30H,31C,32N,33H,34H,35N,36H,37H,38C,39O,40O,41H
11N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0091558705819654,1.0117963164672867,4.694765452389917,5.850977009236475,4.56642002875226,3.7375713659194716,5.703999861700007,6.34457071505683,6.730846461904572,6.358671535967018,7.373302741488588,7.797062478539456,8.657239124229873,8.243116280051682,7.56474178378881,6.731071868215602,7.5524605490876615,8.806139918652278,9.587744750509906,9.212932624376908,8.518971366842159,7.510136014712601,9.077442917058944,10.529171822127703,11.137473659171738,10.953913099234969,5.489927034365424,4.55923121736745,6.75895410274059,6.828419204110187
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.737909502721049,5.129221785355714,6.188680530612117,5.200749031202607,4.483146550439463,6.350137077985049,6.871123191870599,7.492722807657857,7.2073225996524855,8.143662572285386,8.505900994734303,9.418156356431574,8.868051998019546,8.235462620453115,7.334564005968884,8.294535002616957,9.40507005327968,10.230551587873506,9.697217278969548,8.906744657636,7.899964962301168,9.374652144741466,10.987938001647848,11.647049869730758,11.334698554810396,6.116854898843527,5.148355053539876,7.377144973506738,7.410272171831444
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4149795441673225,6.618945386088615,5.090586372158171,4.153968020896116,6.139007633699795,6.894482843079873,7.021783108835125,6.529884673455058,7.595039063502022,8.177145765193908,8.955413648689497,8.709283547546095,8.005664791299878,7.258799557411763,7.888840760517885,9.313059647775969,10.034952836237018,9.831979441042009,9.22522917336454,8.223355043334237,9.844582525040007,11.160687481964732,11.715422134871696,11.647646492491878,5.819274845065379,4.858772817149684,7.025340043144832,7.0295299570143595
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2473639226157034,1.3454624998785163,2.021719565531545,2.4683859061322986,2.5296315121237876,3.552045431398808,3.7820171560589304,4.482983534411408,3.915831742357279,4.979501387458156,4.061935536491949,3.5278520688546173,2.5331708674892326,4.037657846273842,4.505784657463421,5.442825055498308,4.641463237542651,3.846687669635404,2.825322285321082,4.445644091336657,5.9506827126845465,6.661422355859611,6.34137728148846,3.4850698203617982,3.6698300618622604,4.641240162722467,5.317518144317619
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2834062569528406,3.169329441267695,2.862391615670172,2.436345388274441,3.828541275182952,4.3142787387798816,4.714396335900115,3.772338870036553,4.855349381011339,3.6313356925549964,3.3364434045050904,2.3693840221565448,4.101281557463172,3.9613886657487414,4.962666400580535,3.7739157355758977,2.7743521715351163,1.756097411390377,3.25358797516831,5.0119932300456504,5.821774108425329,5.286622210312151,4.02991524136618,4.439679425908291,4.961497819094249,5.715740234047596
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032670299204442,1.4541421824216032,2.0658026437361157,2.5266659107235148,2.6458215803304133,3.3982428520922894,3.340789247743756,4.323968441996768,3.680963078400925,3.348483844721495,2.631511741182164,3.7270024842167357,4.622575852670376,5.456990218001785,5.041290319943364,4.464661810265929,3.4923667756251304,5.19923733441999,6.389800498833513,7.001762878761176,6.929274797654109,2.416305591297297,2.700055781398359,3.616056505302025,4.296773827020261
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.144491863446241,2.9678785081695085,3.036579311981402,2.8205304896978727,3.818067218488446,4.071098248821313,4.945953367393384,4.557620777752817,4.059206949950384,3.392670025723323,4.204921743332216,5.41389004984825,6.180262464981572,5.950270634372605,5.4374258817544625,4.468157497342925,6.184795936861035,7.301748384702049,7.860975546317112,7.871912991187812,2.6072968476378793,2.5106882966889845,3.8984610558127253,4.421941724859786
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09731069494442,1.5512062712803112,2.173424201327531,2.160248027855005,2.5918405218724296,3.5120163039428647,2.7596912953992927,3.2547031506728943,2.916196839271851,3.808983648773738,4.496821304948936,5.267991748246482,4.912241688854187,4.4168275612556736,3.5748059342067458,5.1471171134202995,6.20209129596229,6.797958035038216,6.782839540255065,1.5373772799659633,2.4386907685179056,2.384693285293608,3.2263159786816695
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.165579169941989,3.044683638453714,2.648064151560404,2.6483635192238855,3.639849263291542,2.3750315390253753,3.314548688455948,2.941906424208694,4.123091650107222,4.279010323026769,5.126663185747148,4.407600523283234,3.735266974755854,2.9364158744273974,4.337859096654482,5.636386415683763,6.335044997589624,6.10721616208528,2.1199849162281845,3.0429142831776197,2.6584201926375,3.5199779629220203
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975497303878654,1.093391342035818,1.539351217920234,2.161150277687399,2.158841464749525,2.5926180550126534,2.79469400999531,2.948920498221167,3.886922840348093,4.425179204044904,4.629795827514748,4.5636783874804845,3.9603867342222747,5.435501445473912,5.836532930101447,6.23211643710196,6.58934747180119,2.568844029835948,3.5827903830718255,2.875370406363566,3.78568591614354
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7588056230681337,2.187614799306,2.5725112550707454,3.078621184181631,2.813316919024232,3.0137071717989734,2.7547706647156236,4.230737417634159,4.663004391849241,5.173320280732401,5.2226056929320395,4.59362090367112,6.156519043475283,6.391833935653742,6.689481996572981,7.204438975641668,3.0075960733972806,3.775050255135147,3.49428562279978,4.279813442440463
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.137936081363335,2.3722130131554042,2.509231004716856,3.493346385831197,3.8259488697161195,3.837839683372512,4.63990821238977,5.071227456157142,5.340215493795761,5.305706095098938,4.781168689329736,6.114435275703223,6.445854899172581,6.8059381715760825,7.195360789845328,2.5986835756783604,3.7024174689050526,2.3782164552442335,3.2424579902635826
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0974113352107984,1.098333197363657,1.5372352275390524,2.1906200025128246,2.1840893609651815,2.5045370892745744,2.9880382396133967,3.2897136236888302,3.519077739524172,3.2148553750805036,4.433286657240256,4.400471588917336,4.730898705983352,5.215140486915239,3.8913340142565134,4.944606383794005,4.080463713581623,5.046378616928819
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7577674709674282,2.1554178705241265,3.0723400203900613,2.451476424726758,2.807663925342207,2.9180207123271433,3.747090636057583,4.268288141342482,4.1490207741104985,5.162031530391075,4.636474610111462,4.755805458622696,5.5341534060720114,4.6351383776884845,5.720057228385041,4.609531360536946,5.5381844712255095
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1607849794435774,2.609945260333435,3.069778608030332,2.6602263957071055,3.245621815376498,2.9993173385982708,3.036691783607106,2.843736617950145,3.810080025348227,4.025728484433359,4.501044874835445,4.718432059319,3.9808141097323344,5.09776398740902,4.0061812499108544,4.976621715984331
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0887217749798173,1.0938362297658062,1.4745494953440121,2.132980798950252,2.4974982071274563,2.89111377162525,2.633613088619263,3.900341843708348,3.7063968916410124,4.010106903197714,4.545099826773546,4.751466190860439,5.610264157359606,5.268694610922001,6.219560154139415
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.750375313910463,2.082837004256483,2.9442052365223828,2.684272031485542,2.617201033855223,2.044488876945738,3.585718666714664,4.009089705431656,4.494813505694079,4.68777063048233,4.441743750081809,5.147245164690035,5.186436709519284,6.098076209154378
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0715202179836996,2.336348718151133,3.3066531741341536,3.8593449037465772,3.608009569073226,4.86494017888238,4.38027971001775,4.484335488303698,5.275837151035883,5.218886283811031,5.9872796075357275,5.790010495239305,6.70215021297368
29N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0116938312465478,1.3408846951391609,2.3333895325856697,2.6367484529754144,3.2400873312767318,2.3187685966657114,2.540926199366452,3.2329997481268262,6.0011954080216565,6.908417961908217,6.400670695304254,7.3730873605416845
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0112517934291896,3.2204527621473575,3.6341418248173807,4.034624225317678,2.4672540435807617,2.2688007428716306,3.4669101800334725,6.734911499703728,7.6784429752621355,7.041275219782496,8.014288110973604
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3317652596925598,2.097664762415128,2.0294599044398143,1.3515876711709218,2.062340354832083,2.05851514874136,6.385348946545244,7.279980603573823,6.762305328961547,7.720989136504161
32N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0340543504620074,1.0106699786757385,2.317527652936627,3.2369837133801216,2.546891911883695,5.81365741697038,6.615687593840884,6.281442413114716,7.19188373205123
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7334690287428531,3.282936782677522,4.135495483224019,3.5743764286856745,4.959466025353126,5.678555567781552,5.569144069467806,6.452591535598622
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5111448426841667,3.5155589474111566,2.325652194116291,6.444421465182056,7.208687050615752,6.869188642055804,7.739062205556135
35N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0098725477538943,1.0100615753351447,7.64288994038594,8.575292245844176,7.912116543153464,8.869443835397647
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7143826191878666,8.25389722613513,9.21587624161374,8.484006614576366,9.453995026445718
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.184731221344396,9.079221070015311,8.462652755501672,9.396060572823295
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2084034914774906,1.3487725809114923,1.8830790237632495
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257304860630867,2.309158230052745
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9771999097774511
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
