,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21N,22C,23H,24C,25H,26N,27H,28C,29O,30O,31H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.239060254278133,1.3590476394377118,2.075583510392352,2.4452359996335127,2.5822827039368033,3.717910459909187,4.540771592296435,3.816485829459389,4.37527930096557,4.160203595425616,5.659840708812328,6.403974912612421,5.346545231046184,5.853192194351833,6.158700488642342,7.125156129756123,3.186350020026668,3.3211609354470863,4.336300320706851,4.930728999120892
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2712962239636694,3.181179927011961,2.7717144452969746,2.4505118751564354,4.203927692140593,4.8044303086836635,4.33044148483255,5.128958346260369,5.166533836069609,6.365814062281814,6.968670162406377,6.369741481246428,6.961711210398535,7.036171130712349,7.999437487032988,3.3228840480555144,3.58241783841564,4.215482992989582,4.7799835642839845
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0180121117412242,1.446671498427408,2.0649807279322827,2.469428493120132,3.395292810962886,2.685970233532857,3.017857259352365,2.901057500427058,4.317941127409162,5.084194577649089,4.133929171324842,4.7706245733720065,4.861498301161846,5.8449742943783525,2.4572281735806993,2.800420829427829,3.638201824374421,4.324923147587274
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1041323878512155,2.9443559374488397,2.6219758961215227,3.6656959775466422,2.82847547185208,2.647579091512526,2.112580023785563,3.9150465556744116,4.824887234809208,3.2945830558537033,3.826168225967709,4.203715659254521,5.171173011544231,2.939853086784527,3.070699844585229,4.171431244020894,4.79202484475408
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0945463377633127,1.5497450601342564,2.1627134509661787,2.146513016307318,2.555969998790401,3.1125996669549902,3.7052847319735998,4.222359079775813,4.281725125742,5.149944192217829,4.604021643033171,5.563216173019532,1.5337392335321234,2.4505382909062847,2.3795753834564004,3.214345871604364
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1683542332246013,2.4606807207203696,2.4521631934156023,3.479879625341779,4.120171222100461,4.589768121095993,4.967797293789848,5.3242607675268765,6.201516701736238,5.600306866937048,6.554120059118452,2.124961120511611,3.136143772993132,2.5604773424744356,3.4526491497816987
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0939664926934056,1.097361348351257,1.5020752225793854,2.5183933283562023,2.5961538905767485,3.066332403743529,3.5895932437402758,4.59135892270611,3.670772832420041,4.621376830937759,2.543132894105883,3.477730000629692,2.9571376665072155,3.8234401955938875
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7671228629742568,2.135696014964139,3.408396998091783,2.735259996293669,2.7972351008583614,4.28682562602349,5.346699868493427,4.0348698955987,4.873722739575899,2.767326775182976,3.845150988597978,2.640643292090405,3.510138702534736
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418971917281064,2.8483289566716437,3.2753693900358076,3.776701105485902,3.9935557094599257,4.915352340204937,4.2314618266449475,5.188711883634874,3.4676133345544957,4.390804153786158,3.90694437175662,4.823658050448868
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3860617213098196,1.3741404300654354,2.2468058931223647,2.1572243094992234,3.211260815007811,2.194232784894736,3.174932737155084,3.070538869045551,3.6067584947531124,3.643069640378446,4.278388372449274
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257089468382929,3.3195732249334218,1.3155383853386222,2.1380513557286047,2.212663502549274,3.1805191326776185,3.678625859819159,3.8652814643585507,4.5919719029068435,5.149114862880473
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0797406454764207,2.211186756772337,3.2455249027031963,1.3810637682491642,2.139092596926651,3.816767117286538,4.246460136396434,4.079332376918694,4.522843422648359
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.238811423133799,4.225669213216079,2.1593237006304293,2.555255096841314,4.174709884075871,4.710319348634104,4.081921362300035,4.4549274038757884
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817418909360985,1.3629335475456708,2.1238970376638733,4.551946597409335,4.55367968386382,5.359409181693748,5.761033861085266
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149340570637188,2.548046809991089,5.394043528838299,5.222054072398914,6.298208068449269,6.641156089611535
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0099041010421688,4.663153989579934,4.788546811269074,5.148771481909855,5.475692657135816
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.491661440278264,5.537592614374669,5.878302379925136,6.098356513866519
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.207355723801603,1.357858486700403,1.8784492349781556
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2559025352383393,2.286822322971372
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762230439934906
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
