 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,O24,O25,C26,O27,O28,H29
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7149220119677486,2.065931594984912,0.02492972477730332,0.006200101423845514,0.005558278486981122,0.0008571933696215339,0.001275279068238322,2.7905737744360337e-05,0.000194313529358503,2.109299449570834e-05,6.3601653723655005e-06,4.939642772114339e-05,3.655226077663165e-05,8.940392360490268e-06,0.00012385716476295827,0.0002341545066975037,3.9305451522031465e-05,9.416095374636946e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023572936003055656,0.0011478324573761522,0.0003636109681504074,0.0008575780051292003,0.00021333449027749474,0.0001991739732427611,9.46677391744366e-06,2.6798328830457407e-05,3.6952229121034463e-06,2.1135069916411453e-07,1.1825743200688521e-05,9.103499336804433e-06,2.478789356774591e-06,1.3712293796874775e-05,3.973368409371236e-05,4.018679073070075e-06,8.597467895388178e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018233770546982608,0.001348479997121066,0.00015519143023934312,9.011253749902082e-05,6.0002054493857315e-05,8.09971684700983e-06,1.487357130969258e-05,3.3323462700352025e-07,6.342504597078857e-07,1.0845607059106754e-06,1.1195921179041335e-06,2.479667065014013e-07,1.0080046031202272e-05,2.3142024901834368e-05,2.623179818250776e-06,2.1228418289886974e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.955672179636084,3.5803490690292445,0.14524840022921448,0.25628825046296777,0.014719367849232778,0.030345740564247825,0.0022849314089106176,0.0010623686527742038,0.0044529211415898495,0.002311739322920156,0.001528122520374875,0.044439468195474036,0.015993771896757047,0.007812575638059677,0.0011073402227971263
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5353653777750512,0.029007563148195747,0.05279832974086353,0.017585497463675992,0.00677443282442218,0.0011408453211532166,0.0005084147577798515,0.0009169043441334124,0.00028141350461669684,0.0007050222877192994,0.017159495386816437,0.00376424226926185,0.0025458024883008162,0.0006813885299574718
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.904149290915464,2.6989066096980205,0.0973502289646474,0.18091390917541197,0.024089916942518164,0.0044040695837137545,0.02586523123934048,0.010672256425779389,0.00975130136693457,0.1965309189572062,0.035361710998925405,0.027929583422095797,0.00476484727717319
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09728142005789775,0.026713338025157185,0.01917171478098445,0.007015315857336946,0.001765335522952105,0.002058473969103969,0.0009351229461327382,0.0020615425562681144,0.0058643882375977174,0.003904666600855755,0.0009315304726034146,0.00032090428512221436
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8606463957647534,2.5344847165782234,0.09379923927919576,0.0840129659755493,0.1559098068753802,0.0493349746419834,0.0903703337009678,2.764560044612167,0.26703039141838325,0.21272752430643793,0.05590949052205463
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08936032055236831,0.0018835308463804878,0.02614267447588925,0.03753776375499163,0.007710250835834764,0.1160800548561548,0.11378614199868764,0.02797605253787283,0.009617330909756583,0.0005258961731859912
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.915893277526998,2.1271623620486686,2.473419702711944,0.3270144794511265,0.3037565616223741,0.21402206147531327,0.044533328032199976,0.026573096162171544,0.0015905377947436072
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025241687974656868,0.07919113504148756,0.018054752756382242,0.019034397531336844,0.025226883147049683,0.004298896327238566,0.005635078645449099,0.00035342438963970046
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07147845334735803,0.01776958616764235,0.02356728374142736,0.02200512937311183,0.002471205626846551,0.0019486314002423732,0.0001345381919863886
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.648227411715005,4.484307138839511,0.00981283267800509,0.003297345951199099,0.007617654323450962,0.0004906988216567543
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6031974457371244,0.004723616095993824,0.0019001216871633274,0.001040215281079275,0.00021186929228322882
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009673934915520849,0.0031551326202438057,0.004009803136258927,0.0010281014544087919
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.525076752797958,3.399268693627089,0.1708103739764597
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5009320273716888,0.07625574657397993
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.800793482966129
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
