 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,O27,N28,H29,H30,C31,O32,O33,H34
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016966150369344124,0.0012825701289579383,0.0001399828330603814,9.786340082040823e-05,5.0532148937021404e-05,1.3043577853810717e-05,3.95742939263144e-06,3.2585855569422506e-08,6.175335833802365e-07,2.2291732356682914e-06,4.509852713496798e-07,3.5343628890238676e-07,8.728770455324053e-07,3.3254930120740767e-07,5.410055808452441e-06,9.87972381527591e-06,2.3550446082154508e-07,1.0410153868489758e-05,2.6220517400643573e-06,1.8564254828934423e-06,6.446611542365588e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.681151865388756,3.6417397066422468,0.1424595084493775,0.2675236615966615,0.021735966877962865,0.033055038467070225,0.0009364398569513543,0.004267077049945334,0.008296691665853784,0.01096153570381908,0.0005561577595036837,0.0015065458918391283,0.0008421356669476437,0.008577084316313016,0.019143306814804584,0.00043350184446055984,0.029735055353159318,0.006532197438770843,0.00570390778056859,0.001320500886538567
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53735269040217,0.02605208570249984,0.05518465158587782,0.02585063071609983,0.010412955750683697,0.0008174038943141726,0.0015377027700715917,0.009660150587882083,0.009896660167155069,0.0012049436940476665,0.006084822232294812,0.0019817866355799282,0.057441341251564144,0.17851956418293324,0.0015566571699665577,0.008993852950850367,0.0037269912444967135,0.0014136495038556407,0.0003616490820421703
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.839434258659732,2.7981756655239405,0.0926564454499118,0.1803605498005347,0.011234039098064086,0.02599755095554679,0.014010382573138525,0.003693644182994449,0.0010776643182653922,0.0017753794573100168,0.0008920604230084478,0.0016789595411867003,0.001004112546040048,7.470665589526249e-05,0.19839798557389923,0.05932255052397602,0.028849893622722375,0.005577215109158096
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09689643606651765,0.02378595862720978,0.005690396967854672,0.001489211591408246,0.00010551471850472893,0.0003885989234519993,3.0320241684700378e-05,3.103945926197227e-05,0.00025378643727980155,6.756999072066172e-05,0.00020906881813309575,6.0803540103293585e-05,3.657378632837549e-06,0.03284758005249255,0.078292189480627,0.005409704882232247,0.00016801906380492504
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.829262844319802,2.756345355419133,0.08819814305737173,0.09231595464604014,0.1583768868930075,0.009713254652836456,0.02767860649803522,0.012932167525541494,0.003371550024687489,0.010960100338294865,0.002221015554057737,0.0002515673630811843,2.7557285223805534,0.28232777106144835,0.22436640920042103,0.05397814071862239
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07941550116415608,0.03224346499114139,0.002540917770049278,0.010348686453890643,0.00024084819763481313,0.001055585285208105,0.006730062558490513,0.000615458920897205,0.019886401839408707,0.002947527987086085,0.00010076784692403251,0.11188437839845067,0.02731611290782532,0.01075458061372947,0.0008518516493196682
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.977275591371473,2.0353409563345704,2.8606499146277997,0.08375691372935612,0.09790563083275816,0.18246726353181505,0.04467116716544095,0.030968529827367253,0.0005753202118473633,0.0023973490809449105,0.19680406181608467,0.04276293073653421,0.03032931979108855,0.0018674725097301836
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025347301034115866,0.08707820094728091,0.002480891909388161,0.007445072185881196,0.02721469831246992,0.005061869027048194,0.003404266318074778,0.000135965072347366,0.000981018435166403,0.008071976224519606,0.0015735541705390599,0.0008396807727366618,0.00013172065091127116
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08653525226849257,0.03311047979325421,0.0030818646640018432,0.015901927894679924,0.012941711017014579,0.002363970111243008,9.028720832837678e-05,4.562089423365556e-05,0.013495173261859783,0.00239574546818766,0.0131451473089651,0.00021878997042801274
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0868571639730273,2.113391954291955,2.7636526666545973,0.29803267657195553,0.23252272097205984,0.014278153721357323,0.045383967487224175,0.03256860169236461,0.008387519068109958,0.004941355425451557,0.0004866037618386221
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026443538751561357,0.09050281012375505,0.024370294597148012,0.010644438380145949,0.005729063391244793,0.0013768825496811576,0.001115356920254218,0.00021188603778155013,0.00035879179596498556,0.0001349049072330022
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10356910595042113,0.019634548021182585,0.024263700317294412,0.0010331624706301223,0.0011312733732278257,0.004047629821513965,0.0013670169099636587,0.0003548356532140362,5.4374797529010976e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.885826055269139,3.5436684583321245,0.13472497806206285,0.14393195993510566,0.0019517774233919483,0.0007931659205083486,0.0002701177368758245,3.112462777965508e-05
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5730416891458405,0.02709305688514796,0.02898052145064589,0.0007604909206569976,0.00022449013066869888,0.00013727176110750472,1.915969737598111e-05
N28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6693021333573557,1.9581594689769881,0.0014518080136691758,0.0006239159761048663,0.0001451004290690533,9.988855691700493e-06
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04109102372517537,0.00017243920919640665,0.00014699623819658392,5.440732827621808e-05,4.807319729849269e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6911550295171125e-05,3.757538197923793e-06,5.337387895876233e-06,1.3517374577443064e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92222103982543,3.50799540316537,0.17312879471852616
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5168130655911714,0.06194290275166048
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8181222247570248
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
