,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27O,28N,29H,30H,31C,32O,33O,34H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947942051995276,1.0995541186047217,3.544283966906647,3.763724306438641,4.7247005284604855,4.892583029774517,6.001123844010775,5.976086215597005,6.9640765312312265,7.138216471860545,7.948625302223241,6.812939559263458,5.880422210547464,7.632095733881752,7.344085375531599,8.557181890811416,6.584847003932391,5.571022685981902,7.172829918342662,6.857430290466827,6.818713759054785,7.96711516196263,8.560713992925395
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7679642091077368,4.23194185796034,4.157083782235146,5.513770764706008,5.809776936564324,6.695759796530579,6.543171854092442,7.595069784819312,7.854856914945391,8.563188936318982,7.260502224515434,6.300432504065826,8.066823717906416,7.638419113386036,8.842425550025355,6.745287864058773,5.748942272440128,7.241260894434819,7.662087009523588,7.734423078745224,8.700751919957616,9.349602979912524
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2664497157287755,4.683287015303386,5.304196740241158,5.287241107525034,6.675340603852497,6.785706099940006,7.603923623153032,7.639181556569512,8.620891460791242,7.524937550260638,6.569878334776226,8.277762157887013,8.200755673756424,9.419381328922098,7.536648639965289,6.530813550568462,8.179016380088347,7.429720227372835,7.233687558074008,8.61601609258196,9.143977655843502
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2355421443784311,1.3567473588585663,2.0466615389387286,2.493585316240164,2.611377234857787,3.458464050123737,3.775122781225361,4.411315307922354,3.573385121840107,2.9018597811520874,4.514424896124641,4.238916198332559,5.397981542355661,3.864514736469765,2.982946712210691,4.651275048031424,3.5985576402174617,3.909257372924661,4.674832401297628,5.400822978365078
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.284704716771969,3.1707652224829967,2.882089447089874,2.555608943141088,3.687151992850251,4.269735304803448,4.537511457702945,3.403999894800413,2.7325631797817205,4.403471683950646,3.6602831146464916,4.844243443475016,2.955903517983158,1.9718303417560905,3.648858323902468,4.181793986525518,4.756862921586634,5.010611874355742,5.84501560385167
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0146192839319685,1.4576692189727063,2.0850454258369453,2.5121709299221675,2.6915308029189506,3.427902577007007,3.162714171881344,2.8208971202113067,4.047724517422689,4.049505500200235,5.066320752776997,4.077260163840638,3.4369672630190093,4.9055380956256736,2.3976766942692125,2.687377951654804,3.5903079459069644,4.266078289693816
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0938670728389894,2.9022274834043214,3.0568629791738524,2.9113782321408017,3.913876303405639,3.9274757906828044,3.611807017650769,4.683118375083425,4.952501249830001,5.908207607054957,5.077056615641167,4.450016811002269,5.906665218348475,2.438890605138147,2.2428343748727992,3.7706630072138623,4.250848177084527
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094696344077728,1.5518758276187692,2.1582578049337693,2.1708224023686324,2.589842608263422,2.779674636088411,3.5052955611420122,3.223941272942968,4.025054877360887,3.512748021550402,3.1977928169440673,4.2447671082961405,1.5249856973110523,2.427790152352114,2.3811120950457414,3.21748414966006
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.176269659611522,3.061891009136519,2.559380880547097,2.772582882634316,2.9791121384896733,3.8081562422184105,2.8648385316262166,3.668489084429251,2.8391936332966727,2.544537116915611,3.410825009032129,2.1454673450204087,3.1754507953059656,2.5657893131517175,3.484450184806882
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097222501811945,1.0955920524315497,1.5401398134436355,2.182459141365262,2.151355285984353,2.535990412165398,3.151128710906387,3.3843695016618116,3.4018118211154293,4.203705360476175,2.514677409615277,3.3851029579407887,3.0045311119959464,3.831323863078728
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769806212121363,2.173146590214553,2.589070518267894,2.4057445218495737,3.468897924480736,4.0392012835571585,4.353879992568797,4.288388702335986,5.228905253768597,2.781261420284618,3.3046870029772415,3.4738785826322274,4.121664004867607
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156201502227578,3.0685291748357324,2.5304774034226534,2.657676080965194,2.8395148787245246,3.686638308060974,3.946814263301898,4.3253788990819215,2.658972521538495,3.6530680002468334,2.6349094549870125,3.425863682592846
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947016446461206,1.0945076546809283,1.532888686278397,2.4092815427491843,2.4463240305084795,2.599260985109322,3.3686840494952746,3.906276598293332,4.792514722139227,4.345593057559243,5.2468440425092915
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7715583281272225,2.1910650293661424,3.2792277248288264,2.567088752046033,2.3441149343534073,3.5755139848016197,4.234267437577178,4.96869916455615,4.923633643727839,5.816228924500196
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1206722499610255,2.584042076404309,3.2373653222784515,3.537736255773278,4.0824803473228295,4.664082829028755,5.482499241800926,5.037268525339157,5.876204644709376
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2254932249930837,1.3634257260043419,2.0773145382166445,2.0346490480196557,4.481262958880677,5.563693684868573,4.563797941832699,5.521398444429818
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2818508321693036,3.178659406483583,2.506505074566129,5.035393502711936,6.17546969669182,4.817239462442153,5.715142733315024
28N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0171031458642212,1.011509638831286,4.857814084427609,5.911778865235714,5.024373584344497,5.999113103142272
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7493071217266194,4.615906651870324,5.551462613060146,5.012279081427943,5.9702623768587495
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.455872333291897,6.561482705240544,5.429130127715063,6.381641846453858
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2138136600834746,1.3451220037958211,1.8781151568794052
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255406483720974,2.301027456938848
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768127499489001
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
