,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21C,22H,23C,24H,25C,26H,27C,28H,29C,30O,31H,32C,33O,34O,35H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2264981309027045,1.3660018118329995,2.06056516052684,2.458678425565919,2.5098969793804597,3.5049241290164037,3.963723096094119,4.3827033422184964,3.569150687420901,4.117037374246777,4.4079567507479895,3.8784637370340582,4.008301455198356,4.840360706827114,5.5648174754501705,4.639746634750582,5.249631874200925,5.073596926164006,6.152828186424658,6.451294586682825,3.542173014672209,3.898337189180741,4.5815188608745485,5.307773746660695
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2775544042668674,3.1609271863249533,2.8043365293588325,2.3629618186562076,3.7571672934059834,4.483814126271454,4.462887122593207,3.579040152834838,3.685918587569031,3.826977577651304,4.105286374214907,4.532343316884215,4.291868663668018,4.827193472253573,4.661231194426729,5.40050636791586,4.745417073048777,5.7360736144633835,6.179755099171295,4.031431614849506,4.655553774574304,4.793549283496007,5.619624329757392
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012578655880596,1.4503164646236433,2.0651660979423796,2.512196460741162,2.7789324328877414,3.421045378060299,3.0453176638635306,3.9349478261197715,4.206971353043875,3.462945757767183,3.3899515362478936,4.928013130398152,5.775839421864229,4.560181404166644,5.204908283533661,5.193620454759988,6.43402162453697,6.719972836245137,2.408696635806052,2.721965180084185,3.593144055380397,4.27174974476956
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0921379032134673,2.903353929155073,3.0353343655849208,2.9488455496092247,3.9357679723934096,3.746975318282686,4.802184617053232,5.111829228971949,3.9667485535824323,3.614681370736069,5.796053895909484,6.69647872335517,5.12320817542891,5.63050778981311,5.934583542900817,7.171568172624463,7.361796731014384,2.4804709073551314,2.313376522302307,3.811031787300527,4.298170973491211
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931976081735582,1.560899336688076,2.168854381230507,2.1595581587319246,2.5736522809159093,3.3272654572122398,3.3156143433125567,3.503963927526603,3.6314517888118347,4.580760023591271,5.3557311794570905,4.715147172250786,5.550414448487839,5.159056316956294,6.48185771289887,6.915912571593796,1.5226049955831107,2.4261393931494584,2.383306444861128,3.2163996925345635
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178527061350633,3.06741943511849,2.485646737162659,2.8257422531902727,3.0996793057346386,2.8284448722648574,3.94249953683229,4.319665546356859,4.315460181023416,4.91318414655124,4.963306189946426,5.893602799666698,5.118130075007517,6.372532844504863,6.926423437089155,2.1556243110985958,3.200230466841833,2.5643671159477957,3.4873259680883377
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0974834670427571,1.0967499960509275,1.511776777204598,2.5388964954797992,2.7426716404693052,2.534557816449128,2.738054090368634,3.824351464007579,4.701517215816581,3.824616985773836,4.692654741629355,4.330861511962834,5.69778974762008,6.112635796149323,2.5082974080303524,3.349988579912276,3.02582496030917,3.8410331280174566
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7635214769990235,2.148466649345939,3.41127392495385,3.760654656361617,2.642581093959278,2.4135384900358288,4.569119525859277,5.528785688870168,4.0267875799582304,4.710018842912563,4.816599704805473,6.168514609064591,6.440322992307557,2.691966152113956,3.180486313713097,3.3803458188760214,3.999318280205694
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1565596991902622,2.741389765339861,2.5913272220458548,3.346292435847783,3.6488760272744534,4.09285015837543,4.818593565411855,4.526657726874409,5.4545555918800925,4.826465653491748,6.160430377014147,6.672084415375763,2.694169711952796,3.684241333288908,2.6884400443782313,3.490792453135291
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.403757891481939,2.158925088855701,1.3987244716411427,2.154483118527587,2.438433793530642,3.4266039816452376,2.4369449573318365,3.4199503561409217,2.819089796653512,4.186165139037999,4.6195386899742745,3.8813795933032904,4.699147895157229,4.407177908573593,5.2856940000494
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088032686505181,2.4006155977759605,3.391298745940439,1.3905499507369992,2.1636596478208645,2.7821475769397437,3.8713478382416713,2.4135335294201585,3.6421515676572325,4.327869504455113,4.671650872614117,5.664686644175594,4.924409443734528,5.872139570411973
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.390543883840149,4.296736490038723,2.1402041378292735,2.4809842663104464,3.8701259740262,4.959332465466932,3.393910444262462,4.504887069272657,5.277416756124083,4.496330203477216,5.614239847795722,4.4746276341714495,5.42911375899125
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0877854640666704,2.7854443062312497,3.870978408180656,1.3962084023467027,2.1588277761141303,2.417321394330028,3.6883895451110855,3.839647888209991,4.774456129764155,5.344576240908192,5.523771387089578,6.332689918766767
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8731672895431757,4.958647579371067,2.1466040830101694,2.4705482961852248,3.397446011344915,4.569976097248367,4.549297527411912,4.689925523594701,5.025922033405053,5.591663924435208,6.2909526709251695
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0856178901326936,2.4193899719462415,3.4084248503990877,1.4002086810203926,2.3662104521192897,3.1762084360487584,5.996443564718159,6.939680689142515,6.3036699043781965,7.256406683627682
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3968602683353533,4.2967937994758625,2.147352815700527,2.5703175548349817,3.518175033235882,6.740544450672801,7.7555656342032675,6.907135752630789,7.870761217113869
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0892239082924624,1.3977879034189324,2.428937243820249,2.4545163041793616,6.081609922273254,6.68323097545049,6.789880353203374,7.641091686282192
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160458700546633,2.694100883216014,2.300199144283955,6.8637292335931095,7.332938663465329,7.670727972219874,8.480369302873996
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3680764664944218,1.9168387215077483,6.603930050047597,7.383753041892815,7.124451774971064,8.044602672861025
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701093323282062,7.947446269085025,8.722311177839043,8.456497811603775,9.387456161588542
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.365310385291405,9.038994274776313,8.981645833462643,9.886067524168318
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213110493400302,1.3488626843239773,1.877764284564238
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255752253617808,2.295259492961103
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976900199588762
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
