 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,C21,H22,C23,H24,C25,H26,C27,H28,C29,O30,H31,C32,O33,O34,H35
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.859281119042561,3.4849084677359627,0.1371220184879356,0.27054297229522173,0.02793931568899688,0.03242773543657257,0.0007366483969060145,0.0036453725934957326,0.0059493883046697615,0.0019523165803390363,6.094847877347043e-05,0.004308613981984316,0.00030187585291430175,0.0004886883861708879,5.585752503645125e-06,0.00038505140387901093,7.465375577719868e-06,0.00045416471734555097,0.0001055645744770517,1.0345811856105058e-06,0.030217187506799165,0.006079502982743276,0.005704148330817144,0.0013353398145687922
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5320796670055449,0.02594538756130249,0.06908087632865705,0.04975227021517303,0.010064165358186536,0.0008825023448220115,0.0014130238962594133,0.003420567229331234,0.004434788685329996,0.00018751780533232676,0.0019440334285450028,0.00020973074780394896,0.0006334615540816574,2.404076062889615e-06,0.00042757313955565923,1.2981004329226664e-06,0.00021829115447113967,4.340749600072191e-05,6.301383853601905e-07,0.01040849839980132,0.0038356638557217396,0.0015976049241512164,0.00037217376596965224
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7526414694789774,2.8906755931405907,0.09885831903883979,0.18006750276681094,0.00714962389419016,0.02642657091454903,0.017521127817181292,0.002804099971718252,0.00014979800664804976,0.010004681559535197,0.0018742404377112276,0.0014041129732321328,4.38552088355415e-06,0.0016148111941007154,2.4050633394390175e-05,0.0008417674366030803,0.0002304846936541649,4.123112074427837e-06,0.20025188603713037,0.051650353691472826,0.02856387203285786,0.005281029917028723
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09732998031243922,0.026290369626302823,0.005014387834003764,0.0013960102224797044,0.00011403863110026613,0.00029939252962207785,0.0001820689601065295,4.901472172003096e-05,0.0001323004474884648,0.00011505232698771906,8.874353125398748e-05,2.4710671497896186e-06,2.571738778522903e-05,8.425693889257957e-07,1.6398089388802717e-05,4.514938414690306e-06,7.915258026791605e-08,0.02735067638700661,0.06447390741756909,0.004393233493149906,0.00015327643765528087
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9878013956709288,2.715952241610936,0.08503585691485771,0.09234067029265747,0.16765822471807262,0.032057663824827165,0.00119981631913757,0.037588130491256144,0.000752069695740154,0.004005410669200626,0.00010914100316239406,0.00531009720901357,0.0002124011743440679,0.011288616639765714,0.00290739269051582,2.988040910045786e-05,2.7331724853584394,0.2737674639098723,0.2234564637344027,0.05401387254998413
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08096599565305873,0.03081021300779252,0.004675181704371978,0.008133996530482301,0.0034304604504191705,0.0015863758943786,0.0007135700086213781,0.00026823486446181377,0.00041417593757808735,2.4067477820466365e-05,0.00040148080174107204,1.1868840919859736e-05,0.00025903725313947135,5.448054020762427e-05,8.89979402218799e-06,0.10798366115939828,0.026181682682517193,0.010812408664481188,0.00089979627262049
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0769152424773143,2.040771859130715,2.849584870445833,0.2343077963709213,0.013355891524497121,0.24675955955948514,0.015267294978276835,0.037028784127398656,0.002492350447793834,0.03663389096841764,0.0023622680507424665,0.020995581618208886,0.005584729231957172,0.0002755523603789056,0.19978473460119606,0.04313122916328287,0.030120347375200904,0.0018310127686844702
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024556394800828274,0.09773333642330684,0.024174603262419936,0.0007673498251330457,0.018636735859948628,0.007760837825583344,0.002809387830366994,0.000724617111699688,0.001620283221897001,5.911462860752614e-05,0.0013972359471483564,0.00033039065255346944,1.3304637179523127e-05,0.012482235371782835,0.002881466204669225,0.001008294660675424,0.0001271342710555956
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09496366814767487,0.016242191823187424,0.0035790623869520477,0.02791967682671781,0.0004946151273856891,0.0017735792226976077,4.387686922169287e-05,0.002900459056845772,0.00048023475348757394,0.004280118286182466,0.001074805941121415,5.179524554965731e-05,0.00967872562313521,0.001716396258213737,0.011251429291165072,0.00020737891501254602
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7145119948904566,0.12541473005269177,3.7537240571687622,0.1246647062702102,0.3279695683791682,0.02650224796221723,0.33097103418936824,0.025649073598446037,0.26599764821062083,0.05536192920450257,0.0013854468388714292,0.02955913806482835,0.007522787706830111,0.005105640963811539,0.00043899645638245666
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9877952966960264,0.3335598945130893,0.029248852395325375,3.9493520418331345,0.13278205083498373,0.30028544266336754,0.004014036890299666,0.34526683867377955,0.04366790462619581,0.0039734273108888996,0.0051901123639702396,0.001982430786858405,0.000689104452531758,0.0001655115816993069
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02872918332051766,0.0017129794038936996,0.13422068069166015,0.008666975876350236,0.0035472404494951704,0.00041744618474348627,0.026777842683696873,0.00306962909441566,0.0013032956940410845,0.0002807368679147437,0.0001732049789200385,4.922087332093206e-05,1.964529472875398e-06
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9918163731176672,0.3039061590609724,0.003989716874950755,3.8548525901622863,0.12894532831833194,0.3418627912968371,0.04454745369285626,0.00281117031240663,0.006906776425319422,0.001961962712510909,0.00134676906567828,0.00023753245823143754
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003584636054176249,0.0004210586451010023,0.13201152874927446,0.008473969215976318,0.026674979692120626,0.0032519758699749435,0.0002070766227482146,0.00018038357703642482,7.584475519895051e-05,4.3386774262854644e-05,1.613349454254731e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9805898547796097,0.32551279087247925,0.027781313976197763,3.6459483835905875,0.29932504573957247,0.03451776040615384,0.0010079236243263068,0.00038678799394407937,0.00014911967396924464,2.5168840620315436e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028072720694510167,0.0019166589343950768,0.13501839369738988,0.012296325972103728,0.0012781649685291718,7.710111530623287e-05,2.6599122001647046e-05,1.0365064040618321e-05,1.0433823265376674e-06
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9704242596119441,3.747984000137632,0.31619277721655775,0.030675624450921646,0.0014265681092847093,0.0003460508796936518,0.00027534115104804746,4.6533288734496026e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13039256219683537,0.012808476728653817,0.017023991836249586,9.630345254008077e-05,3.314046644853352e-05,2.7740827577504845e-05,1.398611297886987e-07
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.338318038965217,0.1398836340406585,0.0018352211107034166,0.0007226390239940816,0.00022083267941228057,9.997834109776171e-05
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7672845244279478,0.0005225133786920522,0.00020677026171023877,6.74997559221846e-05,2.8827921216501018e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2143891115923289e-05,4.631072412331072e-06,3.5946385680274417e-06,9.107328935442638e-08
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.807954687714963,3.6068871160268374,0.17349270921637727
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5135603718893846,0.06492510847496225
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7737201332541521
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
